Title,Text,Time,Url
Золото на одномесячном минимуме из-за крепкого доллара,"© Reuters.
Investing.com — Золото торгуется на месячных минимумах после падения в понедельник на фоне укрепления доллара, вдохновленного подебой Трампа на выборах в США, пишет Bloomberg.Bloomberg. 
После падения на 2,5% в ходе предыдущей сессии, золото остается под давлением во вторник. Декабрьские фьючерсы торговались на $2 612, с понижением на 0,17% по состоянию на 09:27 мск. Ранее контракты отметили минимум 20 октября на $2 609. Спотовое золото торговалось в районе $2 607, теряя почти 0,5%. Одномесячный минимум ранее был зафиксирован на $2 604.фьючерсы торговались на $2 612, с понижением на 0,17% по состоянию на 09:27 мск. Ранее контракты отметили минимум 20 октября на $2 609. Спотовое золото торговалось в районе $2 607, теряя почти 0,5%. Одномесячный минимум ранее был зафиксирован на $2 604. 
Тем временем индекс доллара продвинулся до 105,72 впервые с начала июля, практически непрерывно укрепляясь с конца сентября. Причем трейдеры ожидают дальнейшего укрепления валюты благодаря торговым тарифам Трампа и устойчивому экономическому росту в США.индекс доллара продвинулся до 105,72 впервые с начала июля, практически непрерывно укрепляясь с конца сентября. Причем трейдеры ожидают дальнейшего укрепления валюты благодаря торговым тарифам Трампа и устойчивому экономическому росту в США. 
Драгоценный металл подешевел более чем на 4% с момента выборов на прошлой неделе, поскольку хедж-фонды ликвидировали бычьи ставки, а потоки биржевых фондов стали менее благоприятными на фоне широкомасштабного перехода на акции США.
Распродажа также является «частично технической», поскольку пробой 50-дневной скользящей средней заставил фонды покрыть длинные позиции, по словам Криса Вестона, главы исследовательского отдела Pepperstone Group Ltd.
При этом с начала года золото подорожало на 25% благодаря циклу смягчения ФРС, покупкам со стороны центробанков и повышенным геополитическим и экономическим рискам, которые привели к росту спроса на убежище.
В среду инвесторы будут ждать отчет по инфляции в США, чтобы получить представление о пути смягчения ФРС после того как на прошлой неделе центральный банк США снизил ставку на 25 базисных пунктов. Многие экономисты считают, что инфляционное воздействие политики Трампа приведет к меньшему количеству снижений ставок, чем ожидалось ранее. Более низкие процентные ставки, как правило, играют на руку низкодоходному золоту.инфляции в США, чтобы получить представление о пути смягчения ФРС после того как на прошлой неделе центральный банк США снизил ставку на 25 базисных пунктов. Многие экономисты считают, что инфляционное воздействие политики Трампа приведет к меньшему количеству снижений ставок, чем ожидалось ранее. Более низкие процентные ставки, как правило, играют на руку низкодоходному золоту.","12.11.2024, 09:38",https://ru.investing.com/news/commodities-news/article-2567155
"Рынок акций РФ закрылся ростом, Индекс МосБиржи (ММВБ) прибавил 1,86%","© Reuters. Рынок акций РФ закрылся ростом, Индекс МосБиржи (ММВБ) прибавил 1,86%
Investing.com – Фондовый рынок РФ завершил торги понедельника ростом за счет укрепления секторов телекоммуникаций, электроснабжения и горнодобывающей промышленности.телекоммуникаций , электроснабжения и горнодобывающей промышленности . 
На момент закрытия на Московской фондовой бирже Индекс МосБиржи (ММВБ) подорожал на 1,86%.Индекс МосБиржи (ММВБ) подорожал на 1,86%. 
В лидерах роста среди компонентов индекса Индекс МосБиржи (ММВБ) по итогам сегодняшних торгов были акции Юнипро ПАО (MCX:UPRO), которые подорожали на 0,11 п. (6,16%), закрывшись на отметке в 1,90. Котировки Северсталь ПАО (MCX:CHMF) выросли на 62,80 п. (5,19%), завершив торги на уровне 1.272,60. Бумаги Новолипецкий металлургический комбинат ПАО (MCX:NLMK) выросли в цене на 4,42 п. (3,38%), закрывшись на отметке 135,24.Индекс МосБиржи (ММВБ) по итогам сегодняшних торгов были акции Юнипро ПАО (MCX: UPRO ), которые подорожали на 0,11 п. (6,16%), закрывшись на отметке в 1,90. Котировки Северсталь ПАО (MCX: CHMF ) выросли на 62,80 п. (5,19%), завершив торги на уровне 1.272,60. Бумаги Новолипецкий металлургический комбинат ПАО (MCX: NLMK ) выросли в цене на 4,42 п. (3,38%), закрывшись на отметке 135,24. 
Лидерами падения стали акции Полюс ПАО (MCX:PLZL), цена которых упала на 488,00 п. (3,31%), завершив сессию на отметке 14.258,00. Акции ЛУКОЙЛ ПАО (MCX:LKOH) поднялись на 149,00 п. (2,08%), закрывшись на уровне 7.023,00, а ФосАгро ПАО (MCX:PHOR) снизились в цене на 85,00 п. (1,53%) и завершили торги на отметке 5.475,00.PLZL ), цена которых упала на 488,00 п. (3,31%), завершив сессию на отметке 14.258,00. Акции ЛУКОЙЛ ПАО (MCX: LKOH ) поднялись на 149,00 п. (2,08%), закрывшись на уровне 7.023,00, а ФосАгро ПАО (MCX: PHOR ) снизились в цене на 85,00 п. (1,53%) и завершили торги на отметке 5.475,00. 
На Московской фондовой бирже количество подорожавших бумаг (205) превысило количество закрывшихся в минусе (45), а котировки 6 акций практически не изменились.
Индекс волатильности Индекс волатильности российского рынка, который формируется на основе показателей торговли опционами на Индекс МосБиржи (ММВБ), упал на 0,41% до отметки 36.28.Индекс волатильности российского рынка , который формируется на основе показателей торговли опционами на Индекс МосБиржи (ММВБ), упал на 0,41% до отметки 36.28. 
Фьючерс на фьючерс на золото с поставкой в декабре потерял 2,43%, или 65,50, достигнув отметки $2.629,30 за тройскую унцию. Что касается других товаров, цены на фьючерсы на нефть WTI с поставкой в декабре снизились на 3,14%, или 2,21, до $68,17 за баррель. Фьючерсы на фьючерс на нефть Brent с поставкой в январе подешевели на 2,61%, или 1,93, до отметки $71,94 за баррель.
Между тем на рынке Форекс пара USD/RUB снизилась на 2,08% до 96,00, а котировки EUR/RUB упали на 2,56%, достигнув отметки 102,31.
Фьючерс на индекс USD вырос на 0,49% до 105,40.","12.11.2024, 00:20",https://ru.investing.com/news/stock-market-news/article-2566999
Золото дешевеет в ожидании данных из США и заявлений ФРС,"© Reuters.
Investing.com — Цены на золото остаются под давлением в понедельник, поскольку инвесторы осторожничают в ожидании свежих данных из США и комментариев чиновников ФРС, пишет Reuters.Reuters. 
Спотовая цена на золото упала на 0,54% до $2,669 за унцию по состоянию на 12:06 мск. Декабрьские фьючерсы снизились на 0,71% до $2,675.Спотовая цена на золото упала на 0,54% до $2,669 за унцию по состоянию на 12:06 мск. Декабрьские фьючерсы снизились на 0,71% до $2,675. 
«Цены на золото ранее рассматривались как защита от политических рисков в США, и более быстрое, чем ожидалось, завершение выборов может послужить причиной для временного снижения наряду с укреплением доллара США», — сказал рыночный стратег IG Йип Джун Ронг.
«Цены на золото ранее рассматривались как защита от политических рисков в США, и более быстрое, чем ожидалось, завершение выборов может послужить причиной для временного снижения наряду с укреплением доллара США», — сказал рыночный стратег IG Йип Джун Ронг.
В пятницу цены на спотовое золото продемонстрировали худшую неделю за более чем пять месяцев, так как победа Дональда Трампа на президентских выборах повысила вероятность более высоких тарифов, которые могут удерживать процентные ставки на высоком уровне.
«Мы можем ожидать, что ФРС будет более осторожна в процессе смягчения, что может ограничивать рост цен на золото», — сказал Йип.
«Мы можем ожидать, что ФРС будет более осторожна в процессе смягчения, что может ограничивать рост цен на золото», — сказал Йип.
На этой неделе выступят несколько представителей ФРС, включая председателя Джерома Пауэлла.Пауэлла . 
Кроме того, на этой неделе выйдут данные по индексам потребительских и производственных цен в США, еженедельные данные по заявлениям на пособие по безработице и показатели розничных продаж.потребительских и производственных цен в США, еженедельные данные по заявлениям на пособие по безработице и показатели розничных продаж. 
По данным инструмента CME FedWatch, трейдеры видят 65%-ную вероятность еще одного снижения ставок на 25 базисных пунктов в декабре и 35% вероятность отсутствия изменений.
Также данные, опубликованные в выходные, показали, что потребительские цены в Китае, крупнейшем потребителе, в октябре росли самыми низкими темпами за четыре месяца, в то время как дефляция цен производителей усилилась, несмотря на удвоенные стимулы Пекина для поддержки экономики.
Спотовая цена на серебро упала на 0,4% до $31.17 за унцию, платина выросла на 0,3% до $971.11, а палладий прибавил 0,5% до $993.74.серебро упала на 0,4% до $31.17 за унцию, платина выросла на 0,3% до $971.11, а палладий прибавил 0,5% до $993.74.","11.11.2024, 12:10",https://ru.investing.com/news/commodities-news/article-2565914
"Рынок акций РФ закрылся ростом, Индекс МосБиржи (ММВБ) прибавил 1,65%","© Reuters. Рынок акций РФ закрылся ростом, Индекс МосБиржи (ММВБ) прибавил 1,65%
Investing.com – Фондовый рынок РФ завершил торги пятницы ростом за счет укрепления секторов телекоммуникаций, электроснабжения и нефти и газа.телекоммуникаций , электроснабжения и нефти и газа . 
На момент закрытия на Московской фондовой бирже Индекс МосБиржи (ММВБ) поднялся на 1,65%.Индекс МосБиржи (ММВБ) поднялся на 1,65%. 
В лидерах роста среди компонентов индекса Индекс МосБиржи (ММВБ) по итогам сегодняшних торгов были акции АДР Ozon Holdings PLC ORD SHS (MCX:OZONDR), которые подорожали на 243,00 п. (7,97%), закрывшись на отметке в 3.291,50. Котировки АФК СИСТЕМА ПАО (MCX:AFKS) выросли на 0,91 п. (6,67%), завершив торги на уровне 14,50. Бумаги МКПАО ВК (MCX:VKCO) выросли в цене на 17,20 п. (5,64%), закрывшись на отметке 322,00.Индекс МосБиржи (ММВБ) по итогам сегодняшних торгов были акции АДР Ozon Holdings PLC ORD SHS (MCX: OZONDR ), которые подорожали на 243,00 п. (7,97%), закрывшись на отметке в 3.291,50. Котировки АФК СИСТЕМА ПАО (MCX: AFKS ) выросли на 0,91 п. (6,67%), завершив торги на уровне 14,50. Бумаги МКПАО ВК (MCX: VKCO ) выросли в цене на 17,20 п. (5,64%), закрывшись на отметке 322,00. 
Лидерами падения стали акции Полюс ПАО (MCX:PLZL), цена которых упала на 104,00 п. (0,70%), завершив сессию на отметке 14.746,00. Акции ГДР ROS AGRO PLC ORD SHS (MCX:AGRODR) поднялись на 3,00 п. (0,25%), закрывшись на уровне 1.220,00, а ГДР Globaltrans Invest ORD SHS (MCX:GLTRDR) на 0,00 п. (0,00%) и завершили торги на отметке 519,25.PLZL ), цена которых упала на 104,00 п. (0,70%), завершив сессию на отметке 14.746,00. Акции ГДР ROS AGRO PLC ORD SHS (MCX: AGRODR ) поднялись на 3,00 п. (0,25%), закрывшись на уровне 1.220,00, а ГДР Globaltrans Invest ORD SHS (MCX: GLTRDR ) на 0,00 п. (0,00%) и завершили торги на отметке 519,25. 
На Московской фондовой бирже количество подорожавших бумаг (187) превысило количество закрывшихся в минусе (63), а котировки 6 акций практически не изменились.
Индекс волатильности Индекс волатильности российского рынка, который формируется на основе показателей торговли опционами на Индекс МосБиржи (ММВБ), вырос на 4,93% до отметки 36.00.Индекс волатильности российского рынка , который формируется на основе показателей торговли опционами на Индекс МосБиржи (ММВБ), вырос на 4,93% до отметки 36.00. 
Фьючерс на фьючерс на золото с поставкой в декабре потерял 0,53%, или 14,35, достигнув отметки $2.691,45 за тройскую унцию. Что касается других товаров, цены на фьючерсы на нефть WTI с поставкой в декабре снизились на 2,60%, или 1,88, до $70,48 за баррель. Фьючерсы на фьючерс на нефть Brent с поставкой в январе подешевели на 2,09%, или 1,58, до отметки $74,05 за баррель.
Между тем на рынке Форекс пара USD/RUB снизилась на 0,40% до 97,60, а котировки EUR/RUB упали на 1,16%, достигнув отметки 104,63.
Фьючерс на индекс USD вырос на 0,42% до 104,81.","09.11.2024, 00:20",https://ru.investing.com/news/stock-market-news/article-2565297
Золото закрывает неделю в солидном минусе,"© Reuters.
Investing.com — Цены на золото возобновили снижение в пятницу, завершая торговую неделю в минусе, поскольку трейдеры продолжают оценивать перспективы президентства Трампа и его последствий для процентных ставок в США, пишет Reuters.Reuters. 
Спотовое золото упало на 0,75% до $2 686,09 за унцию по состоянию на 11:27 мск., а с начала недели падение составило почти 2%. В среду цены достигли более чем трехнедельных минимумов после победы Трампа на президентских выборах в США, но на следующий день отскочили более чем на 1%. Декабрьские фьючерсы на золото подешевели на 0,44% до $2 694,20.Спотовое золото упало на 0,75% до $2 686,09 за унцию по состоянию на 11:27 мск., а с начала недели падение составило почти 2%. В среду цены достигли более чем трехнедельных минимумов после победы Трампа на президентских выборах в США, но на следующий день отскочили более чем на 1%. Декабрьские фьючерсы на золото подешевели на 0,44% до $2 694,20. 
Индекс доллара США демонстрирует недельный рост после победы Трампа на выборах, что оказывает давление на желтый металл.Индекс доллара США демонстрирует недельный рост после победы Трампа на выборах, что оказывает давление на желтый металл. 
«Рынок золота ждал спускового крючка для частичной ликвидации длинных позиций. Присутствует некоторая неопределенность в отношении траектории снижения ставок в США, поэтому мы и наблюдаем этот откат в золоте», — говорит Сони Кумари, стратег по сырьевым товарам в ANZ.
«Рынок золота ждал спускового крючка для частичной ликвидации длинных позиций. Присутствует некоторая неопределенность в отношении траектории снижения ставок в США, поэтому мы и наблюдаем этот откат в золоте», — говорит Сони Кумари, стратег по сырьевым товарам в ANZ.
В четверг Федрезерв США снизил процентные ставки на 25 базисных пунктов, как и ожидалось, но указал на осторожный и взвешенный подход к дальнейшему смягчению политики. Председатель ФРС Джером Пауэлл заявил, что результаты президентских выборов не окажут влияния на монетарную политику «в краткосрочной перспективе».снизил процентные ставки на 25 базисных пунктов, как и ожидалось, но указал на осторожный и взвешенный подход к дальнейшему смягчению политики. Председатель ФРС Джером Пауэлл заявил, что результаты президентских выборов не окажут влияния на монетарную политику «в краткосрочной перспективе». 
Трейдеры считают, что вероятность еще одного снижения ставки на 25 б.п. в декабре составляет 71%.
«Во время первого срока правления Трампа золото раллировало, и политика республиканца вряд ли претерпит значительные изменения», — говорит Хьюго Паскаль, трейдер по драгоценным металлам в InProved.
«Увеличение дефицита бюджета и введение тарифов — это инфляционные меры, которые должны положительно сказаться на золоте».
«Во время первого срока правления Трампа золото раллировало, и политика республиканца вряд ли претерпит значительные изменения», — говорит Хьюго Паскаль, трейдер по драгоценным металлам в InProved.
«Увеличение дефицита бюджета и введение тарифов — это инфляционные меры, которые должны положительно сказаться на золоте».
Позднее в Пекине завершится пятидневное заседание Постоянного комитета Всекитайского собрания народных представителей, за которым инвесторы внимательно следят в поисках новых подробностей о мерах стимулирования экономики.
Спотовое серебро упало на 1,39% до 31,55 доллара за унцию, платина подешевела на 0,95% до 987,75 доллара, а палладий — на 1,51% до 1009,00 доллара.серебро упало на 1,39% до 31,55 доллара за унцию, платина подешевела на 0,95% до 987,75 доллара, а палладий — на 1,51% до 1009,00 доллара.","08.11.2024, 11:36",https://ru.investing.com/news/commodities-news/article-2563698
Золото продолжает дешеветь в ожидании решения ФРС,"© Reuters.
Investing.com — В четверг цены на золото продолжают падение, достигнув почти одномесячных минимумов на фоне крепкого доллара, который подскочил в ответ на победу Трампа на выборах в США, пишет Reuters.Reuters. 
Также внимание инвесторов сосредоточено на решении ФРС по ставке, которое будет озвучено позднее сегодня.решении ФРС по ставке , которое будет озвучено позднее сегодня. 
По состоянию на 09:12 мск. спотовая цена на золото снизилась на 0,17% до $2 654,24 за унцию, после того как ранее в ходе торгов она опускалась до минимального уровня с 15 октября на уровне $2 643,77.спотовая цена на золото снизилась на 0,17% до $2 654,24 за унцию, после того как ранее в ходе торгов она опускалась до минимального уровня с 15 октября на уровне $2 643,77. 
Золото достигло рекордного максимума в $2 790,41 на прошлой неделе и с тех пор подешевело более чем на $130.
Декабрьские фьючерсы на золото в Азии доходили до минимума 11 октября на $2 650,80. На момент написания материала контракты торговались с понижением на 0,54%, у отметки $2 662,70.фьючерсы на золото в Азии доходили до минимума 11 октября на $2 650,80. На момент написания материала контракты торговались с понижением на 0,54%, у отметки $2 662,70. 
Тем временем индекс доллара США, который накануне коснулся 4-месячного максимума на 105,44, частично откатился и в четверг торгуется с понижением на 0,15%, непосредственно под отметкой 105,00.индекс доллара США, который накануне коснулся 4-месячного максимума на 105,44, частично откатился и в четверг торгуется с понижением на 0,15%, непосредственно под отметкой 105,00. 
Трамп вернулся в Белый дом с убедительной победой в среду, что вызвало вопросы о потенциальном замедлении смягчения политики ФРС, и это давит на желтый металл.
Трейдеры ожидают снижения ставки на 25 базисных пунктов по итогам сегодняшнего заседания, при этом внимание также будет направлено на заявление главы банка Пауэлла о том, как центральный банк будет действовать в будущем.
Потенциальная политика Трампа считается проинфляционной, и это может привести к замедлению снижения ставки, а это плохая новость для золота. Однако расширение дефицита бюджета США и снижение бюджетной дисциплины будут положительными факторами, сказал Кельвин Вонг, старший аналитик рынка OANDA в Азиатско-Тихоокеанском регионе.
«Я все еще считаю, что курс золота останется бычьим, поскольку люди захотят покупать его как безопасную гавань для защиты от рисков. Я по-прежнему ожидаю, что цены достигнут $3 000 в следующем году», — сказал Питер Фун, руководитель торгового отдела Wing Fung Precious Metals.
«Я все еще считаю, что курс золота останется бычьим, поскольку люди захотят покупать его как безопасную гавань для защиты от рисков. Я по-прежнему ожидаю, что цены достигнут $3 000 в следующем году», — сказал Питер Фун, руководитель торгового отдела Wing Fung Precious Metals.
Спотовая цена серебра упала на 0,4% до $31,03 за унцию, платина снизилась на 0,3% до $983,73, а палладий упал на 0,7% до $1 028,25. Все три металла торгуются с понижением во второй сессии подряд.серебра упала на 0,4% до $31,03 за унцию, платина снизилась на 0,3% до $983,73, а палладий упал на 0,7% до $1 028,25. Все три металла торгуются с понижением во второй сессии подряд.","07.11.2024, 09:26",https://ru.investing.com/news/commodities-news/article-2561295
"Рынок акций РФ закрылся ростом, Индекс МосБиржи (ММВБ) прибавил 1,79%","Рынок акций РФ закрылся ростом, Индекс МосБиржи (ММВБ) прибавил 1,79%
Investing.com – Фондовый рынок РФ завершил торги среды ростом за счет укрепления секторов нефти и газа, электроснабжения и телекоммуникаций.нефти и газа , электроснабжения и телекоммуникаций . 
На момент закрытия на Московской фондовой бирже Индекс МосБиржи (ММВБ) подорожал на 1,79%.Индекс МосБиржи (ММВБ) подорожал на 1,79%. 
В лидерах роста среди компонентов индекса Индекс МосБиржи (ММВБ) по итогам сегодняшних торгов были акции АДР Ozon Holdings PLC ORD SHS (MCX:OZONDR), которые подорожали на 162,50 п. (5,95%), закрывшись на отметке в 2.891,50. Котировки АК АЛРОСА ПАО (MCX:ALRS) выросли на 2,33 п. (4,80%), завершив торги на уровне 50,87. Бумаги Юнипро ПАО (MCX:UPRO) выросли в цене на 0,08 п. (4,76%), закрывшись на отметке 1,70.Индекс МосБиржи (ММВБ) по итогам сегодняшних торгов были акции АДР Ozon Holdings PLC ORD SHS (MCX: OZONDR ), которые подорожали на 162,50 п. (5,95%), закрывшись на отметке в 2.891,50. Котировки АК АЛРОСА ПАО (MCX: ALRS ) выросли на 2,33 п. (4,80%), завершив торги на уровне 50,87. Бумаги Юнипро ПАО (MCX: UPRO ) выросли в цене на 0,08 п. (4,76%), закрывшись на отметке 1,70. 
Лидерами падения стали акции Полюс ПАО (MCX:PLZL), цена которых упала на 513,50 п. (3,37%), завершив сессию на отметке 14.718,50. Акции ПИК-специализированный застройщик ПАО (MCX:PIKK) поднялись на 15,20 п. (3,05%), закрывшись на уровне 483,00, а ГДР Globaltrans Invest ORD SHS (MCX:GLTRDR) на 0,00 п. (0,00%) и завершили торги на отметке 519,25.PLZL ), цена которых упала на 513,50 п. (3,37%), завершив сессию на отметке 14.718,50. Акции ПИК-специализированный застройщик ПАО (MCX: PIKK ) поднялись на 15,20 п. (3,05%), закрывшись на уровне 483,00, а ГДР Globaltrans Invest ORD SHS (MCX: GLTRDR ) на 0,00 п. (0,00%) и завершили торги на отметке 519,25. 
На Московской фондовой бирже количество подорожавших бумаг (198) превысило количество закрывшихся в минусе (48), а котировки 10 акций практически не изменились.
Котировки акций ПИК-специализированный застройщик ПАО (MCX:PIKK) упали до 3-летнего минимума, снизившись на 3,05%, 15,20 п., и завершили торги на отметке 483,00.PIKK ) упали до 3-летнего минимума, снизившись на 3,05%, 15,20 п., и завершили торги на отметке 483,00. 
Индекс волатильности Индекс волатильности российского рынка, который формируется на основе показателей торговли опционами на Индекс МосБиржи (ММВБ), упал на 1,82% до отметки 37.25.Индекс волатильности российского рынка , который формируется на основе показателей торговли опционами на Индекс МосБиржи (ММВБ), упал на 1,82% до отметки 37.25. 
Фьючерс на фьючерс на золото с поставкой в декабре потерял 2,97%, или 81,65, достигнув отметки $2.668,05 за тройскую унцию. Что касается других товаров, цены на фьючерсы на нефть WTI с поставкой в декабре снизились на 0,25%, или 0,18, до $71,81 за баррель. Фьючерсы на фьючерс на нефть Brent с поставкой в январе подешевели на 0,58%, или 0,44, до отметки $75,09 за баррель.
Между тем на рынке Форекс пара USD/RUB снизилась на 0,59% до 97,22, а котировки EUR/RUB упали на 2,40%, достигнув отметки 104,33.
Фьючерс на индекс USD вырос на 1,66% до 105,04.","07.11.2024, 00:20",https://ru.investing.com/news/stock-market-news/article-2560805
Золото упало к 3-недельным минимумам на опасениях роста инфляции,"© Reuters
Investing.com — Во второй половине торгов среды золото ускорило падение, опустившись до 3-недельного минимума на фоне скачка доллара после избрания республиканца Дональда Трампа президентом США, пишет Yahoo Finance.золото ускорило падение, опустившись до 3-недельного минимума на фоне скачка доллара после избрания республиканца Дональда Трампа президентом США, Yahoo Finance. 
Переваривая итоги выборов, инвесторы также готовятся к заседанию ФРС в ожидании подсказок о темпах снижения процентных ставок. Перспектива нескольких снижений ставок послужила основой для впечатляющего ралли золота в этом году.
Спотовое золото снизилось почти на 3% до $2 663 за унцию по состоянию на 16:45 мск. В прошлый четверг цена на золото достигла рекордной отметки в $2 790. Фьючерсы упали на 2,9% до $2 670.Спотовое золото снизилось почти на 3% до $2 663 за унцию по состоянию на 16:45 мск. В прошлый четверг цена на золото достигла рекордной отметки в $2 790. Фьючерсы упали на 2,9% до $2 670. 
Доллар тем временем достиг четырехмесячного максимума в районе 105,44, поскольку трейдеры ставят на то, что перспектива повышения тарифов при Трампе может дольше удерживать процентные ставки на высоком уровне.Доллар тем временем достиг четырехмесячного максимума в районе 105,44, поскольку трейдеры ставят на то, что перспектива повышения тарифов при Трампе может дольше удерживать процентные ставки на высоком уровне. 
«Золото будет разрываться между риском роста инфляции, потенциальным замедлением темпов снижения ставок в США по мере развертывания тарифов и сохраняющимся спросом на активы-убежища», — сказал Оле Хансен, глава товарной стратегии в Saxo Bank.
«Золото будет разрываться между риском роста инфляции, потенциальным замедлением темпов снижения ставок в США по мере развертывания тарифов и сохраняющимся спросом на активы-убежища», — сказал Оле Хансен, глава товарной стратегии в Saxo Bank.
Спотовое золото подорожало на 54% во время первого срока Трампа и примерно на 50% при нынешнем президенте Джо Байдене.
«В перспективе главный вопрос для рынка золота — насколько сегодняшняя версия президента Трампа будет отличаться от той, что победила на выборах восемь лет назад», — говорит Карстен Менке, аналитик Julius Baer.
«В перспективе главный вопрос для рынка золота — насколько сегодняшняя версия президента Трампа будет отличаться от той, что победила на выборах восемь лет назад», — говорит Карстен Менке, аналитик Julius Baer.
Двухдневное заседание ФРС заканчивается в четверг, и рынки в целом ожидают, что ФРС объявит о снижении ставки на четверть пункта после сокращения на 50 базисных пунктов в сентябре.заседание ФРС заканчивается в четверг, и рынки в целом ожидают, что ФРС объявит о снижении ставки на четверть пункта после сокращения на 50 базисных пунктов в сентябре. 
«Скорее всего, FOMC все же снизит ставку в четверг, но последующие формулировки будут внимательно изучаться на предмет признаков паузы», — добавил Хансен.
«Скорее всего, FOMC все же снизит ставку в четверг, но последующие формулировки будут внимательно изучаться на предмет признаков паузы», — добавил Хансен.","06.11.2024, 16:51",https://ru.investing.com/news/commodities-news/article-2560199
Сырьевые рынки под давлением на ожиданиях сценария Трамп 2.0,"© Reuters.
Investing.com — Сырьевые товары, от нефти до металлов и зерна, упали в среду на фоне укрепления доллара, который отыгрывает победу Дональд на президентских выборах, пишет Yahoo Finance.нефти до металлов и зерна, упали в среду на фоне укрепления доллара , который отыгрывает победу Дональд на президентских выборах, Yahoo Finance. 
По данным CNN, республиканец набрал 276 голосов выборщиков. Для победы нужно 270. Демократический кандидат Камала Харрис, по данным CNN, набрала 219 голосов выборщиков.
Цены на нефть и соевые бобы упали примерно на 1,5%, а медь подешевела более чем на 2% на фоне повсеместного ралли доллара США. Цены на драгоценные металлы, включая золото, понесли более скромные потери.нефть и соевые бобы упали примерно на 1,5%, а медь подешевела более чем на 2% на фоне повсеместного ралли доллара США. Цены на драгоценные металлы, включая золото , понесли более скромные потери. 
«Это первоначальная реакция сырьевых рынков на подсчет голосов в США и первые результаты, свидетельствующие в пользу победы Трампа», — сказал агентству Reuters Оле Хансен, глава отдела товарных стратегий Saxo Bank.
«Основное внимание уделяется тому, что в случае сценария „Трамп 2.0“, то, скорее всего, мы увидим тарифы на китайские товары, что негативно скажется на металлах, поскольку Китай является крупным потребителем меди, железной руды и стали. Нефть снижается на опасениях по поводу экономического роста, поскольку тарифы не способствуют общему глобальному спросу», — сказал он.
«Это первоначальная реакция сырьевых рынков на подсчет голосов в США и первые результаты, свидетельствующие в пользу победы Трампа», — сказал агентству Reuters Оле Хансен, глава отдела товарных стратегий Saxo Bank.
«Основное внимание уделяется тому, что в случае сценария „Трамп 2.0“, то, скорее всего, мы увидим тарифы на китайские товары, что негативно скажется на металлах, поскольку Китай является крупным потребителем меди, железной руды и стали. Нефть снижается на опасениях по поводу экономического роста, поскольку тарифы не способствуют общему глобальному спросу», — сказал он.
Китайские промышленные металлы и сталелитейная промышленность могут столкнуться с негативными последствиями при Трампе, который пообещал ввести 60%-ные тарифы на китайские товары, чтобы стимулировать американское производство.
«Цены на сталь в Китае ощутят еще более мощное понижательное давление, а отечественные сталелитейные компании могут столкнуться с еще более серьезными потерями», — говорит Гэ Синь, заместитель директора Исследовательского центра стали Lange.
«Это связано с тем, что Трамп будет более агрессивен в плане мер против Китая».
«Цены на сталь в Китае ощутят еще более мощное понижательное давление, а отечественные сталелитейные компании могут столкнуться с еще более серьезными потерями», — говорит Гэ Синь, заместитель директора Исследовательского центра стали Lange.
«Это связано с тем, что Трамп будет более агрессивен в плане мер против Китая».
Мировые поставки нефти могут столкнуться с перебоями, если администрация Трампа ужесточит санкции в отношении поставок из Ирана, который экспортирует около 1,3 миллиона баррелей в день.
«Кроме того, Трамп может поддержать Израиль в ужесточении военной позиции в отношении Ирана, что в ближайшей перспективе повышает риск военной эскалации, которая может повлиять на поставки в регионе», говорит Саул Кавоник, старший аналитик по энергетике MST Marquee.
«Кроме того, Трамп может поддержать Израиль в ужесточении военной позиции в отношении Ирана, что в ближайшей перспективе повышает риск военной эскалации, которая может повлиять на поставки в регионе», говорит Саул Кавоник, старший аналитик по энергетике MST Marquee.
Что касается сельского хозяйства, то Пекин может быть вынужден ответить ответными тарифами на американские соевые бобы, если Трамп победит и введет новые тарифы на китайские товары.
Хотя Пекин сократил зависимость от импорта сои из США, эта масличная культура остается крупнейшим сельскохозяйственным экспортом США в Китай.","06.11.2024, 14:07",https://ru.investing.com/news/commodities-news/article-2559596
