Title,Text,Time,Url
Акции «Артген Биотех» упали на 4% на новости о возможной допэмиссии,"© Reuters.
Investing.com — Акции биотехнологической компании «Артген биотех» упали на 4,61% по сравнению с уровнем закрытия предыдущих торгов, до 105,02 руб. за бумагу по состоянию на 13:15 МСК. Об этом свидетельствуют данные торгов Московской биржи.«Артген биотех» упали на 4,61% по сравнению с уровнем закрытия предыдущих торгов, до 105,02 руб. за бумагу по состоянию на 13:15 МСК. Об этом свидетельствуют данные торгов Московской биржи. 
Распродажи в бумагах наблюдались на фоне сообщения компании о том, что «Артген биотех» планирует рассмотреть дополнительную эмиссию акций. Планируемый объем допэмиссии — 7,5%.
Компания «Артген биотех» проведет внеочередное общее собрание своих акционеров 7 декабря 2023 года. Дата, на которую фиксируются лица, имеющие право на участие в общем собрании акционеров — 12 ноября 2023 года.
Председатель совета директоров «Артген биотех» Артур Исаев сообщил, что компания планирует расширить портфель разработок в 2024-2026 годах. Но контрактные лицензированные производства биомедицинских препаратов для биотех стартапов в России практически отсутствуют.
«Такое „узкое место“ может существенно замедлять темпы внедрения разработок в практику. В связи с этим менеджмент компании планирует одобрить с акционерами запуск в 2024 году работ по развитию производственной части экосистемы для выпуска биомедицинских субстанций для препаратов: рекомбинантных антигенов для вакцин, геннотерапевтических препаратов, антител и других», — сообщил он.
«Такое „узкое место“ может существенно замедлять темпы внедрения разработок в практику. В связи с этим менеджмент компании планирует одобрить с акционерами запуск в 2024 году работ по развитию производственной части экосистемы для выпуска биомедицинских субстанций для препаратов: рекомбинантных антигенов для вакцин, геннотерапевтических препаратов, антител и других», — сообщил он.
Читайте нас в Telegram и «ВКонтакте».и","02.11.2023, 14:49",https://ru.investing.com/news/stock-market-news/article-2312095
Акции Genetico упали почти на 18% после трехдневного роста,"© Reuters.
Investing.com — Акции центра генетики и репродуктивной медицины Genetico утром 2 мая потеряли в цене на Московской бирже почти 18%. На 10:23 МСК их стоимость падала на 17,92%, до 31,6 рублей. Вскоре цена акций вновь начала расти. К 11:18 МСК она выросла до 36,8 рублей (-4,4%), а к 11:46 достигла 40,4 рублей (+4,9%), пишет Forbes.Forbes. 
Genetico провела IPO на Мосбирже 25 апреля. Компания привлекла 178 млн рублей при оценке рыночной стоимости почти в 1,5 млрд рублей. Компания разместила 10 млн акций (12% от капитала) по 17,88 рублей за штуку. Это было первое IPO на российском рынке с начала 2023 года.
В первый день торгов акции Genetico выросли на 40%. Медцентр отметил, что общий спрос оказался выше 439 млн рублей, книга заявок была переподписана в 2,5 раза. Все заявки были удовлетворены в объеме не менее 30%, а заявки до 100 000 рублей — полностью.
Следите за нашими новостями в социальных сетях: Telegram, «ВКонтакте» и «Одноклассниках».
Текст подготовил Тимур Алиев","02.05.2023, 14:44",https://ru.investing.com/news/stock-market-news/article-2252226
Стремительный рост Genetico на Мосбирже: новости к утру 27 апреля,"© Reuters.
Investing.com — Акции Genetico подорожали вдвое на второй день после IPO, а JPMorgan представил модель ИИ для оценки сигналов ФРС по шкале «от ястреба до голубя» — эти и другие важные новости к утру четверга, 27 апреля, в нашем ежедневном обзоре.
На открытии торгов в четверг, 27 апреля, акции центра генетики и репродуктивной медицины Genetico взлетели на 39,94%, до 35,03 руб. за акцию. По состоянию на 10:11 цена акций осталась на том же уровне — 35,03 руб. за бумагу, свидетельствуют данные торгов Московской биржи. Накануне, в первый день торгов, бумаги дочерней компании ИСКЧ также выросли на 40% от цены размещения. В течение первой торговой сессии наблюдалась верхняя «планка» — когда не было заявок на продажу. Тем не менее, в течение дня сделки проходили, и объем торгов GECO по итогам 26 апреля составил более 47 млн рублей.на 39,94%, до 35,03 руб. за акцию. По состоянию на 10:11 цена акций осталась на том же уровне — 35,03 руб. за бумагу, свидетельствуют данные торгов Московской биржи . Накануне, в первый день торгов, бумаги дочерней компании ИСКЧ также выросли на 40% от цены размещения. В течение первой торговой сессии наблюдалась верхняя «планка» — когда не было заявок на продажу. Тем не менее, в течение дня сделки проходили, и объем торгов GECO по итогам 26 апреля составил более 47 млн рублей. 
Один из крупнейших банков мира JPMorgan Chase представил модель искусственного интеллекта на основе ChatGPT, которая сможет расшифровывать сигналы в заявлениях центробанка США — Федеральной резервной системы (ФРС), передает Bloomberg. Эти сигналы ИИ будет оценивать по шкале, которую JPMorgan называет «оценкой ястреба-голубя». Экономисты банка во главе с Джозефом Лаптоном взяли за основу для работы ИИ заявления ФРС и выступления ее глав за 25 лет. Они обнаружили, что ИИ может быть полезен для потенциального прогнозирования изменений в политике ФРС.JPMorgan Chase представил модель искусственного интеллекта на основе ChatGPT, которая сможет расшифровывать сигналы в заявлениях центробанка США — Федеральной резервной системы (ФРС), Bloomberg. Эти сигналы ИИ будет оценивать по шкале, которую JPMorgan называет «оценкой ястреба-голубя». Экономисты банка во главе с Джозефом Лаптоном взяли за основу для работы ИИ заявления ФРС и выступления ее глав за 25 лет. Они обнаружили, что ИИ может быть полезен для потенциального прогнозирования изменений в политике ФРС. 
Компания Meta Platforms* сообщила о первом увеличении продаж почти за год — выручка компании составила $28,6 млрд, что на 3% больше, чем годом ранее. Этот рост прервал череду из трех кварталов, в течение которых выручка Meta снижалась по сравнению с предыдущим годом, такое длительное снижение наблюдалось впервые с тех пор, как компания стала публичной в 2012 году, пишет The Wall Street.Meta Platforms* сообщила о первом увеличении продаж почти за год — выручка компании составила $28,6 млрд, что на 3% больше, чем годом ранее. Этот рост прервал череду из трех кварталов, в течение которых выручка Meta снижалась по сравнению с предыдущим годом, такое длительное снижение наблюдалось впервые с тех пор, как компания стала публичной в 2012 году, The Wall Street. 
Президент Турции Реджеп Тайип Эрдоган снова отказался от запланированных на 27 апреля предвыборных выступлений, передает Bloomberg. Мероприятия выборной кампании с участием Эрдогана были отменены и в среду, 26 апреля. 25 апреля Эрдогану стало плохо во время интервью в прямом эфире, сам президент Турции сказал, что заболел желудочным гриппом.Bloomberg. Мероприятия выборной кампании с участием Эрдогана были отменены и в среду, 26 апреля. 25 апреля Эрдогану стало плохо во время интервью в прямом эфире, сам президент Турции сказал, что заболел желудочным гриппом. 
Фонд Morgan Stanley Real Estate Fund VII, которым управляет американский инвестбанк Morgan Stanley, планирует продать 50% ТРЦ «Галерея» на Лиговском проспекте в Санкт-Петербурге. Об этом «Ведомостям» рассказали три консультанта, работавшие с фондом. Покупкой доли заинтересована «ТПС недвижимость», но никаких обязывающих соглашений пока подписано не было, отметили собеседники газеты.Morgan Stanley Morgan Stanley Real Estate Fund VII, которым управляет американский инвестбанк Morgan Stanley , планирует продать 50% ТРЦ «Галерея» на Лиговском проспекте в Санкт-Петербурге. Об этом «Ведомостям» три консультанта, работавшие с фондом. Покупкой доли заинтересована «ТПС недвижимость», но никаких обязывающих соглашений пока подписано не было, отметили собеседники газеты. 
*Компания Meta признана в России террористической организацией и запрещена
Следите за нашими новостями в социальных сетях: Telegram, «ВКонтакте» и «Одноклассниках».
Текст подготовил Тимур Алиев","27.04.2023, 10:56",https://ru.investing.com/news/economy/article-2251082
Крах First Republic Bank: новости к утру 26 апреля,"Investing.com — Акции First Republic упали в цене более чем на 49% и достигли рекордно низкого уровня, а совет директоров Alphabet (NASDAQ:GOOGL) разрешил обратный выкуп акций на $70 млрд — эти и другие важные новости к утру среды, 26 апреля, в нашем ежедневном обзоре.GOOGL ) разрешил обратный выкуп акций на $70 млрд — эти и другие важные новости к утру среды, 26 апреля, в нашем ежедневном обзоре. 
Акции банка First Republic во вторник, 25 апреля, обвалились на 49,38%. К закрытию биржевых торгов в США они стоили $8,1 за бумагу. Это самый низкий уровень закрытия за всю историю торгов, передает CNBC. Падение началось после того, как First Republic Bank в отчетности за первый квартал сообщил, что его клиенты забрали депозиты на сумму более $100 млрд. Согласно отчету, объем депозитов First Republic упал более чем на 40%, до $104,5 млрд в конце первого квартала.First Republic во вторник, 25 апреля, обвалились на 49,38%. К закрытию биржевых торгов в США они стоили $8,1 за бумагу. Это самый низкий уровень закрытия за всю историю торгов, CNBC. Падение началось после того, как First Republic Bank First Republic Bank в отчетности за первый квартал сообщил, что его клиенты забрали депозиты на сумму более $100 млрд. Согласно отчету, объем депозитов First Republic упал более чем на 40%, до $104,5 млрд в конце первого квартала. 
Родительская компания Google — Alphabet — заявила во вторник, 25 апреля, что совет директоров санкционировал ей обратный выкуп акций на сумму до $70 млрд, передает CNBC. О намерениях выкупить акции компания объявила в апреле прошлого года. В 2022 году она выкупила акций больше, чем какая-либо другая компания, кроме Apple.Alphabet — заявила во вторник, 25 апреля, что совет директоров санкционировал ей обратный выкуп акций на сумму до $70 млрд, CNBC. О намерениях выкупить акции компания объявила в апреле прошлого года. В 2022 году она выкупила акций больше, чем какая-либо другая компания, кроме Apple . 
Apple планирует в 2024 году запустить новый сервис здорового образа жизни (ЗОЖ) на базе искусственного интеллекта (ИИ) и новой технологии отслеживания эмоций, сообщает Bloomberg со ссылкой на собеседников, знакомых с проектом. Служба обучения ЗОЖ под кодовым названием Quartz предназначается для мотивации пользователей к занятиям спортом, улучшению привычек в еде и повышению качества сна, рассказали источники агентства.Bloomberg со ссылкой на собеседников, знакомых с проектом. Служба обучения ЗОЖ под кодовым названием Quartz предназначается для мотивации пользователей к занятиям спортом, улучшению привычек в еде и повышению качества сна, рассказали источники агентства. 
Котировки Центра генетики и репродуктивной медицины Genetico на открытии торгов на Мосбирже взлетели на 40%, до 25,032 руб. Днем ранее дочерняя компания ИСКЧ (MCX:ISKJ) провела IPO, спрос на акции в 2,5 раза превысил предложение. По состоянию на 10:18 МСК цена акций осталась прежней — 25,032 руб. за бумагу.Мосбирже взлетели на 40%, до 25,032 руб. Днем ранее дочерняя компания ИСКЧ (MCX: ISKJ ) IPO, спрос на акции в 2,5 раза превысил предложение. По состоянию на 10:18 МСК цена акций осталась прежней — 25,032 руб. за бумагу. 
Цены на нефть ускорили падение, обратил внимание MarketWatch. На 18:55 МСК июньские фьючерсы на нефть марки Brent торговались по $80,64, упав на 2,5%. К 19:14 МСК они отыграли падение и выросли до $81,04. Нефть марки WTI с поставками в июне в 18:55 МСК стоила $76,96, потеряв в стоимости 2,28%, в 19:14 ее цена поднялась до $77,18.внимание MarketWatch. На 18:55 МСК июньские фьючерсы на нефть марки Brent торговались по $80,64, упав на 2,5%. К 19:14 МСК они отыграли падение и выросли до $81,04. Нефть марки WTI с поставками в июне в 18:55 МСК стоила $76,96, потеряв в стоимости 2,28%, в 19:14 ее цена поднялась до $77,18. 
Следите за нашими новостями в социальных сетях: Telegram, «ВКонтакте» и «Одноклассниках».
Текст подготовил Тимур Алиев","26.04.2023, 10:42",https://ru.investing.com/news/economy/article-2250638
Компания Genetico провела IPO на Московской бирже,"© Reuters.
Investing.com — Центр генетики и репродуктивной медицины Genetico, дочерняя компания Института стволовых клеток человека (ИСКЧ), привлек 178,8 млн рублей в рамках первичного размещения акций на Московской бирже, пишет Прайм со ссылкой на сообщение компании.Института стволовых клеток человека (ИСКЧ) , привлек 178,8 млн рублей в рамках первичного размещения акций на Московской бирже, Прайм со ссылкой на сообщение компании. 
«Genetico провела IPO на Московской бирже и разместила акции в полном объеме», — следует из сообщения.
«Genetico провела IPO на Московской бирже и разместила акции в полном объеме», — следует из сообщения.
Уточняется, что компания разместила 10 миллионов акций по цене 17,88 рубля за бумагу, а ее рыночная капитализация на день размещения составила 1,48 млрд рублей.
При этом книга заявок была переподписана в два с половиной раза, общий спрос оказался выше — 439 млн рублей. И с целью удовлетворения максимального объема все заявки были удовлетворены в объеме не менее 30%, а заявки до 100 000 рублей — полностью.
Следите за нашими новостями в социальных сетях: Telegram, «ВКонтакте» и «Одноклассниках».
Текст подготовил Тимур Алиев","25.04.2023, 17:58",https://ru.investing.com/news/stock-market-news/article-2250466
Московская биржа начнет торги фьючерсами и опционами на акции ИСКЧ,"© Reuters.
Investing.com — 18 апреля 2023 года Московская биржа начинает торги поставочными фьючерсами и расчетными премиальными опционами на акции Института стволовых клеток человека (ИСКЧ). Об этом сообщается на сайте биржи.Московская биржа начинает торги поставочными фьючерсами и расчетными премиальными опционами на акции Института стволовых клеток человека (ИСКЧ) . Об этом на сайте биржи. 
«Фьючерсы и опционы на акции расширят инвестиционные стратегии частных и институциональных инвесторов, а также предоставят дополнительные возможности по хеджированию портфелей ценных бумаг», — отметила торговая площадка в пресс-релизе.
«Фьючерсы и опционы на акции расширят инвестиционные стратегии частных и институциональных инвесторов, а также предоставят дополнительные возможности по хеджированию портфелей ценных бумаг», — отметила торговая площадка в пресс-релизе.
К торгам будут допущены серии фьючерсов с исполнением в июне и сентябре этого года, а также две недельные и две месячные серии опционов.
Один лот поставочных фьючерсных контрактов будет равен десяти обыкновенным акциям биотехнологической компании. Стоимость шага и минимальный ценовой шаг — 1 руб. Один лот премиальных опционов будет равняться одной акции ИСКЧ с минимальным ценовым шагом в 0,01 руб. Новые деривативы будут торговаться под тикером ISKJ.
Следите за нашими новостями в социальных сетях: Telegram, «ВКонтакте» и «Одноклассниках».
Текст подготовил Тимур Алиев","17.04.2023, 14:30",https://ru.investing.com/news/stock-market-news/article-2248722
Запрет ЦБ на покупку акций «недружественных» стран: новости к утру 24 марта,"© Reuters.
Investing.com — ЦБ на полгода продлил запрет на покупку новичками «недружественных» бумаг, а Bloomberg узнал о запросах Минюста США к Credit Suisse и UBS из-за клиентов из России — эти и другие важные новости к утру среды, 22 марта, в нашем ежедневном обзоре.Credit Suisse Credit Suisse и UBS из-за клиентов из России — эти и другие важные новости к утру среды, 22 марта, в нашем ежедневном обзоре. 
Банк России продлил до 1 октября 2023 года запрет покупать бумаги эмитентов из недружественных стран, который ранее был введен для неквалифицированных инвесторов, сообщается на сайте регулятора. С 1 октября вступит ранее опубликованное указание, которое окончательно закрепит это ограничение. В список доступных только квалифицированным инвесторам входят: ценные бумаги недружественных эмитентов; ценные бумаги, хранение которых или выплата дохода по которым осуществляется через инфраструктуру недружественных государств; поставочные деривативы, базисным активом которых являются такие бумаги.на сайте регулятора. С 1 октября вступит ранее опубликованное указание, которое окончательно закрепит это ограничение. В список доступных только квалифицированным инвесторам входят: ценные бумаги недружественных эмитентов; ценные бумаги, хранение которых или выплата дохода по которым осуществляется через инфраструктуру недружественных государств; поставочные деривативы, базисным активом которых являются такие бумаги. 
Швейцарские Credit Suisse и UBS стали фигурантами расследования Минюста США о предполагаемой помощи российским бизнесменам в обходе санкций. Они получили запросы Минюста по этому поводу еще до начала кризиса в Credit Suisse, который привел к плану покупки его конкурирующим UBS, рассказали Bloomberg осведомленные источники. Два собеседники сообщили, что запросы также получили сотрудники некоторых крупных банков США.Credit Suisse и UBS стали фигурантами расследования Минюста США о предполагаемой помощи российским бизнесменам в обходе санкций. Они получили запросы Минюста по этому поводу еще до начала кризиса в Credit Suisse, который привел к плану покупки его конкурирующим UBS, Bloomberg осведомленные источники. Два собеседники сообщили, что запросы также получили сотрудники некоторых крупных банков США. 
Основатель финтеха Block Inc (NYSE:SQ) (ранее Square) и соучредитель соцсети Twitter Джек Дорси после выхода расследования Hindenburg Research за один день лишился $526 млн, или 11% от своего состояния. Сейчас оно оценивается примерно в $4,4 млрд, подсчитал Bloomberg. Дорси вложил большую часть своих денег в Block. Доля бизнесмена в финтехе, по данным Bloomberg, оценивается в $3 млрд. Для сравнения, пакет Дорси в Twitter (NYSE:TWTR) стоит $388 млн. Между тем по итогам торгов в четверг, 23 марта, акции Block рухнули на 14,8%, до $61,57 за штуку. В ходе самой сессии падение в моменте достигало 22%.SQ ) (ранее Square) и соучредитель соцсети Twitter Джек Дорси после выхода расследования Hindenburg Research за один день лишился $526 млн, или 11% от своего состояния. Сейчас оно оценивается примерно в $4,4 млрд, Bloomberg. Дорси вложил большую часть своих денег в Block. Доля бизнесмена в финтехе, по данным Bloomberg, оценивается в $3 млрд. Для сравнения, пакет Дорси в Twitter (NYSE: TWTR ) стоит $388 млн. Между тем по итогам торгов в четверг, 23 марта, акции Block рухнули на 14,8%, до $61,57 за штуку. В ходе самой сессии падение в моменте достигало 22%. 
Apple Inc (NASDAQ:AAPL) планирует уже с текущего года начать тратить по $1 млрд ежегодно на производство фильмов, которые будут показывать в кинотеатрах. Об этом сообщает Bloomberg со ссылкой на осведомленные источники. По их словам, Apple обратилась к киностудиям с предложением о сотрудничестве для выпуска нескольких фильмов в 2023 году и еще нескольких фильмов в будущем.AAPL ) планирует уже с текущего года начать тратить по $1 млрд ежегодно на производство фильмов, которые будут показывать в кинотеатрах. Об этом Bloomberg со ссылкой на осведомленные источники. По их словам, Apple обратилась к киностудиям с предложением о сотрудничестве для выпуска нескольких фильмов в 2023 году и еще нескольких фильмов в будущем. 
Институт Стволовых Клеток Человека (MCX:ISKJ) (ИСКЧ) планирует провести IPO своей «дочки» — компании Genetico — в 2023 году. Об этом заявил председатель совета директоров и основной акционер ИСКЧ Артур Исаев на вебинаре, организованном SberCIB, пишет Forbes. По словам Исаева, «режим готовности к сделке — 95-99%».ISKJ ) (ИСКЧ) планирует провести IPO своей «дочки» — компании Genetico — в 2023 году. Об этом заявил председатель совета директоров и основной акционер ИСКЧ Артур Исаев на вебинаре, организованном SberCIB, Forbes. По словам Исаева, «режим готовности к сделке — 95-99%». 
Следите за нашими новостями в социальных сетях: Telegram, «ВКонтакте» и «Одноклассниках».
Текст подготовил Тимур Алиев","24.03.2023, 10:28",https://ru.investing.com/news/economy/article-2243675
"Сегодня ожидаются выплаты купонных доходов по 12 выпускам облигаций на общую сумму 1,34 млрд руб.","Сегодня ожидаются выплаты купонных доходов по 12 выпускам облигаций на общую сумму 1,34 млрд руб.






Эмитент
Выпуск
Размер выплат, всего
Размер выплат на облигацию




""Россети (MCX:RSTI) Ленэнерго (MCX:LSNG)"", ПАОRSTI ) Ленэнерго (MCX: LSNG )"", ПАО 
4B02-05-00073-A
113,69 млн RUB
47,37 RUB

Министерство финансов Нижегородской области
RU35011NJG0
63,89 млн RUB
6,39 RUB

""Российские Железные Дороги"", ОАО
4B02-15-65045-D-001P
329,1 млн RUB
21,94 RUB

""Сбербанк (MCX:SBER) России"", ПАОSBER ) России"", ПАО 
4B0210001481B001P
31,6 млн RUB
47,86 RUB

""Белуга Групп"", ПАО
4B02-02-55052-E-001P
174,27 млн RUB
35,53 RUB

""Мобильные ТелеСистемы (MCX:MTSS)"", ПАОMTSS )"", ПАО 
4B02-11-04715-A-001P
197 млн RUB
19,7 RUB

""Круиз"", ООО
4B02-04-00337-R-001P
575,3 тыс. RUB
115,07 RUB

""Вторая генерирующая компания оптового рынка электроэнергии"", ПАО
4B02-01-65105-D-002P
143,35 млн RUB
28,67 RUB

""Институт Стволовых Клеток Человека (MCX:ISKJ)"", ПАОISKJ )"", ПАО 
4B02-01-08902-A
8,04 млн RUB
26,8 RUB

Акционерный коммерческий банк ""Металлургический Инвестиционный Банк"", ПАО
4B02-03-02440-B-001P
3,12 млн RUB
18,9 RUB

""Микрофинансовая компания ""Лайм-Займ"", ООО
4B02-01-00533-R-001P
8,22 млн RUB
16,44 RUB

Группа Компаний ""Сегежа"", ПАО
4B02-07-87154-H-002P
270 млн RUB
27 RUB


Это автоматическое сообщение.","11.01.2023, 08:30",https://ru.investing.com/news/economy/article-2214561
"В среду, 11 января, ожидаются выплаты купонных доходов по 12 выпускам облигаций на общую сумму 1,34 млрд руб.","В среду, 11 января, ожидаются выплаты купонных доходов по 12 выпускам облигаций на общую сумму 1,34 млрд руб.






Эмитент
Выпуск
Размер выплат, всего
Размер выплат на облигацию




Министерство финансов Нижегородской области
RU35011NJG0
63,89 млн RUB
6,39 RUB


""Круиз"", ООО
4B02-04-00337-R-001P
575,3 тыс. RUB
115,07 RUB


""Вторая генерирующая компания оптового рынка электроэнергии"", ПАО
4B02-01-65105-D-002P
143,35 млн RUB
28,67 RUB


Акционерный коммерческий банк ""Металлургический Инвестиционный Банк"", ПАО
4B02-03-02440-B-001P
3,12 млн RUB
18,9 RUB


""Сбербанк (MCX:SBER) России"", ПАОSBER ) России"", ПАО 
4B0210001481B001P
31,6 млн RUB
47,86 RUB


""Белуга Групп"", ПАО
4B02-02-55052-E-001P
174,27 млн RUB
35,53 RUB


""Институт Стволовых Клеток Человека (MCX:ISKJ)"", ПАОISKJ )"", ПАО 
4B02-01-08902-A
8,04 млн RUB
26,8 RUB


Группа Компаний ""Сегежа"", ПАО
4B02-07-87154-H-002P
270 млн RUB
27 RUB


""Мобильные ТелеСистемы (MCX:MTSS)"", ПАОMTSS )"", ПАО 
4B02-11-04715-A-001P
197 млн RUB
19,7 RUB


""Российские Железные Дороги"", ОАО
4B02-15-65045-D-001P
329,1 млн RUB
21,94 RUB


""Россети (MCX:RSTI) Ленэнерго (MCX:LSNG)"", ПАОRSTI ) Ленэнерго (MCX: LSNG )"", ПАО 
4B02-05-00073-A
113,69 млн RUB
47,37 RUB


""Микрофинансовая компания ""Лайм-Займ"", ООО
4B02-01-00533-R-001P
8,22 млн RUB
16,44 RUB



Это автоматическое сообщение.","10.01.2023, 15:30",https://ru.investing.com/news/economy/article-2214377
"Сегодня ожидаются выплаты купонных доходов по 23 выпускам облигаций на общую сумму 45,07 млрд руб.","Сегодня ожидаются выплаты купонных доходов по 23 выпускам облигаций на общую сумму 45,07 млрд руб.






Эмитент
Выпуск
Размер выплат, всего
Размер выплат на облигацию




""Федеральная Сетевая Компания Единой Энергетической Системы"", ПАО
4-21-65018-D
369 млн RUB
36,9 RUB

Министерство финансов Российской Федерации
29008RMFS
11,41 млрд RUB
59,94 RUB

Министерство финансов Нижегородской области
RU35011NJG0
127,77 млн RUB
12,78 RUB

""Юнилайн Капитал Менеджмент"", ООО
4CDE-01-00401-R-001P
245 тыс. RUB
0,49 RUB

Министерство финансов Российской Федерации
26226RMFS
13,87 млрд RUB
39,64 RUB

""Сбербанк (MCX:SBER) России"", ПАОSBER ) России"", ПАО 
4B026901481B001P
20,76 млн RUB
47,6 RUB

""Сбербанк России"", ПАО
4B027401481B001P
12,18 млн RUB
25,72 RUB

""Российские Железные Дороги"", ОАО
4B02-15-65045-D-001P
329,1 млн RUB
21,94 RUB

""Мобильные ТелеСистемы (MCX:MTSS)"", ПАОMTSS )"", ПАО 
4B02-11-04715-A-001P
197 млн RUB
19,7 RUB

""ПИК (MCX:PIKK) - Корпорация"", ОООPIKK ) - Корпорация"", ООО 
4B02-01-00464-R-001P
69,63 млн RUB
46,42 RUB

Министерство финансов Российской Федерации
26232RMFS
13,46 млрд RUB
29,92 RUB

""Онлайн Микрофинанс"", ООО
4-01-00459-R
5,14 млн RUB
10,27 RUB

""Группа ""Продовольствие"", ООО
4B02-01-00013-L
747,6 тыс. RUB
10,68 RUB

""Банк ВТБ (MCX:VTBR)"", ПАОVTBR )"", ПАО 
4-01-01000-B-002P
2,65 млрд RUB
378958,9 RUB

""Банк ВТБ"", ПАО
4-02-01000-B-002P
2,21 млрд RUB
1106959 RUB

""Ростелеком (MCX:RTKM)"", ПАОRTKM )"", ПАО 
4B02-05-00124-A-002P
314,1 млн RUB
31,41 RUB

""Лизинг-Трейд"", ООО
4B02-02-00506-R-001P
4,44 млн RUB
8,88 RUB

""Банк ВТБ"", ПАО
4B02-186-01000-B-001P
9,6 тыс. RUB
0,05 RUB

""Банк ВТБ"", ПАО
4B02-187-01000-B-001P
6,4 тыс. RUB
0,05 RUB

""Глобал Факторинг Нетворк Рус"", ООО
4CDE-01-00381-R-002P
513,5 тыс. RUB
10,27 RUB

""Институт Стволовых Клеток Человека (MCX:ISKJ)"", ПАОISKJ )"", ПАО 
4B02-01-08902-A
8,04 млн RUB
26,8 RUB

""Система ГрузоВИГ"", ООО
4CDE-03-00018-L
2,22 млн RUB
12,33 RUB

""МСБ-Лизинг"", ООО
4B02-06-24004-R-001P
1,99 млн RUB
11,92 RUB


Это автоматическое сообщение.","12.10.2022, 08:30",https://ru.investing.com/news/economy/article-2189414
