Title,Text,Time,Url
"Рынок акций РФ закрылся падением, Индекс МосБиржи (ММВБ) снизился на 0,43%","Рынок акций РФ закрылся падением, Индекс МосБиржи (ММВБ) снизился на 0,43%
Investing.com – Фондовый рынок РФ завершил торги вторника падением на фоне негативной динамики со стороны секторов горнодобывающей промышленности, телекоммуникаций и нефти и газа.горнодобывающей промышленности , телекоммуникаций и нефти и газа . 
На момент закрытия на Московской фондовой бирже Индекс МосБиржи (ММВБ) упал на 0,43%.Индекс МосБиржи (ММВБ) упал на 0,43%. 
В лидерах роста среди компонентов индекса Индекс МосБиржи (ММВБ) по итогам сегодняшних торгов были акции Газпром ПАО (MCX:GAZP), которые подорожали на 1,95 п. (1,63%), закрывшись на отметке в 121,70. Котировки ФосАгро ПАО (MCX:PHOR) выросли на 94,00 п. (1,49%), завершив торги на уровне 6.391,00. Бумаги АК АЛРОСА ПАО (MCX:ALRS) выросли в цене на 0,67 п. (1,28%), закрывшись на отметке 52,97.Индекс МосБиржи (ММВБ) по итогам сегодняшних торгов были акции Газпром ПАО (MCX: GAZP ), которые подорожали на 1,95 п. (1,63%), закрывшись на отметке в 121,70. Котировки ФосАгро ПАО (MCX: PHOR ) выросли на 94,00 п. (1,49%), завершив торги на уровне 6.391,00. Бумаги АК АЛРОСА ПАО (MCX: ALRS ) выросли в цене на 0,67 п. (1,28%), закрывшись на отметке 52,97. 
Лидерами падения стали акции МОСКОВСКИЙ КРЕДИТНЫЙ БАНК ПАО (MCX:CBOM), цена которых упала на 0,78 п. (7,61%), завершив сессию на отметке 9,47. Акции ПИК-специализированный застройщик ПАО (MCX:PIKK) поднялись на 27,20 п. (5,77%), закрывшись на уровне 444,10, а ОК РУСАЛ МКПАО (MCX:RUAL) снизились в цене на 1,68 п. (4,99%) и завершили торги на отметке 32,02.CBOM ), цена которых упала на 0,78 п. (7,61%), завершив сессию на отметке 9,47. Акции ПИК-специализированный застройщик ПАО (MCX: PIKK ) поднялись на 27,20 п. (5,77%), закрывшись на уровне 444,10, а ОК РУСАЛ МКПАО (MCX: RUAL ) снизились в цене на 1,68 п. (4,99%) и завершили торги на отметке 32,02. 
На Московской фондовой бирже количество подешевевших бумаг (174) превысило количество закрывшихся в плюсе (67), а котировки 12 акций практически не изменились.
Индекс волатильности Индекс волатильности российского рынка, который формируется на основе показателей торговли опционами на Индекс МосБиржи (ММВБ), вырос на 0,89% до отметки 43.06.Индекс волатильности российского рынка , который формируется на основе показателей торговли опционами на Индекс МосБиржи (ММВБ), вырос на 0,89% до отметки 43.06. 
Фьючерс на фьючерс на золото с поставкой в феврале прибавил 0,20%, или 5,30, достигнув отметки $2.633,50 за тройскую унцию. Что касается других товаров, цены на фьючерсы на нефть WTI с поставкой в феврале выросли на 1,33%, или 0,92, до $70,16 за баррель. Фьючерсы на фьючерс на нефть Brent с поставкой в марте подорожали на 1,24%, или 0,90, до отметки $73,22 за баррель.
Между тем на рынке Форекс пара USD/RUB снизилась на 1,21% до 100,00, а котировки EUR/RUB упали на 1,26%, достигнув отметки 103,99.
Фьючерс на индекс USD вырос на 0,18% до 108,00.","25.12.2024, 00:20",https://ru.investing.com/news/stock-market-news/article-2608910
"Рынок акций РФ закрылся падением, Индекс МосБиржи (ММВБ) снизился на 0,32%","© Reuters. Рынок акций РФ закрылся падением, Индекс МосБиржи (ММВБ) снизился на 0,32%
Investing.com – Фондовый рынок РФ завершил торги пятницы падением на фоне негативной динамики со стороны секторов горнодобывающей промышленности, производства и нефти и газа.горнодобывающей промышленности , производства и нефти и газа . 
На момент закрытия на Московской фондовой бирже Индекс МосБиржи (ММВБ) снизился на 0,32%.Индекс МосБиржи (ММВБ) снизился на 0,32%. 
В лидерах роста среди компонентов индекса Индекс МосБиржи (ММВБ) по итогам сегодняшних торгов были акции ФосАгро ПАО (MCX:PHOR), которые подорожали на 158,00 п. (2,88%), закрывшись на отметке в 5.635,00. Котировки Татнефть им. В.Д. Шашина ПАО (MCX:TATN) выросли на 13,80 п. (2,47%), завершив торги на уровне 571,60. Бумаги МОСКОВСКИЙ КРЕДИТНЫЙ БАНК ПАО (MCX:CBOM) выросли в цене на 0,18 п. (2,24%), закрывшись на отметке 8,00.Индекс МосБиржи (ММВБ) по итогам сегодняшних торгов были акции ФосАгро ПАО (MCX: PHOR ), которые подорожали на 158,00 п. (2,88%), закрывшись на отметке в 5.635,00. Котировки Татнефть им. В.Д. Шашина ПАО (MCX: TATN ) выросли на 13,80 п. (2,47%), завершив торги на уровне 571,60. Бумаги МОСКОВСКИЙ КРЕДИТНЫЙ БАНК ПАО (MCX: CBOM ) выросли в цене на 0,18 п. (2,24%), закрывшись на отметке 8,00. 
Лидерами падения стали акции Полюс ПАО (MCX:PLZL), цена которых упала на 1.082,50 п. (7,33%), завершив сессию на отметке 13.687,50. Акции АК АЛРОСА ПАО (MCX:ALRS) поднялись на 0,95 п. (1,99%), закрывшись на уровне 46,78, а Юнипро ПАО (MCX:UPRO) снизились в цене на 0,02 п. (1,27%) и завершили торги на отметке 1,64.PLZL ), цена которых упала на 1.082,50 п. (7,33%), завершив сессию на отметке 13.687,50. Акции АК АЛРОСА ПАО (MCX: ALRS ) поднялись на 0,95 п. (1,99%), закрывшись на уровне 46,78, а Юнипро ПАО (MCX: UPRO ) снизились в цене на 0,02 п. (1,27%) и завершили торги на отметке 1,64. 
На Московской фондовой бирже количество подешевевших бумаг (160) превысило количество закрывшихся в плюсе (78), а котировки 12 акций практически не изменились.
Индекс волатильности Индекс волатильности российского рынка, который формируется на основе показателей торговли опционами на Индекс МосБиржи (ММВБ), упал на 6,32% до отметки 43.26.Индекс волатильности российского рынка , который формируется на основе показателей торговли опционами на Индекс МосБиржи (ММВБ), упал на 6,32% до отметки 43.26. 
Фьючерс на фьючерс на золото с поставкой в феврале потерял 1,55%, или 42,09, достигнув отметки $2.667,31 за тройскую унцию. Что касается других товаров, цены на фьючерсы на нефть WTI с поставкой в январе выросли на 1,51%, или 1,06, до $71,08 за баррель. Фьючерсы на фьючерс на нефть Brent с поставкой в феврале подорожали на 1,25%, или 0,92, до отметки $74,33 за баррель.
Между тем на рынке Форекс пара USD/RUB снизилась на 0,46% до 104,50, а котировки EUR/RUB упали на 0,14%, достигнув отметки 109,75.
Фьючерс на индекс USD опустился на 0,02% до 106,63.","14.12.2024, 00:20",https://ru.investing.com/news/stock-market-news/article-2600928
"Рынок акций РФ закрылся ростом, Индекс МосБиржи (ММВБ) прибавил 1,05%","© Reuters. Рынок акций РФ закрылся ростом, Индекс МосБиржи (ММВБ) прибавил 1,05%
Investing.com – Фондовый рынок РФ завершил торги пятницы ростом за счет укрепления секторов телекоммуникаций, нефти и газа и электроснабжения.телекоммуникаций , нефти и газа и электроснабжения . 
На момент закрытия на Московской фондовой бирже Индекс МосБиржи (ММВБ) поднялся на 1,05%.Индекс МосБиржи (ММВБ) поднялся на 1,05%. 
В лидерах роста среди компонентов индекса Индекс МосБиржи (ММВБ) по итогам сегодняшних торгов были акции АК АЛРОСА ПАО (MCX:ALRS), которые подорожали на 1,35 п. (2,81%), закрывшись на отметке в 49,42. Котировки Транснефть ПАО (прив.) (MCX:TRNF_p) выросли на 22,00 п. (2,28%), завершив торги на уровне 964,00. Бумаги АДР Ozon Holdings PLC ORD SHS (MCX:OZONDR) выросли в цене на 63,00 п. (2,24%), закрывшись на отметке 2.878,00.Индекс МосБиржи (ММВБ) по итогам сегодняшних торгов были акции АК АЛРОСА ПАО (MCX: ALRS ), которые подорожали на 1,35 п. (2,81%), закрывшись на отметке в 49,42. Котировки Транснефть ПАО (прив.) (MCX: TRNF_p ) выросли на 22,00 п. (2,28%), завершив торги на уровне 964,00. Бумаги АДР Ozon Holdings PLC ORD SHS (MCX: OZONDR ) выросли в цене на 63,00 п. (2,24%), закрывшись на отметке 2.878,00. 
Лидерами падения стали акции ОК РУСАЛ МКПАО (MCX:RUAL), цена которых упала на 1,04 п. (3,08%), завершив сессию на отметке 32,93. Акции Сургутнефтегаз ПАО (прив.) (MCX:SNGS_p) поднялись на 1,42 п. (2,53%), закрывшись на уровне 54,61, а Московская Биржа ПАО (MCX:MOEX) снизились в цене на 2,98 п. (1,64%) и завершили торги на отметке 178,20.RUAL ), цена которых упала на 1,04 п. (3,08%), завершив сессию на отметке 32,93. Акции Сургутнефтегаз ПАО (прив.) (MCX: SNGS_p ) поднялись на 1,42 п. (2,53%), закрывшись на уровне 54,61, а Московская Биржа ПАО (MCX: MOEX ) снизились в цене на 2,98 п. (1,64%) и завершили торги на отметке 178,20. 
На Московской фондовой бирже количество подорожавших бумаг (133) превысило количество закрывшихся в минусе (105), а котировки 15 акций практически не изменились.
Котировки акций Московская Биржа ПАО (MCX:MOEX) упали до 52-недельного минимума, упав на 1,64%, 2,98 п., и завершили торги на отметке 178,20.MOEX ) упали до 52-недельного минимума, упав на 1,64%, 2,98 п., и завершили торги на отметке 178,20. 
Индекс волатильности Индекс волатильности российского рынка, который формируется на основе показателей торговли опционами на Индекс МосБиржи (ММВБ), упал на 1,85% до отметки 44.61.Индекс волатильности российского рынка , который формируется на основе показателей торговли опционами на Индекс МосБиржи (ММВБ), упал на 1,85% до отметки 44.61. 
Фьючерс на фьючерс на золото с поставкой в феврале прибавил 0,20%, или 5,19, достигнув отметки $2.653,59 за тройскую унцию. Что касается других товаров, цены на фьючерсы на нефть WTI с поставкой в январе снизились на 1,65%, или 1,13, до $67,17 за баррель. Фьючерсы на фьючерс на нефть Brent с поставкой в феврале подешевели на 1,43%, или 1,03, до отметки $71,06 за баррель.
Между тем на рынке Форекс пара USD/RUB снизилась на 0,45% до 100,55, а котировки EUR/RUB упали на 0,65%, достигнув отметки 106,24.
Фьючерс на индекс USD вырос на 0,25% до 105,96.","07.12.2024, 00:20",https://ru.investing.com/news/stock-market-news/article-2593875
Алмазная отрасль переживает затяжной кризис — глава Алросы,"© Reuters.
Investing.com - Алмазная отрасль переживает затяжной кризис, надо пережить этот период и дождаться роста цен, возможно, в 2025 году. Об этом заявил гендиректор компании Алроса Павел Маринычев.

По его словам, компания на фоне кризиса на алмазном рынке планирует сократить ФОТ на 10%, а также оптимизировать часть персонала.

Маринычев добавил, что Алроса может приостановить добычу на менее рентабельных участках в 2025 году, при восстановлении рынка рассчитывает быстро возобновить добычу.

Алроса не отказывается от проектов развития, включая рудники «Мир» и «Юбилейный», но сократит активность по ним, добавил глава компании.Алроса Павел Маринычев. По его словам, компания на фоне кризиса на алмазном рынке планирует сократить ФОТ на 10%, а также оптимизировать часть персонала. Маринычев добавил, что Алроса может приостановить добычу на менее рентабельных участках в 2025 году, при восстановлении рынка рассчитывает быстро возобновить добычу. Алроса не отказывается от проектов развития, включая рудники «Мир» и «Юбилейный», но сократит активность по ним, добавил глава компании.","21.11.2024, 15:50",https://ru.investing.com/news/general-news/article-2578777
Алроса выполняет производственный план на 2024 год - глава Якутии,"© Reuters. Алроса выполняет производственный план на 2024 год - глава Якутии Айсен Николаев — ТАСС
sMart-lab.ru - Алроса (MCX:ALRS) выполняет производственный план на 2024 год — глава Якутии Айсен Николаев — ТАСС.ALRS ) выполняет производственный план на 2024 год — глава Якутии Айсен Николаев — . 
В 2023г добыча составила 34,6 млн карат (100% плана), в 2022г — 35,6 млн карат.
Читайте оригинальную статью на сайте sMart-lab.ru","20.11.2024, 13:13",https://ru.investing.com/news/general/article-2576836
Стоимость бриллиантов достигла многолетних минимумов,"© Reuters. Стоимость бриллиантов достигла многолетних минимумов
sMart-lab.ru - Цены на бриллианты на мировом рынке достигли минимумов за несколько лет, пишут «Ведомости» со ссылкой на данные американской компании Rapaport, которая владеет крупнейшей в США площадкой по торговле бриллиантами.
Индекс цен для камней массой 1 карат на 1 ноября сократился на 22% к той же дате 2023-го и на 23% — с начала года и составил 4,62 пункта. Это минимум с января 2015 года (последние доступные данные).
Спрос на алмазы на рынке по-прежнему слабый, отмечают в Rapaport. В результате крупнейшая в мире алмазодобывающая компания De Beers планирует снизить добычу алмазов в 2024 году до 23–26 млн каратов. Российская «Алроса (MCX:ALRS)» в 2023 году сократила добычу на 2,8% в годовом выражении до 34,6 млн каратов.ALRS )» в 2023 году сократила добычу на 2,8% в годовом выражении до 34,6 млн каратов. 
Читайте оригинальную статью на сайте sMart-lab.ru","11.11.2024, 12:49",https://ru.investing.com/news/commodities-news/article-2565799
"Рынок акций РФ закрылся ростом, Индекс МосБиржи (ММВБ) прибавил 1,79%","Рынок акций РФ закрылся ростом, Индекс МосБиржи (ММВБ) прибавил 1,79%
Investing.com – Фондовый рынок РФ завершил торги среды ростом за счет укрепления секторов нефти и газа, электроснабжения и телекоммуникаций.нефти и газа , электроснабжения и телекоммуникаций . 
На момент закрытия на Московской фондовой бирже Индекс МосБиржи (ММВБ) подорожал на 1,79%.Индекс МосБиржи (ММВБ) подорожал на 1,79%. 
В лидерах роста среди компонентов индекса Индекс МосБиржи (ММВБ) по итогам сегодняшних торгов были акции АДР Ozon Holdings PLC ORD SHS (MCX:OZONDR), которые подорожали на 162,50 п. (5,95%), закрывшись на отметке в 2.891,50. Котировки АК АЛРОСА ПАО (MCX:ALRS) выросли на 2,33 п. (4,80%), завершив торги на уровне 50,87. Бумаги Юнипро ПАО (MCX:UPRO) выросли в цене на 0,08 п. (4,76%), закрывшись на отметке 1,70.Индекс МосБиржи (ММВБ) по итогам сегодняшних торгов были акции АДР Ozon Holdings PLC ORD SHS (MCX: OZONDR ), которые подорожали на 162,50 п. (5,95%), закрывшись на отметке в 2.891,50. Котировки АК АЛРОСА ПАО (MCX: ALRS ) выросли на 2,33 п. (4,80%), завершив торги на уровне 50,87. Бумаги Юнипро ПАО (MCX: UPRO ) выросли в цене на 0,08 п. (4,76%), закрывшись на отметке 1,70. 
Лидерами падения стали акции Полюс ПАО (MCX:PLZL), цена которых упала на 513,50 п. (3,37%), завершив сессию на отметке 14.718,50. Акции ПИК-специализированный застройщик ПАО (MCX:PIKK) поднялись на 15,20 п. (3,05%), закрывшись на уровне 483,00, а ГДР Globaltrans Invest ORD SHS (MCX:GLTRDR) на 0,00 п. (0,00%) и завершили торги на отметке 519,25.PLZL ), цена которых упала на 513,50 п. (3,37%), завершив сессию на отметке 14.718,50. Акции ПИК-специализированный застройщик ПАО (MCX: PIKK ) поднялись на 15,20 п. (3,05%), закрывшись на уровне 483,00, а ГДР Globaltrans Invest ORD SHS (MCX: GLTRDR ) на 0,00 п. (0,00%) и завершили торги на отметке 519,25. 
На Московской фондовой бирже количество подорожавших бумаг (198) превысило количество закрывшихся в минусе (48), а котировки 10 акций практически не изменились.
Котировки акций ПИК-специализированный застройщик ПАО (MCX:PIKK) упали до 3-летнего минимума, снизившись на 3,05%, 15,20 п., и завершили торги на отметке 483,00.PIKK ) упали до 3-летнего минимума, снизившись на 3,05%, 15,20 п., и завершили торги на отметке 483,00. 
Индекс волатильности Индекс волатильности российского рынка, который формируется на основе показателей торговли опционами на Индекс МосБиржи (ММВБ), упал на 1,82% до отметки 37.25.Индекс волатильности российского рынка , который формируется на основе показателей торговли опционами на Индекс МосБиржи (ММВБ), упал на 1,82% до отметки 37.25. 
Фьючерс на фьючерс на золото с поставкой в декабре потерял 2,97%, или 81,65, достигнув отметки $2.668,05 за тройскую унцию. Что касается других товаров, цены на фьючерсы на нефть WTI с поставкой в декабре снизились на 0,25%, или 0,18, до $71,81 за баррель. Фьючерсы на фьючерс на нефть Brent с поставкой в январе подешевели на 0,58%, или 0,44, до отметки $75,09 за баррель.
Между тем на рынке Форекс пара USD/RUB снизилась на 0,59% до 97,22, а котировки EUR/RUB упали на 2,40%, достигнув отметки 104,33.
Фьючерс на индекс USD вырос на 1,66% до 105,04.","07.11.2024, 00:20",https://ru.investing.com/news/stock-market-news/article-2560805
"Алроса инвестирует более 2,8 млрд рублей в газопоршневую электростанцию","Алроса инвестирует более ₽2,8 млрд в газопоршневую электростанцию мощностью 32 МВт в Вилюйске к 2027 году – ТАСС
sMart-lab.ru - Якутская генерирующая компания, входящая в состав «Алроса (MCX:ALRS)», начала реализацию проекта по повышению уровня энергоснабжения Вилюйской группы улусов в Якутии. В рамках проекта планируется строительство новой газопоршневой электростанции (ГПЭС) мощностью 32 МВт в Вилюйске. Пуск станции намечен на 2027 год, а общие инвестиции превысят 2,8 млрд рублей.ALRS )», начала реализацию проекта по повышению уровня энергоснабжения Вилюйской группы улусов в Якутии. В рамках проекта планируется строительство новой газопоршневой электростанции (ГПЭС) мощностью 32 МВт в Вилюйске. Пуск станции намечен на 2027 год, а общие инвестиции превысят 2,8 млрд рублей. 
Электростанция, получившая историческое название «Оленская ГПЭС», будет играть ключевую роль в социально-экономическом развитии региона. В настоящее время жители улусов получают электроэнергию от удаленных гидроэлектростанций, что приводит к перегрузкам и отключениям. Новая ГПЭС позволит улучшить надежность электроснабжения, снизить аварийные отключения и обеспечит возможность подключения новых домов и организаций.
Читайте оригинальную статью на сайте sMart-lab.ru","28.10.2024, 12:02",https://ru.investing.com/news/general/article-2546637
"Рынок акций РФ закрылся падением, Индекс МосБиржи (ММВБ) снизился на 0,48%","© Reuters Рынок акций РФ закрылся падением, Индекс МосБиржи (ММВБ) снизился на 0,48%
Investing.com – Фондовый рынок РФ завершил торги вторника падением на фоне негативной динамики со стороны секторов электроснабжения, телекоммуникаций и горнодобывающей промышленности.электроснабжения , телекоммуникаций и горнодобывающей промышленности . 
На момент закрытия на Московской фондовой бирже Индекс МосБиржи (ММВБ) снизился на 0,48%.Индекс МосБиржи (ММВБ) снизился на 0,48%. 
В лидерах роста среди компонентов индекса Индекс МосБиржи (ММВБ) по итогам сегодняшних торгов были акции ОК РУСАЛ МКПАО (MCX:RUAL), которые подорожали на 0,47 п. (1,40%), закрывшись на отметке в 34,41. Котировки ГДР ROS AGRO PLC ORD SHS (MCX:AGRODR) выросли на 10,20 п. (0,84%), завершив торги на уровне 1.231,60. Бумаги Полюс ПАО (MCX:PLZL) выросли в цене на 47,00 п. (0,32%), закрывшись на отметке 14.601,50.Индекс МосБиржи (ММВБ) по итогам сегодняшних торгов были акции ОК РУСАЛ МКПАО (MCX: RUAL ), которые подорожали на 0,47 п. (1,40%), закрывшись на отметке в 34,41. Котировки ГДР ROS AGRO PLC ORD SHS (MCX: AGRODR ) выросли на 10,20 п. (0,84%), завершив торги на уровне 1.231,60. Бумаги Полюс ПАО (MCX: PLZL ) выросли в цене на 47,00 п. (0,32%), закрывшись на отметке 14.601,50. 
Лидерами падения стали акции ПИК-специализированный застройщик ПАО (MCX:PIKK), цена которых упала на 22,40 п. (3,51%), завершив сессию на отметке 615,40. Акции АК АЛРОСА ПАО (MCX:ALRS) поднялись на 1,52 п. (2,91%), закрывшись на уровне 50,78, а Россети ПАО (MCX:FEES) на 0,00 п. (2,48%) и завершили торги на отметке 0,08.PIKK ), цена которых упала на 22,40 п. (3,51%), завершив сессию на отметке 615,40. Акции АК АЛРОСА ПАО (MCX: ALRS ) поднялись на 1,52 п. (2,91%), закрывшись на уровне 50,78, а Россети ПАО (MCX: FEES ) на 0,00 п. (2,48%) и завершили торги на отметке 0,08. 
На Московской фондовой бирже количество подешевевших бумаг (189) превысило количество закрывшихся в плюсе (54), а котировки 12 акций практически не изменились.
Котировки акций ПИК-специализированный застройщик ПАО (MCX:PIKK) упали до 52-недельного минимума, упав на 3,51%, 22,40 п., и завершили торги на отметке 615,40. Котировки акций Полюс ПАО (MCX:PLZL) выросли до 52-недельного максимума, подорожав на 0,32%, 47,00 п., и завершили торги на отметке 14.601,50.PIKK ) упали до 52-недельного минимума, упав на 3,51%, 22,40 п., и завершили торги на отметке 615,40. Котировки акций Полюс ПАО (MCX: PLZL ) выросли до 52-недельного максимума, подорожав на 0,32%, 47,00 п., и завершили торги на отметке 14.601,50. 
Индекс волатильности Индекс волатильности российского рынка, который формируется на основе показателей торговли опционами на Индекс МосБиржи (ММВБ), вырос на 2,77% до отметки 27.48.Индекс волатильности российского рынка , который формируется на основе показателей торговли опционами на Индекс МосБиржи (ММВБ), вырос на 2,77% до отметки 27.48. 
Фьючерс на фьючерс на золото с поставкой в декабре прибавил 0,88%, или 24,20, достигнув отметки $2.763,10 за тройскую унцию. Что касается других товаров, цены на фьючерсы на нефть WTI с поставкой в декабре выросли на 1,81%, или 1,27, до $71,31 за баррель. Фьючерсы на фьючерс на нефть Brent с поставкой в декабре подешевели на 0,04%, или 0,03, до отметки $75,53 за баррель.
Между тем на рынке Форекс пара USD/RUB снизилась на 0,01% до 95,74, а котировки EUR/RUB упали на 0,01%, достигнув отметки 103,38.
Фьючерс на индекс USD вырос на 0,06% до 103,89.","23.10.2024, 00:20",https://ru.investing.com/news/stock-market-news/article-2541226
"Рынок акций РФ закрылся падением, Индекс МосБиржи (ММВБ) снизился на 0,35%","© Reuters. Рынок акций РФ закрылся падением, Индекс МосБиржи (ММВБ) снизился на 0,35%
Investing.com – Фондовый рынок РФ завершил торги пятницы падением на фоне негативной динамики со стороны секторов телекоммуникаций, горнодобывающей промышленности и нефти и газа.телекоммуникаций , горнодобывающей промышленности и нефти и газа . 
На момент закрытия на Московской фондовой бирже Индекс МосБиржи (ММВБ) снизился на 0,35%.Индекс МосБиржи (ММВБ) снизился на 0,35%. 
В лидерах роста среди компонентов индекса Индекс МосБиржи (ММВБ) по итогам сегодняшних торгов были акции Аэрофлот ПАО (MCX:AFLT), которые подорожали на 1,35 п. (2,40%), закрывшись на отметке в 57,60. Котировки МОСКОВСКИЙ КРЕДИТНЫЙ БАНК ПАО (MCX:CBOM) выросли на 0,06 п. (1,01%), завершив торги на уровне 6,39. Бумаги МКПАО ВК (MCX:VKCO) выросли в цене на 3,40 п. (1,00%), закрывшись на отметке 343,40.Индекс МосБиржи (ММВБ) по итогам сегодняшних торгов были акции Аэрофлот ПАО (MCX: AFLT ), которые подорожали на 1,35 п. (2,40%), закрывшись на отметке в 57,60. Котировки МОСКОВСКИЙ КРЕДИТНЫЙ БАНК ПАО (MCX: CBOM ) выросли на 0,06 п. (1,01%), завершив торги на уровне 6,39. Бумаги МКПАО ВК (MCX: VKCO ) выросли в цене на 3,40 п. (1,00%), закрывшись на отметке 343,40. 
Лидерами падения стали акции АК АЛРОСА ПАО (MCX:ALRS), цена которых упала на 2,02 п. (3,73%), завершив сессию на отметке 52,13. Акции Новолипецкий металлургический комбинат ПАО (MCX:NLMK) поднялись на 2,88 п. (2,15%), закрывшись на уровне 130,96, а РусГидро ПАО (MCX:HYDR) снизились в цене на 0,01 п. (2,00%) и завершили торги на отметке 0,52.ALRS ), цена которых упала на 2,02 п. (3,73%), завершив сессию на отметке 52,13. Акции Новолипецкий металлургический комбинат ПАО (MCX: NLMK ) поднялись на 2,88 п. (2,15%), закрывшись на уровне 130,96, а РусГидро ПАО (MCX: HYDR ) снизились в цене на 0,01 п. (2,00%) и завершили торги на отметке 0,52. 
На Московской фондовой бирже количество подешевевших бумаг (159) превысило количество закрывшихся в плюсе (83), а котировки 11 акций практически не изменились.
Индекс волатильности Индекс волатильности российского рынка, который формируется на основе показателей торговли опционами на Индекс МосБиржи (ММВБ), вырос на 5,41% до отметки 26.48.Индекс волатильности российского рынка , который формируется на основе показателей торговли опционами на Индекс МосБиржи (ММВБ), вырос на 5,41% до отметки 26.48. 
Фьючерс на фьючерс на золото с поставкой в декабре прибавил 1,07%, или 28,90, достигнув отметки $2.736,40 за тройскую унцию. Что касается других товаров, цены на фьючерсы на нефть WTI с поставкой в ноябре снизились на 1,88%, или 1,33, до $69,34 за баррель. Фьючерсы на фьючерс на нефть Brent с поставкой в декабре подешевели на 1,64%, или 1,22, до отметки $73,23 за баррель.
Между тем на рынке Форекс пара USD/RUB снизилась на 2,20% до 95,26, а котировки EUR/RUB упали на 1,88%, достигнув отметки 103,52.
Фьючерс на индекс USD опустился на 0,34% до 103,30.","19.10.2024, 00:20",https://ru.investing.com/news/stock-market-news/article-2538293
