Title,Text,Time,Url
Золото отступает на фоне новых ожиданий по ставкам ФРС,"© Reuters.
Investing.com — Цены на золото упали на азиатских торгах в понедельник, поскольку трейдеры ожидают замедления темпов снижения процентных ставок в США после более сильных, чем ожидалось, данных по занятости в несельскохозяйственном секторе, которые поддержали доллар.после более сильных, чем ожидалось , данных по занятости в несельскохозяйственном секторе, которые поддержали доллар. 
Среди промышленных металлов цены на медь получили ограниченную поддержку благодаря данным о том, что импорт меди в Китай в декабре достиг 13-месячного максимума. Настроения в отношении Китая были ослаблены ожиданием увеличения торговых тарифов США.
Неопределенность экономических перспектив при новом президенте Дональде Трампе все еще поддерживала спрос на золото, как и продолжительная распродажа более рискованных активов, в частности акций. Это ограничило общие потери желтого металла.
К 08:52 мск. спотовое золото торговалось на $2 686, с понижением на 0,13%, в то время как цена на фьючерсы с истекающим сроком действия в феврале находились на отметке $2 712, в минусе на 0,1%.спотовое золото торговалось на $2 686, с понижением на 0,13%, в то время как цена на фьючерсы с истекающим сроком действия в феврале находились на отметке $2 712, в минусе на 0,1%. 
Золото снижается на опасениях по поводу ставок
Давление на золото оказывали, главным образом, перспективы того, что ставки в США останутся более высокими в течение длительного времени, так как пятничный отчет по занятости заставил трейдеров снова пересмотреть свои ожидания относительно смягчения политики ФРС.занятости заставил трейдеров снова пересмотреть свои ожидания относительно смягчения политики ФРС. 
Теперь основное внимание уделяется предстоящим данным по инфляции в США, которые должны выйти в среду, чтобы получить больше информации о перспективах ФРС по ставкам. Центральный банк сигнализировал о том, что устойчивая инфляция и сильные позиции на рынке труда дадут ему дополнительный стимул для сохранения высоких ставок.
Аналитики Goldman Sachs в своей недавней записке заявили, что теперь они ожидают, что ФРС снизит ставки только дважды в этом году, в то время как ранее ожидалось три снижения. Также ожидается, что конечная ставка центрального банка будет выше в этом цикле смягчения.Goldman Sachs в своей недавней записке заявили, что теперь они ожидают, что ФРС снизит ставки только дважды в этом году, в то время как ранее ожидалось три снижения. Также ожидается, что конечная ставка центрального банка будет выше в этом цикле смягчения. 
Высокие ставки оказывают давление на рынки металлов, поскольку увеличивают альтернативные издержки инвестирования в низкодоходные активы. Среди других драгоценных металлов фьючерсы на платину немного подешевели до $991,45 за унцию, а контракты на серебро упали на 0,4% до $31,205 за унцию в понедельник.фьючерсы на платину немного подешевели до $991,45 за унцию, а  контракты на серебро упали на 0,4% до $31,205 за унцию в понедельник. 
Цены на медь не изменились — рынки оценивают перспективы Китая
Фьючерсы на медь на Лондонской бирже металлов выросли на 0,3% до $9 111,00 за унцию, а мартовский контракт подорожал на 0,1% до $4,2960 за фунт.Фьючерсы на медь на Лондонской бирже металлов выросли на 0,3% до $9 111,00 за унцию, а мартовский контракт подорожал на 0,1% до $4,2960 за  фунт . 
Красный металл укрепился на сильных позициях предыдущей недели, так как слабые экономические данные из Китая подстегнули рост ставок на то, что Пекин будет использовать еще больше стимулов для поддержания роста.
Торговые данные в понедельник показали, что импорт меди в Китай в декабре достиг 13-месячного максимума в 559 000 метрических тонн, что свидетельствует о сохранении высокого спроса в крупнейшем импортере меди в мире.
Быки делают ставку на то, что в ближайшие месяцы Пекин предоставит еще больше стимулов, особенно в условиях высоких импортных тарифов при Трампе.
Трамп, который вступит в должность 20 января, поклялся ввести высокие торговые тарифы против Китая «с первого дня» своего президентства.","13.01.2025, 08:22",https://ru.investing.com/news/commodities-news/article-2619635
Золото достигло максимума за месяц несмотря на рост доллара,"© Reuters
Investing.com — Золото выросло в цене четвертый день подряд, пока трейдеры ожидают публикации данных по занятости в США, которые помогут определить перспективы политики ФРС на этот год, пишет Yahoo.Yahoo. 
Спотовая цена торговалась на уровне $2 674 за унцию к 10:45 мск., что соответствует росту более чем на 1% в первую полную торговую неделю года. Февральские фьючерсы подорожали на 0,26%, расположившись на $2 697, отметив 1-месчный максимум непосредственно над уровнем $2 700 ранее в пятницу.Спотовая цена торговалась на уровне $2 674 за унцию к 10:45 мск., что соответствует росту более чем на 1% в первую полную торговую неделю года. Февральские фьючерсы подорожали на 0,26%, расположившись на $2 697, отметив 1-месчный максимум непосредственно над уровнем $2 700 ранее в пятницу. 
Ожидается, что данные по занятости за декабрь покажут замедление, но все же здоровый рост числа рабочих мест, который, по мнению экономистов, продолжится в 2025 году. Официальные лица ФРС указали, что, вероятно, будут удерживать процентные ставки на текущем уровне длительное время, снижая их снова только тогда, когда инфляция значительно спадет.
Золото было одной из самых успешных крупных товарных позиций в прошлом году, продемонстрировав рост на 27% и установив последовательные рекорды, поскольку ФРС снизила ставки, центральные банки увеличили свои запасы, а инвесторы искали убежище от геополитической напряженности.
Учитывая, что избранный президент США Дональд Трамп вступит в должность 20 января, инвесторы также оценивают вероятность потенциальной торговой войны или других напряженностей, которые могут повысить спрос на защитные активы.
Рост золота на этой неделе произошел несмотря на дальнейшее укрепление доллара США и доходности казначейских облигаций. Поскольку трейдеры сокращают ожидания снижения ставок ФРС в первой половине года, индекс доллара растет шестую сессию подряд. Между тем, доходность 10-летних облигаций находится около максимального уровня с апреля.доллара США и доходности казначейских облигаций. Поскольку трейдеры сокращают ожидания снижения ставок ФРС в первой половине года, индекс доллара растет шестую сессию подряд. Между тем, доходность 10-летних облигаций находится около максимального уровня с апреля. 
«Ралли происходит несмотря на рост мировых доходностей», — отметила аналитик Kotak Securities Кайнат Чайнвала в записке.
«Ралли происходит несмотря на рост мировых доходностей», — отметила аналитик Kotak Securities Кайнат Чайнвала в записке.
Трейдеры опасаются возобновления инфляции из-за мер стимулирования, фискальных реформ и торговых тарифов, добавила она.","10.01.2025, 10:49",https://ru.investing.com/news/commodities-news/article-2618331
Золото переваривает сигналы от ФРС и Трампа,"© Reuters.
Investing.com — В четверг цены на золото в ходе азиатских торгов стабилизировались после двух дней роста подряд, так как возросшая неопределенность в отношении ястребиной позиции Федеральной резервной системы и плана избранного президента Дональда Трампа по введению торговых тарифов способствовала некоторому спросу на безопасную гавань.
Среди промышленных металлов цены на медь выросли, так как слабые данные по инфляции из Китая, являющегося крупнейшим импортером, подстегнули ставки на дополнительные стимулирующие меры со стороны Пекина.
Однако на рынки металлов по-прежнему оказывало давление укрепление доллара, который вернулся к двухлетним максимумам на фоне ястребиных сигналов от ФРС.
Февральские фьючерсы укрепились на 0,17% до $2 676 за унцию, а спотовая цена снизилась на 0,1% до $2 659 за унцию к 08:54 мск.
Золото пользуется защитным спросом
На этой неделе цены на золото пользовались некоторым спросом на безопасное убежище, поскольку неопределенность в отношении торговой и иммиграционной политики Трампа снизила аппетит к риску.
В сообщении CNN говорится, что Трамп может объявить чрезвычайное положение в экономике страны, чтобы юридически обосновать свои планы по введению универсальных торговых тарифов.
Опасения по поводу политики Трампа также оказались в центре внимания после того, как протокол декабрьского заседания ФРС показал, что политики выражают некоторую обеспокоенность по поводу застойной инфляции.протокол декабрьского заседания ФРС показал, что политики выражают некоторую обеспокоенность по поводу застойной инфляции. 
В частности, чиновники выразили обеспокоенность тем, что экспансионистская и протекционистская политика Трампа может поддержать инфляцию в долгосрочной перспективе.
Протокол также в значительной степени подтвердил планы ФРС по снижению процентных ставок более медленными темпами в 2025 году, после того как центральный банк фактически вдвое сократил прогнозируемое снижение ставок до двух с четырех в 2025 году.
Доходность казначейских облигаций выросла после выхода протокола заседания ФРС, как и курс доллара.
Более высокие и долгосрочные ставки плохо сказываются на недоходных активах, таких как металлы, поскольку они увеличивают альтернативные издержки инвестирования в этот сектор.
Другие драгоценные металлы в четверг демонстрировали смешанную динамику и также отставали от золота на последних сессиях. Фьючерсы на платину упали на 0,1% до $983,75 за унцию, а серебро выросло на 0,3% до $30,785 за унцию.Фьючерсы на платину упали на 0,1% до $983,75 за унцию, а  серебро выросло на 0,3% до $30,785 за унцию. 
Медь растет за счет слабых данных из Китая
Фьючерсы на медь на Лондонской бирже металлов выросли на 0,4% до $9,053.50 за тонну, а мартовский контракт подорожал на 0,6% до $4,2927 за фунт.Фьючерсы на медь на Лондонской бирже металлов выросли на 0,4% до $9,053.50 за тонну, а мартовский контракт подорожал на 0,6% до $4,2927 за  фунт . 
Инфляция в Китае в декабре не изменилась, а индекс цен производителей снизился 27-й месяц подряд.Инфляция в Китае в декабре не изменилась, а индекс цен производителей снизился 27-й месяц подряд. 
Инфляция оставалась слабой даже в то время, когда Пекин проводил самый агрессивный раунд стимулирующих мер до конца 2024 года.
При этом свежая статистика усилила ставки на то, что Пекин будет делать больше для поддержания китайского роста, особенно в бюджетной сфере.","09.01.2025, 08:26",https://ru.investing.com/news/commodities-news/article-2617532
Золото укрепляется за счет геополитической напряженности,"© Reuters.
Investing.com — Цены на золото выросли на азиатских торгах в четверг благодаря небольшому ослаблению доллара, поскольку рынки вернулись к торгам после рождественских праздников. Однако рост был ограниченным, поскольку инвесторы сохраняли осторожность после «ястребиного» настроя Федеральной резервной системы США.
Трейдеры также воздерживались от крупных ставок на укороченной в связи с праздниками неделе, что привело к снижению объемов торгов.
Фьючерсы на золото с истекающим сроком действия в феврале выросла на 0,25% до $2 641 за унцию, к 09:31 мск., а спотовая цена приподнялась на 0,23% до $2 625.Фьючерсы на золото с истекающим сроком действия в феврале выросла на 0,25% до $2 641 за унцию, к 09:31 мск., а спотовая цена приподнялась на 0,23% до $2 625. 
Геополитическая напряженность на Ближнем Востоке также способствовала росту котировок.
В среду палестинская боевая группировка ХАМАС и Израиль обвинили друг друга в препятствовании заключению соглашения о прекращении огня, причем ХАМАС обвинил Израиль в навязывании дополнительных условий, а премьер-министр Израиля Биньямин Нетаньяху заявил, что ХАМАС отказался от ранее достигнутых договоренностей.
Золото рассматривается как актив-убежище на фоне неопределенности на рынке.
Доллар США слабеет, но остается вблизи 2-летнего максимума
В четверг на азиатских торгах доллар немного снизился, но оставался вблизи двухлетнего максимума, которого он достиг на прошлой неделе.доллар немного снизился, но оставался вблизи двухлетнего максимума, которого он достиг на прошлой неделе. 
Ястребиный настрой ФРС на прошлой неделе придал доллару новую силу, так как высокие процентные ставки делают USD более привлекательным из-за увеличения доходности активов, номинированных в долларах.
На прошлой неделе цены на золото резко упали после того, как на заседании ФРС было указано, что ставки останутся повышенными в течение длительного периода времени.
На этой неделе цены на желтый металл торгуется без значимых изменений после потери более 1% на предыдущей неделе, что отражает неопределенность в отношении перспектив металла.
Другие драгоценные металлы в четверг практически не изменились. Фьючерсы на платину торговались во флэте на $960,20 за унцию, а серебро — на $30,273 за унцию.Фьючерсы на платину торговались во флэте на $960,20 за унцию, а  серебро  — на $30,273 за унцию. 
Медь растет на фоне китайских стимулов, сильный доллар сдерживает рост
Среди промышленных металлов цены на медь выросли после сообщения агентства Reuters о том, что власти Китая планируют выпустить в следующем году специальные казначейские облигации на рекордную сумму в 3 триллиона юаней (411 миллиардов долларов) в рамках активизации фискальных усилий по стимулированию переживающей трудности экономики.медь выросли после сообщения агентства Reuters о том, что власти Китая планируют выпустить в следующем году специальные казначейские облигации на рекордную сумму в 3 триллиона юаней (411 миллиардов долларов) в рамках активизации фискальных усилий по стимулированию переживающей трудности экономики. 
Красный металл не смог в полной мере воспользоваться этими новостями, так как сильный доллар оказал давление.
Аналитики также объясняют слабость меди сезонной нестабильностью, поскольку промышленное производство и строительные проекты часто замедляются к концу года.
Наиболее торгуемый январский контракт на медь на Шанхайской фьючерсной бирже (SHFE) вырос на 0,2% до 74 220 юаней за тонну.контракт на медь на Шанхайской фьючерсной бирже (SHFE) вырос на 0,2% до 74 220 юаней за тонну. 
Эталонные контракты на медь на Лондонской бирже металлов были закрыты в четверг в связи с праздником.","26.12.2024, 08:52",https://ru.investing.com/news/commodities-news/article-2609141
Золото не решается на рост из-за крепкого доллара,"© Reuters
Investing.com — Золото торгуется под умеренным давлением в узком диапазоне, поскольку трейдеры продолжают оценивать обновленные прогнозы ФРС по ставке после того, как ключевой для ЦБ инфляционный индикатор оказался ниже ожиданий в ноябре, пишет Yahoo.Yahoo. 
К 14:00 мск. фьючерсы снижались на 0,42% до $2 618 за унцию, тогда как спотовая цена торговалась с понижением в пределах 0,1%, в районе $2 618 после закрытия в плюсе на 1,1% в пятницу в ответ на публикацию основного индекса цен на личные расходы в США. Показатель отразил сдержанный рост, что стало шагом в правильном направлении для чиновников Федрезерва, которые стремятся к дальнейшему снижению процентных ставок в 2025 году.фьючерсы снижались на 0,42% до $2 618 за унцию, тогда как спотовая цена торговалась с понижением в пределах 0,1%, в районе $2 618 после закрытия в плюсе на 1,1% в пятницу в ответ на публикацию основного индекса цен на личные расходы в США. Показатель отразил сдержанный рост, что стало шагом в правильном направлении для чиновников Федрезерва, которые стремятся к дальнейшему снижению процентных ставок в 2025 году. 
В этом году драгоценный металл вырос более чем на четверть и достиг рекордных уровней благодаря смягчению политики в США, спросу на безопасные активы и покупкам со стороны мировых центральных банков. Тем не менее, после избрания Дональда Трампа ралли забуксовало на фоне роста доллара.
Индекс USD вернулся к росту после просадки в пятницу, прибавляя почти 0,5% и расположившись над уровнем 108,00 на момент написания материала.Индекс USD вернулся к росту после просадки в пятницу, прибавляя почти 0,5% и расположившись над уровнем 108,00 на момент написания материала. 
Платина, палладий и серебро показали рост в понедельник.Платина , палладий и серебро показали рост в понедельник.","23.12.2024, 14:08",https://ru.investing.com/news/commodities-news/article-2607831
Золото оправляется после удара от Федрезерва,"© Reuters.
Investing.com — Цены на золото выросли более чем на 1% в четверг, отскочив от месячного минимума по мере того, как рынок переваривает намек ФРС на меньшее количество снижений ставки в следующем году, пишет Reuters.золото выросли более чем на 1% в четверг, отскочив от месячного минимума по мере того, как рынок переваривает намек ФРС на меньшее количество снижений ставки в следующем году, Reuters. 
Спотовая цена на золото, которая ранее прибавляла 1,3%, торговалась с повышением на 0,9%, в районе $2 608 к 15:44 мск. Накануне котировки касались самого низкого уровня с 18 ноября. Фьючерсы же все еще торговались в минусе, теряя свыше 1%. На момент написания материала контракты находились в зоне $2 622, отскочив от минимума $2 598, который ограничил падение в среду.Спотовая цена на золото, которая ранее прибавляла 1,3%, торговалась с повышением на 0,9%, в районе $2 608 к 15:44 мск. Накануне котировки касались самого низкого уровня с 18 ноября. Фьючерсы же все еще торговались в минусе, теряя свыше 1%. На момент написания материала контракты находились в зоне $2 622, отскочив от минимума $2 598, который ограничил падение в среду. 
Рынки первоначально упали после того, как председатель ФРС Джером Пауэлл намекнул на меньшее количество снижений ставок в следующем году, но быстро восстановились, поскольку инвесторы поняли, что это соответствует недавним ожиданиям, сказала аналитик StoneX Рона О’Коннелл.намекнул на меньшее количество снижений ставок в следующем году, но быстро восстановились, поскольку инвесторы поняли, что это соответствует недавним ожиданиям, сказала аналитик StoneX Рона О’Коннелл. 
Точечная диаграмма ФРС, опубликованная в среду, предполагает два снижения ставки на четверть процентного пункта в следующем году, что совпадает с недавними тенденциями на рынке фьючерсов.
Пауэлл заявил, что повышение процентной ставки не является вероятным исходом, так как ФРС работает над снижением инфляции до целевого уровня в 2%.
Внимание теперь будет сосредоточено на данных по базовому индексу PCE — предпочтительному индикатору инфляции ФРС, который выйдет в пятницу.PCE — предпочтительному индикатору инфляции ФРС, который выйдет в пятницу. 
«Золото попало под распродажи, демонстрируя в очередной раз, что не является защитой от инфляции как таковой, но восстановило часть утраченных позиций на фоне угрозы закрытия правительства США», — сказал Карстен Менке, аналитик Julius Baer.
«Золото попало под распродажи, демонстрируя в очередной раз, что не является защитой от инфляции как таковой, но восстановило часть утраченных позиций на фоне угрозы закрытия правительства США», — сказал Карстен Менке, аналитик Julius Baer.
Действия избранного президента США Дональда Трампа перед инаугурацией, предполагающие воздействие на Конгресс, могут усложнить усилия по предотвращению шатдауна.
Тем временем спотовая цена на серебро выросла на 0,8% до $29.58 за унцию, платина прибавила 0,9% до $927.40, а палладий поднялся на 1,8% до $918.74.серебро выросла на 0,8% до $29.58 за унцию, платина прибавила 0,9% до $927.40, а палладий поднялся на 1,8% до $918.74.","19.12.2024, 15:51",https://ru.investing.com/news/commodities-news/article-2605368
Золото пытается избавиться от давления продавцов,"© Reuters
Investing.com — Золото остается под небольшим давлением в среду, занимая выжидательную позицию перед решением ФРС по ставке, пишет Reuters.Reuters. 
Также трейдеры пытаются оценить перспективы смягчения денежно-кредитной политики в США в наступающем году.
Спотовая цена торговалась с понижением на 0,05%, на уровне $2 645 за унцию к 15:09 мск., тогда как февральские фьючерсы отступали на символические 0,04%, до $2 660.Спотовая цена торговалась с понижением на 0,05%, на уровне $2 645 за унцию к 15:09 мск., тогда как февральские фьючерсы отступали на символические 0,04%, до $2 660. 
Несмотря на то, что рынки широко ожидают еще одного снижения на четверть процентного пункта, перспективы на 2025 год остаются неясными, поскольку новая администрация Трампа может внедрять меры, которые будут иметь инфляционный эффект.
Чиновники ФРС могут скорректировать свое заявления по итогам заседания и повысить прогнозируемую траекторию стоимости кредитования. Также регулятор представит обновленные ежеквартальные экономические прогнозы.
Кроме того, трейдеры продолжат следить за данными США в поисках дальнейших сигналов о перспективах политики банка на 2025 год. На этой неделе ожидается публикация данных о ВВП продукте и индексе базовых личных потребительских расходов — предпочтительного показателя ФРС для оценки инфляции.
Драгоценный металл вырос на 28% в этом году, демонстрируя самый масштабный годовой прирост с 2010 года. Этому способствовали снижение ставок в США, спрос на безопасные активы и устойчивые покупки со стороны центральных банков мира.
Серебро, палладий и платина демонстрируют умеренное снижение на торгах в среду.Серебро , палладий и платина демонстрируют умеренное снижение на торгах в среду.","18.12.2024, 15:15",https://ru.investing.com/news/commodities-news/article-2604015
Золото вблизи минимумов недели перед заседаниями Центробанков,"© Reuters.
Investing.com — Золото стабилизировалось на этой неделе в условиях осторожности трейдеров перед заседаниями крупных центробанков во главе с ФРС, пишет Bloomberg.Bloomberg. 
После скромного роста на предыдущей сессии драгметалл торгуется с минимальными изменениями во вторник. В начале недели инвесторы переваривали неоднозначные данные из США. Активность в секторе услуг США выросла самыми быстрыми темпами с октября 2021 года, в то время как показатель промышленной активности показал худший результат с мая прошлого года.в секторе услуг США выросла самыми быстрыми темпами с октября 2021 года, в то время как показатель промышленной активности показал худший результат с мая прошлого года. 
К 11:10 мск. февральские фьючерсы торговались с понижением в пределах 0,1%, на отметке $2 668 за унцию, расположившись в районе минимумов 9 декабря. Спотовое золото расположилось во флэте, на уровне $2 652.фьючерсы торговались с понижением в пределах 0,1%, на отметке $2 668 за унцию, расположившись в районе минимумов 9 декабря. Спотовое золото расположилось во флэте, на уровне $2 652. 
В среду ФРС примет финальное в этом году решение по ставке, после чего эстафету примут регуляторы Японии и Великобритании. Рынки свопов почти полностью учитывают понижение ставки в США на четверть процентного пункта, и трейдеры будут сосредоточены на риторике банка, чтобы получить подсказки о перспективах политики на 2025 год.
Желтый металл вырос более чем на 28% в этом году, который завершается самым масштабным приростом с 2010 года. Его укрепление поддерживалось смягчением политики в США, спросом на безопасные активы и устойчивыми покупками со стороны центральных банков мира. Объем импорта золота в Индии в ноябре достиг рекордного уровня после того как правительство снизило таможенные сборы.
Серебро, палладий и платина умеренно подешевели на торгах во вторник.Серебро , палладий и платина умеренно подешевели на торгах во вторник.","17.12.2024, 11:15",https://ru.investing.com/news/commodities-news/article-2602533
Золото обороняется от продавцов после фиксации прибыли,"© Reuters
Investing.com — Золото остается в оборонительной позиции после того как неоднозначные данные из США побудили трейдеров зафиксировать прибыль перед итоговым заседанием ФРС в этом году, пишет Bloomberg.неоднозначные данные из США побудили трейдеров зафиксировать прибыль перед итоговым заседанием ФРС в этом году, Bloomberg. 
Накануне стало известно, что американская инфляция на производственном уровне неожиданно ускорилась в ноябре, в то время как количество заявок на пособие по безработице на прошлой неделе выросло до двухмесячного максимума.на производственном уровне неожиданно ускорилась в ноябре, в то время как количество заявок на пособие по безработице на прошлой неделе выросло до двухмесячного максимума. 
Спотовая цена слегка приподнялась над уровнем закрытия в ходе недавних торгов после падения на 1,4% в четверг и по состоянию на 08:51 мск. торговалась на уровне $2 688 за унцию. Февральские фьючерсы расположились во флэте на отметке $2 709 после вчерашнего кратковременного падения ниже психологического уровня $2 700.Спотовая цена слегка приподнялась над уровнем закрытия в ходе недавних торгов после падения на 1,4% в четверг и по состоянию на 08:51 мск. торговалась на уровне $2 688 за унцию. Февральские фьючерсы расположились во флэте на отметке $2 709 после вчерашнего кратковременного падения ниже психологического уровня $2 700. 
Золото по-прежнему нацелено на недельный прирост на фоне оптимизма инвесторов в отношении снижения ставки ФРС на 0,25% на следующей неделе. При этом рынки постепенно переключаются на перспективу приостановки смягчения политики в начале 2025 года.
Цены на металл будут медленнее расти в 2025 году, поскольку опасения по поводу роста и инфляции при президентстве Трампа, вероятно, ограничат спрос на фоне сложного прогноза по процентным ставкам в США, говорится в свежем докладе Всемирного совета по золоту.
Драгоценный металл вырос более чем на 30% с начала этого года, демонстрируя самый масштабный годовой подъем с 1979 года. Мощное ралли поддерживалось смягчением политики ФРС, спросом на безопасные активы и устойчивыми покупками со стороны центральных банков мира.
Тем временем серебро и платина снизились, в то время как палладий торговался практически без изменений.серебро и платина снизились, в то время как палладий торговался практически без изменений.","13.12.2024, 09:00",https://ru.investing.com/news/commodities-news/article-2599892
Золото удерживает позиции в ожидании данных из США,"© Reuters.
Investing.com — Цены на золото умеренно выросли во вторник, оставаясь в зеленой зоне третью сессию подряд на фоне обострения геополитической напряженности на Ближнем Востоке и ожиданий снижения ставки в США в этом месяце. Об этом пишет Reuters.золото умеренно выросли во вторник, оставаясь в зеленой зоне третью сессию подряд на фоне обострения геополитической напряженности на Ближнем Востоке и ожиданий снижения ставки в США в этом месяце. Об этом Reuters. 
При этом внимание инвесторов постепенно переключается на важные данные по инфляции в США, которые будут опубликованы в среду.инфляции в США, которые будут опубликованы в среду. 
К 13:20 мск. спотовая цена на золото поднялась на 0,26% до $2 667 за унцию, на предыдущей сессии достигнув 2-недельного максимума. Фьючерсы на золото выросли на 0,14% до $2 689.спотовая цена на золото поднялась на 0,26% до $2 667 за унцию, на предыдущей сессии достигнув 2-недельного максимума. Фьючерсы на золото выросли на 0,14% до $2 689. 
Пятничные показатели занятости усилили ожидания по поводу снижения ставки ФРС в декабре. Геополитическая обстановка на Ближнем Востоке и сообщения о возобновлении покупок золота центральным банком Китая также поддерживают цены, отметил старший аналитик FXTM Лукман Отуунага.усилили ожидания по поводу снижения ставки ФРС в декабре. Геополитическая обстановка на Ближнем Востоке и сообщения о возобновлении покупок золота центральным банком Китая также поддерживают цены, отметил старший аналитик FXTM Лукман Отуунага. 
По данным инструмента FedWatch CME, трейдеры сейчас оценивают вероятность снижения ставки в США на 25 базисных пунктов на следующей неделе примерно в 90%, что значительно выше по сравнению с 73% на прошлой неделе.
Инвесторы ждут данных по инфляции в США в среду и ценам производителей в четверг, которые, как ожидается, повлияют на решение ФРС по ставке.данных по инфляции в США в среду и ценам производителей в четверг, которые, как ожидается, повлияют на решение ФРС по ставке. 
«Быки на рынке золота могут столкнуться с препятствиями, если данные по инфляции окажутся выше ожиданий и уменьшат вероятность дальнейшего снижения ставок ФРС после декабря 2024 года», — добавил Отуунага.
«Быки на рынке золота могут столкнуться с препятствиями, если данные по инфляции окажутся выше ожиданий и уменьшат вероятность дальнейшего снижения ставок ФРС после декабря 2024 года», — добавил Отуунага.
Спотовая цена на серебро добавила 0,1% до $31,85 за унцию, платина осталась стабильно на уровне $939,55, а палладий торговался с понижением на 0,1%, в районе $973,00.серебро добавила 0,1% до $31,85 за унцию, платина осталась стабильно на уровне $939,55, а палладий торговался с понижением на 0,1%, в районе $973,00.","10.12.2024, 13:23",https://ru.investing.com/news/commodities-news/article-2595777
