Title,Text,Time,Url
Крупные банки начали снижать ставки по вкладам — Frank RG,"© Reuters. Крупные банки начали снижать ставки по вкладам — Forbes со ссылкой на Frank RG
sMart-lab.ru - В конце декабря 2024-го — начале января 2025 года сразу 10 банков из двадцатки крупнейших по объему привлеченных средств населения снизили ставки по вкладам на различные сроки, следует из данных консалтинговой компании Frank RG, с которыми ознакомился Forbes.
В частности, ставки по вкладам пересмотрели ВТБ (MCX:VTBR), Альфа-банк, Газпромбанк, Т-Банк, МКБ (MCX:CBOM), РСХБ, банки «Дом.РФ», «Санкт-Петербург» и «Уралсиб», а также РНКБ. Из данных Frank RG следует, что самые большие изменения произошли в наиболее популярном и доходном сегменте — полугодовых вкладах.VTBR ), Альфа-банк, Газпромбанк, Т-Банк, МКБ (MCX: CBOM ), РСХБ, банки «Дом.РФ», «Санкт-Петербург» и «Уралсиб», а также РНКБ. Из данных Frank RG следует, что самые большие изменения произошли в наиболее популярном и доходном сегменте — полугодовых вкладах. 
Читайте оригинальную статью на сайте sMart-lab.ru","13.01.2025, 15:41",https://ru.investing.com/news/general/article-2619756
"В Госдуме рассказали, почему в России невозможно запустить криптобиржи","© Reuters. В Госдуме рассказали, почему в России невозможно запустить криптобиржи
Happycoin.club - По словам Анатолия Аксакова, до сих пор не создан правовой механизм для начала работы криптобирж. Депутат указал, что существуют разногласия между профильными ведомствами и Банком России по поводу того, как обеспечить защиту каждого участника платформ.
Сначала необходимо определить общие правила, договориться правительству, Банку об их принятии и только потом уже можно говорить о начале работ криптобирж в стране, подчеркнул глава Комитета по финансовому рынку.
На вопрос журналистов о том, сколько будет криптовалютных бирж, депутат уклонился от прямого ответа. Он лишь заявил, что есть предложение создать на базе Московской биржи криптоплатформу, на основе Санкт-Петербургской валютной биржи (СПВБ), но и тут нет ясности.
По его мнению, может даже появиться единая квазигосударственная площадка, где будет прямое или косвенное участие Министерства финансов и Центробанка РФ.
Можно заметить, что с началом работ криптобирж в стране складывается странная ситуация. Дело в том, что представители Мосбиржи и СПВБ открестились от их создания, регулятор и правительство не могут договориться о правилах, а в Госдуме призывают создать универсальный правовой механизм для защиты участников.
Читайте оригинальную статью на сайте Happycoin.club","03.09.2024, 15:52",https://ru.investing.com/news/cryptocurrency-news/article-2496497
Анатолий Аксаков рассказал о препятствии для создания криптобирж в России,"© Reuters. Анатолий Аксаков рассказал о препятствии для создания криптобирж в России
Анатолий Аксаков подчеркнул, что необходимо выработать оптимальную правовую базу для начала работы криптобирж, но есть разногласия по поводу того, как обеспечивать защиту интересов участников рынка между регулятором и профильными ведомствами.

«Ключевой момент в запуске криптобиржи — проработка юридических механизмов для допуска участников рынка на такую площадку и контроля всех процессов. Думаю, что мы определим общие правила, которые будут выработаны совместно с правительством и мегарегулятором, и предоставим Банку России возможность устанавливать конкретные правила и процедуры работы криптобирж», — сказал он.

Ранее о возможном запуске квазигосударственной криптобиржи с акционерами в лице Минфина, Банка России или аффилированных с ними субъектов заявил старший аналитик платформы Bestchange.ru Никита Зуборев.
Читайте оригинальную статью на сайте Bits.media","03.09.2024, 14:56",https://ru.investing.com/news/cryptocurrency-news/article-2495911
Евгений Сердюков: «Участие СПБ биржи в трансграничных расчетах криптовалютой обсуждается»,"© Reuters. Евгений Сердюков: «Участие СПБ биржи в трансграничных расчетах криптовалютой обсуждается»
В интервью изданию «РБК Инвестиции» Евгений Сердюков сообщил, что Санкт-Петербургская биржа готова поддержать любую законодательную инициативу в вопросе участия в трансграничных расчетах с использованием виртуальных активов.

«Участие СПБ биржи в трансграничных расчетах криптовалютой обсуждается», — сказал он.

Руководитель биржи выступил за то, чтобы ЦФА торговались как классические ценные бумаги и к ним был доступ у частных инвесторов на рынке через брокеров. По его мнению, нужно доработать законодательные нормы по ЦФА. СПБ биржа совместно с Банком России и Московской биржей подготовила предложение, которое позволит развивать рынок цифровых финансовых активов в стране.
Ранее председатель комитета Госдумы по финансовому рынку Анатолий Аксаков заявил, что механизмы использования ЦФА в международных расчетах уже проходят тестирование и могут начать действовать до конца года.
Читайте оригинальную статью на сайте Bits.media","14.05.2024, 14:24",https://ru.investing.com/news/cryptocurrency-news/article-2419361
Курс доллара превысил 90 рублей впервые с 20 ноября,"© Reuters.
Investing.com — Курс доллара вырос на 0,60%, или 0,53 руб., поднявшись до отметки 90,01 руб., свидетельствуют данные Московской биржи на в 12:49 МСК. Курс пары USD/RUB превысил уровень 90 руб. впервые с 20 ноября 2023 года.доллара вырос на 0,60%, или 0,53 руб., поднявшись до отметки 90,01 руб., свидетельствуют данные Московской биржи на в 12:49 МСК. Курс пары USD/RUB превысил уровень 90 руб. впервые с 20 ноября 2023 года. 
Курс евро (EUR/RUB) прибавил 0,75% (0,73 руб.) — до 98,13 руб.евро (EUR/RUB) прибавил 0,75% (0,73 руб.) — до 98,13 руб. 
Валютный рынок отыграл неожиданно резкое падение нефтяных котировок на фоне не оправдавших ожиданий итогов заседания ОПЕК, рассказал эксперт Промсвязьбанка Евгений Локтюхов для РБК. В результате фьючерсы на нефть марки Brent после заседания ОПЕК подешевели с $84,6 до $80 за баррель.эксперт Промсвязьбанка Евгений Локтюхов для РБК. В результате фьючерсы на нефть марки Brent после заседания ОПЕК подешевели с $84,6 до $80 за баррель. 
Ослаблению позиций рубля также могло способствовать вчерашнее глобальное укрепление доллара и анонс дополнительного сокращения добычи в России, что способно снизить экспортные поступления в моменте, сообщили в банке «Санкт-Петербург».«Санкт-Петербург» . 
При этом обязательная реализация валютной выручки пока остается ключевой поддержкой рублю: представители ЦБ вчера подтвердили, что в ноябре крупнейшие экспортеры продолжили наращивать продажи валюты, отмечают в ПСБ.
Читайте нас в Telegram и «ВКонтакте».и","01.12.2023, 13:20",https://ru.investing.com/news/forex-news/article-2329883
"В индекс Мосбиржи войдут акции «Мечела», «Мосэнерго» и «Совкомфлота»","© Reuters.
Investing.com — Московская биржа с 22 декабря изменит базы расчета индексов Мосбиржи и РТС. В них войдут акции горнодобывающей и металлургической компании «Мечел (MCX:MTLR)», энергокомпании «Мосэнерго (MCX:MSNG)», девелопера ГК «Самолет» и судоходной компании «Совкомфлот (MCX:FLOT)», говорится в сообщении на сайте.РТС . В них войдут акции горнодобывающей и металлургической компании «Мечел (MCX: MTLR )», энергокомпании «Мосэнерго (MCX: MSNG )», девелопера ГК «Самолет» и судоходной компании «Совкомфлот (MCX: FLOT )», говорится в сообщении на сайте. 
В базу расчета индекса голубых фишек будут включены обыкновенные акции НЛМК (MCX:NLMK), бумаги МТС (MCX:MTSS) покинут индекс. В базу расчета индекса средней и малой капитализации войдут бумаги Московского кредитного банка.NLMK ), бумаги МТС (MCX: MTSS ) покинут индекс. В базу расчета индекса средней и малой капитализации войдут бумаги Московского кредитного банка. 
В базу расчета индекса акций широкого рынка будут включены акции группы «Астра» и Henderson. Из него будут исключены акции «Россети Северо-Запад (MCX:MRKZ)» и депозитарные расписки иностранного эмитента на акции O’KEY Group S.A. В индекс информационных технологий войдут акции группы «Астра», в индекс потребительского сектора — ПАО «ЭЙЧ ЭФ ДЖИ». Из последнего исключат депозитарные расписки иностранного эмитента на акции O’KEY Group S.A. Кроме того, акции «Россети (MCX:RSTI) Северо-Запад» покинут индекс электроэнергетики.MRKZ )» и депозитарные расписки иностранного эмитента на акции O’KEY Group S.A. В индекс информационных технологий войдут акции группы «Астра», в индекс потребительского сектора — ПАО «ЭЙЧ ЭФ ДЖИ». Из последнего исключат депозитарные расписки иностранного эмитента на акции O’KEY Group S.A. Кроме того, акции «Россети (MCX: RSTI ) Северо-Запад» покинут индекс электроэнергетики. 
В лист ожидания на включение в базу расчета индекса Мосбиржи и индекса РТС включены акции компании «ВСМПО-Ависма (MCX:VSMO)», банка «Санкт-Петербург», группы «Ренессанс Страхование (MCX:RENI)», а также «Ленты (MCX:LNTADR)». Акции «Магнита (MCX:MGNT)» остаются в листе ожидание на исключение из базы расчета.индекса Мосбиржи и индекса РТС включены акции компании «ВСМПО-Ависма (MCX: VSMO )», банка «Санкт-Петербург», группы «Ренессанс Страхование (MCX: RENI )», а также «Ленты (MCX: LNTADR )». Акции «Магнита (MCX: MGNT )» остаются в листе ожидание на исключение из базы расчета. 
Читайте нас в Telegram и «ВКонтакте».и","30.11.2023, 12:31",https://ru.investing.com/news/stock-market-news/article-2329039
Мосбиржа добавит восемь акций на вечерние торги,"© Reuters.
Investing.com — Московская биржа со следующей пятницы, 10 ноября, увеличит число акций, доступных для заключения сделок на вечерней торговой сессии, говорится в сообщении торговой площадки, опубликованном 3 ноября.торговой площадки, опубликованном 3 ноября. 
В список инструментов доступных на вечерних торгах рынка акций будут добавлены восемь ценных бумаг: обыкновенные акции группы «Астра», банка «Санкт-Петербург», компаний «Глобалтрак менеджмент» (ГТМ) и «Мосэнерго (MCX:MSNG)», Новороссийского морского торгового порта (MCX:NMTP) (НМТП), нефтедобытчика «Русснефть», Трубной металлургической компании (MCX:TRMK) (ТМК), а также IT-группы «Софтлайн».MSNG )», Новороссийского морского торгового порта (MCX: NMTP ) (НМТП), нефтедобытчика «Русснефть», Трубной металлургической компании (MCX: TRMK ) (ТМК), а также IT-группы «Софтлайн». 
На данный момент на вечерней сессии инвесторам доступны для торговли 162 инструмента — привилегированные и обыкновенные акции, паи биржевых (БПИФ) и открытых паевых инвестиционных фондов (ОПИФ).
Читайте нас в Telegram и «ВКонтакте».и","03.11.2023, 17:58",https://ru.investing.com/news/stock-market-news/article-2313991
Мосбиржа запустила торги фьючерсами на акции еще пяти компаний,"© Reuters.
Investing.com — С 22 августа на срочном рынке Мосбиржи начались торги поставочными фьючерсами на акции автопроизводителя КАМАЗ, банка «Санкт-Петербург», нефтяной компании «Башнефть», Московского кредитного банка и ретейлера «М.Видео». К торгам допущены фьючерсные контракты с исполнением в сентябре и декабре 2023 года, а также в марте и июне 2024 года, следует из сообщения площадки.площадки. 
Параметры новых поставочных фьючерсов:
«Расширение линейки производных инструментов на ценные бумаги откроет новые возможности для реализации торговых стратегий, а также хеджирования портфелей ценных бумаг для самого широкого круга инвесторов», — говорится в сообщении Мосбиржи.
«Расширение линейки производных инструментов на ценные бумаги откроет новые возможности для реализации торговых стратегий, а также хеджирования портфелей ценных бумаг для самого широкого круга инвесторов», — говорится в сообщении Мосбиржи.
Читайте нас в Telegram и «ВКонтакте».и 
Текст подготовил Тимур Алиев","22.08.2023, 11:31",https://ru.investing.com/news/stock-market-news/article-2286167
Бумаги Банка «Санкт-Петербург» взлетели на Мосбирже почти на 40%,"Investing.com — Московская биржа провела дискретный аукцион по привилегированным акциям Банка «Санкт-Петербург» в 10:31 МСК. Причиной этого стал резкий рост котировок, говорится на сайте биржи.Банка «Санкт-Петербург» в 10:31 МСК. Причиной этого стал резкий рост котировок, на сайте биржи. 
По состоянию на 10:29 МСК цена бумаг банка выросла на 31,12% и составила 76,05 руб. на акцию.
«Произошло повышение текущей цены акций на 20% и более в течение 10 минут подряд от цены закрытия предыдущего торгового дня», — говорится в сообщении биржи.
«Произошло повышение текущей цены акций на 20% и более в течение 10 минут подряд от цены закрытия предыдущего торгового дня», — говорится в сообщении биржи.
После завершения дискретного аукциона цена бумаг вновь пошла вверх и к 11:09 достигла отметки 80,85 руб.,что на 39,4% выше уровня закрытия предыдущих торгов, пишет РБК.РБК. 
Следите за нашими новостями в социальных сетях: Telegram, «ВКонтакте» и «Одноклассниках».
Текст подготовил Тимур Алиев","08.06.2023, 12:07",https://ru.investing.com/news/stock-market-news/article-2262439
Акции банка «Санкт-Петербург» взлетели на 20% после решения по дивидендам,"Investing.com — Обыкновенные акции банка «Санкт-Петербург» подорожали на 20,18%, до 167,3 руб. за бумагу, в начале торгов Московской биржи. Привилегированные акции банка после открытия торгов прибавили 9,98% — до 32,5 руб. за бумагу.«Санкт-Петербург» подорожали на 20,18%, до 167,3 руб. за бумагу, в начале торгов Московской биржи. Привилегированные акции банка после открытия торгов прибавили 9,98% — до 32,5 руб. за бумагу. 
По состоянию на 17:15 МСК обыкновенные акции банка дорожали на 16,2% — до 155,4 руб., привилегированные росли на 2,9% — до 30,4 руб. за бумагу.
Взлет котировок происходил на фоне сообщения о том, что наблюдательный совет банка «Санкт-Петербург» рекомендовал выплатить дивиденды в размере 21,16 руб. на одну обыкновенную акцию и 0,22 руб. на привилегированную акцию, пишет РБК. По текущим ценам это дает доходность 13,2% по обыкновенным акциям.РБК. По текущим ценам это дает доходность 13,2% по обыкновенным акциям. 
Дата, на которую определяются лица, имеющие право на получение дивидендов, — 10 мая 2023 года. Для тех, кто хочет получить дивиденды, последний день для покупки акций банка 4 мая.
Следите за нашими новостями в социальных сетях: Telegram, «ВКонтакте» и «Одноклассниках».
Текст подготовил Тимур Алиев","24.03.2023, 17:13",https://ru.investing.com/news/stock-market-news/article-2243894
