Title,Text,Time,Url
Fesco запустит прямые перевозки между Россией и Танзанией — СМИ,"© Reuters
Investing.com — Транспортная группа Fesco рассматривает возможность запуска прямых грузовых перевозок между Россией и Танзанией, передает агентство Прайм со ссылкой за заявление вице-президент компании Дмитрия Панькова.Fesco рассматривает возможность запуска прямых грузовых перевозок между Россией и Танзанией, агентство Прайм со ссылкой за заявление вице-президент компании Дмитрия Панькова. 
«И сейчас в ближайшей перспективе мы планируем запустить сервисы, которые связывают российские порты с портом Дар-эс-Салам в Танзании», — сказал он.
«И сейчас в ближайшей перспективе мы планируем запустить сервисы, которые связывают российские порты с портом Дар-эс-Салам в Танзании», — сказал он.
Паньков добавил, что задачей, которую ставит руководство группы, является открытие прямого сервиса между городами. На первом этапе, скорее всего, сервис будет проходить с перегрузкой в Индии.
«На первом этапе, скорее всего, это будут сервисы с перегрузкой в Индии с последующим направлением судов в Новороссийск, на Дальний Восток, в Санкт-Петербург Российской Федерации. Но перед нами стоит задача открытия прямого сервиса», — заключил Паньков.
«На первом этапе, скорее всего, это будут сервисы с перегрузкой в Индии с последующим направлением судов в Новороссийск, на Дальний Восток, в Санкт-Петербург Российской Федерации. Но перед нами стоит задача открытия прямого сервиса», — заключил Паньков.","30.10.2024, 09:06",https://ru.investing.com/news/general/article-2549751
Последствия ограничений на импорт российского газа: новости к утру 22 мая,"© Reuters.
Investing.com — ЕС хочет оценить последствия ограничений на импорт российского газа, а Мосбиржа запустит торги фьючерсами на акции четырех российских компаний — эти и другие важные новости к утру среды, 22 мая, в нашем ежедневном обзоре.
Бельгия, Германия и Франция обратились в Еврокомиссию с просьбой оценить, какой ущерб экономике странам ЕС могут нанести ограничения на импорт СПГ из России. Об этом со ссылкой на источники сообщает агентство Reuters. Собеседники агентства утверждают, что страны Евросоюза опасаются, не понесет ли их экономика больше ущерба чем российская.агентство Reuters. Собеседники агентства утверждают, что страны Евросоюза опасаются, не понесет ли их экономика больше ущерба чем российская. 
Московская биржа с 28 мая начнет на срочном рынке торги поставочными фьючерсами на акции четырех российских компаний, говорится в сообщении торговой площадки. В качестве базовых активов фьючерсных контрактов выступят обыкновенные акции «Русснефти», «Европлана», ДВМП и привилегированные акции {{13738|«Татнефти (MCX:TATN)»}}. К торгам будут допущены контракты с исполнением в июне и сентябре 2024 года.Московская биржа с 28 мая начнет на срочном рынке торги поставочными фьючерсами на акции четырех российских компаний, говорится в торговой площадки. В качестве базовых активов фьючерсных контрактов выступят обыкновенные акции «Русснефти» , «Европлана» , ДВМП и привилегированные акции {{13738|«Татнефти (MCX: TATN )»}}. К торгам будут допущены контракты с исполнением в июне и сентябре 2024 года. 
Нидерландский производитель микрочипов ASML уведомил США, что имеет возможность удаленно отключить оборудование по производству чипов на Тайване компанией TSMC в случае, если Китай вторгнется на остров, сообщает Bloomberg со ссылкой на источники. Речь идет о литографических станках для работы с экстремальным ультрафиолетом (EUV), которые TSMC закупает у голландской компании для производства микросхем. ASML — единственный производитель такого оборудования, цена одного станка — свыше 200 млн евро.ASML уведомил США, что имеет возможность удаленно отключить оборудование по производству чипов на Тайване компанией TSMC в случае, если Китай вторгнется на остров, Bloomberg со ссылкой на источники. Речь идет о литографических станках для работы с экстремальным ультрафиолетом (EUV), которые TSMC закупает у голландской компании для производства микросхем. ASML — единственный производитель такого оборудования, цена одного станка — свыше 200 млн евро . 
Министр финансов США Джанет Йеллен призвала руководителей банков Германии активизировать усилия по соблюдению санкций против России и прекратить попытки их обойти, чтобы избежать потенциальных штрафов, пишет Reuters. «Я призываю все присутствующие здесь учреждения принять повышенные меры по соблюдению требований и усилить внимание к попыткам уклонения от санкций», — сказала она в ходе выступления во Франкфурте.Йеллен призвала руководителей банков Германии активизировать усилия по соблюдению санкций против России и прекратить попытки их обойти, чтобы избежать потенциальных штрафов, Reuters. «Я призываю все присутствующие здесь учреждения принять повышенные меры по соблюдению требований и усилить внимание к попыткам уклонения от санкций», — сказала она в ходе выступления во Франкфурте. 
СПБ Биржа с 30 мая включит акции группы компаний «Элемент» в первый котировальный список бумаг, допущенных к торгам. Об этом говорится в сообщении биржи. Это будет первое размещение в секторе разработчиков и производителей радио- и микроэлектроники в России.СПБ Биржа с 30 мая включит акции группы компаний «Элемент» в первый котировальный список бумаг, допущенных к торгам. Об этом говорится в биржи. Это будет первое размещение в секторе разработчиков и производителей радио- и микроэлектроники в России. 
От редакции
Если вы ищете платформу, которая позволит вам с легкостью анализировать рыночные инструменты и отбирать именно те, которые подходят для вашего портфеля и вашего стиля инвестирования, как это делают наши авторы, предлагаем вам воспользоваться InvestingPro.. 
А мы дарим вам купон на дополнительную скидку 10% на годовую подписку: RUTRADERS4EVER.
Не забудьте ввести купон в специальное поле при оформлении и оплате подписки!! 
Читайте нас в Telegram и «ВКонтакте».и","22.05.2024, 09:44",https://ru.investing.com/news/economy/article-2423390
Мосбиржа расширит список доступных на вечерних торгах акций,"© Reuters.
Investing.com — Московская биржа сообщила об увеличении числа ценных бумаг, доступных для заключения сделок на вечерней торговой сессии на рынке акций. С 9 марта в список инструментов на вечерних торгах рынка акций будут добавлены 11 ценных бумаг.биржа об увеличении числа ценных бумаг, доступных для заключения сделок на вечерней торговой сессии на рынке акций. С 9 марта в список инструментов на вечерних торгах рынка акций будут добавлены 11 ценных бумаг. 
С 9 марта на вечерней сессии Мосбиржи станут доступны акции следующих компаний:
Кроме того, в список будут добавлены обыкновенные и привилегированные акции компании «Мечел».«Мечел» . 
В общей сложности, с 9 марта инвесторы смогут заключать сделки с 74 инструментами рынка акций — ценными бумагами российских эмитентов, БПИФ, а также паями ПИФ, сообщила торговая площадка. Кроме того, с 6 марта 2023 года на вечерних торгах для заключения сделок станет доступен ОПИФ «БКС Российские Акции».
Следите за нашими новостями в социальных сетях: Telegram, «ВКонтакте» и «Одноклассниках».
Текст подготовил Тимур Алиев","06.03.2023, 16:54",https://ru.investing.com/news/stock-market-news/article-2235975
Контейнерный рынок РФ в декабре снизился на 19% в годовом выражении,"Контейнерный рынок РФ в декабре снизился на 19% в годовом выражении

""Импортные перевозки в декабре выросли на 9,1%. Перевалка через порты Дальнего Востока увеличилась на 5%, ограничивающим фактором для дальнейшего роста стали инфраструктурные ограничения. Экспорт снизился на 39% относительно аналогичного месяца 2021 года, при этом ключевой рост показали отправки через порты Дальнего Востока"", - сообщили в группе.
""Транзитные перевозки сократились на 28%. Единственным транзитным рынком с положительной динамикой остается направление Азия - Средняя Азия за счет перевозок из Южной Кореи в Узбекистан. Внутренние перевозки в декабре сократились на 6%"", - добавили в FESCO.
По данным FESCO, контейнерный рынок России по итогам 2022 года сократился на 15,9% по сравнению с 2021 годом, до около 5,492 млн TEU. Импорт уменьшился на 12%, до 2,107 млн TEU, экспорт - на 25%, до 1,529 млн TEU, транзит - на 23%, до 750 тыс. TEU. Внутренние отправки остались на уровне предыдущего года - 1,105 млн TEU.
Контейнерный рынок России включает в себя внешнеторговый и транзитный контейнерооборот портов РФ, внешнеторговый и транзитный контейнерооборот сухопутных переходов на сети РЖД, внутрироссийские перевозки контейнеров по сети РЖД и каботажные перевозки.
Транспортная группа FESCO - крупный российский портовый оператор с железнодорожным и логистическим бизнесом в составе. В управлении находится парк контейнеров более 130 тыс. TEU, парк фитинговых платформ превышает 10 тыс. единиц. Флот состоит из 23 судов, преимущественно эксплуатируемых на собственных морских линиях.","23.01.2023, 17:40",https://ru.investing.com/news/economy/article-2217587
FESCO в 2022 г увеличила морские внешнеторговые перевозки через порты Д.Востока на 38%,"FESCO в 2022 г увеличила морские внешнеторговые перевозки через порты Д.Востока на 38%

""В рамках реализации стратегии FESCO в 2023 году продолжит развивать интермодальные, морские и железнодорожные сервисы, открывать новые логистические маршруты, приобретать суда и наращивать собственный парк контейнеров, а также расширять терминальную сеть"", - говорится в релизе.
Ранее сообщалось, что ПАО ""Владивостокский морской торговый порт"" (ВМТП, основная стивидорная компания в порту ""Владивосток"", входит в группу FESCO) в 2022 году обработало 13,4 млн тонн грузов, что на 3,7% больше, чем в 2021 году. В том числе перевалка контейнеров выросла на 1,4% - до более 768 тыс. TEU.
FESCO - крупный российский портовый оператор с железнодорожным и логистическим бизнесом в составе. В управлении находится парк контейнеров более 130 тыс. TEU, парк фитинговых платформ превышает 10 тыс. Флот состоит из 23 судов, преимущественно эксплуатируемых на собственных морских линиях.","17.01.2023, 11:27",https://ru.investing.com/news/economy/article-2215944
"ВМТП за прошедший год увеличил перевалку грузов на 3,7%","ВМТП за прошедший год увеличил перевалку грузов на 3,7%

В том числе перевалка контейнеров выросла на 1,4% - до более 768 тыс. TEU.
""По итогам 2022 года ВМТП третий год подряд занимает первую строку в рейтинге российских портов по контейнерообороту. На втором месте - ООО ""Восточная стивидорная компания"" (Приморский край, входит в группу Global Ports) с результатом 624 тыс. 440 TEU. Тройку лидеров замыкает ООО ""НУТЭП"" (контейнерный терминал в морском порту Новороссийск) с 582 тыс. 498 TEU"", - отметили в ВМТП.
Ранее сообщалось со ссылкой на предварительные итоги, что стивидор обработал в минувшем году 13 млн тонн грузов, более 765 тыс. TEU.
Производственные мощности компании расположены на 15 причалах порта ""Владивосток"".
Транспортная группа FESCO - крупный российский портовый оператор с железнодорожным и логистическим бизнесом в составе. В управлении - парк контейнеров более 130 тыс. TEU, парк фитинговых платформ превышает 10 тыс. единиц. Флот состоит из 23 судов, преимущественно эксплуатируемых на собственных морских линиях.","17.01.2023, 09:06",https://ru.investing.com/news/economy/article-2215893
"FESCO погасила последний рублевый выпуск облигаций, находящийся с 2016 года в дефолте","FESCO погасила последний рублевый выпуск облигаций, находящийся с 2016 года в дефолте
ПАО ""Дальневосточное морское пароходство (MCX:FESH)"" (ДВМП, головная компания транспортной группы FESCO) полностью погасило выпуск биржевых облигаций серии БО-02, ранее находившийся в дефолте, следует из сообщения на ленте раскрытия информации.FESH )"" (ДВМП, головная компания транспортной группы FESCO) полностью погасило выпуск биржевых облигаций серии БО-02, ранее находившийся в дефолте, следует из сообщения на ленте раскрытия информации. 

Остаток непогашенных облигаций после частичного исполнения обязательств группы составлял 65 тыс. 345 штук. ""Денежные средства для выплат владельцам оставшихся в обращении облигаций были внесены на депозит нотариуса из-за технической невозможности исполнить обязательства в порядке, предусмотренном эмиссионными документами"", - отмечается в сообщении.

Общий объем выпуска облигаций серии БО-02 составлял чуть более 2 млрд рублей. С 2016 года в рамках реструктуризации обязательств по облигациям группа выкупила и погасила 1 млн 942,450 тыс. облигаций, в том числе в ходе объявленной в 2019 году публичной оферты, которой воспользовалась часть держателей облигаций.

""Группа исполнила все свои обязательства по облигациям серии БО-01 и БО-02, что говорит о высокой надежности FESCO как партнера. Погашение дефолтных облигаций позволит улучшить кредитный рейтинг и привлечь более качественное финансирование для дальнейшего динамичного развития группы"", - отметил председатель совета директоров FESCO Андрей Северилов, его слова приводятся в пресс-релизе эмитента.

Транспортная группа FESCO - крупный российский портовый оператор с железнодорожным и логистическим бизнесом в составе. В управлении находится парк контейнеров более 130 тыс. TEU, парк фитинговых платформ превышает 10 тыс. единиц. Флот состоит из 23 судов, преимущественно эксплуатируемых на собственных морских линиях.","29.12.2022, 15:28",https://ru.investing.com/news/economy/article-2212601
FESCO погасила находящийся с 2016г в дефолте выпуск облигаций серии БО-01,"FESCO погасила находящийся с 2016г в дефолте выпуск облигаций серии БО-01
ПАО ""Дальневосточное морское пароходство (MCX:FESH)"" (ДВМП, головная компания транспортной группы FESCO) полностью погасило выпуск российских биржевых облигаций серии БО-01, ранее находившийся в дефолте, следует из сообщения на ленте раскрытия информации.FESH )"" (ДВМП, головная компания транспортной группы FESCO) полностью погасило выпуск российских биржевых облигаций серии БО-01, ранее находившийся в дефолте, следует из сообщения на ленте раскрытия информации. 

Остаток непогашенных облигаций после частичного исполнения обязательств группы составлял 3 тыс. 346 штук. ""Денежные средства для выплат владельцам оставшихся в обращении облигаций были внесены на депозит нотариуса из-за технической невозможности исполнить обязательства в порядке, предусмотренном эмиссионными документами"", - сообщает эмитент.

Трехлетний выпуск на 5,002 млрд рублей был размещен мае 2015 года. ""С 2016 года в рамках реструктуризации обязательств по облигациям группа выкупила и погасила 4 млн 998 тыс. 654 облигации, в том числе в ходе объявленной в 2019 году публичной оферты, которой воспользовалась часть держателей бондов"", - отмечается в пресс-релизе эмитента. В раскрытии также сообщалось о погашении 1 млн 545,142 тыс. бумаг выпуска 7 декабря текущего года.

""Группа проделала большую работу, чтобы полностью погасить долговые обязательства перед держателями биржевых облигаций серии БО-01. Это является одним их свидетельств того, что FESCO развивается в верном направлении и готова соблюдать интересы всех своих инвесторов и кредиторов"", - отметил председатель совета директоров FESCO Андрей Северилов, слова которого приводятся в релизе.

В настоящее время в обращении также находится выпуск облигаций ДВМП серии БО-02 остаточным объемом после всех погашений эмитентом 30 млн рублей (номинальный объем выпуска 5 млрд рублей), в 2016-2018 годах по нему была допущена серия дефолтов, а вслед за этим были подписаны соглашения о новации. Последнее частичное погашение по выпуску прошло также 7 декабря, тогда было погашено 429,588 тыс. облигаций.

Транспортная группа FESCO - крупный российский портовый оператор с железнодорожным и логистическим бизнесом в составе. В управлении - парк контейнеров более 130 тыс. TEU, парк фитинговых платформ превышает 10 тыс. единиц. Флот состоит из 23 судов, преимущественно эксплуатируемых на собственных морских линиях.","23.12.2022, 15:59",https://ru.investing.com/news/economy/article-2211347
Инвестиции в новые контейнерные терминалы в Приморье оцениваются более чем в 170 млрд руб.,"Инвестиции в новые контейнерные терминалы в Приморье оцениваются более чем в 170 млрд руб.

""В уходящем году регион ощутил полномасштабный ""поворот на Восток"", и морские порты стали точкой притяжения грузов из стран АТР. Прогнозируется дальнейший рост импорта и транзитных контейнерных перевозок, в том числе по Северному морскому пути. Инвесторы разрабатывают проекты новых контейнерных терминалов во Владивостоке, Большом Камне, Посьете, Славянке с объемом инвестиций более 170 млрд рублей"", - сказал Кожемяко.
Глава региона отметил, что ПАО ""Владивостокский морской торговый порт"" (MOEX: VMTP) (ВМТП, основная стивидорная компания в порту ""Владивосток"", входит в группу FESCO (MCX:FESH)) создает Восточный транспортно-логистический узел, который предусматривает строительство двух глубоководных причалов с глубинами до 17 метров и контейнерного терминала мощностью до 1,2 млн контейнеров.FESH )) создает Восточный транспортно-логистический узел, который предусматривает строительство двух глубоководных причалов с глубинами до 17 метров и контейнерного терминала мощностью до 1,2 млн контейнеров. 
Ранее совладелец и председатель совета директоров FESCO Андрей Северилов сообщил журналистам, что перевалка контейнеров ВМТП по итогам 2022 года прогнозируется на уровне 740 тыс. TEU, а в 2023 году контейнерооборот может превысить 800 тыс. TEU. Увеличение объема перевалки будет обеспечено продолжающейся программой модернизации порта, отметил он. ""Таким образом, к 2024-2025 годам мы рассчитываем на достижение показателя (мощностей порта по перевалке контейнеров) не менее 1 млн TEU"", - говорил Северилов.
ВМТП в 2021 году перевалил 12,652 млн тонн грузов (рост на 16% относительно 2020 года). В том числе перевалено 7,2 млн тонн экспортных грузов (рост на 11%), 4,2 млн тонн импортных (рост на 25%) и 1,3 млн тонн каботажных (рост на 15%).
Производственные мощности стивидора расположены на 14 причалах порта ""Владивосток"".
Транспортная группа FESCO - крупный российский портовый оператор с железнодорожным и логистическим бизнесом в составе. В управлении - парк контейнеров более 100 тыс. TEU, парк фитинговых платформ превышает 10 тыс. единиц. Флот состоит из 22 судов, преимущественно эксплуатируемых на собственных морских линиях.","19.12.2022, 10:55",https://ru.investing.com/news/economy/article-2209789
"Контейнерный рынок РФ в октябре сократился на 16,3%","Контейнерный рынок РФ в октябре сократился на 16,3%

""Импортные перевозки снизились на 6% по сравнению с октябрем 2021 года, при этом по сравнению с сентябрем 2022 года они выросли на 12%. Экспортные отправки сократились на 30% относительно аналогичного месяца прошлого года, при этом отправки через порты Дальнего Востока выросли более чем в два раза"", - сообщили в FESCO.
""Транзитные перевозки сократились на 29% по сравнению с октябрем прошлого года. Перевозки в Белоруссию через Дальний Восток России выросли на 122% относительно аналогичного месяца прошлого года. Внутренние перевозки сократились на 3% по сравнению с аналогичным месяцем прошлого года, но по сравнению с сентябрем 2022 года выросли на 3%"", - добавили в FESCO.
По данным FESCO, по итогам января-октября 2022 года контейнерный рынок России сократился на 15,8% по сравнению с аналогичным периодом 2021 года, до 4,545 млн TEU. Импорт снизился на 14%, до 1,692 млн TEU, транзит - на 23%, до 622 тыс. TEU, экспорт - на 23%, до 1,312 млн TEU. Внутренние перевозки выросли на 1%, до 919 тыс. TEU.
Контейнерный рынок России включает в себя внешнеторговый и транзитный контейнерооборот портов РФ, внешнеторговый и транзитный контейнерооборот сухопутных переходов на сети РЖД, внутрироссийские перевозки контейнеров по сети РЖД и каботажные перевозки.
Транспортная группа FESCO - крупный российский портовый оператор с железнодорожным и логистическим бизнесом в составе. В управлении - парк контейнеров более 100 тыс. TEU, парк фитинговых платформ превышает 10 тыс. единиц. Флот состоит из 22 судов, преимущественно эксплуатируемых на собственных морских линиях.","25.11.2022, 16:04",https://ru.investing.com/news/economy/article-2203619
