Title,Text,Time,Url
Индекс Мосбиржи впервые за две недели упал ниже 3100 пунктов,"© Reuters.
Investing.com — Индекс Мосбиржи упал на 1,08%, опустившись до 3098,9 пункта, свидетельствуют данные торгов на 12:00 мск. В предыдущий раз ниже отметки 3100 пунктов бенчмарк торговался 25 июня.Мосбиржи упал на 1,08%, опустившись до 3098,9 пункта, свидетельствуют данные торгов на 12:00 мск. В предыдущий раз ниже отметки 3100 пунктов бенчмарк торговался 25 июня. 
Долларовый индекс РТС снизился на 1,07%, до 1107,31 пункта.РТС снизился на 1,07%, до 1107,31 пункта. 
Вероятно, на рынке российских акций сказывается слабая динамика бумаг после дивидендных отсечек, рассказал РБК главный аналитик ПСБ Алексей Головинов. Во вторник прошли дивидендные гэпы по более чем десяти компаниям, в частности, в «Роснефти (MCX:ROSN)», «Татнефти (MCX:TATN)» и «Мосэнерго (MCX:MSNG)». Возможно, часть инвесторов не хочет проходить через отсечку, так как на закрытие дивидендных гэпов может потребоваться больше времени в текущих условиях, сообщил эксперт.ROSN )», «Татнефти (MCX: TATN )» и «Мосэнерго (MCX: MSNG )». Возможно, часть инвесторов не хочет проходить через отсечку, так как на закрытие дивидендных гэпов может потребоваться больше времени в текущих условиях, сообщил эксперт. 
От редакции
Summer Sale в самом разгаре!
Теперь купить подписку на InvestingPro и InvestingPro+ стало еще выгоднее! Не упустите возможность повысить уровень своих инвестиций и присоединиться к сообществу успешных трейдеров по специальным летним ценам.и стало еще выгоднее! Не упустите возможность повысить уровень своих инвестиций и присоединиться к сообществу успешных трейдеров по специальным летним ценам. 
Присоединяйтесь прямо сейчас!
Экономьте еще больше с нашим эксклюзивным промокодом — RUTRADERS4EVER.","09.07.2024, 13:04",https://ru.investing.com/news/stock-market-news/article-2450575
Майнер-нелегал из Хакасии заплатит энергетикам миллионы рублей,"© Reuters. Майнер-нелегал из Хакасии заплатит энергетикам миллионы рублей
Happycoin.club - Как удалось установить энергетикам, один из жителей Хакасии самовольно разместил вычислительную технику на своём участке земли в одном из пригородных районов Абакана.
Находящееся в контейнере оборудование для майнинга криптовалюты расходовало свыше половины от всей электрической энергии, используемой пригородным районом города.
Когда специалисты «РосЭнергоАтома» начали проводить проверку приборов по учёту электроэнергии, выявили её нетипичное потребление у данного гражданина. После изучения земельного участка и был найден контейнер с оборудованием для добычи криптовалют.
«РосЭнергоАтом» подал на жителя Абакана иск в суд, который принял во внимание аргументы компании и постановил, чтобы майнер выплатил компенсацию в размере почти 4 миллиона рублей.
Как подчёркивают энергетики, это решение суда возможно заставит других майнеров перестать незаконно подключаться к сетям и использовать электричество для майнинга.
Проблема заключается ещё и в том, что в стране так и не принят законопроект о майнинге криптовалют, что и приводит к процветанию «серых» майнеров. В Государственной Думе России пока не указывают сроки, когда законопроект будет принят.
Читайте оригинальную статью на сайте Happycoin.club","29.03.2024, 19:18",https://ru.investing.com/news/cryptocurrency-news/article-2392500
"В индекс Мосбиржи войдут акции «Мечела», «Мосэнерго» и «Совкомфлота»","© Reuters.
Investing.com — Московская биржа с 22 декабря изменит базы расчета индексов Мосбиржи и РТС. В них войдут акции горнодобывающей и металлургической компании «Мечел (MCX:MTLR)», энергокомпании «Мосэнерго (MCX:MSNG)», девелопера ГК «Самолет» и судоходной компании «Совкомфлот (MCX:FLOT)», говорится в сообщении на сайте.РТС . В них войдут акции горнодобывающей и металлургической компании «Мечел (MCX: MTLR )», энергокомпании «Мосэнерго (MCX: MSNG )», девелопера ГК «Самолет» и судоходной компании «Совкомфлот (MCX: FLOT )», говорится в сообщении на сайте. 
В базу расчета индекса голубых фишек будут включены обыкновенные акции НЛМК (MCX:NLMK), бумаги МТС (MCX:MTSS) покинут индекс. В базу расчета индекса средней и малой капитализации войдут бумаги Московского кредитного банка.NLMK ), бумаги МТС (MCX: MTSS ) покинут индекс. В базу расчета индекса средней и малой капитализации войдут бумаги Московского кредитного банка. 
В базу расчета индекса акций широкого рынка будут включены акции группы «Астра» и Henderson. Из него будут исключены акции «Россети Северо-Запад (MCX:MRKZ)» и депозитарные расписки иностранного эмитента на акции O’KEY Group S.A. В индекс информационных технологий войдут акции группы «Астра», в индекс потребительского сектора — ПАО «ЭЙЧ ЭФ ДЖИ». Из последнего исключат депозитарные расписки иностранного эмитента на акции O’KEY Group S.A. Кроме того, акции «Россети (MCX:RSTI) Северо-Запад» покинут индекс электроэнергетики.MRKZ )» и депозитарные расписки иностранного эмитента на акции O’KEY Group S.A. В индекс информационных технологий войдут акции группы «Астра», в индекс потребительского сектора — ПАО «ЭЙЧ ЭФ ДЖИ». Из последнего исключат депозитарные расписки иностранного эмитента на акции O’KEY Group S.A. Кроме того, акции «Россети (MCX: RSTI ) Северо-Запад» покинут индекс электроэнергетики. 
В лист ожидания на включение в базу расчета индекса Мосбиржи и индекса РТС включены акции компании «ВСМПО-Ависма (MCX:VSMO)», банка «Санкт-Петербург», группы «Ренессанс Страхование (MCX:RENI)», а также «Ленты (MCX:LNTADR)». Акции «Магнита (MCX:MGNT)» остаются в листе ожидание на исключение из базы расчета.индекса Мосбиржи и индекса РТС включены акции компании «ВСМПО-Ависма (MCX: VSMO )», банка «Санкт-Петербург», группы «Ренессанс Страхование (MCX: RENI )», а также «Ленты (MCX: LNTADR )». Акции «Магнита (MCX: MGNT )» остаются в листе ожидание на исключение из базы расчета. 
Читайте нас в Telegram и «ВКонтакте».и","30.11.2023, 12:31",https://ru.investing.com/news/stock-market-news/article-2329039
Мосбиржа добавит восемь акций на вечерние торги,"© Reuters.
Investing.com — Московская биржа со следующей пятницы, 10 ноября, увеличит число акций, доступных для заключения сделок на вечерней торговой сессии, говорится в сообщении торговой площадки, опубликованном 3 ноября.торговой площадки, опубликованном 3 ноября. 
В список инструментов доступных на вечерних торгах рынка акций будут добавлены восемь ценных бумаг: обыкновенные акции группы «Астра», банка «Санкт-Петербург», компаний «Глобалтрак менеджмент» (ГТМ) и «Мосэнерго (MCX:MSNG)», Новороссийского морского торгового порта (MCX:NMTP) (НМТП), нефтедобытчика «Русснефть», Трубной металлургической компании (MCX:TRMK) (ТМК), а также IT-группы «Софтлайн».MSNG )», Новороссийского морского торгового порта (MCX: NMTP ) (НМТП), нефтедобытчика «Русснефть», Трубной металлургической компании (MCX: TRMK ) (ТМК), а также IT-группы «Софтлайн». 
На данный момент на вечерней сессии инвесторам доступны для торговли 162 инструмента — привилегированные и обыкновенные акции, паи биржевых (БПИФ) и открытых паевых инвестиционных фондов (ОПИФ).
Читайте нас в Telegram и «ВКонтакте».и","03.11.2023, 17:58",https://ru.investing.com/news/stock-market-news/article-2313991
МОЭК завершила размещение бондов объемом 5 млрд рублей,"МОЭК завершила размещение бондов объемом 5 млрд рублей
ПАО ""МОЭК"" завершило размещение 6-летнего выпуска облигаций серии 001Р-05 объемом 5 млрд рублей, говорится в сообщении компании.

Сбор заявок на выпуск прошел 13 декабря. Первоначально ориентир ставки 1-го купона составлял не выше 9,50% годовых, в ходе маркетинга он несколько раз снижался. Ставка 1-го купона установлена на уровне 9,3% годовых, ей соответствует доходность к оферте через 3 года в размере 9,52% годовых. Предусмотрены полугодовые купоны.

Организатором и агентом по размещению выступил Газпромбанк.

В настоящее время в обращении также находится 4 выпуска биржевых облигаций компании на 20 млрд рублей.

ПАО ""МОЭК"" выполняет функции единой теплоснабжающей организации Москвы. Компания обеспечивает централизованное отопление и горячее водоснабжение города в зоне действия ТЭЦ ПАО ""Мосэнерго (MCX:MSNG)"".MSNG )"".","22.12.2022, 17:19",https://ru.investing.com/news/economy/article-2211025
"МОЭК установила ставку 1-го купона бондов объемом 5 млрд руб. на уровне 9,3%","МОЭК установила ставку 1-го купона бондов объемом 5 млрд руб. на уровне 9,3%
ПАО ""МОЭК"" установило ставку 1-го купона 6-летнего выпуска облигаций серии 001Р-05 объемом 5 млрд рублей на уровне 9,30% годовых, говорится в сообщении компании.

Ставке соответствует доходность к оферте через 3 года в размере 9,52% годовых. Предусмотрены полугодовые купоны.

Сбор заявок на выпуск прошел 13 декабря. Первоначально ориентир ставки 1-го купона составлял не выше 9,50% годовых, в ходе маркетинга он несколько раз снижался.

Организатором и агентом по размещению выступает Газпромбанк (MOEX: GZPR).

Техразмещение запланировано на 22 декабря.

В настоящее время в обращении находится 4 выпуска биржевых облигаций компании на 20 млрд рублей.

ПАО ""МОЭК"" выполняет функции единой теплоснабжающей организации Москвы. Компания обеспечивает централизованное отопление и горячее водоснабжение города в зоне действия ТЭЦ ПАО ""Мосэнерго (MCX:MSNG)"".MSNG )"".","14.12.2022, 10:45",https://ru.investing.com/news/economy/article-2208554
"МОЭК установила финальный ориентир ставки 1-го купона бондов объемом 5 млрд руб. на уровне 9,3%","МОЭК установила финальный ориентир ставки 1-го купона бондов объемом 5 млрд руб. на уровне 9,3%
ПАО ""МОЭК"" установило финальный ориентир ставки 1-го купона 6-летнего выпуска облигаций серии 001Р-05 объемом 5 млрд рублей на уровне 9,30% годовых, сообщил ""Интерфаксу"" источник на финансовом рынке.

Ориентиру соответствует доходность к оферте через 3 года в размере 9,52% годовых. Предусмотрены полугодовые купоны.

Сбор заявок прошел 13 декабря с 11:00 до 15:00 МСК. Первоначально ориентир ставки 1-го купона составлял не выше 9,50% годовых.

Организатором и агентом по размещению выступает Газпромбанк.

Техразмещение запланировано на 22 декабря.

В настоящее время в обращении находится 4 выпуска биржевых облигаций компании на 20 млрд рублей.

ПАО ""МОЭК"" выполняет функции единой теплоснабжающей организации Москвы. Компания обеспечивает централизованное отопление и горячее водоснабжение города в зоне действия ТЭЦ ПАО ""Мосэнерго (MCX:MSNG)"".MSNG )"".","13.12.2022, 17:41",https://ru.investing.com/news/economy/article-2208358
МОЭК 13 декабря проведет сбор заявок на облигации объемом 5 млрд рублей,"МОЭК 13 декабря проведет сбор заявок на облигации объемом 5 млрд рублей
ПАО ""МОЭК"" 13 декабря с 11:00 до 15:00 МСК проведет сбор заявок инвесторов на приобретение 6-летних облигаций серии 001Р-05 с офертой через 3 года объемом 5 млрд рублей, сообщил ""Интерфаксу"" источник на финансовом рынке.

Ориентир доходности - премия не выше 140 б.п. к ОФЗ на сроке 3 года. Купоны полугодовые.

Организатором и агентом по размещению выступит Газпромбанк.

Техразмещение запланировано на 22 декабря.

В настоящее время в обращении находится 4 выпуска биржевых облигаций компании на 20 млрд рублей.

ПАО ""МОЭК"" выполняет функции единой теплоснабжающей организации Москвы. Компания обеспечивает централизованное отопление и горячее водоснабжение города в зоне действия ТЭЦ ПАО ""Мосэнерго (MCX:MSNG)"".MSNG )"".","08.12.2022, 17:22",https://ru.investing.com/news/economy/article-2207187
"МОЭК выкупила по оферте 21,1% выпуска бондов 001P-03 на 1,06 млрд рублей","МОЭК выкупила по оферте 21,1% выпуска бондов 001P-03 на 1,06 млрд рублей
ПАО ""МОЭК"" приобрело в рамках оферты 1 млн 56,069 тыс. облигаций серии 001Р-03 по цене 100% от номинала, говорится в сообщении компании.

Объем выпуска составляет 5 млн облигаций номиналом 1 тыс. рублей каждая, таким образом, компания выкупила 21,12% выпуска.

Компания разместила 6-летний выпуск на 5 млрд рублей в ноябре 2019 года по ставке 6,8% годовых. Ставка текущего купона - 9,3% годовых.

В настоящее время в обращении находится 4 выпуска биржевых облигаций компании на 20 млрд рублей.

ПАО ""МОЭК"" выполняет функции единой теплоснабжающей организации Москвы. Компания обеспечивает централизованное отопление и горячее водоснабжение города в зоне действия ТЭЦ ПАО ""Мосэнерго (MCX:MSNG)"".MSNG )"".","17.11.2022, 12:18",https://ru.investing.com/news/economy/article-2201473
"МОЭК установила ставку 7-10-го купонов бондов 001Р-03 на уровне 9,3%","МОЭК установила ставку 7-10-го купонов бондов 001Р-03 на уровне 9,3%
ПАО ""МОЭК"" установило ставку 7-10-го купонов облигаций серии 001Р-03 на уровне 9,3% годовых, говорится в сообщении компании.

Компания разместила 6-летний выпуск на 5 млрд рублей в ноябре 2019 года по ставке 6,8% годовых до оферты с исполнением 16 ноября 2022 года.

В настоящее время в обращении находится 4 выпуска биржевых облигаций компании на 20 млрд рублей.

ПАО ""МОЭК"" выполняет функции единой теплоснабжающей организации Москвы. Компания обеспечивает централизованное отопление и горячее водоснабжение города в зоне действия ТЭЦ ПАО ""Мосэнерго (MCX:MSNG)"".MSNG )"".","03.11.2022, 14:17",https://ru.investing.com/news/economy/article-2196211
