Title,Text,Time,Url
Железная руда на 5-недельном минимуме из-за опасений по поводу Китая,"© Reuters
Investing.com — Железная руда упала до самого низкого уровня более чем за пять недель, опустившись ниже $100 за тонну, поскольку слабые данные по промышленной прибыли в Китае подчеркнули уязвимость экономики страны, пишет Bloomberg.Железная руда упала до самого низкого уровня более чем за пять недель, опустившись ниже $100 за тонну, поскольку слабые данные по промышленной прибыли в Китае подчеркнули уязвимость экономики страны, Bloomberg. 
Фьючерсы в Сингапуре достигли $99 за тонну, направляясь ко второму недельному снижению. В целом, промышленные компании Китая зафиксировали снижение прибыли в ноябре четвертый месяц подряд, что поставило их на путь к самому резкому годовому снижению с начала ведения статистики в 2000 году. Тем не менее, прибыльность сталелитейщиков немного повысилась в прошлом месяце.зафиксировали снижение прибыли в ноябре четвертый месяц подряд, что поставило их на путь к самому резкому годовому снижению с начала ведения статистики в 2000 году. Тем не менее, прибыльность сталелитейщиков немного повысилась в прошлом месяце. 
Железная руда упала на 29% в этом году из-за продолжительного замедления экономики Китая, особенно его сектора недвижимости, несмотря на неоднократные попытки властей стабилизировать ситуацию. В то же время, поставки от горнодобывающих компаний в Австралии и Бразилии, крупнейших экспортеров, продолжали расти.упала на 29% в этом году из-за продолжительного замедления экономики Китая, особенно его сектора недвижимости, несмотря на неоднократные попытки властей стабилизировать ситуацию. В то же время, поставки от горнодобывающих компаний в Австралии и Бразилии, крупнейших экспортеров, продолжали расти. 
Фьючерсы на железную руду упали на 1.8% до $98.95 за тонну, самого низкого уровня с 19 ноября, после чего восстановились до $99.10 в 13:44 по местному времени. Фьючерсы на сталь в Шанхае также подешевели.
Ситуация с базовыми металлами выглядит неоднозначно: медь выросла на 0,5% на Лондонской бирже металлов после двухдневного перерыва в торгах из-за праздника, в то время как алюминий и цинк упали на 0,5%.медь выросла на 0,5% на Лондонской бирже металлов после двухдневного перерыва в торгах из-за праздника, в то время как алюминий и цинк упали на 0,5%.","27.12.2024, 11:23",https://ru.investing.com/news/commodities-news/article-2609708
Железная руда подешевела почти на 30% в 2024 году,"© Reuters
Investing.com — Железная руда слегка подорожала, так как китайские сталелитейные заводы пополняют запасы в преддверии возобновления производства весной, пишет Bloomberg.Железная руда слегка подорожала, так как китайские сталелитейные заводы пополняют запасы в преддверии возобновления производства весной, Bloomberg. 
Фьючерсы на железную руду в Сингапуре выросли на 1,2% в четверг после падения ранее в этом месяце, когда производители сокращали операции в зимний межсезонный период. Производство на крупных металлургических заводах сократилось до минимального уровня за последние три месяца, согласно данным Китайской ассоциации чугуна и стали.
Железная руда упала почти на 30% в этом году, главным образом из-за пессимизма по поводу спроса со стороны Китая и его слабого строительного сектора. Настроение остается хрупким, хотя правительство обещает предпринять дополнительные меры для стимулирования экономики.
В 10:48 утра в Сингапуре цены выросли на 0,9% до $101,35.
На Шанхайской фьючерсной бирже цинк вырос на 0,4%, дорожая четвертый день подряд, в то время как медь также подорожала. Лондонская металлургическая биржа закрыта из-за праздников.цинк вырос на 0,4%, дорожая четвертый день подряд, в то время как медь также подорожала. Лондонская металлургическая биржа закрыта из-за праздников. 
Спотовое золото выросло на 0,4%, отыгрывая потери этого месяца.золото выросло на 0,4%, отыгрывая потери этого месяца.","26.12.2024, 09:24",https://ru.investing.com/news/commodities-news/article-2609162
Железная руда упала ниже $100 из-за мрачных перспектив Китая,"© Reuters
Investing.com — Цена железной руды упала ниже $100 за тонну, поскольку рынок оценивает перспективы китайского сектора недвижимости, которые, как ожидается, ухудшатся. Об этом пишет Bloomberg.Bloomberg. 
Экономисты ожидают, что как цены на жилье, так и продажи в стране продолжат падать в следующем году, хотя снижение может быть менее значительным, чем в 2024 году. Железная руда, основной продукт для производства стали, в этом году упала почти на треть и показывает одни из худших результатов среди сырьевых товаров.
В начале этого месяца железная руда подорожала на фоне оптимизма, что обещания высшего руководства Китая поддержат экономику и рынок недвижимости, однако вскоре настроения ухудшились. По оценкам Исследовательского института планирования и металлургической промышленности Китая, прогнозируется, что внутренний спрос на сталь в стране в этом году снизится на 4,4%, а в 2025 году — на 1,5%.железная руда подорожала на фоне оптимизма, что обещания высшего руководства Китая поддержат экономику и рынок недвижимости, однако вскоре настроения ухудшились. По оценкам Исследовательского института планирования и металлургической промышленности Китая, прогнозируется, что внутренний спрос на сталь в стране в этом году снизится на 4,4%, а в 2025 году — на 1,5%. 
Фьючерсы в Сингапуре упали до $99,90 за тонну, прежде чем немного отыграли потери, и по состоянию на 11 часов утра по местному времени торговались с понижением на 0,6%, у отметки $100,65. Железная руда в Даляне и сталь в Шанхае незначительно подорожали.
Базовые металлы на Лондонской бирже металлов в целом подорожали: медь выросла на 0,3% до $8 941 за тонну, никель — на 0,7%, а цинк — на 0,9%.медь выросла на 0,3% до $8 941 за тонну, никель — на 0,7%, а цинк — на 0,9%.","24.12.2024, 10:28",https://ru.investing.com/news/commodities-news/article-2608530
Базовые металлы подорожали за счет ослабления доллара,"© Reuters.
Investing.com — Базовые металлы и железная руда выросли в цене после падения доллара после того Трамп предложил кандидата на пост главы Минфина, пишет Bloomberg.железная руда выросли в цене после падения доллара после того Трамп предложил кандидата на пост главы Минфина, Bloomberg. 
Все основные контракты на Лондонской бирже металлов пошли вверх, следуя за ростом акций и других рискованных активов. Американская валюта снизилась самыми большими темпами более чем за две недели, поддержав товары, номинированные в долларах, после назначения управляющего хедж-фондом Скотта Бессента на пост главы Минфина.долларах , после назначения управляющего хедж-фондом Скотта Бессента на пост главы Минфина. 
Металлы пережили трудные недели после выборов Трампа, испытывая давление из-за резкого роста доллара и опасений, что его торговая политика может нанести удар по Китаю, крупнейшему в мире потребителю металлов. Инвесторы ожидают, что Бессент сосредоточится на экономической стабильности и стабильности рынков, а не на более радикальных мерах.
Трейдеры также следили за усилиями Китая по поддержанию своей экономики после самого агрессивного стимулирующего пакета с начала пандемии. Центральный банк страны оставил без изменения ставку по кредитам после последнего снижения в сентябре, поскольку власти остаются терпеливыми в вопросах усиления стимулов.стимулирующего пакета с начала пандемии. Центральный банк страны оставил без изменения ставку по кредитам после последнего снижения в сентябре, поскольку власти остаются терпеливыми в вопросах усиления стимулов. 
Медь, которая в пятницу закрыла восьмую неделю падения подряд, выросла почти на 1% до $9070 за тонну на Лондонской бирже металлов к 12:46 мск. Алюминий добавил 1,5%, в то время как цинк вырос на 1%.Медь , которая в пятницу закрыла восьмую неделю падения подряд, выросла почти на 1% до $9070 за тонну на Лондонской бирже металлов к 12:46 мск. Алюминий добавил 1,5%, в то время как цинк вырос на 1%. 
Железная руда подорожала на 1,6% до $102,20 за тонну в Сингапуре. Контракты, номинированные в юанях, выросли в Даляне, как и фьючерсы на сталь в Шанхае.","25.11.2024, 12:48",https://ru.investing.com/news/commodities-news/article-2581094
Медь несет самые крупные недельные потери более чем за 5 лет,"Investing.com — Цены на медь демонстрируют самую продолжительную серию недельных потерь более чем за пять лет, поскольку базовые металлы испытывают сильное давление на фоне роста доллара и сохраняющихся опасений по поводу китайского спроса. Об этом пишет Bloomberg.медь демонстрируют самую продолжительную серию недельных потерь более чем за пять лет, поскольку базовые металлы испытывают сильное давление на фоне роста доллара и сохраняющихся опасений по поводу китайского спроса. Об этом Bloomberg. 
Хотя медь стабилизировалась в пятницу, она снижается с конца сентября и готова к седьмому подряд недельному падению. До президентских выборов в США ключевым фактором были опасения по поводу экономики Китая. Резкий рост доллара после победы Дональда Трампа усугубил ситуацию.Резкий рост доллара после победы Дональда Трампа усугубил ситуацию. 
«Мы ожидаем, что цены на промышленные металлы останутся очень чувствительными к любым заявлениям о стимулировании со стороны материкового Китая, с настроением рынка, склонным в сторону дальнейшей поддержки в ожидании возобновления торговой напряженности с Пекином при втором президентском сроке Трампа», — написала BMI, компания Fitch Solutions.
«Мы ожидаем, что цены на промышленные металлы останутся очень чувствительными к любым заявлениям о стимулировании со стороны материкового Китая, с настроением рынка, склонным в сторону дальнейшей поддержки в ожидании возобновления торговой напряженности с Пекином при втором президентском сроке Трампа», — написала BMI, компания Fitch Solutions.
Рост спроса в Китае замедляется, и существует неопределенность по поводу того, что возвращение Трампа в Белый дом может означать для глобальной торговли.для глобальной торговли . 
Данные из Китая, опубликованные в пятницу, показали, что по крайней мере некоторые части экономики стабилизируются, при этом розничные продажи растут быстрее, чем ожидалось. Но промышленное производство оказалось ниже прогнозов, и Bloomberg Economics заявили, что экономика «достигла дна, но еще не восстанавливается».показали , что по крайней мере некоторые части экономики стабилизируются, при этом розничные продажи растут быстрее, чем ожидалось. Но промышленное производство оказалось ниже прогнозов, и Bloomberg Economics заявили, что экономика «достигла дна, но еще не восстанавливается».","15.11.2024, 09:38",https://ru.investing.com/news/commodities-news/article-2572476
Сырьевые рынки под давлением на ожиданиях сценария Трамп 2.0,"© Reuters.
Investing.com — Сырьевые товары, от нефти до металлов и зерна, упали в среду на фоне укрепления доллара, который отыгрывает победу Дональд на президентских выборах, пишет Yahoo Finance.нефти до металлов и зерна, упали в среду на фоне укрепления доллара , который отыгрывает победу Дональд на президентских выборах, Yahoo Finance. 
По данным CNN, республиканец набрал 276 голосов выборщиков. Для победы нужно 270. Демократический кандидат Камала Харрис, по данным CNN, набрала 219 голосов выборщиков.
Цены на нефть и соевые бобы упали примерно на 1,5%, а медь подешевела более чем на 2% на фоне повсеместного ралли доллара США. Цены на драгоценные металлы, включая золото, понесли более скромные потери.нефть и соевые бобы упали примерно на 1,5%, а медь подешевела более чем на 2% на фоне повсеместного ралли доллара США. Цены на драгоценные металлы, включая золото , понесли более скромные потери. 
«Это первоначальная реакция сырьевых рынков на подсчет голосов в США и первые результаты, свидетельствующие в пользу победы Трампа», — сказал агентству Reuters Оле Хансен, глава отдела товарных стратегий Saxo Bank.
«Основное внимание уделяется тому, что в случае сценария „Трамп 2.0“, то, скорее всего, мы увидим тарифы на китайские товары, что негативно скажется на металлах, поскольку Китай является крупным потребителем меди, железной руды и стали. Нефть снижается на опасениях по поводу экономического роста, поскольку тарифы не способствуют общему глобальному спросу», — сказал он.
«Это первоначальная реакция сырьевых рынков на подсчет голосов в США и первые результаты, свидетельствующие в пользу победы Трампа», — сказал агентству Reuters Оле Хансен, глава отдела товарных стратегий Saxo Bank.
«Основное внимание уделяется тому, что в случае сценария „Трамп 2.0“, то, скорее всего, мы увидим тарифы на китайские товары, что негативно скажется на металлах, поскольку Китай является крупным потребителем меди, железной руды и стали. Нефть снижается на опасениях по поводу экономического роста, поскольку тарифы не способствуют общему глобальному спросу», — сказал он.
Китайские промышленные металлы и сталелитейная промышленность могут столкнуться с негативными последствиями при Трампе, который пообещал ввести 60%-ные тарифы на китайские товары, чтобы стимулировать американское производство.
«Цены на сталь в Китае ощутят еще более мощное понижательное давление, а отечественные сталелитейные компании могут столкнуться с еще более серьезными потерями», — говорит Гэ Синь, заместитель директора Исследовательского центра стали Lange.
«Это связано с тем, что Трамп будет более агрессивен в плане мер против Китая».
«Цены на сталь в Китае ощутят еще более мощное понижательное давление, а отечественные сталелитейные компании могут столкнуться с еще более серьезными потерями», — говорит Гэ Синь, заместитель директора Исследовательского центра стали Lange.
«Это связано с тем, что Трамп будет более агрессивен в плане мер против Китая».
Мировые поставки нефти могут столкнуться с перебоями, если администрация Трампа ужесточит санкции в отношении поставок из Ирана, который экспортирует около 1,3 миллиона баррелей в день.
«Кроме того, Трамп может поддержать Израиль в ужесточении военной позиции в отношении Ирана, что в ближайшей перспективе повышает риск военной эскалации, которая может повлиять на поставки в регионе», говорит Саул Кавоник, старший аналитик по энергетике MST Marquee.
«Кроме того, Трамп может поддержать Израиль в ужесточении военной позиции в отношении Ирана, что в ближайшей перспективе повышает риск военной эскалации, которая может повлиять на поставки в регионе», говорит Саул Кавоник, старший аналитик по энергетике MST Marquee.
Что касается сельского хозяйства, то Пекин может быть вынужден ответить ответными тарифами на американские соевые бобы, если Трамп победит и введет новые тарифы на китайские товары.
Хотя Пекин сократил зависимость от импорта сои из США, эта масличная культура остается крупнейшим сельскохозяйственным экспортом США в Китай.","06.11.2024, 14:07",https://ru.investing.com/news/commodities-news/article-2559596
Медь дорожает на позитивных сигналах из Китая,"Investing.com — Фьючерс на медь растет третий день на фоне позитивных экономических данных из Китая и надежд на то, что Пекин примет дополнительные меры по поддержке экономики, пишет BNN Bloomberg.Фьючерс на медь растет третий день на фоне позитивных экономических данных из Китая и надежд на то, что Пекин примет дополнительные меры по поддержке экономики, BNN Bloomberg. 
Активность в сфере услуг Китая выросла в прошлом месяце самыми быстрыми темпами с июля, а на прошлой неделе стало известно о росте деловой активности в производственной сфере. В совокупности эти данные свидетельствуют о том, что недавние меры стимулирования экономики могут оказать определенное положительное влияние.в сфере услуг Китая выросла в прошлом месяце самыми быстрыми темпами с июля, а на прошлой неделе стало известно о росте деловой активности в производственной сфере. В совокупности эти данные свидетельствуют о том, что недавние меры стимулирования экономики могут оказать определенное положительное влияние. 
Ожидается, что на этой неделе на заседании Постоянного комитета Всекитайского собрания народных представителей правительство Китая представит дополнительные меры по поддержке экономики. По данным Bloomberg Economics, высокопоставленные чиновники делали намеки на то, что будет сделано важное заявление.
Металлы, включая медь, упали в прошлом месяце, так как первоначальный оптимизм по поводу усилий Китая по стимулированию роста сменился сомнениями в их эффективности.
Также рынки будет следить за ходом выборов в США во вторник, а результаты начнут поступать в Азию на следующий день.
Медь росла в день выборов в девяти из 10 предыдущих циклов, говорится в сообщении Citigroup Inc. от 4 ноября. Металл может временно подорожать до $10 000 за тонну на предстоящей неделе благодаря смягчению кредитно-денежной политики Китая и США, повышению риска для акций в случае победы Дональда Трампа или снижению тарифных опасений в случае победы Камалы Харрис, говорится в сообщении.Citigroup Inc. от 4 ноября. Металл может временно подорожать до $10 000 за тонну на предстоящей неделе благодаря смягчению кредитно-денежной политики Китая и США, повышению риска для акций в случае победы Дональда Трампа или снижению тарифных опасений в случае победы Камалы Харрис, говорится в сообщении. 
Медь подорожала на 0,43% до $9 724,50 за тонну на Лондонской бирже металлов по состоянию на 11:11 мск. Алюминий подорожал на 0,78% до $2 641 после того, как данные Shanghai Metals Market показали, что запасы в Китае упали до самого низкого уровня с февраля.Медь подорожала на 0,43% до $9 724,50 за тонну на Лондонской бирже металлов по состоянию на 11:11 мск. Алюминий подорожал на 0,78% до $2 641 после того, как данные Shanghai Metals Market показали, что запасы в Китае упали до самого низкого уровня с февраля. 
Фьючерсы на железную руду, тем временем, выросли на 1,39% до $103,91 за тонну на Сингапурской бирже после аналогичного роста в понедельник.железную руду , тем временем, выросли на 1,39% до $103,91 за тонну на Сингапурской бирже после аналогичного роста в понедельник.","05.11.2024, 11:20",https://ru.investing.com/news/commodities-news/article-2557649
Спрос на медь в Китае достигнет пика к 2030 году — исследование,"Investing.com — Рост спроса на медь в Китае замедлится в ближайшие годы и достигнет пика к концу этого десятилетия, пишет BNN Bloomberg со ссылкой на исследование государственного аналитического центра.медь в Китае замедлится в ближайшие годы и достигнет пика к концу этого десятилетия, BNN Bloomberg со ссылкой на исследование государственного аналитического центра. 
Компания Beijing Antaike Information Development Co. прогнозирует значительный рост спроса со стороны сектора возобновляемых источников энергии, но также отмечает влияние замедляющейся китайской экономики и переход покупателей на алюминий.
Согласно аналитику Antaike Ян Чанхуа, средний рост спроса в Китае в период до 2030 года составит 1,1%, по сравнению с 3,9% в пятилетнем периоде до 2025 года. Интенсивность использования меди в инвестициях в возобновляемые источники снижается, поскольку отрасли стремятся уменьшить использование или найти альтернативные материалы, отметил он.
За последние пять лет появилось множество захватывающих прогнозов по меди, в основном основанных на идее, что мировые шахты будут испытывать трудности с удовлетворением долгосрочного бума спроса. Цены достигли рекорда в этом году на фоне признаков нехватки предложения.
Ключевыми рисками для прогноза «пика к 2030 году» являются будущая сила китайского экспорта в сфере производства или перенос заводов за рубеж, отметил Ян. Он не представил прогноз глобального спроса на медь.
Общий объем потребления меди в Китае в электротранспорте, а также в солнечной и ветроэнергетике вырастет до 3,1 миллиона тонн к 2030 году, сказал эксперт. Это составит 26% от общего спроса в стране, по сравнению с 15% в 2023 году.","25.10.2024, 11:11",https://ru.investing.com/news/commodities-news/article-2544910
Быки по золоту взяли паузу после череды рекордов,"Investing.com — Цены на золото немного снизились на азиатских торгах в пятницу, оставаясь неподалеку от рекордных максимумов, достигнутых ранее на этой неделе, поскольку ожидание напряженных президентских выборов в США заставляет трейдеров склоняться к безопасным активам.
После обновления очередного рекорда металл был вынужден отступить под влиянием крепкого доллара и роста доходности казначейских облигаций. 
Спрос на защитное золото также подпитывался сохраняющимися опасениями по поводу ухудшения геополитической обстановки на Ближнем Востоке.
Спотовое золото упало на 0,28% до $2 728 за унцию, а декабрьские фьючерсы подешевели на 0,29% до $2 741 к 09:38 мск. Спотовое золото подрастает на 0,2% на этой неделе после достижения рекордного максимума в $2 758,53 за унцию.Спотовое золото упало на 0,28% до $2 728 за унцию, а декабрьские фьючерсы подешевели на 0,29% до $2 741 к 09:38 мск. Спотовое золото подрастает на 0,2% на этой неделе после достижения рекордного максимума в $2 758,53 за унцию. 
Золото подпитывается нервозностью перед выборами в США
Спрос на золото в качестве «тихой гавани» поддерживался неопределенностью в отношении выборов в США, до которых осталось менее двух недель.
Согласно последним опросам и рынкам прогнозов, кандидат от республиканцев Дональд Трамп получил преимущество над вице-президентом Камалой Харрис.
Однако в связи с тем, что ситуация на рынке остается слишком напряженной, рынки по-прежнему не склонны к риску, что стимулирует спрос на золото.
Усиление напряженности на Ближнем Востоке также снизило аппетит к риску, после того как на этой неделе Израиль выступил с жесткой риторикой в отношении Ирана. Рынки ожидают ответного удара Израиля по Тегерану в связи с атакой, совершенной в начале октября.
Особое беспокойство вызывает то, что Израиль может нанести удар по нефтяным и ядерным объектам Ирана, что может означать серьезную эскалацию конфликта.
Конфликт между Израилем и ХАМАС и «Хезболлой» также не подает признаков деэскалации, несмотря на настойчивые попытки США выступить посредником в достижении мира.
При этом накануне стало известно, что Израиль отложил ответную атаку на Иран из-за утечки данных. отложил ответную атаку на Иран из-за утечки данных.  
Другие драгоценные металлы упали в пятницу. Фьючерсы на платину просели на 1,5% до $1,022.95 за унцию, а фьючерсы на серебро упали на 0,5% до $33.635 за унцию, но за неделю подрастают на 1,2%.Фьючерсы на платину просели на 1,5% до $1,022.95 за унцию, а  фьючерсы на серебро упали на 0,5% до $33.635 за унцию, но за неделю подрастают на 1,2%. 
Медь дешевеет четвертую неделю подряд 
Среди промышленных металлов цены на медь упали в пятницу и наметили четвертую неделю потерь, поскольку давление со стороны доллара и сомнения в отношении стимулирующих мер Китая оказали давление на красный металл.
Эталонный фьючерс на медь на Лондонской бирже металлов подешевел на 0,3% до $9535,50 за тонну, а декабрьский контракт — на 0,5% до $4,3457 за фунт. На этой неделе оба контракта снизились примерно на 1%.фьючерс на медь на Лондонской бирже металлов подешевел на 0,3% до $9535,50 за тонну, а декабрьский контракт  — на 0,5% до $4,3457 за  фунт . На этой неделе оба контракта снизились примерно на 1%. 
Заседание Всекитайского собрания народных представителей, которое должно было дать дополнительные подсказки по фискальным стимулам, было перенесено на ноябрь с конца октября.
За последний месяц Китай — крупнейший в мире импортер меди — объявил о ряде крупных мер по стимулированию экономики. Однако эти меры мало способствовали улучшению настроений, поскольку трейдеры искали более подробную информацию о сроках и масштабах планируемых мер.объявил о ряде крупных мер по стимулированию экономики. Однако эти меры мало способствовали улучшению настроений, поскольку трейдеры искали более подробную информацию о сроках и масштабах планируемых мер.","25.10.2024, 08:06",https://ru.investing.com/news/commodities-news/article-2544839
Цинк подорожал до уровней февраля 2023 года,"Investing.com — Цинк подорожал до 20-месячного максимума на признаках ужесточения условия на отраслевом рынке, пишет BNN Bloomberg.Цинк подорожал до 20-месячного максимума на признаках ужесточения условия на отраслевом рынке, BNN Bloomberg. 
Трехмесячные фьючерсы подскочили на 3,7% до $3 260,50 за тонну на Лондонской бирже металлов, что является самой высокой внутридневной ценой с февраля прошлого года. Цены демонстрируют рост третью сессию подряд на фоне растущих признаков того, что серия перебоев в работе шахт приведет к ограничению поставок.
Цинк, используемый для оцинковки стали, в этом году подорожал более чем на пятую часть, что делает его самым сильным среди шести основных металлов на LME после олова. Отражением напряженной ситуации стало то, что за последнюю неделю наличные контракты резко выросли до значительной премии к трехмесячным фьючерсам. Такая структура — известная как бэквордация — означает, что спрос на споте опережает предложение.
Несмотря на вялое китайское потребление и все еще неопределенную ситуацию в мировой экономике, в этом году возникли узкие места в предложении, что не могло не отразиться на нескольких металлах. Медеплавильные заводы испытывают трудности из-за нехватки руды, в то время как цены на алюминий выросли благодаря росту цен на его ключевой исходный материал — глинозем.
Фьючерсы на цинк торговались с повышением на 3,6% по состоянию на 14:46 по местному времени в Шанхае. Среди других металлов алюминий подорожал на 1,5% до 2 710 долларов за тонну, самого высокого уровня с мая, а медь выросла на 0,9%.алюминий подорожал на 1,5% до 2 710 долларов за тонну, самого высокого уровня с мая, а медь выросла на 0,9%.","24.10.2024, 11:46",https://ru.investing.com/news/commodities-news/article-2543186
