Title,Text,Time,Url
"Рынок акций РФ закрылся ростом, Индекс МосБиржи (ММВБ) прибавил 1,77%","© Reuters. Рынок акций РФ закрылся ростом, Индекс МосБиржи (ММВБ) прибавил 1,77%
Investing.com – Фондовый рынок РФ завершил торги пятницы ростом за счет укрепления секторов горнодобывающей промышленности, телекоммуникаций и электроснабжения.горнодобывающей промышленности , телекоммуникаций и электроснабжения . 
На момент закрытия на Московской фондовой бирже Индекс МосБиржи (ММВБ) поднялся на 1,77%.Индекс МосБиржи (ММВБ) поднялся на 1,77%. 
В лидерах роста среди компонентов индекса Индекс МосБиржи (ММВБ) по итогам сегодняшних торгов были акции Северсталь ПАО (MCX:CHMF), которые подорожали на 64,20 п. (5,23%), закрывшись на отметке в 1.292,20. Котировки Новолипецкий металлургический комбинат ПАО (MCX:NLMK) выросли на 6,88 п. (4,83%), завершив торги на уровне 149,34. Бумаги Мобильные ТелеСистемы ПАО (MCX:MTSS) выросли в цене на 9,45 п. (4,64%), закрывшись на отметке 213,00.Индекс МосБиржи (ММВБ) по итогам сегодняшних торгов были акции Северсталь ПАО (MCX: CHMF ), которые подорожали на 64,20 п. (5,23%), закрывшись на отметке в 1.292,20. Котировки Новолипецкий металлургический комбинат ПАО (MCX: NLMK ) выросли на 6,88 п. (4,83%), завершив торги на уровне 149,34. Бумаги Мобильные ТелеСистемы ПАО (MCX: MTSS ) выросли в цене на 9,45 п. (4,64%), закрывшись на отметке 213,00. 
Лидерами падения стали акции НК Роснефть ПАО (MCX:ROSN), цена которых упала на 11,85 п. (2,06%), завершив сессию на отметке 562,95. Акции Сургутнефтегаз ПАО (MCX:SNGS) поднялись на 0,47 п. (1,95%), закрывшись на уровне 23,40, а Сургутнефтегаз ПАО (прив.) (MCX:SNGS_p) снизились в цене на 1,05 п. (1,80%) и завершили торги на отметке 57,24.ROSN ), цена которых упала на 11,85 п. (2,06%), завершив сессию на отметке 562,95. Акции Сургутнефтегаз ПАО (MCX: SNGS ) поднялись на 0,47 п. (1,95%), закрывшись на уровне 23,40, а Сургутнефтегаз ПАО (прив.) (MCX: SNGS_p ) снизились в цене на 1,05 п. (1,80%) и завершили торги на отметке 57,24. 
На Московской фондовой бирже количество подорожавших бумаг (200) превысило количество закрывшихся в минусе (44), а котировки 8 акций практически не изменились.
Индекс волатильности Индекс волатильности российского рынка, который формируется на основе показателей торговли опционами на Индекс МосБиржи (ММВБ), упал на 19,74% до отметки 28.71, достигнув нового месячного минимума.Индекс волатильности российского рынка , который формируется на основе показателей торговли опционами на Индекс МосБиржи (ММВБ), упал на 19,74% до отметки 28.71, достигнув нового месячного минимума. 
Фьючерс на фьючерс на золото с поставкой в феврале прибавил 0,99%, или 26,69, достигнув отметки $2.717,49 за тройскую унцию. Что касается других товаров, цены на фьючерсы на нефть WTI с поставкой в феврале выросли на 3,76%, или 2,78, до $76,70 за баррель. Фьючерсы на фьючерс на нефть Brent с поставкой в марте подорожали на 3,71%, или 2,85, до отметки $79,77 за баррель.
Между тем на рынке Форекс пара USD/RUB снизилась на 0,49% до 101,75, а котировки EUR/RUB упали на 0,99%, достигнув отметки 104,25.
Фьючерс на индекс USD вырос на 0,44% до 109,48.","11.01.2025, 00:20",https://ru.investing.com/news/stock-market-news/article-2619365
Нефть превысила $80 впервые с октября,"© Reuters.
Investing.com — Нефть продолжает ралли в последний день торговой недели, подпитываясь опасениями перебоев в поставках на фоне разговоров о новых жестких санкциях Вашингтона против российской нефти.опасениями перебоев в поставках на фоне разговоров о новых жестких санкциях Вашингтона против российской нефти. 
Фьючерсы на Brent прибавляют с начала дня 4,5%, впервые с 8 октября превысив психологическую отметку $80 за баррель. В моменте мартовские контракты коснулись пика на $80,52 за баррель и к моменту написания материала держались вблизи пиков.Brent прибавляют с начала дня 4,5%, впервые с 8 октября превысив психологическую отметку $80 за баррель. В моменте мартовские контракты коснулись пика на $80,52 за баррель и к моменту написания материала держались вблизи пиков.","10.01.2025, 17:27",https://ru.investing.com/news/commodities-news/article-2619093
Сбербанк обошел «Роснефть» и стал самой дорогой компанией России,"© Reuters
Investing.com — Сбербанк обошел «Роснефть» по капитализации на Мосбирже, пишет РБК со ссылкой на данные торгов.Сбербанк обошел «Роснефть» по капитализации на Мосбирже, РБК со ссылкой на данные торгов. 
По состоянию на 12:42 мск 10 января совокупная стоимость бумаг «Сбера» составляла 6,14 трлн руб., а стоимость всех акций «Роснефти» на этот момент была равна 5,823 трлн руб.
В ходе утренних торгов бумаги «Роснефти» упали в связи с тем, что первый день торгуются без промежуточных дивидендов за девять месяцев 2024 года. В моменте просадка превышала 6,2%, но впоследствии большая часть потерь была отыграна. К 15:31 мск. акции торговались с понижением на 1,6%, в районе 565 руб. за бумагу.
В прошлом месяце «Роснефть» обогнала Сбербанк по капитализации и стала самой дорогой компанией России.","10.01.2025, 15:34",https://ru.investing.com/news/general-news/article-2618765
Нефть демонстрирует самый продолжительный рост с июля,"© Reuters.
Investing.com — Нефть нацелилась на третий недельный рост — самый продолжительный с июля — на фоне признаков напряженности на рынке, включая снижение запасов в США, что компенсировало опасения по поводу слабого спроса в крупнейшем импортере, Китае. Об этом пишет Bloomberg.Bloomberg. 
Мировой эталон нефти Brent поднялся выше $77 за баррель и за неделю вырос примерно на 1%, в то время как WTI находилась над $74. Запасы нефти в хранилище в Кушинге, штат Оклахома, упали до самого низкого уровня с 2014 года. Потребительская инфляция в Китае продолжила снижаться, что подчеркивает трудности, с которыми сталкиваются власти в попытках стимулирования экономики.Brent поднялся выше $77 за баррель и за неделю вырос примерно на 1%, в то время как WTI находилась над $74. Запасы нефти в хранилище в Кушинге, штат Оклахома, упали до самого низкого уровня с 2014 года. Потребительская инфляция в Китае продолжила снижаться, что подчеркивает трудности, с которыми сталкиваются власти в попытках стимулирования экономики. 
Затяжное повышение цен на нефть в последние недели поддерживается холодной погодой, которая увеличивает спрос на топливо, сокращением запасов в США и снижением поставок из России. Возвращение избранного президента Дональда Трампа в Белый дом также увеличивает риски для поставок из Ирана и создает напряженность по поводу потенциальной торговой войны, которая может прервать потоки энергоносителей.
«Сокращение запасов, ожидание снижения спроса со стороны Китая на иранский экспорт и похолодание, которое обещает значительное увеличение спроса на топливо для отопления, оправдывают это движение вверх», — говорит Крис Уэстон, глава исследовательского отдела Pepperstone Group. «Однако предложение, которое мы сейчас наблюдаем на уровне 75 долларов, свидетельствуют о справедливости текущих уровней, и существует некая неохота двигаться к $80».
«Сокращение запасов, ожидание снижения спроса со стороны Китая на иранский экспорт и похолодание, которое обещает значительное увеличение спроса на топливо для отопления, оправдывают это движение вверх», — говорит Крис Уэстон, глава исследовательского отдела Pepperstone Group. «Однако предложение, которое мы сейчас наблюдаем на уровне 75 долларов, свидетельствуют о справедливости текущих уровней, и существует некая неохота двигаться к $80».
Ожидается, что Трамп одобрит новое бурение на федеральных землях в рамках потока исполнительных приказов в первые часы после своей инаугурации 20 января. Избранный президент также пообещал ввести тарифы на весь канадский импорт, возможно, включая нефть.
Рыночные показатели указывают на ужесточение условий. Спрэд на поставку нефти Brent — разница между двумя ближайшими контрактами — увеличился до 70 центов за баррель в состоянии бэквордации, что является «бычьей» тенденцией. Месяц назад этот разрыв составлял 29 центов в бэквордации.","10.01.2025, 10:12",https://ru.investing.com/news/commodities-news/article-2618286
Нефть завершает неделю в плюсе с оглядкой на Китай и США,"© Reuters.
Investing.com — В пятницу нефть умеренно подорожала, завершая неделю ростом, чему способствуют ожидания стимулирования роста экономики Китая, крупнейшего в мире импортера нефти, пишет Reuters.Reuters. 
Также некоторую поддержку рынку оказали данные о снижении запасов сырой нефти в США.
Аналитики, опрошенные Reuters, ожидали, что запасы в США на прошлой неделе сократились примерно на 1,9 миллиона баррелей; а по данным Американского института нефти, снижение составило 3,2 миллиона баррелей.
Фьючерсы на нефть марки Brent выросли на 0,4% до $73,14 за баррель к 13:29 мск. WTI торговалась по $69,96, с повышением на 0,49%. За неделю Brent выросла на 0,5%, а WTI — на 0,4%.Brent выросли на 0,4% до $73,14 за баррель к 13:29 мск. WTI торговалась по $69,96, с повышением на 0,49%. За неделю Brent выросла на 0,5%, а WTI — на 0,4%. 
«Вероятно, мы снова движемся вверх в ожидании снижения запасов сырой нефти в США», — сказал аналитик UBS Джованни Стауново. «Некоторую поддержку нефти может вскоре оказать холодная погода, поддерживающая спрос».
«Вероятно, мы снова движемся вверх в ожидании снижения запасов сырой нефти в США», — сказал аналитик UBS Джованни Стауново. «Некоторую поддержку нефти может вскоре оказать холодная погода, поддерживающая спрос».
Официальный еженедельный отчет о запасах Управления энергетической информации США выйдет позднее сегодня, позже обычного из-за рождественских праздников.
Оптимизм в отношении экономического роста Китая и спроса на нефть был подкреплен в четверг, когда Всемирный банк повысил прогноз экономического роста Китая на 2024 и 2025 годы, но отметил, что низкая уверенность домохозяйств и бизнеса будет продолжать оказывать давление в следующем году.повысил прогноз экономического роста Китая на 2024 и 2025 годы, но отметил, что низкая уверенность домохозяйств и бизнеса будет продолжать оказывать давление в следующем году. 
Китайские власти согласились выпустить специальные казначейские облигации на сумму 3 триллиона юаней ($411 миллиардов) в следующем году, как сообщили Reuters источники на этой неделе, поскольку Пекин принимает меры для оживления застойной экономики.выпустить специальные казначейские облигации на сумму 3 триллиона юаней ($411 миллиардов) в следующем году, как сообщили Reuters источники на этой неделе, поскольку Пекин принимает меры для оживления застойной экономики. 
Тем не менее, укрепление доллара США ограничило рост цен на нефть. Американская валюта выросла на ожиданиях, что политика Трампа будет способствовать повышению инфляции.укрепление доллара США ограничило рост цен на нефть. Американская валюта выросла на ожиданиях, что политика Трампа будет способствовать повышению инфляции.","27.12.2024, 13:37",https://ru.investing.com/news/commodities-news/article-2609791
Байден может ввести новые санкции против России — The Washington Post,"© Reuters
Investing.com — Президент США Байден в последние недели своего пребывания на посту рассматривает возможность введения новых санкций против российского энергетического сектора, передает издание The Washington Post со ссылкой на осведомленные источники.издание The Washington Post со ссылкой на осведомленные источники. 
Такое намерение нацелено на то, чтобы администрация Трампа, вступающая в должность в следующем месяце, получила больше рычагов влияния на Москву.
По сведениям источников, санкции будут направлены на иностранные суда, перевозящие российскую нефть в незападные страны. Также новые ограничения могут затронуть российских экспортеров нефти, которые еще не попали в санкционные списки.нефть в незападные страны. Также новые ограничения могут затронуть российских экспортеров нефти , которые еще не попали в санкционные списки. 
Кроме того, рассматривается отзыв лицензии, позволяющей банкам обрабатывать операции с российскими энергоносителями.","24.12.2024, 14:50",https://ru.investing.com/news/general/article-2608646
Индия смотрит на Ближний Восток для восполнения дефицита российской нефти,"© Reuters.
Investing.com — Индийские государственные НПЗ рассматривают возможность выхода на рынок сырой нефти Ближнего Востока, поскольку поставки по спотовым контрактам от их основного поставщика, России, сократились, что может поддержать цены на высокосернистую нефть. Об этом пишет Reuters со ссылкой на осведомленные источники.Reuters со ссылкой на осведомленные источники. 
Три крупных государственных нефтеперерабатывающих завода — Indian Oil Corp, Bharat Petroleum Corp и Hindustan Petroleum — испытывают нехватку 8-10 миллионов баррелей российской нефти для загрузки в январе, сообщили ранее источники Reuters.Indian Oil Corp , Bharat Petroleum Corp и Hindustan Petroleum — испытывают нехватку 8-10 миллионов баррелей российской нефти для загрузки в январе, сообщили ранее источники Reuters. 
Нефтепереработчики опасаются, что проблемы с обеспечением российской нефти на спотовом рынке могут сохраниться в ближайшие месяцы, поскольку собственный спрос Москвы растет, и ей необходимо выполнять обязательства в рамках соглашения ОПЕК+.нефти на спотовом рынке могут сохраниться в ближайшие месяцы, поскольку собственный спрос Москвы растет, и ей необходимо выполнять обязательства в рамках соглашения ОПЕК+. 
Тем не менее, они добавили, что могут прибегнуть к своим запасам, чтобы удовлетворить потребности в переработке сырой нефти в марте.
По словам двух источников, их компания может закупить больше сырой нефти у поставщиков с Ближнего Востока в рамках дополнительных объемов по срочным контрактам или объявить тендер на поставку высокосернистой нефти.
Индия стала крупнейшим импортером российской нефти после того, как Европейский Союз, ранее являвшийся основным покупателем, ввел санкции на импорт российской нефти в 2022 году. На российскую нефть приходится более трети импорта энергоносителей в Индию.
«Мы должны исследовать альтернативные сорта, поскольку собственный спрос России растет, и она должна выполнять свои обязательства в рамках ОПЕК», — сказал еще один из трех источников.
Москва пообещала дополнительно сократить добычу нефти с конца 2024 года, чтобы компенсировать перепроизводство в прошлом.
Кроме того, большая часть поставок от российской государственной нефтяной компании «Роснефть» связана с соглашением с частным индийским нефтеперерабатывающим заводом Reliance Industries, сообщило Reuters ранее в этом месяце.«Роснефть» связана с соглашением с частным индийским нефтеперерабатывающим заводом Reliance Industries , сообщило Reuters ранее в этом месяце. 
На новую сделку приходится примерно половина морского экспорта нефти «Роснефти» из российских портов, в результате чего для спотовых продаж остается мало поставок.нефти «Роснефти» из российских портов, в результате чего для спотовых продаж остается мало поставок. 
Индия не вводила санкций на российскую нефть, поэтому местные НПЗ заработали на поставках, которые благодаря санкциям стали дешевле, чем конкурирующие марки, как минимум на 3-4 доллара за баррель.доллара за баррель.","24.12.2024, 12:05",https://ru.investing.com/news/commodities-news/article-2608563
Совет директоров Роснефти 26 декабря рассмотрит вопрос о главе компании,"© Reuters. Совет директоров Роснефти 26 декабря рассмотрит вопрос о главе компании
sMart-lab.ru - Совет директоров ПАО «НК „Роснефть (MCX:ROSN)“ на заседании в четверг, 26 декабря, планирует рассмотреть вопрос о назначении единоличного исполнительного органа компании. В настоящее время главным исполнительным органом компании является главный исполнительный директор Игорь Сечин.ROSN )“ на заседании в четверг, 26 декабря, планирует рассмотреть вопрос о назначении единоличного исполнительного органа компании. В настоящее время главным исполнительным органом компании является главный исполнительный директор Игорь Сечин. 
Он возглавил компанию в мае 2012 года и срок его первого контракта на этой должности составлял три года. Затем контракт был дважды продлен советом директоров на 5 лет, последний раз в мае 2020 года.
Также на заседании планируется утвердить план финансово-хозяйственной деятельности на 2025-2026 годы и вопросы о сделках. tass.ru/ekonomika/22754465
Читайте оригинальную статью на сайте sMart-lab.ru","24.12.2024, 00:04",https://ru.investing.com/news/stock-market-news/article-2608253
Поставки российской нефти в Индию резко сократились,"© Reuters.
Investing.com — Индийским государственным НПЗ становится все сложнее закупать необходимый объем российской нефти, пишет Bloomberg со ссылкой на осведомленные источники.Bloomberg со ссылкой на осведомленные источники. 
Руководители нефтяных компаний трех государственных переработчиков страны заявили, что они не могут получить достаточно российской нефти для загрузки в январе на спотовом рынке.нефти для загрузки в январе на спотовом рынке. 
Руководители государственных НПЗ, включая Indian Oil Corp., Bharat Petroleum и Hindustan Petroleum Corp., заявили, что им не удалось закупить по крайней мере шесть миллионов баррелей нефти Urals, которые они запросили на спотовом рынке. Осталось неясным, по какой причине было сделано меньше предложений, хотя такие факторы, как долгосрочный контракт между «Роснефтью» и индийским частным НПЗ Reliance Industries Ltd., а также более высокие показатели переработки в России, возможно, привели к снижению экспорта нефти, добавили они.Indian Oil Corp. , Bharat Petroleum и Hindustan Petroleum Corp. , заявили, что им не удалось закупить по крайней мере шесть миллионов баррелей нефти Urals , которые они запросили на спотовом рынке. Осталось неясным, по какой причине было сделано меньше предложений, хотя такие факторы, как долгосрочный контракт между «Роснефтью» и индийским частным НПЗ Reliance Industries Ltd., а также более высокие показатели переработки в России, возможно, привели к снижению экспорта нефти, добавили они. 
Кроме того, источники также заявили, что это может быть способом Москвы сократить спотовые грузы, продаваемые трейдерами, в пользу долгосрочных контрактов, заключаемых напрямую с российскими производителями. В настоящее время индийские государственные НПЗ покупают всю свою российскую нефть на спотовом рынке, в то время как частные компании делают это посредством сочетания спотовых и долгосрочных контрактов.
По словам руководителей, Москва оказывает давление на индийские компании, чтобы те зафиксировали свой импорт в долгосрочных контрактах, которые обычно заключаются между российскими государственными компаниями, такими как «Роснефть» и «Газпром нефть», и азиатскими покупателями. Хотя Нью-Дели также выступает за это, призывая все государственные и частные нефтеперерабатывающие компании, такие как Reliance, совместно вести переговоры о более выгодных условиях, некоторые связанные с государством переработчики не смогли принять предложенные цены и условия, сказали они.«Газпром нефть» , и азиатскими покупателями. Хотя Нью-Дели также выступает за это, призывая все государственные и частные нефтеперерабатывающие компании, такие как Reliance, совместно вести переговоры о более выгодных условиях, некоторые связанные с государством переработчики не смогли принять предложенные цены и условия, сказали они. 
В начале декабря Reuters сообщило, что Reliance решила самостоятельно заключить соглашение с «Роснефтью» на поставку 500 000 баррелей в день в течение 10 лет, что, по словам государственных компаний, ослабило общую переговорную позицию страны. Они добавили, что эта сделка, вероятно, вдохновила Россию продавать меньше нефти на спотовом рынке через трейдеров, что объясняет отсутствие спотовых грузов.заключить соглашение с «Роснефтью» на поставку 500 000 баррелей в день в течение 10 лет, что, по словам государственных компаний, ослабило общую переговорную позицию страны. Они добавили, что эта сделка, вероятно, вдохновила Россию продавать меньше нефти на спотовом рынке через трейдеров, что объясняет отсутствие спотовых грузов.","23.12.2024, 16:39",https://ru.investing.com/news/commodities-news/article-2608051
Нефть дорожает с оглядкой на угрозы Трампа,"© Reuters.
Investing.com — Цены на нефть немного выросли после недельного падения, поскольку трейдеры оценивают угрозу избранного президента Дональда Трампа восстановить контроль США над Панамским каналом, пишет Bloomberg.Bloomberg. 
К 10:45 мск. фьючерсы на Brent торговались вблизи отметки $73 за баррель после падения на 2,1% на прошлой неделе, а WTI расположилась около $70 долларов. Оба контракта прибавляли чуть более 0,5%.Brent торговались вблизи отметки $73 за баррель после падения на 2,1% на прошлой неделе, а WTI расположилась около $70 долларов. Оба контракта прибавляли чуть более 0,5%. 
На минувших выходных Трамп пригрозил потребовать возвращения под контроль Вашингтона Панамского канала в случае, если транзитные пошлины для американских судов не будут снижены.
Критика Панамы последовала за угрозами Трампа ввести тарифы в отношении Канады, Мексики и Китая, а также ЕС, если блок не будет покупать больше американской нефти и природного газа.если блок не будет покупать больше американской нефти и природного газа. 
Возросшая неопределенность не смогла вывести сырую нефть из узкого диапазона, в котором она торгуется с середины октября, из-за вялого спроса в Китае и ожиданий достаточного предложения.
«Угрозы и риторика Трампа на международной арене на данный момент в основном расцениваются нефтяным рынком как шум», — сказала Вадана Хари, основатель Vanda Insights в Сингапуре. «Учитывая пассивную торговлю и отсутствие сильных сигналов, я ожидаю, что сырая нефть будет находиться в боковике до конца года».
«Угрозы и риторика Трампа на международной арене на данный момент в основном расцениваются нефтяным рынком как шум», — сказала Вадана Хари, основатель Vanda Insights в Сингапуре. «Учитывая пассивную торговлю и отсутствие сильных сигналов, я ожидаю, что сырая нефть будет находиться в боковике до конца года».","23.12.2024, 10:49",https://ru.investing.com/news/commodities-news/article-2607712
