Title,Text,Time,Url
Индекс Мосбиржи вырос до максимума с февраля 2022 года,"© Reuters.
Investing.com — Индекс Мосбиржи, один из основных российских фондовых индикаторов, преодолел отметку в 3230 пунктов, обновив максимум с февраля 2022 года, следует из данных биржи. На максимуме в ходе торгов он достигал 3234,68 пункта при росте на 0,68%.Мосбиржи , один из основных российских фондовых индикаторов, преодолел отметку в 3230 пунктов, обновив максимум с февраля 2022 года, следует из данных биржи. На максимуме в ходе торгов он достигал 3234,68 пункта при росте на 0,68%. 
Долларовый индекс РТС рос на 0,12%, до 1053,35 пункта.РТС рос на 0,12%, до 1053,35 пункта. 
Среди лидеров роста были бумаги электроэнергетического, горнодобывающего и финансового секторов. Акции компании «Россети Юг» в моменте росли на 30,3%, «Россети Северо-Запад» — на 17,6%, «Россети Сибирь» — на 14%, «Русолово» — на 14%. Повышенным спросом пользовались акции ВТБ (к 13:20 МСК они росли на 2,81%), Росбанка (плюс 1,52%), «Магнита» (плюс 1,97%).«Россети Юг» в моменте росли на 30,3%, «Россети Северо-Запад» — на 17,6%, «Россети Сибирь» — на 14%, «Русолово» — на 14%. Повышенным спросом пользовались акции ВТБ (к 13:20 МСК они росли на 2,81%), Росбанка (плюс 1,52%), «Магнита» (плюс 1,97%). 
Среди аутсайдеров были ОАК (минус 11,2%), НПО «Наука» (минус 6,1%), «ЮТэйр» (минус 5,8%), Globaltruck (минус 5,8%).ОАК (минус 11,2%), НПО «Наука» (минус 6,1%), «ЮТэйр» (минус 5,8%), Globaltruck (минус 5,8%). 
Читайте нас в Telegram и «ВКонтакте».и 
Текст подготовил Тимур Алиев","31.08.2023, 15:03",https://ru.investing.com/news/stock-market-news/article-2288261
Акции ОАК подскочили на 45% после удачного полета «Суперджета»,"© Reuters.
Investing.com — Акции Объединенной авиастроительной корпорации (ОАК) во вторник, 29 августа, подорожали на 45% — на максимуме за день торговались по 2,575 рубля, следует из данных Московской биржи.Объединенной авиастроительной корпорации (ОАК) во вторник, 29 августа, подорожали на 45% — на максимуме за день торговались по 2,575 рубля, следует из данных Московской биржи. 
После резкого подъема акций ОАК Московская биржа объявила по ним дискретный аукцион, пишет Forbes.Forbes. 
Бумаги ОАК подскочили в цене после успешного первого полета полностью импортозамещенного самолета Sukhoi Superjet 100. В ходе него «Суперджет» поднялся на 3000 м, достиг скорости больше 340 км/час, произвел «посадку на облако» и другие маневры, заявила ОАК.ОАК. 
Читайте нас в Telegram и «ВКонтакте».и 
Текст подготовил Тимур Алиев","29.08.2023, 18:36",https://ru.investing.com/news/stock-market-news/article-2287655
"""Убыток Иркута"" по РСБУ в 2022 году составил 29,1 млрд руб. против прибыли годом ранее","""Убыток Иркута"" по РСБУ в 2022 году составил 29,1 млрд руб. против прибыли годом ранее

Объем выручки, себестоимость продаж и другие финансовые показатели в отчетности не раскрыты.
Как сообщалось, в I полугодии выручка ""Иркута"" по РСБУ составила 37 млрд руб., себестоимость продаж - 25 млрд руб. Долгосрочные обязательства были на уровне 187 млрд руб., краткосрочные - 215,4 млрд руб.
""Иркут"" ведет серийное производство многоцелевых истребителей Су-30, учебно-боевых самолетов Як-130, является разработчиком семейства пассажирских МС-21. Филиал корпорации ""Региональные самолеты"" выпускает пассажирские Superjet 100.
""Иркут"" входит в ПАО ""Объединенная авиастроительная корпорация (MCX:UNAC)"" ""Ростеха"".UNAC )"" ""Ростеха"".","09.02.2023, 15:34",https://ru.investing.com/news/economy/article-2224521
"Совет директоров ""Аэрофлота"" утвердил стратегию развития до 2030 года","© Reuters. Совет директоров ""Аэрофлота"" утвердил стратегию развития до 2030 года

В 2022 году, когда российская авиаотрасль столкнулась с ограничениями из-за западных санкций, группа ""Аэрофлот"" (объединяет одноименную авиакомпанию, ""Победу"" и ""Россию"") перевезла 40,7 млн человек - это на 11% меньше, чем годом ранее. В 2023 году, по словам Александровского, группа рассчитывает перевезти до 43,5 млн пассажиров, что предполагает рост год к году почти на 7%. К 2030 году, как ожидается, пассажиропоток группы достигнет 65 млн человек.
""Аэрофлот"" планирует ежегодный прирост пассажиропотока в более высоких темпах, чем среднеотраслевые значения"", - отметил Александровский.
Совокупный пассажиропоток российских и зарубежных авиакомпаний на рынке РФ в прошлом году, по оценке ""Аэрофлота"", составил 108 млн человек. Ожидается, что к 2030 году показатель достигнет 128 млн пассажиров при ежегодном приросте перевозок на 2,2%.
Доля группы на российском рынке к 2030 году, таким образом, увеличится с текущих 40% до 50%, спрогнозировал Александровский. Рост, по его словам, ожидается за счет увеличения самолетного парка группы, открытия новых региональных баз и выхода на новые зарубежные направления.
Предыдущая стратегия развития ""Аэрофлота"" была принята в 2020 году. К 2028 году группа рассчитывала довести свой пассажиропоток до 130 млн человек - против 60,7 млн в 2019 году. Предполагалось, что половину этого объема обеспечит низкобюджетная ""Победа"".
""Теперь не одна ""Победа"", а вся группа ""Аэрофлот"" становится драйвером развития всей российской гражданской авиации"", - заявил Александровский.
Как и в предыдущей стратегии ""Аэрофлота"", в новой заложено расширение присутствия группы в регионах РФ. Планируется развивать три кластера с базовыми аэропортами: на юге страны (для связи с другими регионами и трансфера на Ближний Восток), Дальнем Востоке (в том числе для трансфера в Азию), в Поволжье и на Урале (для перевозок внутри региона и трансфера юг - Урал/Сибирь).
К 2030 году ""Аэрофлот"" планирует полностью перейти на российское программное обеспечение, сообщил глава компании. При этом основной период импортозамещения запланирован до конца 2024 года.
В прошлом году ""Аэрофлот"" осуществил переход с американской системы бронирования Sabre на российскую разработку ""Леонардо"", напомнил Александровский. Базово система работает, но ряд клиентских сервисов по-прежнему недоступен, признал он.

Самолетный парк

Парк группы к концу 2030 года, согласно стратегии, будет насчитывать порядка 500 самолетов (сейчас - 349). При этом 70% из них, по словам Александровского, составят лайнеры отечественного производства, включая 339 машин, по которым заключено рамочное соглашение с ""Объединенной авиастроительной корпорацией"" (ОАК (MCX:UNAC)).UNAC )). 
""У нас пока только рамочный контракт, но мы работаем над твердыми. Первые два самолета - SSJ-NEW - по графику планируются к поставке в декабре 2023 года, очевидно, в ближайшее время мы выйдем на твердый контракт"", - сказал Александровский.
Первый импортозамещенный МС-21 ""Аэрофлот"" рассчитывает получить в IV квартале 2024 года. Отечественные самолеты из первых поставок, по словам Александровского, будут распределены между ""Аэрофлотом (MCX:AFLT)"" и ""Россией"".AFLT )"" и ""Россией"". 
Для подготовки пилотов к эксплуатации российской техники группе потребуется порядка 8 полнопилотажных тренажеров, сказал Александровский. ""Сроков поставки тренажеров пока нет. Ждем. Обычно тренажер появляется после самолета, месяцев через 6-8 после поставки"", - отметил он.
В соответствии с предыдущей стратегией получать и ""раскатывать"" новую отечественную авиатехнику должна была только ""Россия"", парк которой к 2028 году оценивался в 250 самолетов. ""Аэрофлот"" и ""Победа"" при этом планировали расширяться только за счет иностранных Boeing (NYSE:BA) и Airbus (EPA:AIR). В целом ожидалось, что парк группы к 2028 году вырастет до 590 самолетов, включая 235 российских.BA ) и Airbus (EPA: AIR ). В целом ожидалось, что парк группы к 2028 году вырастет до 590 самолетов, включая 235 российских. 

Финансы

В стратегии заложен выход группы на положительный финансовой результат, заявил Александровский. С каким результатом ""Аэрофлот"" завершил прошлый год, он при этом не уточнил. ""По итогам 2022 года мы чувствуем себя абсолютно уверенно с точки зрения обслуживания своих обязательств и с точки зрения свободного денежного потока"", - сказал топ-менеджер.
По итогам 2023 года долговая нагрузка группы не вырастет относительно уровня конца прошлого года, также заверил он. В дополнительных действиях по финансовому оздоровлению компания в этом году не нуждается.
Рост тарифов ""Аэрофлота"" в 2023 году, по словам Александровского, предполагается на уровень инфляции - ""дальше работает рынок, покупательская способность, спрос"". В 2022 году ""Аэрофлот"" в среднем сохранил уровень тарифов предыдущего года, отметил он.
В соответствии со стратегией ""Аэрофлот"" планирует наращивать доходы от дополнительных услуг ""за счет развития партнерств с передовыми сервисами"", также сообщил глава компании. Задача - увеличить долю таких доходов в общей выручке группы в два раза.","30.01.2023, 08:14",https://ru.investing.com/news/stock-market-news/article-2219432
Закон о федеральном бюджете РФ на 2023-2025 гг. принят в окончательном чтении,"© Reuters. Закон о федеральном бюджете РФ на 2023-2025 гг. принят в окончательном чтении

Доходы: в 2023 г. - 26 трлн 130,3 млрд руб. (17,4% ВВП), в 2024 г. - 27 трлн 239,8 млрд руб. (17,1% ВВП), в 2025 г. - 27 трлн 979,4 млрд руб. (16,4% ВВП), в том числе прогнозируемый объем нефтегазовых доходов в 2023 г. - 8 трлн 939 млрд руб. (6% ВВП), в 2024 г. - 8 трлн 656 3 млрд руб. (5,4% % ВВП), в 2025 г. - 8 трлн 488 5 млрд руб. (5% ВВП).
Расходы: в 2023 г. - 29 трлн 055,6 млрд руб. (19,4% ВВП), в 2024 г. - 29 трлн 432,5 млрд руб. (18,4% ВВП), в 2025 г. - 29 трлн 243,7 млрд руб. (17,1% ВВП).
Дефицит федерального бюджета в 2023 г. составит 2 трлн 925,3 млрд руб. (2% ВВП), в 2024 г. - 2 трлн 192,6 млрд руб. (1,4% ВВП), в 2025 г. - 1 трлн 264,3 млрд руб. (0,7% ВВП).
Объем ВВП: в 2023 г. - 149 трлн 949 млрд руб. (снижение на 0,8%), в 2024 г. - 159 трлн 714 млрд руб. (рост на 2,6%), в 2025 г. - 170 трлн 598 млрд руб. (рост на 2,6%).
Верхний предел государственного внутреннего долга: на 1 января 2024 г. - 20 трлн 697,0 млрд руб., на 1 января 2025 г. - 22 трлн 804,3 млрд руб., на 1 января 2026 г. - 24 трлн 994 млрд руб.
Верхний предел государственного внешнего долга: на 1 января 2024 г. - $66,6 млрд (63,4 млрд евро), на 1 января 2025 г. - $68,1 млрд (63,1 млрд евро), на 1 января 2026 г. - $68 млрд (61,2 млрд евро).евро ), на 1 января 2025 г. - $68,1 млрд (63,1 млрд евро), на 1 января 2026 г. - $68 млрд (61,2 млрд евро). 
Уровень инфляции: в 2023 г. не превышает 5,5%, в 2024 г. - 4%, в 2025 г. - 4%.
Объем ФНБ (прогноз, на начало года): в 2023 г. - 8 трлн 987,4 млрд руб. (6% ВВП), в 2024 г. - 6 трлн 252,9 млрд руб. (3,9% ВВП), в 2025 г. - 5 трлн 947,2 млрд руб. (3,5% ВВП).
В ходе обсуждения документа в Госдуме правительство внесло в него поправки, которые, в частности, наделяют его правом не изымать субординированный депозит на 100 млрд руб., выданный ВТБ (MCX:VTBR) в 2014 г. из средств Фонда национального благосостояния (ФНБ) на финансирование инфраструктурных проектов, даже если у банка возникнут трудности с достаточностью капитала.VTBR ) в 2014 г. из средств Фонда национального благосостояния (ФНБ) на финансирование инфраструктурных проектов, даже если у банка возникнут трудности с достаточностью капитала. 
Также была одобрена поправка, которая дает правительству право проводить в следующем году операции обмена евробондов на новые облигации федерального займа (ОФЗ) номинальной стоимостью до 800 млрд руб. Предполагается, что государственные ценные бумаги, номинированные в иностранной валюте, могут быть обменяны только на ценные бумаги РФ, номинированные в российских рублях, с равными или более длительными сроками погашения. Обмен еврооблигаций будет производиться по их рыночной стоимости, определяемой правительством, и по согласованию с их владельцами.
Отдельно поправкой оговаривается, что Банк России вправе получать государственные ценные бумаги, номинированные в рублях, при их первичном размещении в рамках обмена принадлежащих ЦБ валютных еврооблигаций.
Одобренные депутатами поправки в бюджет также предполагают дополнительное выделение 1 млрд 742 млн руб. в 2023 г. Альфа-банку, Сбербанку (MCX:SBER), РСХБ, ВТБ и Газпромбанку на возмещение недополученных ими доходов по кредитам, выданным российским организациям на реализацию проектов в области информационных технологий. Также данным банкам выделят 3 млрд руб. в 2023 г. на возмещение недополученных доходов по кредитам, выданным компаниям на рефинансирование задолженности, и 636 млн руб. на возмещение по кредитам для сектора электронной коммерции на рефинансирование задолженности.SBER ), РСХБ, ВТБ и Газпромбанку на возмещение недополученных ими доходов по кредитам, выданным российским организациям на реализацию проектов в области информационных технологий. Также данным банкам выделят 3 млрд руб. в 2023 г. на возмещение недополученных доходов по кредитам, выданным компаниям на рефинансирование задолженности, и 636 млн руб. на возмещение по кредитам для сектора электронной коммерции на рефинансирование задолженности. 
Кроме того, предусмотрено выделение в 2023 г. 1,593 млрд руб. и 2,585 млрд руб. в 2024 г. на бюджетные ассигнования кредитным организациям по программе льготного кредитования импорта приоритетной продукции.
Предполагается, что в 2023 г. по решению правительства дополнительные средства федерального бюджета могут быть направлены в уставный капитал ОАО ""Российские железные дороги"" в объеме до 27,28 млрд руб. при поступлении в федеральный бюджет в указанном объеме субсидии из бюджета г. Москвы для реализации проектов развития железнодорожной инфраструктуры Центрального транспортного узла (организация диаметральных маршрутов).
Кроме того, планируется имущественный взнос в ""Ростех"", в том числе для осуществления последующего взноса в уставный капитал публичного акционерного общества ""ОАК (MCX:UNAC)"" в размере 4,7 млрд руб. в 2023 г. для доработки и восстановления летной годности воздушных судов.UNAC )"" в размере 4,7 млрд руб. в 2023 г. для доработки и восстановления летной годности воздушных судов. 
Господдержка организаций для компенсации части процентных ставок по экспортным кредитам (и иным инструментам финансирования, аналогичным кредиту по экономической сути), а также для компенсации части страховой премии по договорам страхования экспортных кредитов в 2023 г. составит 23 млрд руб., в 2024 г. - 30 млрд руб., в 2025 г. - 9 млрд руб.
Господдержка российских организаций промышленности для компенсации затрат на транспортировку промышленной продукции в 2023 г. составит 25,4 млрд руб., в 2024 г. - 26,2 млрд руб.
Правительственные поправки также предполагают выделение около 6 млрд руб. бюджетных субсидий на развитие заправочной инфраструктуры компримированного природного газа (КПГ) в РФ в 2023-2025 гг. В 2023 г. запланировано выделение 1 млрд 230 млн руб., в 2024 г. - 2 млрд 212 млн руб., в 2025 г. - 2 млрд 460 млн руб.
В проекте постановления к закону о федеральном бюджете Госдума рекомендует правительству представить предложения по использованию остатков на счетах государственных корпораций (компаний), публично-правовых компаний и юридических лиц, получателей субсидий из федерального бюджета, включая доходы, полученные от размещения указанных остатков на депозитных счетах, и при необходимости доработать законодательство в этой сфере.
Кроме того, в проекте постановления говорится о необходимости продолжить работу по отказу от неэффективных государственных программ.","24.11.2022, 11:33",https://ru.investing.com/news/economic-indicators/article-2203163
"""ОАК"" получит в 2023 г. на создание российско-китайского самолета около 900 млн руб.","""ОАК"" получит в 2023 г. на создание российско-китайского самолета около 900 млн руб.

Финансирование проекта ""широкофюзеляжного дальнемагистрального самолета"" предполагается в рамках госпрограммы научно-технологического развития РФ. При этом на 2024 и 2025 годы соответствующие траты в ней не заложены.
CR929 разрабатывается ОАК совместно с китайским авиахолдингом COMAC в течение нескольких лет. До пандемии COVID-19 организовать первый испытательный полет лайнера планировалось в 2023 году, а начать поставки заказчикам - после 2025 года. Но в июле 2020 года тогдашний глава гражданского дивизиона ОАК Равиль Хакимов заявил, что срок начала поставок сдвигается на 2028-2029 гг. На тот момент, отмечал он, проект проходит этап Gate-3 - то есть сбор и анализ предложений поставщиков систем и агрегатов для определения конечной конфигурации самолета.
В августе этого года гендиректор ОАК Юрий Слюсарь сообщил, что работа над CR929 продолжается, но с учетом последствий пандемии и введения против РФ очередных санкций (из-за ситуации на Украине) проект будет актуализирован.
Финансирование госпрограммы развития авиапромышленности в 2023 году составит 38,5 млрд руб., в 2024 - 41,5 млрд руб., в 2025 - 39,2 млрд руб., следует из проекта бюджета. В 2022 году на эти цели было выделено 34,9 млрд руб.
В частности, на поддержку предприятий самолетостроения в ближайшие три года планируется направить 13,6 млрд руб., 11,4 млрд руб. и 10,9 млрд руб., соответственно (в 2022 году выделено 14,2 млрд руб.). Вертолетостроители могут получить по 1,9 млрд руб. в год, двигателестроители - по 884,6 млн руб., тогда как в 2022 году и тем, и тем было выделено по 1,8 млрд руб. Более 22,1 млрд руб., 27,3 млрд руб. и 25,5 млрд руб., соответственно, в госпрограмме заложено на проект господдержки авиапромышленности (против 17 млрд руб. в 2022 году).
В рамках программы госзаказа авиатехники до 2030 года на рынок планируется поставить более 450 самолетов и 460 вертолетов, сообщали ранее в ""Ростехе"" (объединяет российские предприятия авиапрома, включая ОАК). Приобретать технику - для последующей передачи авиаперевозчикам по льготным ставкам - будут лизинговые компании, говорил вице-премьер - глава Минпромторга Денис Мантуров. По его словам, в 2022-2024 годах программа будет финансироваться из средств Фонда национального благосостояния: будет выделено 279 млрд руб. под 1,5% годовых.","29.09.2022, 17:24",https://ru.investing.com/news/economy/article-2186620
"""Аэрофлот"" и ОАК подписали соглашение о поставке в 2023-30 годах 339 самолетов","© Reuters. ""Аэрофлот"" и ОАК подписали соглашение о поставке в 2023-30 годах 339 самолетов

Подписи поставили гендиректор ""Аэрофлота"" Сергей Александровский и глава ОАК Юрий Слюсарь в присутствии вице-премьера - главы Минпромторга Дениса Мантурова.
В соответствии с соглашением в 2023-2030 годах группа ""Аэрофлот"" получит на условиях лизинга 210 самолетов типа МС-21, 89 SSJ-NEW (импортозамещенная версия SSJ100) и 40 Ту-214.
Предполагается, что в 2023 году будут поставлены первые два SSJ-NEW, начиная с 2024 года планируется поставка первых шести МС-21 и семи Ту-214. Подписать первые твердые контракты на поставку самолетов в 2023-2025 годах планируется до конца текущего года, заявил Слюсарь, слова которого приводятся в совместном пресс-релизе ""Ростеха"" и ""Аэрофлота"".
""Контракт станет основным для фондирования из ФНБ: государство будет субсидировать закупку импортозамещенных версий воздушных судов, зафиксировав поставочную цену для авиакомпаний, чтобы наши перевозчики не испытывали дополнительной финансовой нагрузки"", - заявил Мантуров.
В связи с тем, что первые серийные машины всегда дороже, на первоначальном этапе разница между поставочной ценой и фактической себестоимостью будет компенсироваться из бюджета, пояснил он. С увеличением серийности от такой меры государство будет уходить. Совместно с Минфином и Минэкономразвития, по словам Мантурова, ""проводится работа по оптимизации процедур предоставления средств ФНБ для программы обновления парка"".
""На смену самолетам Boeing (NYSE:BA) и Airbus (EPA:AIR), которые вряд ли когда-нибудь еще будут поставляться в Россию, придут пассажирские лайнеры отечественного производства, - заявил глава ""Ростеха"" Сергей Чемезов. - Отмечу, что все самолеты будут поставлены (""Аэрофлоту (MCX:AFLT)"") в импортзамещенном виде: с бортовыми системами и агрегатами российского производства"".BA ) и Airbus (EPA: AIR ), которые вряд ли когда-нибудь еще будут поставляться в Россию, придут пассажирские лайнеры отечественного производства, - заявил глава ""Ростеха"" Сергей Чемезов. - Отмечу, что все самолеты будут поставлены (""Аэрофлоту (MCX: AFLT )"") в импортзамещенном виде: с бортовыми системами и агрегатами российского производства"". 
Стоимость соглашения ""Аэрофлота"" и ""Объединенной авиастроительной корпорации"" (ОАК) о поставке 339 самолетов составляет более 1 трлн рублей, сообщил журналистам Мантуров в кулуарах ВЭФ-2022.
""Контракт на поставку более 300 самолетов разного типа... Более триллиона рублей контракт, такого не было еще в истории никогда"", - сказал он.
На конец прошлого года парк группы ""Аэрофлот"" насчитывал 356 воздушных судов: около 80% из них составляли Boeing и Airbus, 20% - SSJ100.
""Аэрофлот"" - крупнейшая авиационная группа РФ, объединяет одноименную флагманскую авиакомпанию, ""Победу"" и ""Россию"". Государство контролирует 73,8% акций в ""Аэрофлоте"", 1,2% составляют квазиказначейские акции, 0,0001% - у менеджмента компании, 25% находятся в свободном обращении на ""Московской бирже"".","07.09.2022, 08:59",https://ru.investing.com/news/economy/article-2180927
"В первом полугодии чистый убыток ""Иркута"" по МСФО вырос в 10 раз","В первом полугодии чистый убыток ""Иркута"" по МСФО вырос в 10 раз

Показатели выручки и себестоимости продаж в отчетности не раскрываются (со ссылкой на постановления правительства, позволяющие ограничивать информацию о компаниях из санкционных списков). Валовая прибыль сократилась на 8%, до 16,2 млрд руб.
Долгосрочные кредиты и займы ""Иркута"" на конец полугодия составляли 84,4 млрд руб. против 106,2 млрд руб. на конец 2021 года, краткосрочные - 53,5 млрд руб. против 36,6 млрд руб.
Выплаты ключевому руководству компании в виде краткосрочных вознаграждений в отчетном периоде составили 383,7 млн руб. (годом ранее - 223,6 млн руб.)
""Иркут"" ведет серийное производство многоцелевых истребителей Су-30, учебно-боевых самолетов Як-130, является разработчиком семейства пассажирских МС-21. Филиал корпорации ""Региональные самолеты"" выпускает пассажирские Superjet 100.
""Иркут"" входит в ПАО ""Объединенная авиастроительная корпорация (MCX:UNAC)"" ""Ростеха"".UNAC )"" ""Ростеха"".","30.08.2022, 11:33",https://ru.investing.com/news/economy/article-2178761
"Полугодовой чистый убыток ОАК по МСФО вырос в 13,5 раза","© Reuters. Полугодовой чистый убыток ОАК по МСФО вырос в 13,5 раза

Выручка сократилась на 12% - до 117,8 млрд руб. В частности, выручка от строительства и продажи воздушных судов составила 60,5 млрд руб. (годом ранее - 75,6 млрд руб.), от их модернизации и ремонта - 26,5 млрд руб. (годом ранее - 29,4 млрд руб.), от НИОКР - 22,8 млрд руб. (годом ранее - 15 млрд руб.)
Себестоимость продаж ОАК повысилась на 6% - до 101,9 млрд руб. Существенное давление на финансовый результат группы также оказало начисление резервов под ожидаемые кредитные убытки по дебиторской задолженности и обесценение авансов (31,8 млрд руб.), управленческие и коммерческие расходы (16,3 млрд и 6,9 млрд руб. соответственно).
Доходы от реализации активов, предназначенных для продажи, составили 25,3 млрд руб.
Долгосрочные обязательства ОАК на конец отчетного периода составили 556,5 млрд руб. против 494,3 млрд руб. на конец 2021 года, относящиеся к ним кредиты и займы - 365,8 млрд против 334 млрд руб. Краткосрочные обязательства были на уровне 862,5 млрд против 844,6 млрд руб., займы и кредиты - 382,6 млрд против 363,1 млрд руб.
Группа ведет переговоры о привлечении различных источников финансирования текущей деятельности, включая рефинансирование текущего кредитного портфеля, допзаймы от акционеров и новые банковские кредиты, говорится в отчете. Для улучшения финансовых показателей планируются ""меры по улучшению выручки"", сокращению расходов и продаже непрофильных активов.
ОАК объединяет конструкторские бюро и авиастроительные предприятия РФ, контролируется госкорпорацией ""Ростех"".","30.08.2022, 09:49",https://ru.investing.com/news/stock-market-news/article-2178720
"АКРА и ""Эксперт РА"" подтвердили рейтинги ""Ростеха"" с прогнозом ""стабильный""","© Reuters. АКРА и ""Эксперт РА"" подтвердили рейтинги ""Ростеха"" с прогнозом ""стабильный""

Как отмечает АКРА, кредитный рейтинг госкорпорации оценен на уровне паритета с Российской Федерацией вследствие очень высокой степени поддержки со стороны государства и высокой степени зависимости государства и корпорации от однородных факторов риска. Принимая во внимание тот факт, что активы корпорации формируются в первую очередь в интересах государства, АКРА считает, что определение оценки собственной кредитоспособности (ОСК) нецелесообразно.
Аналогичного мнения придерживаются и аналитики агентства ""Эксперт РА"": ""В оценке возможностей поддержки агентство принимает во внимание условный рейтинговый класс поддерживающей структуры, оцениваемой агентством на наивысшем уровне. Агентство не выделяет каких-либо существенных ограничений, связанных с возможностью оказания поддержки"". Также агентство добавляет: ""В связи с тем, что деятельность корпорации связана с государственной тайной и прочими уровнями секретности, и существуют ограничения, связанные с раскрытием финансовой и другой информации объекта рейтинга, определение собственной кредитоспособности корпорации нецелесообразно"".
По данным ""Эксперт РА"", корпорацией разработана долгосрочная программа заимствований, направленная на диверсификацию источников финансирования и снижение стоимости заимствований. По данным агентства, в среднесрочной перспективе изменение консолидированного долга в абсолютном выражении не ожидается, долговая нагрузка у самой корпорации отсутствует.
Кроме того, в корпорации действует централизованная система управления финансовыми потоками группы, организованная на единой регламентной базе корпоративного казначейства, регулирующей условия привлечения внешнего финансирования, осуществления расчетов и взаимодействия с банками, осуществления внутригруппового финансирования, выдачи поручительств, банковских гарантий и т.д., что позитивно оценивается агентством ""Эксперт РА"".
Госкорпорация ""Ростех"" - одна из крупнейших промышленных компаний России. Объединяет более 800 научных и производственных организаций в 60 регионах страны. Ключевые направления деятельности - авиастроение, радиоэлектроника, медицинские технологии, в периметр ""Ростеха"" входят ОАК (MCX:UNAC), ""Вертолеты России"", ОДК, ""Уралвагонзавод"", концерн ""Калашников"" и другие предприятия.UNAC ), ""Вертолеты России"", ОДК, ""Уралвагонзавод"", концерн ""Калашников"" и другие предприятия.","12.08.2022, 08:26",https://ru.investing.com/news/stock-market-news/article-2174934
