Title,Text,Time,Url
Путин заявил о готовности нарастить торговлю с Индией,"© Reuters
Investing.com — Экспорт российских удобрений в Индию может быть увеличен относительно текущих уровней, заявил президент РФ Владимир Путин в рамках выступления на пленарном заседании дискуссионного клуба «Валдай». Об этом пишет Reuters.Reuters. 
«На последней встрече господин премьер-министр обратил внимание на то, что у индийских производителей сельхозпродукции есть острая необходимость увеличить объем поставок удобрений. Мы это сделали и готовы наращивать, имею в виду потребности индийского сельского хозяйства», — подчеркнул он.
«На последней встрече господин премьер-министр обратил внимание на то, что у индийских производителей сельхозпродукции есть острая необходимость увеличить объем поставок удобрений. Мы это сделали и готовы наращивать, имею в виду потребности индийского сельского хозяйства», — подчеркнул он.
Путин отметил, что РФ развивает отношения с Индией в различных направлениях, в том числе в энергетике.
«Мы развиваем отношения по всем направлениям, это касается и экономики, она развивается хорошими темпами, причем тоже по разным направлениям», — сказал президент, отметив, что также Россия участвует в строительстве АЭС на территории Индии.
«Мы развиваем отношения по всем направлениям, это касается и экономики, она развивается хорошими темпами, причем тоже по разным направлениям», — сказал президент, отметив, что также Россия участвует в строительстве АЭС на территории Индии.","08.11.2024, 09:28",https://ru.investing.com/news/general/article-2563578
Акрон разместил облигации с привязкой к ключевой ставке на 12 млрд рублей,"© Reuters. Акрон разместил облигации с привязкой к ключевой ставке на 12 млрд рублей
sMart-lab.ru - ПАО «Акрон (MCX:AKRN)» завершило размещение 3-летних облигаций серии БО-001P-05 объемом 12 млрд рублей, сообщил эмитент на ленте раскрытия информации.AKRN )» завершило размещение 3-летних облигаций серии БО-001P-05 объемом 12 млрд рублей, сообщил эмитент на ленте раскрытия информации. 
Сбор заявок на выпуск прошел 24 октября.
По займу предусмотрены переменные ежемесячные купоны, которые будут рассчитываться по формуле: сумма доходов за каждый день купонного периода, исходя из значения ключевой ставки Банка России, плюс спред в размере 1,75% годовых.
Выпуск имеет амортизационную структуру погашения: по 10% от номинальной стоимости бондов будет погашено в даты выплаты 18-го, 21-го, 24-го, 27-го, 30-го, 33-го купонов и 40% от номинала — в дату погашения.
Организаторами выступили Газпромбанк, Россельхозбанк и БК «Регион». Выпуск доступен для приобретения неквалифицированным инвесторам при условии прохождения теста №8.
Читайте оригинальную статью на сайте sMart-lab.ru","29.10.2024, 20:58",https://ru.investing.com/news/stock-market-news/article-2549146
Китай достигнет рекордного урожая зерна по итогам 2024 года ,"Investing.com — В этом году объем производства зерна в Китае превысит рекордные 700 миллионов метрических тонн, заявил в пятницу чиновник министерства сельского хозяйства, пишет Reuters.Reuters. 
Эта цифра на 0,7% выше урожая 2023 года, который составил 695,41 млн тонн, свидетельствуют данные Национального бюро статистики.
Находясь в высокой зависимости от импорта из Бразилии и США, чтобы прокормить население в 1,4 миллиарда человек, крупнейший в мире производитель зерна в последние годы увеличил инвестиции в сельскохозяйственную технику и семенные технологии в стремлении к продовольственной безопасности.
«Объем производства зерна в Китае уже девять лет подряд остается стабильным и составляет более 1,3 триллиона цзинь (1 цзинь = 0,5 кг), а в этом году, по прогнозам, впервые превысит 1,4 триллиона цзинь», — заявил на пресс-конференции в Пекине Чжан Синьван, заместитель министра сельского хозяйства.
«Объем производства зерна в Китае уже девять лет подряд остается стабильным и составляет более 1,3 триллиона цзинь (1 цзинь = 0,5 кг), а в этом году, по прогнозам, впервые превысит 1,4 триллиона цзинь», — заявил на пресс-конференции в Пекине Чжан Синьван, заместитель министра сельского хозяйства.
Названные объемы эквивалентны 650 млн тонн и 700 млн тонн соответственно.
Однако запасы сои по-прежнему зависят от импорта, а посевы кукурузы все еще не соответствуют требованиям, добавил Чжан.сои по-прежнему зависят от импорта, а посевы кукурузы все еще не соответствуют требованиям, добавил Чжан. 
«Спрос и предложение продовольствия в стране находятся в жестком балансе, без существенных изменений, поэтому нельзя ослаблять усилия по обеспечению стабильного и безопасного снабжения зерном», — сказал он.
«Спрос и предложение продовольствия в стране находятся в жестком балансе, без существенных изменений, поэтому нельзя ослаблять усилия по обеспечению стабильного и безопасного снабжения зерном», — сказал он.
По его словам, для повышения урожайности министерство отобрало и вывело ряд высокомасличных и высокоурожайных сортов сои.
Министерство также планирует принять меры по субсидированию переработки сои и приобретению запасов.","25.10.2024, 15:29",https://ru.investing.com/news/commodities-news/article-2545765
Путин рассмотрит предложение Эрдогана о судоходстве в Черном море,"Investing.com — Президент России Владимир Путин сообщил, что его турецкий коллега Тайип Эрдоган предложил возобновить контакты по судоходству в Черном море, но у него пока не было времени изучить документы. Об этом пишет Reuters.Reuters. 
Путин сказал российскому государственному телевидению, что Эрдоган «вновь озвучил эти предложения для продолжения контактов, связанных с судоходством в Черном море, (а также) по некоторым другим вопросам».
Российский президент встретился с Эрдоганом на саммите БРИКС в Казани, а также с Генеральным секретарем ООН Антониу Гутерришем.
«Честно говоря, я даже не успел прочитать материалы, которые наши турецкие партнеры и друзья нам передали», — сказал Путин. «Ну, посмотрим. Мы никогда не отказывались от этого».
«Честно говоря, я даже не успел прочитать материалы, которые наши турецкие партнеры и друзья нам передали», — сказал Путин. «Ну, посмотрим. Мы никогда не отказывались от этого».
Турция и ООН помогли провести Черноморскую зерновую инициативу, заключенную в июле 2022 года, которая позволила безопасный экспорт почти 33 миллионов метрических тонн украинского зерна через Черное море.
Россия вышла из соглашения в июле 2023 года, жалуясь на серьезные препятствия для собственного экспорта продуктов питания и удобрений.","25.10.2024, 13:16",https://ru.investing.com/news/general/article-2545127
ЕС обсуждает повышение пошлин на сельхозтовары из России и Беларуси,"© Reuters
Investing.com — Европейский союз обсуждает вопрос повышения тарифов на большее количество российских сельскохозяйственных и продовольственных товаров, а также удобрений, передает Bloomberg со ссылкой на осведомленные источники.Bloomberg со ссылкой на осведомленные источники. 
Несколько европейских стран, желающих ограничить доходы Москвы, призывают блок ввести масштабные пошлины на импорт сельскохозяйственной и рыбной продукции из России и Белоруссии в ЕС, в дополнение к более высоким пошлинам на зерновые продукты, установленным ранее в этом году.
Другие призывают к осторожности, требуя сначала оценить влияние любых мер на европейский импорт и цены на продовольствие, сказали источники на условиях анонимности.
Торговые меры не всегда требуют поддержки всех стран-членов, в отличие от санкций. ЕС все еще анализирует, на какие товары он может нацелиться. Любой шаг в отношении удобрений, вероятно, будет приветствоваться европейской индустрией по производству питательных веществ для сельскохозяйственных культур, которая лоббирует усиление защиты.
Тем не менее, сроки введения новых тарифов неясны, учитывая юридические и политические препятствия, сказал один из собеседников.
Россия является крупнейшим в мире экспортером удобрений с долей рынка 18%. Хотя на отрасль не распространяются санкции, она была вынуждена сократить экспорт в 2022 году из-за проблем с логистикой и платежами. С тех пор экспорт восстановился, и ожидается, что в этом году он достигнет рекордного уровня 2021 года, по данным Российской ассоциации производителей удобрений.
В первом полугодии текущего года на сельское и лесное хозяйство, охоту, рыболовство и рыбоводство пришлось около 2% ВВП России.
По словам собеседников, в настоящее время ведется работа над новым пакетом санкций. Но широкий набор мер, возможно, придется подождать до окончания ротационного председательства Венгрии в ЕС, поскольку Будапешт блокирует большинство действий, касающихся России. В новом году председательство перейдет к Польше.
Ранее Вашингтон анонсировал новые жесткие санкции в отношении России, которые будут введены на следующей неделе.анонсировал новые жесткие санкции в отношении России, которые будут введены на следующей неделе.","24.10.2024, 13:16",https://ru.investing.com/news/general-news/article-2543367
Рынок акций Московской биржи по состоянию на 10:30 мск 2 марта снижается,"© Reuters. Рынок акций Московской биржи по состоянию на 10:30 мск 2 марта снижается

По состоянию на 10:30 мск индекс РТС понизился на 7,28 пункта (0,762%) по сравнению с закрытием предыдущего торгового дня и составляет 948,53 пункта.РТС понизился на 7,28 пункта (0,762%) по сравнению с закрытием предыдущего торгового дня и составляет 948,53 пункта. 
Торги идут с обычной активностью. Объем торгов по акциям на ФБ ММВБ на 10:30 составил 3418,5 млн рублей, что примерно на 10% выше среднего уровня за последний месяц.

Лидеры падения:

iQIWI - цена 465 руб. (-1,38%), оборот 4,85 млн. руб.

ГАЗПРОМао (MCX:GAZP) - цена 163,13 руб. (-0,83%), оборот 645,77 млн. руб.GAZP ) - цена 163,13 руб. (-0,83%), оборот 645,77 млн. руб. 

Роснефть (MCX:ROSN) - цена 358,45 руб. (-0,82%), оборот 64,86 млн. руб.ROSN ) - цена 358,45 руб. (-0,82%), оборот 64,86 млн. руб. 

Мечелап - цена 164,05 руб. (-0,76%), оборот 14,2 млн. руб.

М.видео (MCX:MVID) - цена 180,9 руб. (-0,71%), оборот 3,5 млн. руб.MVID ) - цена 180,9 руб. (-0,71%), оборот 3,5 млн. руб. 

Лидеры роста:

Акрон (MCX:AKRN) - цена 19406 руб. (+2,74%), оборот 63,82 млн. руб.AKRN ) - цена 19406 руб. (+2,74%), оборот 63,82 млн. руб. 

AGRO-гдр - цена 718,8 руб. (+2,1%), оборот 22,33 млн. руб.

РуссНфтао - цена 99,6 руб. (+1,84%), оборот 49,91 млн. руб.

АшинскийМЗ - цена 47,75 руб. (+1,6%), оборот 11,98 млн. руб.

ЭнелРосао - цена 0,5256 руб. (+0,61%), оборот 0,63 млн. руб.

Цены остальных активно торгуемых акций:

Сбербанк (MCX:SBER) - цена 169,85 руб. (-0,4%), оборот 594,64 млн. руб.SBER ) - цена 169,85 руб. (-0,4%), оборот 594,64 млн. руб. 

ЛУКОЙЛ (MCX:LKOH) - цена 4044 руб. (-0,3%), оборот 253,68 млн. руб.LKOH ) - цена 4044 руб. (-0,3%), оборот 253,68 млн. руб. 

Татнфт3ао (MCX:TATN) - цена 333,5 руб. (-0,39%), оборот 134,25 млн. руб.TATN ) - цена 333,5 руб. (-0,39%), оборот 134,25 млн. руб. 

ПолюсЗолот (MCX:PLZL) - цена 8887,5 руб. (-0,58%), оборот 111,96 млн. руб.PLZL ) - цена 8887,5 руб. (-0,58%), оборот 111,96 млн. руб. 

ММК (MCX:MAGN) - цена 39,535 руб. (+0,16%), оборот 62,08 млн. руб.MAGN ) - цена 39,535 руб. (+0,16%), оборот 62,08 млн. руб. 


Источник данных - ЗАО ""Фондовая биржа ММВБ""
Это автоматическое сообщение.","02.03.2023, 10:27",https://ru.investing.com/news/stock-market-news/article-2234589
Рынок акций Московской биржи по состоянию на 16:00 мск 1 марта растет,"© Reuters. Рынок акций Московской биржи по состоянию на 16:00 мск 1 марта растет

Индекс РТС стабилизируется после роста. По состоянию на 16:00 мск индекс РТС повысился на 9,53 пункта (1,007%) по сравнению с закрытием предыдущего торгового дня и составляет 955,76 пункта. Максимальное значение к текущему моменту - 956,84 (+1,12%) пункта, минимальное - 944,62 (-0,17%) пункта.РТС стабилизируется после роста. По состоянию на 16:00 мск индекс РТС повысился на 9,53 пункта (1,007%) по сравнению с закрытием предыдущего торгового дня и составляет 955,76 пункта. Максимальное значение к текущему моменту - 956,84 (+1,12%) пункта, минимальное - 944,62 (-0,17%) пункта. 
Торги идут с обычной активностью. Объем торгов по акциям на ФБ ММВБ на 16:00 составил 39080,29 млн рублей, что примерно на 20% выше среднего уровня за последний месяц.
Цены на 68% бумаг, торгующихся в секторе Основных торгов ФБ ММВБ, выросли, 25% акций - снизились.

Лидеры роста:

ГАЗПРОМао (MCX:GAZP) - цена 162,32 руб. (+2,96%), оборот 8610,83 млн. руб.GAZP ) - цена 162,32 руб. (+2,96%), оборот 8610,83 млн. руб. 

РуссНфтао - цена 98,4 руб. (+2,71%), оборот 198,65 млн. руб.

RUSALplc - цена 40,715 руб. (+2,39%), оборот 390,95 млн. руб.

МРСКУр - цена 0,191 руб. (+2,14%), оборот 9,92 млн. руб.

Акрон (MCX:AKRN) - цена 18830 руб. (+1,87%), оборот 75,88 млн. руб.AKRN ) - цена 18830 руб. (+1,87%), оборот 75,88 млн. руб. 

Лидеры падения:

МТС-ао - цена 257,35 руб. (-1,08%), оборот 276,01 млн. руб.

Магнитао (MCX:MGNT) - цена 4550 руб. (-0,96%), оборот 1014,34 млн. руб.MGNT ) - цена 4550 руб. (-0,96%), оборот 1014,34 млн. руб. 

Мечелап - цена 165,25 руб. (-0,93%), оборот 110,88 млн. руб.

КАМАЗ (MCX:KMAZ) - цена 111,4 руб. (-0,8%), оборот 238,67 млн. руб.KMAZ ) - цена 111,4 руб. (-0,8%), оборот 238,67 млн. руб. 

ЛСРао (MCX:LSRG) - цена 477,8 руб. (-0,79%), оборот 13,92 млн. руб.LSRG ) - цена 477,8 руб. (-0,79%), оборот 13,92 млн. руб. 

Цены остальных активно торгуемых акций:

Сбербанк (MCX:SBER) - цена 169,96 руб. (+0,08%), оборот 7362,22 млн. руб.SBER ) - цена 169,96 руб. (+0,08%), оборот 7362,22 млн. руб. 

ЛУКОЙЛ (MCX:LKOH) - цена 4026,5 руб. (+0,91%), оборот 2558,54 млн. руб.LKOH ) - цена 4026,5 руб. (+0,91%), оборот 2558,54 млн. руб. 

Татнфт3ао (MCX:TATN) - цена 332 руб. (+1,13%), оборот 2096,51 млн. руб.TATN ) - цена 332 руб. (+1,13%), оборот 2096,51 млн. руб. 

ПолюсЗолот (MCX:PLZL) - цена 8905 руб. (+1,33%), оборот 1548,55 млн. руб.PLZL ) - цена 8905 руб. (+1,33%), оборот 1548,55 млн. руб. 

ГМКНорНик (MCX:GMKN) - цена 14642 руб. (+0,99%), оборот 890,88 млн. руб.GMKN ) - цена 14642 руб. (+0,99%), оборот 890,88 млн. руб. 


Источник данных - ЗАО ""Фондовая биржа ММВБ""
Это автоматическое сообщение.","01.03.2023, 16:15",https://ru.investing.com/news/stock-market-news/article-2234151
Рынок акций Московской биржи по состоянию на 14:30 мск 1 марта растет,"© Reuters. Рынок акций Московской биржи по состоянию на 14:30 мск 1 марта растет

Индекс РТС стабилизируется после роста. По состоянию на 14:30 мск индекс РТС повысился на 8,99 пункта (0,95%) по сравнению с закрытием предыдущего торгового дня и составляет 955,22 пункта. Максимальное значение к текущему моменту - 956,84 (+1,12%) пункта, минимальное - 944,62 (-0,17%) пункта.РТС стабилизируется после роста. По состоянию на 14:30 мск индекс РТС повысился на 8,99 пункта (0,95%) по сравнению с закрытием предыдущего торгового дня и составляет 955,22 пункта. Максимальное значение к текущему моменту - 956,84 (+1,12%) пункта, минимальное - 944,62 (-0,17%) пункта. 
Торги идут с обычной активностью. Объем торгов по акциям на ФБ ММВБ на 14:30 составил 32577,62 млн рублей, что примерно на 20% выше среднего уровня за последний месяц.
Цены на 74% бумаг, торгующихся в секторе Основных торгов ФБ ММВБ, выросли, 21% акций - снизились.

Лидеры роста:

ГАЗПРОМао (MCX:GAZP) - цена 163,17 руб. (+3,49%), оборот 7550,51 млн. руб.GAZP ) - цена 163,17 руб. (+3,49%), оборот 7550,51 млн. руб. 

РуссНфтао - цена 98,9 руб. (+3,24%), оборот 189,6 млн. руб.

Акрон (MCX:AKRN) - цена 18946 руб. (+2,5%), оборот 63,98 млн. руб.AKRN ) - цена 18946 руб. (+2,5%), оборот 63,98 млн. руб. 

RUSALplc - цена 40,57 руб. (+2,02%), оборот 334,19 млн. руб.

Polymetal (MCX:POLY) - цена 508 руб. (+1,72%), оборот 719,35 млн. руб.POLY ) - цена 508 руб. (+1,72%), оборот 719,35 млн. руб. 

Лидеры падения:

Магнитао (MCX:MGNT) - цена 4551,5 руб. (-0,93%), оборот 943,54 млн. руб.MGNT ) - цена 4551,5 руб. (-0,93%), оборот 943,54 млн. руб. 

Мечелап - цена 165,7 руб. (-0,66%), оборот 90,19 млн. руб.

МТС-ао - цена 258,5 руб. (-0,63%), оборот 218,24 млн. руб.

КАМАЗ (MCX:KMAZ) - цена 111,7 руб. (-0,53%), оборот 176,52 млн. руб.KMAZ ) - цена 111,7 руб. (-0,53%), оборот 176,52 млн. руб. 

ДетскийМир (MCX:DSKY) - цена 69,6 руб. (-0,46%), оборот 8,96 млн. руб.DSKY ) - цена 69,6 руб. (-0,46%), оборот 8,96 млн. руб. 

Цены остальных активно торгуемых акций:

Сбербанк (MCX:SBER) - цена 170,02 руб. (+0,12%), оборот 6412,8 млн. руб.SBER ) - цена 170,02 руб. (+0,12%), оборот 6412,8 млн. руб. 

ЛУКОЙЛ (MCX:LKOH) - цена 4047 руб. (+1,43%), оборот 2128,91 млн. руб.LKOH ) - цена 4047 руб. (+1,43%), оборот 2128,91 млн. руб. 

Татнфт3ао (MCX:TATN) - цена 332,6 руб. (+1,31%), оборот 1899,11 млн. руб.TATN ) - цена 332,6 руб. (+1,31%), оборот 1899,11 млн. руб. 

ПолюсЗолот (MCX:PLZL) - цена 8875 руб. (+0,98%), оборот 1292,45 млн. руб.PLZL ) - цена 8875 руб. (+0,98%), оборот 1292,45 млн. руб. 

ГМКНорНик (MCX:GMKN) - цена 14692 руб. (+1,34%), оборот 786,3 млн. руб.GMKN ) - цена 14692 руб. (+1,34%), оборот 786,3 млн. руб. 


Источник данных - ЗАО ""Фондовая биржа ММВБ""
Это автоматическое сообщение.","01.03.2023, 14:45",https://ru.investing.com/news/stock-market-news/article-2234067
Рынок акций Московской биржи по состоянию на 16:00 мск 27 февраля растет,"© Reuters. Рынок акций Московской биржи по состоянию на 16:00 мск 27 февраля растет

Индекс РТС продолжает расти. По состоянию на 16:00 мск индекс РТС повысился на 25,38 пункта (2,776%) по сравнению с закрытием предыдущего торгового дня и составляет 939,54 пункта. Максимальное значение к текущему моменту - 939,54 (+2,78%) пункта, минимальное - 908,96 (-0,57%) пункта.РТС продолжает расти. По состоянию на 16:00 мск индекс РТС повысился на 25,38 пункта (2,776%) по сравнению с закрытием предыдущего торгового дня и составляет 939,54 пункта. Максимальное значение к текущему моменту - 939,54 (+2,78%) пункта, минимальное - 908,96 (-0,57%) пункта. 
Торги идут с активностью ниже средней. Объем торгов по акциям на ФБ ММВБ на 16:00 составил 28880,33 млн рублей, что примерно на 10% ниже среднего уровня за последний месяц.
Цены на 77% бумаг, торгующихся в секторе Основных торгов ФБ ММВБ, выросли, 18% акций - снизились.

Лидеры роста:

КАМАЗ (MCX:KMAZ) - цена 108,3 руб. (+4,94%), оборот 431,72 млн. руб.KMAZ ) - цена 108,3 руб. (+4,94%), оборот 431,72 млн. руб. 

Мечелап - цена 164,15 руб. (+4,62%), оборот 295,08 млн. руб.

МРСКЦП - цена 0,2075 руб. (+3,7%), оборот 100,41 млн. руб.

МосБиржа - цена 114,12 руб. (+3,29%), оборот 839,49 млн. руб.

НЛМКао - цена 123,66 руб. (+3,05%), оборот 483,88 млн. руб.

Лидеры падения:

AGRO-гдр - цена 680,8 руб. (-0,61%), оборот 21,22 млн. руб.

Акрон (MCX:AKRN) - цена 18326 руб. (-0,6%), оборот 45,57 млн. руб.AKRN ) - цена 18326 руб. (-0,6%), оборот 45,57 млн. руб. 

Yandex (MCX:YNDX) - цена 1976,8 руб. (-0,49%), оборот 566,79 млн. руб.YNDX ) - цена 1976,8 руб. (-0,49%), оборот 566,79 млн. руб. 

iQIWI - цена 456,5 руб. (-0,44%), оборот 8,58 млн. руб.

VTBBETF - цена 134,22 руб. (-0,37%), оборот 5,63 млн. руб.

Цены остальных активно торгуемых акций:

Сбербанк (MCX:SBER) - цена 168,39 руб. (+2,49%), оборот 11173,9 млн. руб.SBER ) - цена 168,39 руб. (+2,49%), оборот 11173,9 млн. руб. 

ГАЗПРОМао (MCX:GAZP) - цена 156,3 руб. (+1,35%), оборот 1614,92 млн. руб.GAZP ) - цена 156,3 руб. (+1,35%), оборот 1614,92 млн. руб. 

ПолюсЗолот (MCX:PLZL) - цена 8805 руб. (+0,19%), оборот 1035,53 млн. руб.PLZL ) - цена 8805 руб. (+0,19%), оборот 1035,53 млн. руб. 

СевСт-ао - цена 1057 руб. (+1,48%), оборот 907,72 млн. руб.

Новатэкао (MCX:NVTK) - цена 1059,4 руб. (+1,61%), оборот 771,35 млн. руб.NVTK ) - цена 1059,4 руб. (+1,61%), оборот 771,35 млн. руб. 


Источник данных - ЗАО ""Фондовая биржа ММВБ""
Это автоматическое сообщение.","27.02.2023, 16:15",https://ru.investing.com/news/stock-market-news/article-2232615
Рынок акций Московской биржи по состоянию на 14:30 мск 27 февраля растет,"© Reuters. Рынок акций Московской биржи по состоянию на 14:30 мск 27 февраля растет

Индекс РТС стабилизируется после роста. По состоянию на 14:30 мск индекс РТС повысился на 15,51 пункта (1,697%) по сравнению с закрытием предыдущего торгового дня и составляет 929,67 пункта. Максимальное значение к текущему моменту - 933,32 (+2,1%) пункта, минимальное - 908,96 (-0,57%) пункта.РТС стабилизируется после роста. По состоянию на 14:30 мск индекс РТС повысился на 15,51 пункта (1,697%) по сравнению с закрытием предыдущего торгового дня и составляет 929,67 пункта. Максимальное значение к текущему моменту - 933,32 (+2,1%) пункта, минимальное - 908,96 (-0,57%) пункта. 
Торги идут с активностью ниже средней. Объем торгов по акциям на ФБ ММВБ на 14:30 составил 23038,67 млн рублей, что примерно на 10% ниже среднего уровня за последний месяц.
Цены на 72% бумаг, торгующихся в секторе Основных торгов ФБ ММВБ, выросли, 22% акций - снизились.

Лидеры роста:

Мечелап - цена 165,15 руб. (+5,26%), оборот 236,23 млн. руб.

КАМАЗ (MCX:KMAZ) - цена 107 руб. (+3,68%), оборот 316,83 млн. руб.KMAZ ) - цена 107 руб. (+3,68%), оборот 316,83 млн. руб. 

РуссНфтао - цена 94,7 руб. (+2,82%), оборот 89,58 млн. руб.

Мечелао (MCX:MTLR) - цена 125,42 руб. (+2,77%), оборот 291,8 млн. руб.MTLR ) - цена 125,42 руб. (+2,77%), оборот 291,8 млн. руб. 

МосБиржа - цена 113,53 руб. (+2,75%), оборот 646,25 млн. руб.

Лидеры падения:

AGRO-гдр - цена 679,2 руб. (-0,85%), оборот 18,82 млн. руб.

Yandex (MCX:YNDX) - цена 1972,6 руб. (-0,7%), оборот 489,84 млн. руб.YNDX ) - цена 1972,6 руб. (-0,7%), оборот 489,84 млн. руб. 

FIVE-гдр - цена 1452 руб. (-0,68%), оборот 41,26 млн. руб.

Акрон (MCX:AKRN) - цена 18310 руб. (-0,68%), оборот 43,59 млн. руб.AKRN ) - цена 18310 руб. (-0,68%), оборот 43,59 млн. руб. 

Polymetal (MCX:POLY) - цена 477,9 руб. (-0,6%), оборот 354,49 млн. руб.POLY ) - цена 477,9 руб. (-0,6%), оборот 354,49 млн. руб. 

Цены остальных активно торгуемых акций:

Сбербанк (MCX:SBER) - цена 167,19 руб. (+1,76%), оборот 8920,28 млн. руб.SBER ) - цена 167,19 руб. (+1,76%), оборот 8920,28 млн. руб. 

ГАЗПРОМао (MCX:GAZP) - цена 154,9 руб. (+0,44%), оборот 949,16 млн. руб.GAZP ) - цена 154,9 руб. (+0,44%), оборот 949,16 млн. руб. 

СевСт-ао - цена 1056 руб. (+1,38%), оборот 797,81 млн. руб.

ПолюсЗолот (MCX:PLZL) - цена 8757 руб. (-0,35%), оборот 786,51 млн. руб.PLZL ) - цена 8757 руб. (-0,35%), оборот 786,51 млн. руб. 

Новатэкао (MCX:NVTK) - цена 1057 руб. (+1,38%), оборот 687,48 млн. руб.NVTK ) - цена 1057 руб. (+1,38%), оборот 687,48 млн. руб. 


Источник данных - ЗАО ""Фондовая биржа ММВБ""
Это автоматическое сообщение.","27.02.2023, 14:45",https://ru.investing.com/news/stock-market-news/article-2232541
