Title,Text,Time,Url
Крупные банки начали снижать ставки по вкладам — Frank RG,"© Reuters. Крупные банки начали снижать ставки по вкладам — Forbes со ссылкой на Frank RG
sMart-lab.ru - В конце декабря 2024-го — начале января 2025 года сразу 10 банков из двадцатки крупнейших по объему привлеченных средств населения снизили ставки по вкладам на различные сроки, следует из данных консалтинговой компании Frank RG, с которыми ознакомился Forbes.
В частности, ставки по вкладам пересмотрели ВТБ (MCX:VTBR), Альфа-банк, Газпромбанк, Т-Банк, МКБ (MCX:CBOM), РСХБ, банки «Дом.РФ», «Санкт-Петербург» и «Уралсиб», а также РНКБ. Из данных Frank RG следует, что самые большие изменения произошли в наиболее популярном и доходном сегменте — полугодовых вкладах.VTBR ), Альфа-банк, Газпромбанк, Т-Банк, МКБ (MCX: CBOM ), РСХБ, банки «Дом.РФ», «Санкт-Петербург» и «Уралсиб», а также РНКБ. Из данных Frank RG следует, что самые большие изменения произошли в наиболее популярном и доходном сегменте — полугодовых вкладах. 
Читайте оригинальную статью на сайте sMart-lab.ru","13.01.2025, 15:41",https://ru.investing.com/news/general/article-2619756
Япония ввела санкции против трех российских банков,"© Reuters. Япония ввела санкции против трех российских банков
Frankmedia - Япония ввела санкции против 11 физических лиц, 29 компаний и трех банков. Расширение санкционных ограничений произошло из-за продолжающегося конфликта с Украиной, говорится на сайте МИД страны.
Под ограничения попали:
Под персональными санкциями оказался вице-президент ЦМР-банка Дмитрий Никулин.
Кроме того, Токио ввел санкционные ограничения против ряда компаний из Китая, России, Турции, Киргизии, Казахстана, ОАЭ и Таиланда.
Читайте оригинальную статью на сайте Frankmedia","10.01.2025, 07:22",https://ru.investing.com/news/general/article-2618184
В 2024 году на Мосбирже дебютировали 75 эмитентов облигаций,"© Reuters В 2024 году на Мосбирже дебютировали 75 эмитентов облигаций
Frankmedia - В 2024 году на рынок облигаций Мосбиржи вышло рекордное количество новых эмитентов — 75, несмотря на конъюнктуру высоких ставок, рассказал «Ведомостям» директор по развитию первичного рынка облигаций площадки Дмитрий Таскин.
На 26 декабря дебютанты разместили 147 выпусков на 218 млрд рублей. Для сравнения: годом ранее, когда средняя по периоду ключевая ставка составляла 9,9% годовых, на биржу вышли 55 новых эмитентов с суммой выпусков 195 млрд рублей. В 2022-м при средней ключевой ставке 10,6% с облигациями дебютировала 31 компания, сумма выпусков достигла 168 млрд рублей. В течение 2024 года ключевая ставка выросла с 16 до 21%. В этом году дебютанты в основном размещали облигации с плавающей ставкой — на них пришлось 73% общего объема выпусков.
Рекордный результат зафиксирован благодаря ряду факторов, объясняет Дмитрий Таскин. Во-первых, в 2024 году сильно изменились условия кредитования в банках. Они стали ужесточать процедуры по выдаче займов и жестче оценивать финансовое положение компаний на фоне повышения регуляторных требований ЦБ, уточняет начальник управления по работе с эмитентами малой и средней капитализации Совкомбанка Денис Зибарев. В ноябре регулятор объявил, что с 1 февраля 2025 года антициклическая надбавка к нормативам достаточности капитала будет установлена на уровне 0,25% от активов, взвешенных по риску, а с 1 июля вырастет до 0,5%.
Во-вторых, власти значительно сократили поддержку бизнеса по программам льготного кредитования. В результате компаниям стало выгоднее и быстрее привлекать финансирование на бирже, продолжает Дмитрий Таскин. По сравнению с кредитами облигации обладают несколькими преимуществами. Бонды дают возможность привлекать беззалоговое финансирование и гибко определять условия и параметры займов в зависимости от потребностей бизнеса.
Помимо этого, для бизнеса выход на биржу с облигациями — это первый шаг в стратегии построения публичной истории для IPO, добавил Дмитрий Таскин. Десять из 13 первичных размещений акций на Мосбирже в 2024 году провели компании, которые ранее выходили на биржу с облигациями. Некоторые компании, в первую очередь из сегмента b2c (business-to-consumer, «бизнес для потребителя»), также выпускают бонды для дополнительного маркетингового продвижения.
Общее число эмитентов на облигационном рынке Мосбиржи в этом году достигло 438. Более 90% от совокупного объема размещений дебютантов пришлось на пять секторов — финансы, торговлю, производство, лизинг и IT, перечисляет Дмитрий Таскин. Крупнейший выпуск на 122 млрд рублей был размещен для финансирования проекта высокоскоростной магистрали между Москвой и Санкт-Петербургом, эмитентом выступило созданное под эти цели ООО «Специализированное финансовое общество ВСМ инвест — первый».
Объемы остальных выпусков варьировались от 60 млн до 10 млрд рублей, рассказал Дмитрий Таскин. Крупные заемщики с рейтингами инвестиционной категории AАА-A (надежность от умеренно высокой до максимальной. — FM) обеспечили 94% совокупного объема эмиссий, но в общем числе дебютантов оказались в меньшинстве. 53 из 75 новых эмитентов разместились в сегменте высокодоходных облигаций (ВДО) с рейтингом не выше BBB+ или без рейтинга, 32 из них — малый и средний бизнес.
Читайте оригинальную статью на сайте Frankmedia","27.12.2024, 07:23",https://ru.investing.com/news/general/article-2609656
"Рынок акций РФ закрылся ростом, Индекс МосБиржи (ММВБ) прибавил 1,12%","© Reuters. Рынок акций РФ закрылся ростом, Индекс МосБиржи (ММВБ) прибавил 1,12%
Investing.com – Фондовый рынок РФ завершил торги четверга ростом за счет укрепления секторов горнодобывающей промышленности, нефти и газа и телекоммуникаций.горнодобывающей промышленности , нефти и газа и телекоммуникаций . 
На момент закрытия на Московской фондовой бирже Индекс МосБиржи (ММВБ) поднялся на 1,12%, достигнув месячного максимума.Индекс МосБиржи (ММВБ) поднялся на 1,12%, достигнув месячного максимума. 
В лидерах роста среди компонентов индекса Индекс МосБиржи (ММВБ) по итогам сегодняшних торгов были акции АДР Ozon Holdings PLC ORD SHS (MCX:OZONDR), которые подорожали на 99,50 п. (3,31%), закрывшись на отметке в 3.101,50. Котировки МОСКОВСКИЙ КРЕДИТНЫЙ БАНК ПАО (MCX:CBOM) выросли на 0,30 п. (3,08%), завершив торги на уровне 10,07. Бумаги Магнит ПАО (MCX:MGNT) выросли в цене на 150,50 п. (2,99%), закрывшись на отметке 5.178,00.Индекс МосБиржи (ММВБ) по итогам сегодняшних торгов были акции АДР Ozon Holdings PLC ORD SHS (MCX: OZONDR ), которые подорожали на 99,50 п. (3,31%), закрывшись на отметке в 3.101,50. Котировки МОСКОВСКИЙ КРЕДИТНЫЙ БАНК ПАО (MCX: CBOM ) выросли на 0,30 п. (3,08%), завершив торги на уровне 10,07. Бумаги Магнит ПАО (MCX: MGNT ) выросли в цене на 150,50 п. (2,99%), закрывшись на отметке 5.178,00. 
Лидерами падения стали акции МКПАО ВК (MCX:VKCO), цена которых упала на 9,20 п. (3,10%), завершив сессию на отметке 288,00. Акции Россети ПАО (MCX:FEES) не изменились на 0,00 п. (1,76%), закрывшись на уровне 0,07, а ФосАгро ПАО (MCX:PHOR) снизились в цене на 108,00 п. (1,70%) и завершили торги на отметке 6.260,00.VKCO ), цена которых упала на 9,20 п. (3,10%), завершив сессию на отметке 288,00. Акции Россети ПАО (MCX: FEES ) не изменились на 0,00 п. (1,76%), закрывшись на уровне 0,07, а ФосАгро ПАО (MCX: PHOR ) снизились в цене на 108,00 п. (1,70%) и завершили торги на отметке 6.260,00. 
На Московской фондовой бирже количество подорожавших бумаг (130) превысило количество закрывшихся в минусе (109), а котировки 14 акций практически не изменились.
Индекс волатильности Индекс волатильности российского рынка, который формируется на основе показателей торговли опционами на Индекс МосБиржи (ММВБ), вырос на 10,19% до отметки 39.67.Индекс волатильности российского рынка , который формируется на основе показателей торговли опционами на Индекс МосБиржи (ММВБ), вырос на 10,19% до отметки 39.67. 
Фьючерс на фьючерс на золото с поставкой в феврале прибавил 0,70%, или 18,32, достигнув отметки $2.653,82 за тройскую унцию. Что касается других товаров, цены на фьючерсы на нефть WTI с поставкой в феврале снизились на 0,71%, или 0,50, до $69,60 за баррель. Фьючерсы на фьючерс на нефть Brent с поставкой в марте подешевели на 0,51%, или 0,37, до отметки $72,80 за баррель.
Между тем на рынке Форекс пара USD/RUB снизилась на 0,14% до 99,77, а котировки EUR/RUB повысились на 0,68%, достигнув отметки 104,23.
Фьючерс на индекс USD опустился на 0,14% до 107,87.","27.12.2024, 00:20",https://ru.investing.com/news/stock-market-news/article-2609520
"Рынок акций РФ закрылся падением, Индекс МосБиржи (ММВБ) снизился на 0,43%","Рынок акций РФ закрылся падением, Индекс МосБиржи (ММВБ) снизился на 0,43%
Investing.com – Фондовый рынок РФ завершил торги вторника падением на фоне негативной динамики со стороны секторов горнодобывающей промышленности, телекоммуникаций и нефти и газа.горнодобывающей промышленности , телекоммуникаций и нефти и газа . 
На момент закрытия на Московской фондовой бирже Индекс МосБиржи (ММВБ) упал на 0,43%.Индекс МосБиржи (ММВБ) упал на 0,43%. 
В лидерах роста среди компонентов индекса Индекс МосБиржи (ММВБ) по итогам сегодняшних торгов были акции Газпром ПАО (MCX:GAZP), которые подорожали на 1,95 п. (1,63%), закрывшись на отметке в 121,70. Котировки ФосАгро ПАО (MCX:PHOR) выросли на 94,00 п. (1,49%), завершив торги на уровне 6.391,00. Бумаги АК АЛРОСА ПАО (MCX:ALRS) выросли в цене на 0,67 п. (1,28%), закрывшись на отметке 52,97.Индекс МосБиржи (ММВБ) по итогам сегодняшних торгов были акции Газпром ПАО (MCX: GAZP ), которые подорожали на 1,95 п. (1,63%), закрывшись на отметке в 121,70. Котировки ФосАгро ПАО (MCX: PHOR ) выросли на 94,00 п. (1,49%), завершив торги на уровне 6.391,00. Бумаги АК АЛРОСА ПАО (MCX: ALRS ) выросли в цене на 0,67 п. (1,28%), закрывшись на отметке 52,97. 
Лидерами падения стали акции МОСКОВСКИЙ КРЕДИТНЫЙ БАНК ПАО (MCX:CBOM), цена которых упала на 0,78 п. (7,61%), завершив сессию на отметке 9,47. Акции ПИК-специализированный застройщик ПАО (MCX:PIKK) поднялись на 27,20 п. (5,77%), закрывшись на уровне 444,10, а ОК РУСАЛ МКПАО (MCX:RUAL) снизились в цене на 1,68 п. (4,99%) и завершили торги на отметке 32,02.CBOM ), цена которых упала на 0,78 п. (7,61%), завершив сессию на отметке 9,47. Акции ПИК-специализированный застройщик ПАО (MCX: PIKK ) поднялись на 27,20 п. (5,77%), закрывшись на уровне 444,10, а ОК РУСАЛ МКПАО (MCX: RUAL ) снизились в цене на 1,68 п. (4,99%) и завершили торги на отметке 32,02. 
На Московской фондовой бирже количество подешевевших бумаг (174) превысило количество закрывшихся в плюсе (67), а котировки 12 акций практически не изменились.
Индекс волатильности Индекс волатильности российского рынка, который формируется на основе показателей торговли опционами на Индекс МосБиржи (ММВБ), вырос на 0,89% до отметки 43.06.Индекс волатильности российского рынка , который формируется на основе показателей торговли опционами на Индекс МосБиржи (ММВБ), вырос на 0,89% до отметки 43.06. 
Фьючерс на фьючерс на золото с поставкой в феврале прибавил 0,20%, или 5,30, достигнув отметки $2.633,50 за тройскую унцию. Что касается других товаров, цены на фьючерсы на нефть WTI с поставкой в феврале выросли на 1,33%, или 0,92, до $70,16 за баррель. Фьючерсы на фьючерс на нефть Brent с поставкой в марте подорожали на 1,24%, или 0,90, до отметки $73,22 за баррель.
Между тем на рынке Форекс пара USD/RUB снизилась на 1,21% до 100,00, а котировки EUR/RUB упали на 1,26%, достигнув отметки 103,99.
Фьючерс на индекс USD вырос на 0,18% до 108,00.","25.12.2024, 00:20",https://ru.investing.com/news/stock-market-news/article-2608910
"Рынок акций РФ закрылся ростом, Индекс МосБиржи (ММВБ) прибавил 2,45%","Рынок акций РФ закрылся ростом, Индекс МосБиржи (ММВБ) прибавил 2,45%
Investing.com – Фондовый рынок РФ завершил торги понедельника ростом за счет укрепления секторов нефти и газа, горнодобывающей промышленности и телекоммуникаций.нефти и газа , горнодобывающей промышленности и телекоммуникаций . 
На момент закрытия на Московской фондовой бирже Индекс МосБиржи (ММВБ) вырос на 2,45%, достигнув месячного максимума.Индекс МосБиржи (ММВБ) вырос на 2,45%, достигнув месячного максимума. 
В лидерах роста среди компонентов индекса Индекс МосБиржи (ММВБ) по итогам сегодняшних торгов были акции ФосАгро ПАО (MCX:PHOR), которые подорожали на 483,00 п. (8,31%), закрывшись на отметке в 6.297,00. Котировки МОСКОВСКИЙ КРЕДИТНЫЙ БАНК ПАО (MCX:CBOM) выросли на 0,68 п. (7,10%), завершив торги на уровне 10,22. Бумаги ПИК-специализированный застройщик ПАО (MCX:PIKK) выросли в цене на 31,10 п. (7,08%), закрывшись на отметке 470,10.Индекс МосБиржи (ММВБ) по итогам сегодняшних торгов были акции ФосАгро ПАО (MCX: PHOR ), которые подорожали на 483,00 п. (8,31%), закрывшись на отметке в 6.297,00. Котировки МОСКОВСКИЙ КРЕДИТНЫЙ БАНК ПАО (MCX: CBOM ) выросли на 0,68 п. (7,10%), завершив торги на уровне 10,22. Бумаги ПИК-специализированный застройщик ПАО (MCX: PIKK ) выросли в цене на 31,10 п. (7,08%), закрывшись на отметке 470,10. 
Лидерами падения стали акции Новолипецкий металлургический комбинат ПАО (MCX:NLMK), цена которых упала на 2,08 п. (1,53%), завершив сессию на отметке 134,10. Акции Северсталь ПАО (MCX:CHMF) поднялись на 14,40 п. (1,24%), закрывшись на уровне 1.148,60, а МКПАО ВК (MCX:VKCO) снизились в цене на 2,60 п. (0,89%) и завершили торги на отметке 290,20.NLMK ), цена которых упала на 2,08 п. (1,53%), завершив сессию на отметке 134,10. Акции Северсталь ПАО (MCX: CHMF ) поднялись на 14,40 п. (1,24%), закрывшись на уровне 1.148,60, а МКПАО ВК (MCX: VKCO ) снизились в цене на 2,60 п. (0,89%) и завершили торги на отметке 290,20. 
На Московской фондовой бирже количество подорожавших бумаг (178) превысило количество закрывшихся в минусе (65), а котировки 9 акций практически не изменились.
Котировки акций МОСКОВСКИЙ КРЕДИТНЫЙ БАНК ПАО (MCX:CBOM) выросли до исторического максимума, повысившись на 7,10%, 0,68 п., и завершили торги на отметке 10,22.CBOM ) выросли до исторического максимума, повысившись на 7,10%, 0,68 п., и завершили торги на отметке 10,22. 
Индекс волатильности Индекс волатильности российского рынка, который формируется на основе показателей торговли опционами на Индекс МосБиржи (ММВБ), вырос на 0,66% до отметки 42.82.Индекс волатильности российского рынка , который формируется на основе показателей торговли опционами на Индекс МосБиржи (ММВБ), вырос на 0,66% до отметки 42.82. 
Фьючерс на фьючерс на золото с поставкой в феврале потерял 0,67%, или 17,59, достигнув отметки $2.627,51 за тройскую унцию. Что касается других товаров, цены на фьючерсы на нефть WTI с поставкой в феврале выросли на 0,16%, или 0,11, до $69,57 за баррель. Фьючерсы на фьючерс на нефть Brent с поставкой в марте подорожали на 0,14%, или 0,10, до отметки $72,66 за баррель.
Между тем на рынке Форекс пара USD/RUB снизилась на 1,72% до 101,22, а котировки EUR/RUB упали на 1,94%, достигнув отметки 105,33.
Фьючерс на индекс USD вырос на 0,47% до 107,86.","24.12.2024, 00:20",https://ru.investing.com/news/stock-market-news/article-2608315
"Рынок акций РФ закрылся падением, Индекс МосБиржи (ММВБ) снизился на 1,67%","© Reuters. Рынок акций РФ закрылся падением, Индекс МосБиржи (ММВБ) снизился на 1,67%
Investing.com – Фондовый рынок РФ завершил торги вторника падением на фоне негативной динамики со стороны секторов нефти и газа, горнодобывающей промышленности и телекоммуникаций.нефти и газа , горнодобывающей промышленности и телекоммуникаций . 
На момент закрытия на Московской фондовой бирже Индекс МосБиржи (ММВБ) подешевел на 1,67%, достигнув 52-недельного минимума.Индекс МосБиржи (ММВБ) подешевел на 1,67%, достигнув 52-недельного минимума. 
В лидерах роста среди компонентов индекса Индекс МосБиржи (ММВБ) по итогам сегодняшних торгов были акции Полюс ПАО (MCX:PLZL), которые подорожали на 526,00 п. (4,02%), закрывшись на отметке в 13.600,00. Котировки Татнефть им. В.Д. Шашина ПАО (прив.) (MCX:TATN_p) выросли на 9,80 п. (1,80%), завершив торги на уровне 553,70. Бумаги МОСКОВСКИЙ КРЕДИТНЫЙ БАНК ПАО (MCX:CBOM) выросли в цене на 0,14 п. (1,79%), закрывшись на отметке 8,06.Индекс МосБиржи (ММВБ) по итогам сегодняшних торгов были акции Полюс ПАО (MCX: PLZL ), которые подорожали на 526,00 п. (4,02%), закрывшись на отметке в 13.600,00. Котировки Татнефть им. В.Д. Шашина ПАО (прив.) (MCX: TATN_p ) выросли на 9,80 п. (1,80%), завершив торги на уровне 553,70. Бумаги МОСКОВСКИЙ КРЕДИТНЫЙ БАНК ПАО (MCX: CBOM ) выросли в цене на 0,14 п. (1,79%), закрывшись на отметке 8,06. 
Лидерами падения стали акции ЛУКОЙЛ ПАО (MCX:LKOH), цена которых упала на 485,00 п. (7,15%), завершив сессию на отметке 6.294,50. Акции Северсталь ПАО (MCX:CHMF) поднялись на 38,00 п. (3,60%), закрывшись на уровне 1.016,40, а ОК РУСАЛ МКПАО (MCX:RUAL) снизились в цене на 0,78 п. (2,63%) и завершили торги на отметке 28,85.LKOH ), цена которых упала на 485,00 п. (7,15%), завершив сессию на отметке 6.294,50. Акции Северсталь ПАО (MCX: CHMF ) поднялись на 38,00 п. (3,60%), закрывшись на уровне 1.016,40, а ОК РУСАЛ МКПАО (MCX: RUAL ) снизились в цене на 0,78 п. (2,63%) и завершили торги на отметке 28,85. 
На Московской фондовой бирже количество подешевевших бумаг (139) превысило количество закрывшихся в плюсе (101), а котировки 13 акций практически не изменились.
Котировки акций Северсталь ПАО (MCX:CHMF) упали до 52-недельного минимума, упав на 3,60%, 38,00 п., и завершили торги на отметке 1.016,40. Котировки акций ОК РУСАЛ МКПАО (MCX:RUAL) упали до 3-летнего минимума, снизившись на 2,63%, 0,78 п., и завершили торги на отметке 28,85.CHMF ) упали до 52-недельного минимума, упав на 3,60%, 38,00 п., и завершили торги на отметке 1.016,40. Котировки акций ОК РУСАЛ МКПАО (MCX: RUAL ) упали до 3-летнего минимума, снизившись на 2,63%, 0,78 п., и завершили торги на отметке 28,85. 
Индекс волатильности Индекс волатильности российского рынка, который формируется на основе показателей торговли опционами на Индекс МосБиржи (ММВБ), упал на 1,97% до отметки 48.38.Индекс волатильности российского рынка , который формируется на основе показателей торговли опционами на Индекс МосБиржи (ММВБ), упал на 1,97% до отметки 48.38. 
Фьючерс на фьючерс на золото с поставкой в феврале потерял 0,32%, или 8,56, достигнув отметки $2.661,44 за тройскую унцию. Что касается других товаров, цены на фьючерсы на нефть WTI с поставкой в январе снизились на 1,34%, или 0,95, до $69,76 за баррель. Фьючерсы на фьючерс на нефть Brent с поставкой в феврале подешевели на 0,89%, или 0,66, до отметки $73,25 за баррель.
Между тем на рынке Форекс пара USD/RUB выросла на 0,97% до 104,60, а котировки EUR/RUB повысились на 0,77%, достигнув отметки 109,72.
Фьючерс на индекс USD вырос на 0,10% до 106,67.","18.12.2024, 00:20",https://ru.investing.com/news/stock-market-news/article-2603430
IPO Совкомбанка на Мосбирже исполнился год,"© Reuters IPO Совкомбанка на Мосбирже исполнился год: рыночная капитализация - 254 млрд руб, free float - 10%, количество акционеров - 143 тыс
sMart-lab.ru - 15 декабря 2024 года исполнился год с даты IPOСовкомбанк ПАО (MCX:SVCB)». Группа Совкомбанка включает банк, страховой, лизинговый, факторинговый бизнесы и финтех.SVCB )». Группа Совкомбанка включает банк, страховой, лизинговый, факторинговый бизнесы и финтех. 
Рыночная капитализация Совкомбанка на сегодня составляет 254 млрд рублей, а доля акций в свободном обращении (free float) – 10%. Количество акционеров выросло за год в три раза и составляет 143 тыс., включая российских институциональных и частных инвесторов.
Акции Совкомбанка включены в котировальный список первого уровня Московской биржи и входят в базу расчетов Индекса МосБиржи IPO.
На Московской бирже инвесторам доступны также поставочные фьючерсы на акции Совкомбанка и возможность торговли бумагами эмитента в вечернюю сессию.
Читайте оригинальную статью на сайте sMart-lab.ru","16.12.2024, 15:37",https://ru.investing.com/news/general/article-2601387
"Рынок акций РФ закрылся падением, Индекс МосБиржи (ММВБ) снизился на 0,32%","© Reuters. Рынок акций РФ закрылся падением, Индекс МосБиржи (ММВБ) снизился на 0,32%
Investing.com – Фондовый рынок РФ завершил торги пятницы падением на фоне негативной динамики со стороны секторов горнодобывающей промышленности, производства и нефти и газа.горнодобывающей промышленности , производства и нефти и газа . 
На момент закрытия на Московской фондовой бирже Индекс МосБиржи (ММВБ) снизился на 0,32%.Индекс МосБиржи (ММВБ) снизился на 0,32%. 
В лидерах роста среди компонентов индекса Индекс МосБиржи (ММВБ) по итогам сегодняшних торгов были акции ФосАгро ПАО (MCX:PHOR), которые подорожали на 158,00 п. (2,88%), закрывшись на отметке в 5.635,00. Котировки Татнефть им. В.Д. Шашина ПАО (MCX:TATN) выросли на 13,80 п. (2,47%), завершив торги на уровне 571,60. Бумаги МОСКОВСКИЙ КРЕДИТНЫЙ БАНК ПАО (MCX:CBOM) выросли в цене на 0,18 п. (2,24%), закрывшись на отметке 8,00.Индекс МосБиржи (ММВБ) по итогам сегодняшних торгов были акции ФосАгро ПАО (MCX: PHOR ), которые подорожали на 158,00 п. (2,88%), закрывшись на отметке в 5.635,00. Котировки Татнефть им. В.Д. Шашина ПАО (MCX: TATN ) выросли на 13,80 п. (2,47%), завершив торги на уровне 571,60. Бумаги МОСКОВСКИЙ КРЕДИТНЫЙ БАНК ПАО (MCX: CBOM ) выросли в цене на 0,18 п. (2,24%), закрывшись на отметке 8,00. 
Лидерами падения стали акции Полюс ПАО (MCX:PLZL), цена которых упала на 1.082,50 п. (7,33%), завершив сессию на отметке 13.687,50. Акции АК АЛРОСА ПАО (MCX:ALRS) поднялись на 0,95 п. (1,99%), закрывшись на уровне 46,78, а Юнипро ПАО (MCX:UPRO) снизились в цене на 0,02 п. (1,27%) и завершили торги на отметке 1,64.PLZL ), цена которых упала на 1.082,50 п. (7,33%), завершив сессию на отметке 13.687,50. Акции АК АЛРОСА ПАО (MCX: ALRS ) поднялись на 0,95 п. (1,99%), закрывшись на уровне 46,78, а Юнипро ПАО (MCX: UPRO ) снизились в цене на 0,02 п. (1,27%) и завершили торги на отметке 1,64. 
На Московской фондовой бирже количество подешевевших бумаг (160) превысило количество закрывшихся в плюсе (78), а котировки 12 акций практически не изменились.
Индекс волатильности Индекс волатильности российского рынка, который формируется на основе показателей торговли опционами на Индекс МосБиржи (ММВБ), упал на 6,32% до отметки 43.26.Индекс волатильности российского рынка , который формируется на основе показателей торговли опционами на Индекс МосБиржи (ММВБ), упал на 6,32% до отметки 43.26. 
Фьючерс на фьючерс на золото с поставкой в феврале потерял 1,55%, или 42,09, достигнув отметки $2.667,31 за тройскую унцию. Что касается других товаров, цены на фьючерсы на нефть WTI с поставкой в январе выросли на 1,51%, или 1,06, до $71,08 за баррель. Фьючерсы на фьючерс на нефть Brent с поставкой в феврале подорожали на 1,25%, или 0,92, до отметки $74,33 за баррель.
Между тем на рынке Форекс пара USD/RUB снизилась на 0,46% до 104,50, а котировки EUR/RUB упали на 0,14%, достигнув отметки 109,75.
Фьючерс на индекс USD опустился на 0,02% до 106,63.","14.12.2024, 00:20",https://ru.investing.com/news/stock-market-news/article-2600928
"Рынок акций РФ закрылся падением, Индекс МосБиржи (ММВБ) снизился на 1,94%","© Reuters. Рынок акций РФ закрылся падением, Индекс МосБиржи (ММВБ) снизился на 1,94%
Investing.com – Фондовый рынок РФ завершил торги вторника падением на фоне негативной динамики со стороны секторов телекоммуникаций, электроснабжения и горнодобывающей промышленности.телекоммуникаций , электроснабжения и горнодобывающей промышленности . 
На момент закрытия на Московской фондовой бирже Индекс МосБиржи (ММВБ) упал на 1,94%.Индекс МосБиржи (ММВБ) упал на 1,94%. 
В лидерах роста среди компонентов индекса Индекс МосБиржи (ММВБ) по итогам сегодняшних торгов были акции ГДР ROS AGRO PLC ORD SHS (MCX:AGRODR), которые не изменились на 0,00 п. (0,00%), закрывшись на отметке в 1.083,80. Котировки ГДР Globaltrans Invest ORD SHS (MCX:GLTRDR) не изменились на 0,00 п. (0,00%), завершив торги на уровне 519,25. Бумаги T Tekhnologii MKPAO (MCX:TCSG) не изменились на 0,00 п. (0,00%), закрывшись на отметке 2.384,80.Индекс МосБиржи (ММВБ) по итогам сегодняшних торгов были акции ГДР ROS AGRO PLC ORD SHS (MCX: AGRODR ), которые не изменились на 0,00 п. (0,00%), закрывшись на отметке в 1.083,80. Котировки ГДР Globaltrans Invest ORD SHS (MCX: GLTRDR ) не изменились на 0,00 п. (0,00%), завершив торги на уровне 519,25. Бумаги T Tekhnologii MKPAO (MCX: TCSG ) не изменились на 0,00 п. (0,00%), закрывшись на отметке 2.384,80. 
Лидерами падения стали акции МКПАО ВК (MCX:VKCO), цена которых упала на 14,80 п. (5,57%), завершив сессию на отметке 251,00. Акции МОСКОВСКИЙ КРЕДИТНЫЙ БАНК ПАО (MCX:CBOM) поднялись на 0,31 п. (3,79%), закрывшись на уровне 7,81, а Россети ПАО (MCX:FEES) на 0,00 п. (3,41%) и завершили торги на отметке 0,07.VKCO ), цена которых упала на 14,80 п. (5,57%), завершив сессию на отметке 251,00. Акции МОСКОВСКИЙ КРЕДИТНЫЙ БАНК ПАО (MCX: CBOM ) поднялись на 0,31 п. (3,79%), закрывшись на уровне 7,81, а Россети ПАО (MCX: FEES ) на 0,00 п. (3,41%) и завершили торги на отметке 0,07. 
На Московской фондовой бирже количество подешевевших бумаг (213) превысило количество закрывшихся в плюсе (30), а котировки 9 акций практически не изменились.
Котировки акций ГДР ROS AGRO PLC ORD SHS (MCX:AGRODR) до 52-недельного минимума, 0,00%, 0,00 п., и завершили торги на отметке 1.083,80.AGRODR ) до 52-недельного минимума, 0,00%, 0,00 п., и завершили торги на отметке 1.083,80. 
Индекс волатильности Индекс волатильности российского рынка, который формируется на основе показателей торговли опционами на Индекс МосБиржи (ММВБ), упал на 5,34% до отметки 43.28.Индекс волатильности российского рынка , который формируется на основе показателей торговли опционами на Индекс МосБиржи (ММВБ), упал на 5,34% до отметки 43.28. 
Фьючерс на фьючерс на золото с поставкой в феврале прибавил 1,25%, или 33,69, достигнув отметки $2.719,49 за тройскую унцию. Что касается других товаров, цены на фьючерсы на нефть WTI с поставкой в январе снизились на 0,01%, или 0,01, до $68,36 за баррель. Фьючерсы на фьючерс на нефть Brent с поставкой в феврале подешевели на 0,26%, или 0,19, до отметки $71,95 за баррель.
Между тем на рынке Форекс пара USD/RUB выросла на 3,05% до 103,05, а котировки EUR/RUB повысились на 2,77%, достигнув отметки 108,45.
Фьючерс на индекс USD вырос на 0,27% до 106,11.","11.12.2024, 00:20",https://ru.investing.com/news/stock-market-news/article-2596685
