Title,Text,Time,Url
"Индия надеется, что Москва найдет обходные пути для поставок нефти","© Reuters.
Investing.com — Государственные нефтеперерабатывающие заводы в Индии, крупнейшем импортере российской нефти морским путем, считают, что воздействие от последних санкций США может быть временным, поскольку Москва найдет обходные пути, а новая администрация Трампа займет более мягкую позицию по отношению к стране ОПЕК+. Об этом пишет Bloomberg.нефти морским путем, считают, что воздействие от последних санкций США может быть временным, поскольку Москва найдет обходные пути, а новая администрация Трампа займет более мягкую позицию по отношению к стране ОПЕК+. Об этом Bloomberg. 
По словам осведомленных источников, переработчики надеются, что новое правительство США может помочь смягчить влияние масштабных ограничений, объявленных на прошлой неделе, если новые чиновники займут примирительный подход в отношении России.объявленных на прошлой неделе , если новые чиновники займут примирительный подход в отношении России. 
В то же время, компании стремятся получить больше дополнительных объемов от Саудовской Аравии и Ирака в рамках долгосрочных контрактов, чтобы обезопасить себя от нехватки, сообщили источники.
Мировой рынок нефти был в смятении в последние дни — нефть Brent достигла самого высокого уровня за пять месяцев — поскольку уходящая администрация Байдена объявила о своем самом смелом пакете санкций против российской нефтяной промышленности.нефти был в смятении в последние дни — нефть Brent достигла самого высокого уровня за пять месяцев — поскольку уходящая администрация Байдена объявила о своем самом смелом пакете санкций против российской нефтяной промышленности. 
Ограничения, которые вступят в силу после периода льгот, представляют серьезный вызов для нефтеперерабатывающих заводов в Индии, так как они стали крупными покупателями российской нефти.нефти . 
Индийские переработчики уверены, что потеря доступа к дешевой российской нефти будет только временной, учитывая, что Москва будет находиться под огромным давлением найти способ восстановить потоки, если Китай и Турция останутся ее единственными крупными покупателями, сказали источники.
После объявления о санкциях, в понедельник высокопоставленный индийский чиновник заявил, что страна все равно будет принимать поставки на все грузы, которые были забронированы до введения ограничений и были доставлены в страну в течение так называемого периода завершения, который продолжается до 12 марта. Тем не менее, переработчики ждут мнений от юридических команд и банков, сообщили источники.","14.01.2025, 11:09",https://ru.investing.com/news/general-news/article-2621074
"Рынок акций РФ закрылся ростом, Индекс МосБиржи (ММВБ) прибавил 1,55%","© Reuters. Рынок акций РФ закрылся ростом, Индекс МосБиржи (ММВБ) прибавил 1,55%
Investing.com – Фондовый рынок РФ завершил торги понедельника ростом за счет укрепления секторов нефти и газа, горнодобывающей промышленности и электроснабжения.нефти и газа , горнодобывающей промышленности и электроснабжения . 
На момент закрытия на Московской фондовой бирже Индекс МосБиржи (ММВБ) вырос на 1,55%.Индекс МосБиржи (ММВБ) вырос на 1,55%. 
В лидерах роста среди компонентов индекса Индекс МосБиржи (ММВБ) по итогам сегодняшних торгов были акции НОВАТЭК ПАО (MCX:NVTK), которые подорожали на 38,20 п. (3,94%), закрывшись на отметке в 1.007,20. Котировки Газпром ПАО (MCX:GAZP) выросли на 4,84 п. (3,82%), завершив торги на уровне 131,44. Бумаги Юнипро ПАО (MCX:UPRO) выросли в цене на 0,04 п. (2,32%), закрывшись на отметке 1,90.Индекс МосБиржи (ММВБ) по итогам сегодняшних торгов были акции НОВАТЭК ПАО (MCX: NVTK ), которые подорожали на 38,20 п. (3,94%), закрывшись на отметке в 1.007,20. Котировки Газпром ПАО (MCX: GAZP ) выросли на 4,84 п. (3,82%), завершив торги на уровне 131,44. Бумаги Юнипро ПАО (MCX: UPRO ) выросли в цене на 0,04 п. (2,32%), закрывшись на отметке 1,90. 
Лидерами падения стали акции Магнит ПАО (MCX:MGNT), цена которых упала на 222,00 п. (4,55%), завершив сессию на отметке 4.660,50. Акции НК Роснефть ПАО (MCX:ROSN) поднялись на 17,40 п. (3,09%), закрывшись на уровне 545,55, а МОСКОВСКИЙ КРЕДИТНЫЙ БАНК ПАО (MCX:CBOM) снизились в цене на 0,27 п. (2,70%) и завершили торги на отметке 9,76.MGNT ), цена которых упала на 222,00 п. (4,55%), завершив сессию на отметке 4.660,50. Акции НК Роснефть ПАО (MCX: ROSN ) поднялись на 17,40 п. (3,09%), закрывшись на уровне 545,55, а МОСКОВСКИЙ КРЕДИТНЫЙ БАНК ПАО (MCX: CBOM ) снизились в цене на 0,27 п. (2,70%) и завершили торги на отметке 9,76. 
На Московской фондовой бирже количество подорожавших бумаг (163) превысило количество закрывшихся в минусе (76), а котировки 15 акций практически не изменились.
Индекс волатильности Индекс волатильности российского рынка, который формируется на основе показателей торговли опционами на Индекс МосБиржи (ММВБ), вырос на 9,50% до отметки 38.17.Индекс волатильности российского рынка , который формируется на основе показателей торговли опционами на Индекс МосБиржи (ММВБ), вырос на 9,50% до отметки 38.17. 
Фьючерс на фьючерс на золото с поставкой в феврале потерял 1,26%, или 34,31, достигнув отметки $2.680,69 за тройскую унцию. Что касается других товаров, цены на фьючерсы на нефть WTI с поставкой в марте выросли на 1,85%, или 1,40, до $77,15 за баррель. Фьючерсы на фьючерс на нефть Brent с поставкой в марте подорожали на 1,38%, или 1,10, до отметки $80,86 за баррель.
Между тем на рынке Форекс пара USD/RUB выросла на 0,88% до 102,75, а котировки EUR/RUB повысились на 0,65%, достигнув отметки 104,90.
Фьючерс на индекс USD вырос на 0,17% до 109,68.","14.01.2025, 00:20",https://ru.investing.com/news/stock-market-news/article-2620815
Крупные банки начали снижать ставки по вкладам — Frank RG,"© Reuters. Крупные банки начали снижать ставки по вкладам — Forbes со ссылкой на Frank RG
sMart-lab.ru - В конце декабря 2024-го — начале января 2025 года сразу 10 банков из двадцатки крупнейших по объему привлеченных средств населения снизили ставки по вкладам на различные сроки, следует из данных консалтинговой компании Frank RG, с которыми ознакомился Forbes.
В частности, ставки по вкладам пересмотрели ВТБ (MCX:VTBR), Альфа-банк, Газпромбанк, Т-Банк, МКБ (MCX:CBOM), РСХБ, банки «Дом.РФ», «Санкт-Петербург» и «Уралсиб», а также РНКБ. Из данных Frank RG следует, что самые большие изменения произошли в наиболее популярном и доходном сегменте — полугодовых вкладах.VTBR ), Альфа-банк, Газпромбанк, Т-Банк, МКБ (MCX: CBOM ), РСХБ, банки «Дом.РФ», «Санкт-Петербург» и «Уралсиб», а также РНКБ. Из данных Frank RG следует, что самые большие изменения произошли в наиболее популярном и доходном сегменте — полугодовых вкладах. 
Читайте оригинальную статью на сайте sMart-lab.ru","13.01.2025, 15:41",https://ru.investing.com/news/general/article-2619756
В Газпроме ожидаются масштабные сокращения — СМИ,"© Reuters. В Газпроме ожидаются масштабные сокращения: речь идёт об увольнении порядка 1,6 тыс сотрудников центрального аппарата компании (сейчас 4,1 тыс чел) — СМИ
sMart-lab.ru - В Газпроме (MCX:GAZP) ожидаются масштабные сокращения: по данным 47news, в Газпроме рассматривается решение о сокращении почти вдвое персонала центрального аппарата — с 4100 до 2500 человек.GAZP ) ожидаются масштабные сокращения: по данным 47news, в Газпроме рассматривается решение о сокращении почти вдвое персонала центрального аппарата — с 4100 до 2500 человек. 
Информация об этом стала распространятся в компании в минувшую пятницу. За 20 лет численность администрации Газпрома выросла в несколько раз, а фонд оплаты труда на сегодняшний день составляет 50 миллиардов рублей в год.
Читайте оригинальную статью на сайте sMart-lab.ru","13.01.2025, 15:49",https://ru.investing.com/news/general/article-2619755
Европа может спровоцировать глобальную борьбу за газ — Bloomberg,"© Reuters.
Investing.com — Мир готовится к ожесточенной борьбе за поставки природного газа в этом году, что продлит период высоких счетов для потребителей и заводов в Европе и поставит более бедные развивающиеся страны от Азии до Южной Америки под угрозу вытеснения с рынка. Об этом пишет Bloomberg.природного газа в этом году, что продлит период высоких счетов для потребителей и заводов в Европе и поставит более бедные развивающиеся страны от Азии до Южной Америки под угрозу вытеснения с рынка. Об этом Bloomberg. 
Впервые с момента обострения энергетического кризиса Европа рискует не достичь своих целевых показателей по запасам на следующую зиму, что приведет к очередной гонке за поставками.
В то время как у Европы хватает запасов газа, чтобы пережить эту зиму, а цены снизились с начала года, запасы исчерпываются из-за холода, который накрыл континент в эти выходные. Поставки начали сокращаться с начала этого года, когда прекратились российские поставки через Украину после истечения транзитного соглашения.
«В этом году в Европе будет нехватка энергоносителей», — сказал Франсиско Бланч, стратег по сырьевым товарам в Bank of America Corp (NYSE:BAC). «Это означает, что весь дополнительный СПГ, который выйдет на рынок в этом году по всему миру, пойдет на восполнение этого дефицита российского газа».BAC ). «Это означает, что весь дополнительный СПГ, который выйдет на рынок в этом году по всему миру, пойдет на восполнение этого дефицита российского газа». 
«В этом году в Европе будет нехватка энергоносителей», — сказал Франсиско Бланч, стратег по сырьевым товарам в Bank of America Corp (NYSE:BAC). «Это означает, что весь дополнительный СПГ, который выйдет на рынок в этом году по всему миру, пойдет на восполнение этого дефицита российского газа».BAC ). «Это означает, что весь дополнительный СПГ, который выйдет на рынок в этом году по всему миру, пойдет на восполнение этого дефицита российского газа». 
Для покрытия своих потребностей Европа будет вынуждена импортировать до 10 миллионов тонн СПГ в год больше, что примерно на 10% больше, чем в 2024 году, по словам Саула Кавоника, аналитика по энергетике из MST Marquee в Сиднее. Новые экспортные проекты в Северной Америке могут помочь ослабить напряженность на рынке, но это зависит от того, насколько быстро могут нарастить производство.
С меньшими возможностями для пополнения запасов на следующую зиму, Европе понадобятся поставки СПГ в ущерб Азии, где сосредоточены крупнейшие потребители. В зависимости от спроса, это может поднять цены выше уровня, который такие страны, как Индия, Бангладеш и Египет, могут себе позволить, и сказаться на восстановлении экономики Германии.
Фьючерсы на газ в Европе, которые обычно влияют и на азиатские спотовые цены на СПГ, все еще примерно на 45% выше, чем в аналогичный период в прошлом году.
«Рост цен усугубится, если запасы в АТР тоже истощатся, что приведет к конкуренции за грузы», — сказал Джейсон Фер, глава отдела деловой разведки в энергетической брокерской компании Poten & Partners Inc. в Хьюстоне.
«Рост цен усугубится, если запасы в АТР тоже истощатся, что приведет к конкуренции за грузы», — сказал Джейсон Фер, глава отдела деловой разведки в энергетической брокерской компании Poten & Partners Inc. в Хьюстоне.
Не все коммунальные службы и промышленные предприятия могут легко найти альтернативу газу. Это особенно проблема для Германии, которая до 2022 года полагалась на Россию более чем на 50% для поставок газа.
Проигравшими от способности Европы платить высокую премию за газ окажутся развивающиеся страны Азии.
Аналогичная ситуация сложилась и в Южной Америке. Бразилия изо всех сил старается заменить убывающую гидроэнергетику после засухи, а Аргентина может быть втянута в конкурентную борьбу за СПГ для предстоящего отопительного сезона.
Египет также подвержен риску. В прошлом году эта страна удивила рынок, перейдя от экспорта СПГ к импорту в связи с летними отключениями электричества, что привело к увеличению закупок до самого высокого уровня с 2017 года, согласно данным отслеживания судов, собранным Bloomberg. В этом году стране еще могут потребоваться десятки поставок, чтобы пережить летнюю жару.
Для продавцов СПГ, уже извлекающих выгоду из высоких цен, напряженность создает возможности. В некоторых случаях производители СПГ могут увеличить мощность, подобно всплеску экспорта, который имел место в кризисном 2022 году, по словам Огана Косе, управляющего директора консалтинговой компании Accenture.
Прогноз в значительной степени зависит от того, как скоро начнутся работы на новых производственных мощностях. В прошлом году рост был незначительным, поскольку Египет прекратил экспорт, и новый российский завод «Арктик СПГ-2» попал под санкции США, сообщила Лаура Пейдж из энергетической компании Kpler.
Это ставит США в центр внимания. Крупнейший в мире поставщик СПГ уже много лет пытается спасти Европу от газового голода, и после вступления Дональда Трампа в должность его призывы, скорее всего, станут еще громче. Он уже пригрозил тарифами, если Европа не будет покупать больше американских энергоносителей.
В этом году, как ожидается, экспорт СПГ из США вырастет примерно на 15%, по данным Kpler на фоне увеличения производства Venture Global и Cheniere Energy. Тем не менее, темпы роста остаются под вопросом. Cheniere уже предупредил, что наращивание в этом году будет «относительно медленным».
В России, которая остается вторым по величине источником СПГ для Европы, внимание будет сосредоточено на том, сможет ли страна сохранить свои экспортные объемы после того, как США в пятницу ввели новые санкции.ввели новые санкции . 
Однако облегчение не за горами. Начиная с 2026 года, отложенные проекты должны наконец начать отгрузку топлива. На этом фоне, по мнению Jefferies Financial Group Inc, жесткие условия на рынке смягчатся.
Ожидается, что к 2030 году добавится еще 175 миллионов тонн нового предложения, преимущественно из США и Катара. Это может привести к понижению цен и возвращению клиентов в страны, которые в этом году были вынуждены выйти с рынка.
«Если планы по расширению производства СПГ будут выполнены, 2026 год должен стать светом в конце тоннеля,» — сказала Флоренс Шмит, стратег по энергетике в Европе в Rabobank.
«Если планы по расширению производства СПГ будут выполнены, 2026 год должен стать светом в конце тоннеля,» — сказала Флоренс Шмит, стратег по энергетике в Европе в Rabobank.","13.01.2025, 10:52",https://ru.investing.com/news/commodities-news/article-2619672
США ввели санкции против российских нефтяников и страховщиков,"© Reuters США ввели санкции против российских нефтяников и страховщиков
Frankmedia - США расширили блокирующие санкции в отношении нефтегазового сектора России: под новые ограничения попали «Газпром нефть (MCX:SIBN)» и ее дочки (в том числе сербская NIS), некоторые структуры Газпрома (MCX:GAZP)», «Сургутнефтегаз (MCX:SNGS)» и подконтрольный ему Сургутнефтегазбанк, а также страховые компании «Ингосстрах» и «АльфаСтрахование», следует из материалов американского Минфина.SIBN )» и ее дочки (в том числе сербская NIS), некоторые структуры Газпрома (MCX: GAZP )», «Сургутнефтегаз (MCX: SNGS )» и подконтрольный ему Сургутнефтегазбанк, а также страховые компании «Ингосстрах» и «АльфаСтрахование», следует из материалов американского Минфина. 
Также США сократили срок действия лицензии на расчеты в сере энергетики с подсанкционными банками из России. Новый срок окончания таких операций — 12 марта, ранее был 30 апреля.
Читайте оригинальную статью на сайте Frankmedia","10.01.2025, 18:15",https://ru.investing.com/news/general/article-2619148
США усиливают давление на Россию масштабными санкциями в энергетическом секторе - Bloomberg,"США усиливают давление на Россию масштабными санкциями в энергетическом секторе - Bloomberg
Эта статья была переведена с помощью искусственного интеллекта. Для получения дополнительной информации, пожалуйста, ознакомьтесь с нашими Условиями использования.","10.01.2025, 18:26",https://ru.investing.com/news/assorted/article-432SI-2619137
Нефть превысила $80 впервые с октября,"© Reuters.
Investing.com — Нефть продолжает ралли в последний день торговой недели, подпитываясь опасениями перебоев в поставках на фоне разговоров о новых жестких санкциях Вашингтона против российской нефти.опасениями перебоев в поставках на фоне разговоров о новых жестких санкциях Вашингтона против российской нефти. 
Фьючерсы на Brent прибавляют с начала дня 4,5%, впервые с 8 октября превысив психологическую отметку $80 за баррель. В моменте мартовские контракты коснулись пика на $80,52 за баррель и к моменту написания материала держались вблизи пиков.Brent прибавляют с начала дня 4,5%, впервые с 8 октября превысив психологическую отметку $80 за баррель. В моменте мартовские контракты коснулись пика на $80,52 за баррель и к моменту написания материала держались вблизи пиков.","10.01.2025, 17:27",https://ru.investing.com/news/commodities-news/article-2619093
Путин пообещал продолжать поставки газа в Словакию — Фицо,"Investing.com — Президент России Владимир Путин пообещал Словакии, что «Газпром» найдет альтернативные способы поставки контрактного газа в Словакию после прекращения транзита через Украину, заявил премьер-министр Словакии Роберт Фицо в пятницу. Об этом пишет Reuters.газа в Словакию после прекращения транзита через Украину, заявил премьер-министр Словакии Роберт Фицо в пятницу. Об этом Reuters. 
«Я говорил с Путиным о контракте между нами и „Газпромом“, который говорит, что они должны как-то доставить нам газ», — сказал Фицо на заседании парламентского комитета.
«Мы можем использовать часть южного потока (маршрут через Турцию), но пока у нас есть хранилище, потребление Словакии обеспечено».„Газпромом“ , который говорит, что они должны как-то доставить нам газ», — сказал Фицо на заседании парламентского комитета. 
«Я говорил с Путиным о контракте между нами и „Газпромом“, который говорит, что они должны как-то доставить нам газ», — сказал Фицо на заседании парламентского комитета.„Газпромом“ , который говорит, что они должны как-то доставить нам газ», — сказал Фицо на заседании парламентского комитета. 
«Мы можем использовать часть южного потока (маршрут через Турцию), но пока у нас есть хранилище, потребление Словакии обеспечено».
Фицо сказал, что Путин гарантировал, что Россия выполнит свои обязательства, хотя мощность трубопровода «Турецкий поток» и соединяющего маршрута, по которому российский газ поступает через Турцию в Европу, ограничена.
«Президент Путин гарантировал, что они выполнят свои обязательства», — сказал Фицо.
«Президент Путин гарантировал, что они выполнят свои обязательства», — сказал Фицо.
Часть поставок может осуществляться через западную Европу, сказал Фицо, ссылаясь на подключения словацких трубопроводов к газовым сетям центральных и западноевропейских соседей.
Фицо заявил, что Европа потерпела многомиллиардные убытки из-за роста цен на газ, вызванного отсутствием около 13,5 миллиардов кубических метров газа, который поступал через Украину в прошлом году, включая около 3 миллиардов кубометров для словацкого потребления.","10.01.2025, 14:21",https://ru.investing.com/news/general/article-2618624
Нефть демонстрирует самый продолжительный рост с июля,"© Reuters.
Investing.com — Нефть нацелилась на третий недельный рост — самый продолжительный с июля — на фоне признаков напряженности на рынке, включая снижение запасов в США, что компенсировало опасения по поводу слабого спроса в крупнейшем импортере, Китае. Об этом пишет Bloomberg.Bloomberg. 
Мировой эталон нефти Brent поднялся выше $77 за баррель и за неделю вырос примерно на 1%, в то время как WTI находилась над $74. Запасы нефти в хранилище в Кушинге, штат Оклахома, упали до самого низкого уровня с 2014 года. Потребительская инфляция в Китае продолжила снижаться, что подчеркивает трудности, с которыми сталкиваются власти в попытках стимулирования экономики.Brent поднялся выше $77 за баррель и за неделю вырос примерно на 1%, в то время как WTI находилась над $74. Запасы нефти в хранилище в Кушинге, штат Оклахома, упали до самого низкого уровня с 2014 года. Потребительская инфляция в Китае продолжила снижаться, что подчеркивает трудности, с которыми сталкиваются власти в попытках стимулирования экономики. 
Затяжное повышение цен на нефть в последние недели поддерживается холодной погодой, которая увеличивает спрос на топливо, сокращением запасов в США и снижением поставок из России. Возвращение избранного президента Дональда Трампа в Белый дом также увеличивает риски для поставок из Ирана и создает напряженность по поводу потенциальной торговой войны, которая может прервать потоки энергоносителей.
«Сокращение запасов, ожидание снижения спроса со стороны Китая на иранский экспорт и похолодание, которое обещает значительное увеличение спроса на топливо для отопления, оправдывают это движение вверх», — говорит Крис Уэстон, глава исследовательского отдела Pepperstone Group. «Однако предложение, которое мы сейчас наблюдаем на уровне 75 долларов, свидетельствуют о справедливости текущих уровней, и существует некая неохота двигаться к $80».
«Сокращение запасов, ожидание снижения спроса со стороны Китая на иранский экспорт и похолодание, которое обещает значительное увеличение спроса на топливо для отопления, оправдывают это движение вверх», — говорит Крис Уэстон, глава исследовательского отдела Pepperstone Group. «Однако предложение, которое мы сейчас наблюдаем на уровне 75 долларов, свидетельствуют о справедливости текущих уровней, и существует некая неохота двигаться к $80».
Ожидается, что Трамп одобрит новое бурение на федеральных землях в рамках потока исполнительных приказов в первые часы после своей инаугурации 20 января. Избранный президент также пообещал ввести тарифы на весь канадский импорт, возможно, включая нефть.
Рыночные показатели указывают на ужесточение условий. Спрэд на поставку нефти Brent — разница между двумя ближайшими контрактами — увеличился до 70 центов за баррель в состоянии бэквордации, что является «бычьей» тенденцией. Месяц назад этот разрыв составлял 29 центов в бэквордации.","10.01.2025, 10:12",https://ru.investing.com/news/commodities-news/article-2618286
