Title,Text,Time,Url
"Акционеры ПАО ""Россети Центр"" одобрили выплату дивидендов за 9 месяцев в размере 0,034 руб. на акцию","Акционеры ПАО ""Россети Центр"" одобрили выплату дивидендов за 9 месяцев в размере 0,034 руб. на акцию

Уставный капитал ""Россети Центр"" разделен на 42 млрд 217 млн 941 тыс. 468 обыкновенных акций. Таким образом, суммарно речь идет о выплате около 1,435 млрд руб.
Чистая прибыль компании по РСБУ в январе-сентябре составила 3,57 млрд руб., по МСФО - 0,48 млрд руб.
Как сообщалось, по итогам 2021 года акционеры ""Россети Центр"" утвердили выплату дивидендов в размере 0,0038 руб. на акцию.
ПАО ""Россети Центр"" (ранее - ""МРСК Центра (MCX:MRKC)"") включает 11 филиалов: ""Белгородэнерго"", ""Брянскэнерго"", ""Воронежэнерго"", ""Курскэнерго"", ""Костромаэнерго"", ""Липецкэнерго"", ""Тверьэнерго"", ""Смоленскэнерго"", ""Орелэнерго"", ""Тамбовэнерго"", ""Ярэнерго"". Компания также является единоличным исполнительным органом в ""Россети Центр и Приволжья"".MRKC )"") включает 11 филиалов: ""Белгородэнерго"", ""Брянскэнерго"", ""Воронежэнерго"", ""Курскэнерго"", ""Костромаэнерго"", ""Липецкэнерго"", ""Тверьэнерго"", ""Смоленскэнерго"", ""Орелэнерго"", ""Тамбовэнерго"", ""Ярэнерго"". Компания также является единоличным исполнительным органом в ""Россети Центр и Приволжья"". 
Основным акционером ""Россети Центр"" является ПАО ""Россети""), которое владеет 50,2%. Также акционерами компании являются структуры Prosperity Capital Management (UK) Limited, им в общей сложности принадлежит 21,01%.","23.12.2022, 15:51",https://ru.investing.com/news/economy/article-2211366
"Прибыль ""Россетей Центр"" по МСФО в январе-сентябре сократилась на 12,3%","Прибыль ""Россетей Центр"" по МСФО в январе-сентябре сократилась на 12,3%

Выручка компании за квартал составила 26,19 млрд руб. (+2,9%), операционные расходы - 24,5 млрд руб. (+4,9%). Компания начислила резерв под ожидаемые кредитные убытки в размере 254,7 млн руб. против 84,3 млн руб. годом ранее. У нее также выросли финансовые расходы - на 20,9%, до более 1 млрд рублей.
За январь-сентябрь показатель чистой прибыли снизился на 12,26% и составил 3,95 млрд руб. Выручка за этот период увеличилась на 4,1%, до 80,8 млрд руб., операционные расходы - на 3,8%, до 72,7 млрд руб.
Показатель EBITDA за третий квартал составил 4,92 млрд руб. (-8,3%), за январь-сентябрь - 18,83 млрд руб. (+5,8%).
ПАО ""Россети Центр"" (ранее - ""МРСК Центра (MCX:MRKC)"") включает 11 филиалов: ""Белгородэнерго"", ""Брянскэнерго"", ""Воронежэнерго"", ""Курскэнерго"", ""Костромаэнерго"", ""Липецкэнерго"", ""Тверьэнерго"", ""Смоленскэнерго"", ""Орелэнерго"", ""Тамбовэнерго"", ""Ярэнерго"". Компания также является единоличным исполнительным органом в ""Россети Центр и Приволжья"".MRKC )"") включает 11 филиалов: ""Белгородэнерго"", ""Брянскэнерго"", ""Воронежэнерго"", ""Курскэнерго"", ""Костромаэнерго"", ""Липецкэнерго"", ""Тверьэнерго"", ""Смоленскэнерго"", ""Орелэнерго"", ""Тамбовэнерго"", ""Ярэнерго"". Компания также является единоличным исполнительным органом в ""Россети Центр и Приволжья"". 
Основным акционером ""Россети Центр"" является ПАО ""Россети"", которое владеет 50,2%. Также акционерами компании являются структуры Prosperity Capital Management (UK) Limited, которому в общей сложности принадлежит 21,21%.","24.11.2022, 14:04",https://ru.investing.com/news/economy/article-2203228
"""Россети Центр"" увеличили чистую прибыль по РСБУ в 1-м полугодии на 8,7%","© Reuters. ""Россети Центр"" увеличили чистую прибыль по РСБУ в 1-м полугодии на 8,7%

Заемные средства ""Россети Центр"" по итогам I полугодия оценивались в 42,4 млрд руб.
На счетах компании на конец июня хранилось 4,3 млрд руб.
ПАО ""Россети Центр"" (ранее - ""МРСК Центра (MCX:MRKC)"") включает 11 филиалов: ""Белгородэнерго"", ""Брянскэнерго"", ""Воронежэнерго"", ""Курскэнерго"", ""Костромаэнерго"", ""Липецкэнерго"", ""Тверьэнерго"", ""Смоленскэнерго"", ""Орелэнерго"", ""Тамбовэнерго"", ""Ярэнерго"". Компания также является единоличным исполнительным органом в ""Россети Центр и Приволжья"".MRKC )"") включает 11 филиалов: ""Белгородэнерго"", ""Брянскэнерго"", ""Воронежэнерго"", ""Курскэнерго"", ""Костромаэнерго"", ""Липецкэнерго"", ""Тверьэнерго"", ""Смоленскэнерго"", ""Орелэнерго"", ""Тамбовэнерго"", ""Ярэнерго"". Компания также является единоличным исполнительным органом в ""Россети Центр и Приволжья"". 
Основной акционер ""Россети Центр"" - ПАО ""Россети"", которое владеет 50,2%. Также акционерами компании являются структуры Prosperity Capital Management (UK) Limited, которому в общей сложности принадлежит 21,21%.","01.08.2022, 13:47",https://ru.investing.com/news/stock-market-news/article-2172269
"""Россети Центр"" увеличили квартальную прибыль по МСФО почти на 10%","""Россети Центр"" увеличили квартальную прибыль по МСФО почти на 10%

Это почти на 10% больше результата аналогичного периода прошлого года
Показатель EBITDA при этом увеличился на 16,7%, до 8,1 млрд руб. Выручка компании за период увеличилась с 27,9 до 29,3 млрд руб., операционные расходы - с 24,4 до 25 млрд руб.
Объем денежных средств и их эквивалентов на конец квартала составил 3,25 млрд руб. против 1,9 млрд руб. на конец прошлого года. Согласно отчетности, все они номинированы в рублях.
ПАО ""Россети Центр"" (ранее - ""МРСК Центра (MCX:MRKC)"") включает 11 филиалов: ""Белгородэнерго"", ""Брянскэнерго"", ""Воронежэнерго"", ""Курскэнерго"", ""Костромаэнерго"", ""Липецкэнерго"", ""Тверьэнерго"", ""Смоленскэнерго"", ""Орелэнерго"", ""Тамбовэнерго"", ""Ярэнерго"". Компания также является единоличным исполнительным органом в ""Россети Центр и Приволжья"".MRKC )"") включает 11 филиалов: ""Белгородэнерго"", ""Брянскэнерго"", ""Воронежэнерго"", ""Курскэнерго"", ""Костромаэнерго"", ""Липецкэнерго"", ""Тверьэнерго"", ""Смоленскэнерго"", ""Орелэнерго"", ""Тамбовэнерго"", ""Ярэнерго"". Компания также является единоличным исполнительным органом в ""Россети Центр и Приволжья"". 
Основной акционер ""Россети Центр"" - ПАО ""Россети"", которое владеет 50,2%. Также акционерами компании являются структуры Prosperity Capital Management (UK) Limited, которому в общей сложности принадлежит 21,21%.","27.05.2022, 11:40",https://ru.investing.com/news/stock-market-news/article-2157370
"Чистая прибыль ""Россетей Центр"" по МСФО в 2021 году выросла в 2 раза","© Reuters. Чистая прибыль ""Россетей Центр"" по МСФО в 2021 году выросла в 2 раза

Выручка при этом составила 108,1 млрд руб. после 97,64 млрд руб. годом ранее, операционные расходы - 97,75 млрд после 89,4 млрд руб. в 2020 году.
EBITDA компании в 2021 году составила 23,02 млрд руб. после 21,98 млрд руб. годом ранее.
Как сообщалось, объем услуг по передаче по сетям ПАО ""Россети Центр"" в прошлом году вырос на 5,1%, до 47,8 млрд кВт.ч. ""Россети Центр и Приволжье"" (находится под управлением ""Россети Центр"") увеличили объем услуг по передаче на 6,2% в сравнении с 2020 годом, до 48 млрд кВт.ч. Потери электроэнергии в сетях ""Россети Центр"" составили в 2021 году 9,76% (-0,29 п.п.), в сетях подконтрольной компании - 7,31%(-0,71 п.п.).
ПАО ""Россети Центр"" (ранее - ""МРСК Центра (MCX:MRKC)"") включает 11 филиалов: ""Белгородэнерго"", ""Брянскэнерго"", ""Воронежэнерго"", ""Курскэнерго"", ""Костромаэнерго"", ""Липецкэнерго"", ""Тверьэнерго"", ""Смоленскэнерго"", ""Орелэнерго"", ""Тамбовэнерго"", ""Ярэнерго"". Компания также является единоличным исполнительным органом в ""Россети Центр и Приволжья"".MRKC )"") включает 11 филиалов: ""Белгородэнерго"", ""Брянскэнерго"", ""Воронежэнерго"", ""Курскэнерго"", ""Костромаэнерго"", ""Липецкэнерго"", ""Тверьэнерго"", ""Смоленскэнерго"", ""Орелэнерго"", ""Тамбовэнерго"", ""Ярэнерго"". Компания также является единоличным исполнительным органом в ""Россети Центр и Приволжья"". 
Основным акционером ""Россети Центр"" является ПАО ""Россети"", которое владеет 50,2%. Также акционерами компании являются структуры Prosperity Capital Management (UK) Limited, которому в общей сложности принадлежит 21,21%.","21.03.2022, 17:31",https://ru.investing.com/news/stock-market-news/article-2143653
"""Россети Центр"" нарастили прибыль по РСБУ в 2021 году на 46,6%","© Reuters. ""Россети Центр"" нарастили прибыль по РСБУ в 2021 году на 46,6%

Себестоимость увеличилась с 84,9 млрд до 90,2 млрд руб.
Валовая прибыль в итоге составила 12,95 млрд руб. (+28,3%).
Как сообщалось ранее, объем услуг по передаче по сетям ПАО ""Россети Центр"" в прошлом году вырос на 5,1%, до 47,8 млрд кВт.ч, потери в сетях составили 9,76% (-0,29 п.п.).
ПАО ""Россети Центр"" (ранее - ""МРСК Центра (MCX:MRKC)"") включает 11 филиалов: ""Белгородэнерго"", ""Брянскэнерго"", ""Воронежэнерго"", ""Курскэнерго"", ""Костромаэнерго"", ""Липецкэнерго"", ""Тверьэнерго"", ""Смоленскэнерго"", ""Орелэнерго"", ""Тамбовэнерго"", ""Ярэнерго"". Компания также является единоличным исполнительным органом в ""Россети Центр и Приволжья"".MRKC )"") включает 11 филиалов: ""Белгородэнерго"", ""Брянскэнерго"", ""Воронежэнерго"", ""Курскэнерго"", ""Костромаэнерго"", ""Липецкэнерго"", ""Тверьэнерго"", ""Смоленскэнерго"", ""Орелэнерго"", ""Тамбовэнерго"", ""Ярэнерго"". Компания также является единоличным исполнительным органом в ""Россети Центр и Приволжья"". 
Основным акционером ""Россети Центр"" является ПАО ""Россети"", которое владеет 50,2%. Также акционерами компании являются структуры Prosperity Capital Management (UK) Limited, которому в общей сложности принадлежит 21,21%.","10.03.2022, 14:12",https://ru.investing.com/news/stock-market-news/article-2141766
"""Россети Центр"" ожидают рост финансовых показателей в этом году","""Россети Центр"" ожидают рост финансовых показателей в этом году

Показатель EBITDA по ""Россети Центр"" может увеличиться примерно на 7% (до примерно 20 млрд руб.), а по подконтрольной ""Россети Центр и Приволжья"" - на 25%.
При этом показатели 2022 года, согласно ожиданиям менеджмента, должны быть не хуже текущего года.
По итогам прошлого ""ковидного"" года чистая прибыль ПАО ""Россети Центр"" (ранее ""МРСК Центра (MCX:MRKC)"") по РСБУ составила 2,83 млрд руб., увеличившись в 8,6 раза в сравнении с показателем 2019 года, выручка составила 94,98 млрд руб., EBITDA - 18,5 млрд руб. (+15,5% к 2019 г.).MRKC )"") по РСБУ составила 2,83 млрд руб., увеличившись в 8,6 раза в сравнении с показателем 2019 года, выручка составила 94,98 млрд руб., EBITDA - 18,5 млрд руб. (+15,5% к 2019 г.). 
Подконтрольное ей ""Россети Центр и Приволжье"" по итогам 2020 года получило чистую прибыль по РСБУ в размере 7,046 млрд рублей (+32,7%), выручку в размере 96,588 млрд рублей (рост на 0,3%), EBITDA - в размере 19,7 млрд руб. (+15,3%).
ПАО ""Россети Центр"" включает 11 филиалов: ""Белгородэнерго"", ""Брянскэнерго"", ""Воронежэнерго"", ""Курскэнерго"", ""Костромаэнерго"", ""Липецкэнерго"", ""Тверьэнерго"", ""Смоленскэнерго"", ""Орелэнерго"", ""Тамбовэнерго"", ""Ярэнерго"". Компания также является единоличным исполнительным органом в ""Россети Центр и Приволжья"".
Основным акционером ""Россети Центр"" является ПАО ""Россети"", которое владеет 50,2%. Также акционерами компании являются структуры Prosperity Capital Management (UK) Limited, которому в общей сложности принадлежит 21,21%.","20.12.2021, 11:53",https://ru.investing.com/news/economy/article-2122149
"""Эксперт РА"" повысило рейтинг ПАО ""Россети Центр"" до ""ruAA+""","""Эксперт РА"" повысило рейтинг ПАО ""Россети Центр"" до ""ruAA+""

Ранее у компании действовал рейтинг на уровне ""ruАА"" со стабильным прогнозом.
""Повышение рейтинга обусловлено улучшением показателей оценки долговой нагрузки компании, а также ростом показателей рентабельности бизнеса выше бенчмарков агентства благодаря постепенному восстановлению энергопотребления к допандемийному уровню, росту тарифов на передачу электроэнергии и принятым компанией мерам по сокращению операционных издержек"", - отмечается в релизе.
Агентство на высоком уровне оценивает фактор рентабельности компании. Так, по расчетам агентства, за 12 месяцев, предшествовавших отчетной дате (30 июня 2021 года), рентабельность по EBITDA составила 22%, что выше бенчмарков агентства для максимальной оценки. Агентство рассчитывает, что рентабельность ПАО ""Россети Центр"" останется стабильной в ближайшие годы.
Агентство оценивает ликвидность компании на среднем уровне: операционный денежный поток на горизонте года от отчетной даты с учетом остатка денежных средств и невыбранных кредитных линий полностью покрывает плановые платежи по долгу, поддерживающие капитальные затраты и капитальные затраты на развитие, выплату дивидендов, однако без учета невыбранных кредитных линий операционный денежный поток является недостаточным для осуществления вышеперечисленных платежей. Качественная оценка ликвидности также на среднем уровне ввиду наличия пика платежей по долгам в среднесрочной перспективе, резюмирует ""Эксперт РА"".
В настоящее время в обращении находится три выпуска биржевых облигаций компании на 15 млрд рублей.
ПАО ""Россети Центра"" (ранее ""МРСК Центра (MCX:MRKC)"") включает 11 филиалов: ""Белгородэнерго"", ""Брянскэнерго"", ""Воронежэнерго"", ""Курскэнерго"", ""Костромаэнерго"", ""Липецкэнерго"", ""Тверьэнерго"", ""Смоленскэнерго"", ""Орелэнерго"", ""Тамбовэнерго"", ""Ярэнерго"". Компания также является единоличным исполнительным органом в ""МРСК Центра и Приволжья (MCX:MRKP)"".MRKC )"") включает 11 филиалов: ""Белгородэнерго"", ""Брянскэнерго"", ""Воронежэнерго"", ""Курскэнерго"", ""Костромаэнерго"", ""Липецкэнерго"", ""Тверьэнерго"", ""Смоленскэнерго"", ""Орелэнерго"", ""Тамбовэнерго"", ""Ярэнерго"". Компания также является единоличным исполнительным органом в ""МРСК Центра и Приволжья (MCX: MRKP )"". 
Основным акционером компании является ПАО ""Россети"", которое владеет 50,2%. Также акционерами компании являются структуры Prosperity Capital Management (UK) Limited, которому в общей сложности принадлежит 21,21%.","17.12.2021, 14:49",https://ru.investing.com/news/economy/article-2121537
"""Эксперт РА"" повысило рейтинг ПАО ""Россети Центр"" и его облигаций до ""ruАА+"" со стабильным прогнозом","""Эксперт РА"" повысило рейтинг ПАО ""Россети Центр"" и его облигаций до ""ruАА+"" со стабильным прогнозом
Рейтинговое агентство ""Эксперт РА"" повысило рейтинг кредитоспособности ПАО ""Россети (MCX:RSTI) Центр"" и облигаций компании серий 001Р-01 и 001Р-02 до уровня ""ruAA+"", прогноз рейтинга - ""стабильный"", сообщается в пресс-релизе агентства.RSTI ) Центр"" и облигаций компании серий 001Р-01 и 001Р-02 до уровня ""ruAA+"", прогноз рейтинга - ""стабильный"", сообщается в пресс-релизе агентства. 

Ранее у компании действовал рейтинг на уровне ""ruАА"" со стабильным прогнозом.

""Повышение рейтинга обусловлено улучшением показателей оценки долговой нагрузки компании, а также ростом показателей рентабельности бизнеса выше бенчмарков агентства благодаря постепенному восстановлению энергопотребления к допандемийному уровню, росту тарифов на передачу электроэнергии и принятым компанией мерам по сокращению операционных издержек"", - отмечается в релизе.

Агентство на высоком уровне оценивает фактор рентабельности компании. Так, по расчетам агентства, за 12 месяцев, предшествовавших отчетной дате (30 июня 2021 года), рентабельность по EBITDA составила 22%, что выше бенчмарков агентства для максимальной оценки. Агентство рассчитывает, что рентабельность ПАО ""Россети Центр"" останется стабильной в ближайшие годы.

Агентство оценивает ликвидность компании на среднем уровне: операционный денежный поток на горизонте года от отчетной даты с учетом остатка денежных средств и невыбранных кредитных линий полностью покрывает плановые платежи по долгу, поддерживающие капитальные затраты и капитальные затраты на развитие, выплату дивидендов, однако без учета невыбранных кредитных линий операционный денежный поток является недостаточным для осуществления вышеперечисленных платежей. Качественная оценка ликвидности также на среднем уровне ввиду наличия пика платежей по долгам в среднесрочной перспективе, резюмирует ""Эксперт РА"".

В настоящее время в обращении находится три выпуска биржевых облигаций компании на 15 млрд рублей.

ПАО ""Россети Центра"" (ранее ""МРСК Центра (MCX:MRKC)"") включает 11 филиалов: ""Белгородэнерго"", ""Брянскэнерго"", ""Воронежэнерго"", ""Курскэнерго"", ""Костромаэнерго"", ""Липецкэнерго"", ""Тверьэнерго"", ""Смоленскэнерго"", ""Орелэнерго"", ""Тамбовэнерго"", ""Ярэнерго"". Компания также является единоличным исполнительным органом в ""МРСК Центра и Приволжья (MCX:MRKP)"".MRKC )"") включает 11 филиалов: ""Белгородэнерго"", ""Брянскэнерго"", ""Воронежэнерго"", ""Курскэнерго"", ""Костромаэнерго"", ""Липецкэнерго"", ""Тверьэнерго"", ""Смоленскэнерго"", ""Орелэнерго"", ""Тамбовэнерго"", ""Ярэнерго"". Компания также является единоличным исполнительным органом в ""МРСК Центра и Приволжья (MCX: MRKP )"". 

Основным акционером компании является ПАО ""Россети"", которое владеет 50,2%. Также акционерами компании являются структуры Prosperity Capital Management (UK) Limited, которому в общей сложности принадлежит 21,21%.","17.12.2021, 14:20",https://ru.investing.com/news/economy/article-2121499
"""Эксперт РА"" подтвердило рейтинг двух выпусков бондов ""Россетей Центра"" на уровне ""ruАА""","""Эксперт РА"" подтвердило рейтинг двух выпусков бондов ""Россетей Центра"" на уровне ""ruАА""
Рейтинговое агентство ""Эксперт РА"" подтвердило кредитный рейтинг облигаций ПАО ""Россети (MCX:RSTI) Центра"" серий 001Р-01 и 001Р-02 на уровне ""ruAА"", сообщается в пресс-релизах агентства.RSTI ) Центра"" серий 001Р-01 и 001Р-02 на уровне ""ruAА"", сообщается в пресс-релизах агентства. 

По данным выпускам не предусмотрены возможные дополнительные корректировки за субординацию, обеспечение и поручительство, в связи с чем агентство устанавливает паритет между текущим рейтингом эмитента и облигациями обеих серий.

Пятилетние облигации серии 001Р-01 на 5 млрд рублей были размещены в ноябре 2019 года по ставке 6,85% годовых.

Трехлетние бонды серии 001Р-02 на 5 млрд рублей размещены в июне 2020 года по ставке 5,6% годовых.

В настоящее время в обращении также находится выпуск биржевых облигаций компании серии БО-04 на 5 млрд рублей.

ПАО ""Россети Центра"" (ранее ""МРСК Центра"" (MOEX: MCX:MRKC)) включает 11 филиалов: ""Белгородэнерго"", ""Брянскэнерго"", ""Воронежэнерго"", ""Курскэнерго"", ""Костромаэнерго"", ""Липецкэнерго"", ""Тверьэнерго"", ""Смоленскэнерго"", ""Орелэнерго"", ""Тамбовэнерго"", ""Ярэнерго"". Компания также является единоличным исполнительным органом в ""МРСК Центра и Приволжья"" (MOEX: MCX:MRKP).MRKC )) включает 11 филиалов: ""Белгородэнерго"", ""Брянскэнерго"", ""Воронежэнерго"", ""Курскэнерго"", ""Костромаэнерго"", ""Липецкэнерго"", ""Тверьэнерго"", ""Смоленскэнерго"", ""Орелэнерго"", ""Тамбовэнерго"", ""Ярэнерго"". Компания также является единоличным исполнительным органом в ""МРСК Центра и Приволжья"" (MOEX: MCX: MRKP ). 

Основным акционером компании является ПАО ""Россети"" (MOEX: RSTI), которое владеет 50,2%. Также акционерами компании являются структуры Prosperity Capital Management (UK) Limited, которому в общей сложности принадлежит 21,21%.","18.11.2021, 10:59",https://ru.investing.com/news/economy/article-2109450
