Title,Text,Time,Url
Индекс Мосбиржи выше 3000 пунктов впервые с февраля 2022 года,"© Reuters.
Investing.com — Индекс Мосбиржи в ходе торгов 28 июля поднялся выше 3000 пунктов, свидетельствуют данные торгов на 14:33 МСК. Это максимальное значение с 21 февраля 2022 года.Мосбиржи в ходе торгов 28 июля поднялся выше 3000 пунктов, свидетельствуют данные торгов на 14:33 МСК. Это максимальное значение с 21 февраля 2022 года. 
В лидерах роста сегодня X5 (MCX:FIVEDR) (+3,9%); ФСК (MCX:FEES) Россети (MCX:RSTI) (+2,11%) и Роснефть (MCX:ROSN) (+1,23%).FIVEDR ) (+3,9%); ФСК (MCX: FEES ) Россети (MCX: RSTI ) (+2,11%) и Роснефть (MCX: ROSN ) (+1,23%). 
Читайте нас в Telegram и «ВКонтакте».и 
Текст подготовил Тимур Алиев","28.07.2023, 14:48",https://ru.investing.com/news/stock-market-news/article-2279023
"В 1-м квартале чистая прибыль ""Россети Центр и Приволжье"" по МСФО выросла на 7,4%","© Reuters. В 1-м квартале чистая прибыль ""Россети Центр и Приволжье"" по МСФО выросла на 7,4%

Выручка выросла на 4,8%, до 29,451 млрд рублей, в том числе от услуг по передаче электроэнергии - на 3,6%, до 28,498 млрд рублей.
Операционная прибыль увеличилась на 11%, до 6,535 млрд рублей, прибыль до налогообложения - на 8%, до 6,09 млрд рублей.
Показатель EBITDA составил 9,587 млрд рублей (рост на 14%).
Активы компании выросли с 130,482 млрд рублей в конце 2021 года до 134,372 млрд рублей на 31 марта 2022 года.
Ранее сообщалось, что ""МРСК Центра и Приволжья (MCX:MRKP)"" по итогам первого квартала 2022 года получило чистую прибыль по РСБУ в размере 4,866 млрд рублей, что на 14,7% больше, чем за аналогичный период прошлого года. Выручка от реализации составила 29,318 млрд рублей (рост на 4,4%).MRKP )"" по итогам первого квартала 2022 года получило чистую прибыль по РСБУ в размере 4,866 млрд рублей, что на 14,7% больше, чем за аналогичный период прошлого года. Выручка от реализации составила 29,318 млрд рублей (рост на 4,4%). 
""Россети Центр и Приволжье"" является основным поставщиком услуг по передаче электроэнергии и технологическому присоединению к электросетям во Владимирской, Ивановской, Калужской, Кировской, Нижегородской, Рязанской, Тульской областях, в Удмуртии и Марий Эл.","27.05.2022, 11:53",https://ru.investing.com/news/stock-market-news/article-2157367
"""Россети Центр и Приволжье"" увеличили читую прибыль по МСФО в 2021 году в полтора раза","""Россети Центр и Приволжье"" увеличили читую прибыль по МСФО в 2021 году в полтора раза

Операционные расходы компании по итогам 2021 года составили 92 млрд рублей (рост на 5,9%). Показатель EBITDA равнялся 24,469 млрд рублей (рост на 31,5%).
Операционная прибыль за прошлый год достигла 16,5 млрд рублей (рост на 41,2%), прибыль до налогообложения - 12,9 млрд рублей (рост в 1,6 раза).
Активы компании выросли с 118,2 млрд рублей на 31 декабря 2020 года до 130,5 млрд рублей на 31 декабря 2021 года.
Ранее сообщалось, что ""МРСК Центра и Приволжья (MCX:MRKP)"" по итогам 2021 года получило чистую прибыль по РСБУ в размере 10,58 млрд рублей, что в 1,5 раза больше показателя предыдущего года. Выручка от реализации составила 106,4 млрд рублей (рост на 10,2%), в том числе от передачи электроэнергии - 102,5 млрд рублей (рост на 9,9%).MRKP )"" по итогам 2021 года получило чистую прибыль по РСБУ в размере 10,58 млрд рублей, что в 1,5 раза больше показателя предыдущего года. Выручка от реализации составила 106,4 млрд рублей (рост на 10,2%), в том числе от передачи электроэнергии - 102,5 млрд рублей (рост на 9,9%). 
""Россети Центр и Приволжье"" является основным поставщиком услуг по передаче электроэнергии и технологическому присоединению к электросетям во Владимирской, Ивановской, Калужской, Кировской, Нижегородской, Рязанской, Тульской областях, в Удмуртии и Марий Эл. Полномочия единоличного исполнительного органа переданы ПАО ""Россети Центр"". Основным акционером является ПАО ""Россети"" (50,4%).оследует.","21.03.2022, 18:07",https://ru.investing.com/news/economy/article-2143663
"""Эксперт РА"" повысило рейтинг ПАО ""Россети Центр"" до ""ruAA+""","""Эксперт РА"" повысило рейтинг ПАО ""Россети Центр"" до ""ruAA+""

Ранее у компании действовал рейтинг на уровне ""ruАА"" со стабильным прогнозом.
""Повышение рейтинга обусловлено улучшением показателей оценки долговой нагрузки компании, а также ростом показателей рентабельности бизнеса выше бенчмарков агентства благодаря постепенному восстановлению энергопотребления к допандемийному уровню, росту тарифов на передачу электроэнергии и принятым компанией мерам по сокращению операционных издержек"", - отмечается в релизе.
Агентство на высоком уровне оценивает фактор рентабельности компании. Так, по расчетам агентства, за 12 месяцев, предшествовавших отчетной дате (30 июня 2021 года), рентабельность по EBITDA составила 22%, что выше бенчмарков агентства для максимальной оценки. Агентство рассчитывает, что рентабельность ПАО ""Россети Центр"" останется стабильной в ближайшие годы.
Агентство оценивает ликвидность компании на среднем уровне: операционный денежный поток на горизонте года от отчетной даты с учетом остатка денежных средств и невыбранных кредитных линий полностью покрывает плановые платежи по долгу, поддерживающие капитальные затраты и капитальные затраты на развитие, выплату дивидендов, однако без учета невыбранных кредитных линий операционный денежный поток является недостаточным для осуществления вышеперечисленных платежей. Качественная оценка ликвидности также на среднем уровне ввиду наличия пика платежей по долгам в среднесрочной перспективе, резюмирует ""Эксперт РА"".
В настоящее время в обращении находится три выпуска биржевых облигаций компании на 15 млрд рублей.
ПАО ""Россети Центра"" (ранее ""МРСК Центра (MCX:MRKC)"") включает 11 филиалов: ""Белгородэнерго"", ""Брянскэнерго"", ""Воронежэнерго"", ""Курскэнерго"", ""Костромаэнерго"", ""Липецкэнерго"", ""Тверьэнерго"", ""Смоленскэнерго"", ""Орелэнерго"", ""Тамбовэнерго"", ""Ярэнерго"". Компания также является единоличным исполнительным органом в ""МРСК Центра и Приволжья (MCX:MRKP)"".MRKC )"") включает 11 филиалов: ""Белгородэнерго"", ""Брянскэнерго"", ""Воронежэнерго"", ""Курскэнерго"", ""Костромаэнерго"", ""Липецкэнерго"", ""Тверьэнерго"", ""Смоленскэнерго"", ""Орелэнерго"", ""Тамбовэнерго"", ""Ярэнерго"". Компания также является единоличным исполнительным органом в ""МРСК Центра и Приволжья (MCX: MRKP )"". 
Основным акционером компании является ПАО ""Россети"", которое владеет 50,2%. Также акционерами компании являются структуры Prosperity Capital Management (UK) Limited, которому в общей сложности принадлежит 21,21%.","17.12.2021, 14:49",https://ru.investing.com/news/economy/article-2121537
"""Эксперт РА"" повысило рейтинг ПАО ""Россети Центр"" и его облигаций до ""ruАА+"" со стабильным прогнозом","""Эксперт РА"" повысило рейтинг ПАО ""Россети Центр"" и его облигаций до ""ruАА+"" со стабильным прогнозом
Рейтинговое агентство ""Эксперт РА"" повысило рейтинг кредитоспособности ПАО ""Россети (MCX:RSTI) Центр"" и облигаций компании серий 001Р-01 и 001Р-02 до уровня ""ruAA+"", прогноз рейтинга - ""стабильный"", сообщается в пресс-релизе агентства.RSTI ) Центр"" и облигаций компании серий 001Р-01 и 001Р-02 до уровня ""ruAA+"", прогноз рейтинга - ""стабильный"", сообщается в пресс-релизе агентства. 

Ранее у компании действовал рейтинг на уровне ""ruАА"" со стабильным прогнозом.

""Повышение рейтинга обусловлено улучшением показателей оценки долговой нагрузки компании, а также ростом показателей рентабельности бизнеса выше бенчмарков агентства благодаря постепенному восстановлению энергопотребления к допандемийному уровню, росту тарифов на передачу электроэнергии и принятым компанией мерам по сокращению операционных издержек"", - отмечается в релизе.

Агентство на высоком уровне оценивает фактор рентабельности компании. Так, по расчетам агентства, за 12 месяцев, предшествовавших отчетной дате (30 июня 2021 года), рентабельность по EBITDA составила 22%, что выше бенчмарков агентства для максимальной оценки. Агентство рассчитывает, что рентабельность ПАО ""Россети Центр"" останется стабильной в ближайшие годы.

Агентство оценивает ликвидность компании на среднем уровне: операционный денежный поток на горизонте года от отчетной даты с учетом остатка денежных средств и невыбранных кредитных линий полностью покрывает плановые платежи по долгу, поддерживающие капитальные затраты и капитальные затраты на развитие, выплату дивидендов, однако без учета невыбранных кредитных линий операционный денежный поток является недостаточным для осуществления вышеперечисленных платежей. Качественная оценка ликвидности также на среднем уровне ввиду наличия пика платежей по долгам в среднесрочной перспективе, резюмирует ""Эксперт РА"".

В настоящее время в обращении находится три выпуска биржевых облигаций компании на 15 млрд рублей.

ПАО ""Россети Центра"" (ранее ""МРСК Центра (MCX:MRKC)"") включает 11 филиалов: ""Белгородэнерго"", ""Брянскэнерго"", ""Воронежэнерго"", ""Курскэнерго"", ""Костромаэнерго"", ""Липецкэнерго"", ""Тверьэнерго"", ""Смоленскэнерго"", ""Орелэнерго"", ""Тамбовэнерго"", ""Ярэнерго"". Компания также является единоличным исполнительным органом в ""МРСК Центра и Приволжья (MCX:MRKP)"".MRKC )"") включает 11 филиалов: ""Белгородэнерго"", ""Брянскэнерго"", ""Воронежэнерго"", ""Курскэнерго"", ""Костромаэнерго"", ""Липецкэнерго"", ""Тверьэнерго"", ""Смоленскэнерго"", ""Орелэнерго"", ""Тамбовэнерго"", ""Ярэнерго"". Компания также является единоличным исполнительным органом в ""МРСК Центра и Приволжья (MCX: MRKP )"". 

Основным акционером компании является ПАО ""Россети"", которое владеет 50,2%. Также акционерами компании являются структуры Prosperity Capital Management (UK) Limited, которому в общей сложности принадлежит 21,21%.","17.12.2021, 14:20",https://ru.investing.com/news/economy/article-2121499
"Квартальная чистая прибыль ""Россети Центр и Приволжье"" по МСФО выросла в 2,7 раза","© Reuters. Квартальная чистая прибыль ""Россети Центр и Приволжье"" по МСФО выросла в 2,7 раза

Показатель EBITDA в третьем квартале возрос в 1,6 раза - до 6,133 млрд рублей.
Чистая прибыль компании за 9 месяцев 2021 года выросла в 1,5 раза по сравнению с аналогичным периодом прошлого года, до 9,716 млрд рублей.
Выручка за 9 месяцев возросла на 11,9% - до 77,053 млрд рублей, в том числе от оказания услуг по передаче электроэнергии - на 10,5%, до 74,7 млрд рублей, от оказания услуг по подключению к электросетям - в 1,9 раза, до 1,3 млрд рублей, прочая выручка - в 1,8 раза, до 1,1 млрд рублей.
В пояснениях к отчетности сообщается, что основными факторами, оказавшими влияние на рост консолидированной выручки, являются рост выручки по передаче электроэнергии вследствие увеличения полезного отпуска и котловых тарифов (повышение среднего тарифа на 3,5%), а также рост выручки по подключению к электросетям вследствие внепланового присоединения крупных заявителей и досрочной оплаты по договорам техприсоединения со стороны заявителей.
Операционные расходы в январе-сентябре текущего года составили 64,944 млрд рублей (рост на 6,5%).
Компания в январе-сентябре получила операционную прибыль в размере 13,672 млрд рублей, увеличив ее на 45%. Прибыль до налогобложения составила 12,369 млрд рублей (рост на 53,7%). Показатель EBITDA достиг 20,889 млрд рублей (рост на 32,2%).
Активы компании за январь-сентябрь выросли на 5,2% и на конец сентября равнялись 124,328 млрд рублей.","23.11.2021, 10:51",https://ru.investing.com/news/stock-market-news/article-2111172
"""Эксперт РА"" подтвердило рейтинг двух выпусков бондов ""Россетей Центра"" на уровне ""ruАА""","""Эксперт РА"" подтвердило рейтинг двух выпусков бондов ""Россетей Центра"" на уровне ""ruАА""
Рейтинговое агентство ""Эксперт РА"" подтвердило кредитный рейтинг облигаций ПАО ""Россети (MCX:RSTI) Центра"" серий 001Р-01 и 001Р-02 на уровне ""ruAА"", сообщается в пресс-релизах агентства.RSTI ) Центра"" серий 001Р-01 и 001Р-02 на уровне ""ruAА"", сообщается в пресс-релизах агентства. 

По данным выпускам не предусмотрены возможные дополнительные корректировки за субординацию, обеспечение и поручительство, в связи с чем агентство устанавливает паритет между текущим рейтингом эмитента и облигациями обеих серий.

Пятилетние облигации серии 001Р-01 на 5 млрд рублей были размещены в ноябре 2019 года по ставке 6,85% годовых.

Трехлетние бонды серии 001Р-02 на 5 млрд рублей размещены в июне 2020 года по ставке 5,6% годовых.

В настоящее время в обращении также находится выпуск биржевых облигаций компании серии БО-04 на 5 млрд рублей.

ПАО ""Россети Центра"" (ранее ""МРСК Центра"" (MOEX: MCX:MRKC)) включает 11 филиалов: ""Белгородэнерго"", ""Брянскэнерго"", ""Воронежэнерго"", ""Курскэнерго"", ""Костромаэнерго"", ""Липецкэнерго"", ""Тверьэнерго"", ""Смоленскэнерго"", ""Орелэнерго"", ""Тамбовэнерго"", ""Ярэнерго"". Компания также является единоличным исполнительным органом в ""МРСК Центра и Приволжья"" (MOEX: MCX:MRKP).MRKC )) включает 11 филиалов: ""Белгородэнерго"", ""Брянскэнерго"", ""Воронежэнерго"", ""Курскэнерго"", ""Костромаэнерго"", ""Липецкэнерго"", ""Тверьэнерго"", ""Смоленскэнерго"", ""Орелэнерго"", ""Тамбовэнерго"", ""Ярэнерго"". Компания также является единоличным исполнительным органом в ""МРСК Центра и Приволжья"" (MOEX: MCX: MRKP ). 

Основным акционером компании является ПАО ""Россети"" (MOEX: RSTI), которое владеет 50,2%. Также акционерами компании являются структуры Prosperity Capital Management (UK) Limited, которому в общей сложности принадлежит 21,21%.","18.11.2021, 10:59",https://ru.investing.com/news/economy/article-2109450
"Прибыль ПАО ""Россети Центр"" по РСБУ в январе-сентябре выросла более чем вдвое","© Reuters. Прибыль ПАО ""Россети Центр"" по РСБУ в январе-сентябре выросла более чем вдвое

Выручка компании увеличилась на 8,5%, до 74,1 млрд руб. В частности, выручка от передачи составила 71,17 млрд руб. (+8,7%). Себестоимость продаж увеличилась с 62,43 до 66,02 млрд руб.
Валовая прибыль составила 8,08 млрд руб. после 5,8 млрд руб. годом ранее.
Прочие доходы компании выросли с 1,35 млрд до 2,3 млрд руб., расходы - с 1,5 млрд до 2,7 млрд руб.
ПАО ""Россети Центра"" (ранее ""МРСК Центра (MCX:MRKC)"") включает 11 филиалов: ""Белгородэнерго"", ""Брянскэнерго"", ""Воронежэнерго"", ""Курскэнерго"", ""Костромаэнерго"", ""Липецкэнерго"", ""Тверьэнерго"", ""Смоленскэнерго"", ""Орелэнерго"", ""Тамбовэнерго"", ""Ярэнерго"". Компания также является единоличным исполнительным органом в ""МРСК Центра и Приволжья (MCX:MRKP)"".MRKC )"") включает 11 филиалов: ""Белгородэнерго"", ""Брянскэнерго"", ""Воронежэнерго"", ""Курскэнерго"", ""Костромаэнерго"", ""Липецкэнерго"", ""Тверьэнерго"", ""Смоленскэнерго"", ""Орелэнерго"", ""Тамбовэнерго"", ""Ярэнерго"". Компания также является единоличным исполнительным органом в ""МРСК Центра и Приволжья (MCX: MRKP )"". 
Основным акционером компании является ПАО ""Россети"", которое владеет 50,2%. Также акционерами компании являются структуры Prosperity Capital Management (UK) Limited, которому в общей сложности принадлежит 21,21%.","27.10.2021, 12:45",https://ru.investing.com/news/stock-market-news/article-2100547
Сегодня вступают в силу итоги квартального пересмотра индексов FTSE и MVIS,"© Reuters. Сегодня вступают в силу итоги квартального пересмотра индексов FTSE и MVIS

В сегмент компаний малой рыночной капитализации индекса FTSE All-World добавляются ""Новороссийский морской торговый порт (MCX:NMTP)"" (НМТП) с показателем free float 30%, ГК ""Самолет"" (free float 14%), банк ""Санкт-Петербург"" (free float 47%), группа ""Черкизово (MCX:GCHE)"" (free float 12%), а также ПАО ""МРСК Центра и Приволжья (MCX:MRKP)"" (free float 50%). Кроме того, снижается вес ""Детского мира (MCX:DSKY)"", Московского кредитного банка (МКБ), ""АЛРОСА (MCX:ALRS)"" и ""Норильского никеля"".NMTP )"" (НМТП) с показателем free float 30%, ГК ""Самолет"" (free float 14%), банк ""Санкт-Петербург"" (free float 47%), группа ""Черкизово (MCX: GCHE )"" (free float 12%), а также ПАО ""МРСК Центра и Приволжья (MCX: MRKP )"" (free float 50%). Кроме того, снижается вес ""Детского мира (MCX: DSKY )"", Московского кредитного банка (МКБ), ""АЛРОСА (MCX: ALRS )"" и ""Норильского никеля"". 
Список бумаг, входящих в состав индекса MVIS Russia (MVRSX, бенчмарк для VanEck Vectors Russia ETF, RSX), остается без изменений. При этом повышаются веса Ozon (MCX:OZONDR), Polymetal (MCX:POLY) , ""Татнефти (MCX:TATN)"", снижаются веса ""Газпрома (MCX:GAZP)"", TCS Group (MCX:TCSGDR) и ""Яндекса (MCX:YNDX)"".OZONDR ), Polymetal (MCX: POLY ) , ""Татнефти (MCX: TATN )"", снижаются веса ""Газпрома (MCX: GAZP )"", TCS Group (MCX: TCSGDR ) и ""Яндекса (MCX: YNDX )"". 
Между тем в индекс MVIS Russia Small-Cap (MVSRXJ, бенчмарк для VanEck Vectors Russia Small-Cap ETF, RSXJ) включаются Segezha с весом 4,88%, Ros Agro с весом 4,5%, ГК ""Самолет"" с весом 4,4% и ""Белуга"" с весом 1,77%. Исключаются из индекса Qiwi (MCX:QIWIDR), ""Селигдар (MCX:SELG)"" ), Summit Ascent Holdings и VNV Global.Qiwi Qiwi (MCX: QIWIDR ), ""Селигдар (MCX: SELG )"" ), Summit Ascent Holdings и VNV Global.","20.09.2021, 09:04",https://ru.investing.com/news/stock-market-news/article-2087580
FTSE добавил ряд российских компаний в свои индексы,"© Reuters. FTSE добавил ряд российских компаний в свои индексы

Все бумаги были включены в сегмент Small Cap индекса.
""Что касается российских компаний, в индекс был добавлен НМТП, с учетом улучшения ликвидности, с показателем доли акций в свободном обращении 30%. В связи с данным событием мы ожидаем пассивный приток средств в бумагу на уровне $16 млн (36x среднедневного объема торгов за месяц). ""Самолет"" был включен в индекс с показателем free float 14%. По нашим расчетам, пассивный приток в акции компании составит порядка $12 млн (2,5x среднедневного объема торгов за месяц). Также включены банк ""Санкт-Петербург"" (оценка free float 47%, пассивный приток составит около $6 млн или 11x среднедневного объема торгов за месяц), ""Черкизово"" (free float 12%, пассивный приток порядка $5 млн, или 21x среднедневного объема торгов за месяц) и ""МРСК Центра (MCX:MRKC) и Приволжья"" (free float 50%, пассивный приток оценивается на уровне $5 млн или 32x среднедневного объема торгов за месяц). Все включения относятся к сегменту компаний с малой рыночной капитализацией"", - пишет эксперт.MRKC ) и Приволжья"" (free float 50%, пассивный приток оценивается на уровне $5 млн или 32x среднедневного объема торгов за месяц). Все включения относятся к сегменту компаний с малой рыночной капитализацией"", - пишет эксперт. 
В то же время, по данным отчета ""ВТБ Капитала"", показатель free float ""Детского мира (MCX:DSKY)"" был снижен и соответственно понижен вес бумаги в индексе, в связи с чем стратег ожидает оттока пассивных денег из акций ритейлера в размере $2 млн (0,7x среднедневного объема торгов за месяц). Также был понижен вес Московского кредитного банка (МКБ) (пассивный отток капитала оценивается на уровне $3 млн, или 0,5x среднедневного объема торгов за месяц), ""АЛРОСА (MCX:ALRS)"" (пассивный отток средств может составить порядка $4 млн, или 0,1x среднедневного объема торгов за месяц) и ""Норильский никель (MCX:GMKN)"" (оценка пассивного оттока денег - $23 млн, или 0,3x среднедневного объема торгов за месяц).DSKY )"" был снижен и соответственно понижен вес бумаги в индексе, в связи с чем стратег ожидает оттока пассивных денег из акций ритейлера в размере $2 млн (0,7x среднедневного объема торгов за месяц). Также был понижен вес Московского кредитного банка (МКБ) (пассивный отток капитала оценивается на уровне $3 млн, или 0,5x среднедневного объема торгов за месяц), ""АЛРОСА (MCX: ALRS )"" (пассивный отток средств может составить порядка $4 млн, или 0,1x среднедневного объема торгов за месяц) и ""Норильский никель (MCX: GMKN )"" (оценка пассивного оттока денег - $23 млн, или 0,3x среднедневного объема торгов за месяц).","23.08.2021, 12:08",https://ru.investing.com/news/stock-market-news/article-2077785
