Title,Text,Time,Url
"В третьем квартале ""Россети Волга"" снизили чистую прибыль по МСФО на 34%","В третьем квартале ""Россети Волга"" снизили чистую прибыль по МСФО на 34%

Выручка в третьем квартале составила 16,1 млрд рублей, это на 2,1% больше, чем годом ранее. Показатель EBITDA вырос на 9,2% - до 2,055 млрд рублей.
По итогам 9 месяцев текущего года компания получила чистый убыток в размере 1,35 млрд рублей против чистой прибыли в размере 102,604 млн рублей в январе-сентябре прошлого года. Выручка выросла на 0,9% - до 47,574 млн рублей. Компания получила операционный убыток в размере 737,299 млн рублей против 501,197 млн рублей операционной прибыли годом ранее. Показатель EBITDA составил 3,998 млрд рублей (снижение на 17,8%).
Активы компании за 9 месяцев снизились на 1,6% - до 63,78 млрд рублей на конец сентября с 64,83 млрд рублей на начало года.
ПАО ""Россети (MCX:RSTI) Волга"" объединяет электросетевые активы республик Мордовия и Чувашия, Оренбургской, Пензенской, Самарской, Саратовской и Ульяновской областей. Доля ПАО ""Россети"" в уставном капитале компании составляет 67,97%.RSTI ) Волга"" объединяет электросетевые активы республик Мордовия и Чувашия, Оренбургской, Пензенской, Самарской, Саратовской и Ульяновской областей. Доля ПАО ""Россети"" в уставном капитале компании составляет 67,97%.","24.11.2022, 09:29",https://ru.investing.com/news/economy/article-2203119
"АКРА подтвердило ""Россетям Волга"" рейтинг на уровне AA+(RU)","АКРА подтвердило ""Россетям Волга"" рейтинг на уровне AA+(RU)

Как отмечается в пресс-релизе АКРА, подтверждение рейтинга обусловлено монопольной рыночной позицией компании в регионах присутствия, низким уровнем ее долговой нагрузки, адекватной рентабельностью бизнеса и хорошим уровнем ликвидности. Сдерживающее влияние на рейтинг оказывает относительно невысокий уровень социально-экономического развития в ряде обслуживаемых регионов, что определяет возникновение регуляторных рисков в части своевременного и адекватного изменения тарифов и отрицательный свободный денежный поток (FCF). АКРА оценивает вероятность предоставления компании помощи со стороны как высокую.
Изменение оценки собственной кредитоспособности (ОСК) компании с АА до АА- обусловлено понижением FFO до чистых процентов и налогов и соответствующей рентабельности по результатам шести месяцев 2022 года к аналогичному периоду 2021-го. Это произошло ввиду отстающего изменения величины тарифа на фоне возросшей инфляции и, как результат, опережающего роста расходов компании над доходами, что с учетом текущего и прогнозируемого уровней инвестиций ПАО ""Россети (MCX:RSTI) Волга"" приводит к увеличению общего долга и отрицательному значению FCF.RSTI ) Волга"" приводит к увеличению общего долга и отрицательному значению FCF. 
Несмотря на ожидаемое снижение основных показателей компании в сравнении с результатами 2021 года (в частности уменьшение полезного отпуска электроэнергии на фоне сокращения промышленного производства в регионах обслуживания), агентство прогнозирует сохранение операционной устойчивости ПАО ""Россети Волга"" как минимум на горизонте 12 месяцев.
""Россети Волга"" - межрегиональная электросетевая организация, осуществляющая деятельность в семи регионах Приволжского федерального округа России. Она обеспечивает передачу электроэнергии в Саратовской, Самарской, Ульяновской, Оренбургской и Пензенской областях, а также в Республике Мордовия и Чувашской Республике.
Отмечается, что у компании отсутствуют крупные инвестиционные проекты ввиду незначительной инвестиционной активности в регионах присутствия. Основной объем капитальных вложений направляется на реконструкцию, модернизацию и техническое переоснащение в целях повышения надежности функционирования распределительного электросетевого комплекса. В 2021 году инвестиции ПАО ""Россети Волга"" сократились на 8% в годовом сопоставлении и составили 7,2 млрд руб. без НДС (11% к выручке компании за 2021 год). АКРА ожидает, что усредненное годовое значение объема инвестиций с 2022 по 2024 год составит 8,2 млрд руб. без НДС.","10.11.2022, 15:53",https://ru.investing.com/news/economy/article-2199088
"Убыток ""Россетей Волга"" по МСФО в 1-м квартале составил 203 млн руб. против прибыли годом ранее","Убыток ""Россетей Волга"" по МСФО в 1-м квартале составил 203 млн руб. против прибыли годом ранее

Операционные расходы превысили выручку и достигли 17 млрд рублей (рост на 3,9%). В результате компания в первом квартале получила операционный убыток в размере 50,2 млрд рублей против операционной прибыли в 356,7 млн рублей годом ранее.
Убыток до налогообложения составил 355,6 млн рублей против доналоговой прибыли в 276,7 млн рублей в январе-марте 2021 года.
Из отчета следует, что ""Россети (MCX:RSTI) Волга"" получила прочий совокупный доход за отчетный период за вычетом налога на прибыль в размере 209,724 млн рублей, этот доход не может быть впоследствии реклассифицирован в состав прибыли. В результате совокупный доход (чистый убыток плюс прочий совокупный доход) в I квартале составил 7,012 млн рублей (снизился в 59,5 раза год к году).RSTI ) Волга"" получила прочий совокупный доход за отчетный период за вычетом налога на прибыль в размере 209,724 млн рублей, этот доход не может быть впоследствии реклассифицирован в состав прибыли. В результате совокупный доход (чистый убыток плюс прочий совокупный доход) в I квартале составил 7,012 млн рублей (снизился в 59,5 раза год к году). 
EBITDA в первом квартале составила 1,5 млрд рублей (снижение на 16,1%).
Активы компании за январь-март выросли с 64,8 млрд рублей на начало текущего года до 65,2 млрд рублей на конец марта.
ПАО ""Россети Волга"" объединяет электросетевые активы республик Мордовия и Чувашия, Оренбургской, Пензенской, Самарской, Саратовской и Ульяновской областей. Доля ПАО ""Россети"" в уставном капитале компании составляет 67,97%.","30.05.2022, 10:41",https://ru.investing.com/news/economy/article-2157706
"""Россети Волга"" получили чистую прибыль по МСФО в 2021 г. против убытка годом ранее","""Россети Волга"" получили чистую прибыль по МСФО в 2021 г. против убытка годом ранее

Выручка составила 69,9 млрд рублей (рост на 7,5%), в том числе от передачи электроэнергии - 63,9 млрд рублей (рост на 6,8%).
В отчетности отмечается, что в декабре 2021 года компания провела корректировку объема и стоимости оказанных в 2020 и в 2021 годах услуг по передаче электроэнергии ПАО ""Химпром"" в сумме 736,6 млн рублей. При этом у компании и контрагента возникли разногласия. Разногласия с ""Химпромом"" за 2020 и 2021 годы сложились по тем же обстоятельствам, по которым ранее ""Россети (MCX:RSTI) Волга"" выиграла судебные разбирательства за 2018 и 2019 годы, сообщается в документе.RSTI ) Волга"" выиграла судебные разбирательства за 2018 и 2019 годы, сообщается в документе. 
Уверенность компании в увеличении экономических выгод от операций по признанию выручки основана на наличии договора с ""Химпромом"", убежденности в благоприятном исходе судебных разбирательств с ним и способности контрагента провести оплату после вступления в силу судебных решений по взысканию задолженности, поясняется в отчетности. Отмечается также, контрагент признал объемы передачи без разногласий за январь 2022 года и оплатил их.
Операционные расходы компании за минувший год равнялись 63,5 млрд рублей. Компания увеличила операционную прибыль в 5,9 раза - с 289 млн рублей до 1,7 млрд рублей.
Прибыль до налогообложения сложилась с сумме 1,3 млрд рублей против доналогового убытка годом ранее в размере 17,2 млн рублей. EBITDA равнялась 7,5 млрд рублей (рост на 31%).
Активы компании за год выросли с 61,5 млрд рублей до 64,8 млрд рублей.
ПАО ""Россети Волга"" объединяет электросетевые активы республик Мордовия и Чувашия, Оренбургской, Пензенской, Самарской, Саратовской и Ульяновской областей. Доля ПАО ""Россети"") в уставном капитале компании составляет 67,97%.","17.03.2022, 12:08",https://ru.investing.com/news/economy/article-2143033
Moody's снизило рейтинги почти сотни ведущих российских компаний,"© Reuters. Moody's снизило рейтинги почти сотни ведущих российских компаний

Список компаний, рейтинги которых были снижены: ""АЛРОСА (MCX:ALRS)"", ""Акрон (MCX:AKRN)"", ""Атомэнергопром"", АО ""Союздорстрой"" (ГК ""Автобан""), Borets International Ltd, ""Черкизово (MCX:GCHE)"", DME Ltd. (оператор аэропорта ""Домодедово""), Evraz Plc, EuroChem Group AG (головная компания группы ""ЕвроХим""), ""Газпром нефть (MCX:SIBN)"", ""Газпром (MCX:GAZP)"", Global Ports Investments Plc, ""Интер РАО (MCX:IRAO)"", АО ""Биокад"", ""Металлоинвест"", ""Рольф"", ""Группа ЛСР (MCX:LSRG)"", ""ЛУКОЙЛ (MCX:LKOH)"", ""Норильский никель (MCX:GMKN)"", ""Магнитогорский металлургический комбинат (MCX:MAGN)"", ""Мегафон (MCX:MFON)"", НЛМК (MCX:NLMK), ""Нефтьсервисхолдинг"", Nordgold, O1 Properties Limited, ""НОВАТЭК (MCX:NVTK)"", ""Северсталь (MCX:CHMF)"", ""ТМК (MCX:TRMK)"", ""Кокс"", ""Башнефть (MCX:BANE)"", ""Роснефть (MCX:ROSN)"", ""ГК ПИК (MCX:PIKK)"", ""Фосагро (MCX:PHOR)"", Petro Welt Technologies AG, ""Полюс (MCX:PLZL)"", ""ФСК ЕЭС (MCX:FEES)"", ""Россети (MCX:RSTI)"" (а также ряд региональных распределительных компаний, включая ""Россети Московский регион"", ""Россети Ленэнерго (MCX:LSNG)"", ""Россети Волга (MCX:MRKV)"", ""Россети Урал"" и другие), ""Русгидро (MCX:HYDR)"", ""Федеральная пассажирская компания"", ""РЖД"", ""СУЭК"", ""СИБУР"", ""МТС (MCX:MTSS)"", ""Совкомфлот (MCX:FLOT)"", ""Связьинвестнефтехим"", ""Татнефть (MCX:TATN)"", ""Трансконтейнер (MCX:TRCN)"", ""Транснефть (MCX:TRNF_p)"", ""Русал (MCX:RUAL)"", ""Уралкалий (MCX:URKA)"", VEON Ltd., ""Вымпелком"" и X5 Retail Group (MCX:FIVEDR).ALRS )"", ""Акрон (MCX: AKRN )"", ""Атомэнергопром"", АО ""Союздорстрой"" (ГК ""Автобан""), Borets International Ltd, ""Черкизово (MCX: GCHE )"", DME Ltd. (оператор аэропорта ""Домодедово""), Evraz Plc, EuroChem Group AG (головная компания группы ""ЕвроХим""), ""Газпром нефть (MCX: SIBN )"", ""Газпром (MCX: GAZP )"", Global Ports Investments Plc, ""Интер РАО (MCX: IRAO )"", АО ""Биокад"", ""Металлоинвест"", ""Рольф"", ""Группа ЛСР (MCX: LSRG )"", ""ЛУКОЙЛ (MCX: LKOH )"", ""Норильский никель (MCX: GMKN )"", ""Магнитогорский металлургический комбинат (MCX: MAGN )"", ""Мегафон (MCX: MFON )"", НЛМК (MCX: NLMK ), ""Нефтьсервисхолдинг"", Nordgold, O1 Properties Limited, ""НОВАТЭК (MCX: NVTK )"", ""Северсталь (MCX: CHMF )"", ""ТМК (MCX: TRMK )"", ""Кокс"", ""Башнефть (MCX: BANE )"", ""Роснефть (MCX: ROSN )"", ""ГК ПИК (MCX: PIKK )"", ""Фосагро (MCX: PHOR )"", Petro Welt Technologies AG, ""Полюс (MCX: PLZL )"", ""ФСК ЕЭС (MCX: FEES )"", ""Россети (MCX: RSTI )"" (а также ряд региональных распределительных компаний, включая ""Россети Московский регион"", ""Россети Ленэнерго (MCX: LSNG )"", ""Россети Волга (MCX: MRKV )"", ""Россети Урал"" и другие), ""Русгидро (MCX: HYDR )"", ""Федеральная пассажирская компания"", ""РЖД"", ""СУЭК"", ""СИБУР"", ""МТС (MCX: MTSS )"", ""Совкомфлот (MCX: FLOT )"", ""Связьинвестнефтехим"", ""Татнефть (MCX: TATN )"", ""Трансконтейнер (MCX: TRCN )"", ""Транснефть (MCX: TRNF_p )"", ""Русал (MCX: RUAL )"", ""Уралкалий (MCX: URKA )"", VEON Ltd., ""Вымпелком"" и X5 Retail X5 Retail Group (MCX: FIVEDR ). 
В список также включены их дочерние компании, занимающиеся размещением облигаций.
Долгосрочные рейтинги большинства компаний из списка были снижены до нового странового потолка - ""Caa2"".
Прогнозы изменения всех рейтингов - ""негативные"", что отражает существенные риски для макроэкономической стабильности России из-за жестких и скоординированных санкций Запада, а также из-за последствий введенных ЦБ РФ мер контроля за движением капитала.
6 марта Moody's понизило рейтинги России до ""Ca"" с ""B3"", прогноз - ""негативный"". Суверенный рейтинг был снижен на фоне ожиданий, что меры контроля за движением капитала, введенные Банком России, ограничат трансграничные платежи, в том числе обслуживание долговых обязательств.","11.03.2022, 11:27",https://ru.investing.com/news/stock-market-news/article-2141980
Moody's поместило на пересмотр рейтинги 51 нефинансовой российской компании,"Moody's поместило на пересмотр рейтинги 51 нефинансовой российской компании

Помещение эмитентов на пересмотр ""отражает мнение Moody's, что возможное снижение суверенного рейтинга России и понижение странового потолка может привести к снижению рейтингов указанных компаний ввиду их сильных связей с суверенными рейтингами"", говорится в сообщении агентства.
Список компаний, рейтинги которых были поставлены на пересмотр: ""АЛРОСА (MCX:ALRS)"", ""Атомэнергопром"", ""Газпром нефть (MCX:SIBN)"", ""Газпром (MCX:GAZP)"", ""Интер РАО (MCX:IRAO)"", ""Металлоинвест"", ""ЛУКОЙЛ (MCX:LKOH)"", ""Норильский никель (MCX:GMKN)"", ""Магнитогорский металлургический комбинат (MCX:MAGN)"", НЛМК (MCX:NLMK), ""НОВАТЭК (MCX:NVTK)"", ""Башнефть (MCX:BANE)"", ""Роснефть (MCX:ROSN)"", ""Фосагро (MCX:PHOR)"", ""Полюс (MCX:PLZL)"", ""ФСК ЕЭС (MCX:FEES)"", ""Россети (MCX:RSTI)"" (а также ряд региональных распределительных компаний, включая ""Россети Московский регион"", ""Россети Ленэнерго (MCX:LSNG)"", ""Россети Волга (MCX:MRKV)"" и другие), ""Русгидро (MCX:HYDR)"", ""Федеральная пассажирская компания"", ""РЖД"", ""СИБУР"", ""МТС (MCX:MTSS)"", ""Совкомфлот (MCX:FLOT)"", ""Татнефть (MCX:TATN)"" и ""Транснефть (MCX:TRNF_p)"".ALRS )"", ""Атомэнергопром"", ""Газпром нефть (MCX: SIBN )"", ""Газпром (MCX: GAZP )"", ""Интер РАО (MCX: IRAO )"", ""Металлоинвест"", ""ЛУКОЙЛ (MCX: LKOH )"", ""Норильский никель (MCX: GMKN )"", ""Магнитогорский металлургический комбинат (MCX: MAGN )"", НЛМК (MCX: NLMK ), ""НОВАТЭК (MCX: NVTK )"", ""Башнефть (MCX: BANE )"", ""Роснефть (MCX: ROSN )"", ""Фосагро (MCX: PHOR )"", ""Полюс (MCX: PLZL )"", ""ФСК ЕЭС (MCX: FEES )"", ""Россети (MCX: RSTI )"" (а также ряд региональных распределительных компаний, включая ""Россети Московский регион"", ""Россети Ленэнерго (MCX: LSNG )"", ""Россети Волга (MCX: MRKV )"" и другие), ""Русгидро (MCX: HYDR )"", ""Федеральная пассажирская компания"", ""РЖД"", ""СИБУР"", ""МТС (MCX: MTSS )"", ""Совкомфлот (MCX: FLOT )"", ""Татнефть (MCX: TATN )"" и ""Транснефть (MCX: TRNF_p )"". 
В список также включены их дочерние компании, занимающиеся размещением облигаций.
Как сообщалось, в прошлую пятницу Moody's поместило на пересмотр с возможностью понижения долгосрочные рейтинги Российской Федерации в иностранной и национальной валюте ""Baa3"" в связи с ""военной операцией России на Украине"".","02.03.2022, 13:25",https://ru.investing.com/news/economy/article-2140049
"Чистая прибыль ""Россети Волга"" по МСФО составила в июле-сентябре 238 млн руб. против убытка годом ранее","© Reuters. Чистая прибыль ""Россети Волга"" по МСФО составила в июле-сентябре 238 млн руб. против убытка годом ранее

Выручка в третьем квартале составила 15,8 млрд рублей, это на 10,4% больше, чем за аналогичный период прошлого года. EBITDA выросла в 1,6 раза, до 1,883 млрд рублей.
По итогам 9 месяцев текущего года компания получила чистую прибыль в размере 102,604 млн рублей против чистого убытка в январе -сентябре прошлого года в размере 496,46 млн рублей. Выручка за 9 месяцев выросла на 7,2%, до 47,169 млн рублей. ""Россети (MCX:RSTI) Волга"" получила операционную прибыль в размере 501,197 млн рублей против операционного убытка 261,079 млн рублей. EBITDA за январь-сентябрь составила 4,863 млрд рублей (рост на 27,8%).RSTI ) Волга"" получила операционную прибыль в размере 501,197 млн рублей против операционного убытка 261,079 млн рублей. EBITDA за январь-сентябрь составила 4,863 млрд рублей (рост на 27,8%). 
Активы компании за 9 месяцев снизились на 3,2%, с 61,5 млрд рублей на начало года до 59,5 млрд рублей на конец сентября.","23.11.2021, 12:22",https://ru.investing.com/news/stock-market-news/article-2111227
"Чистый убыток ""Россетей Волга"" по РСБУ в январе-сентябре снизился в 2,2 раза","Чистый убыток ""Россетей Волга"" по РСБУ в январе-сентябре снизился в 2,2 раза

Выручка выросла на 7,1% - до 47,1 млрд рублей. Себестоимость росла меньшими темпами (на 5,8%, до 46,7 млрд рублей), в результате компания получила валовую прибыль против убытка годом ранее.
Однако управленческие расходы (980,841 млн рублей) превысили валовую прибыль, в итоге компания получила убыток от продаж, но снизила его почти вдвое.
Долгосрочные обязательства компании снизились с 13,3 млрд рублей на начало года до 11,9 млрд рублей, при этом обязательства по долгосрочным займам сократились с 6,8 млрд рублей до 5,4 млрд рублей. Краткосрочные обязательства уменьшились с 8,5 млрд рублей до 7,9 млрд рублей, в том числе краткосрочная кредиторская задолженность - с 7,9 млрд рублей до 7,4 млрд рублей. Дебиторская задолженность снизилась с 7,4 млрд рублей до 6,4 млрд рублей.
ПАО ""Россети Волга"" объединяет электросетевые активы республик Мордовия и Чувашия, Оренбургской, Пензенской, Самарской, Саратовской и Ульяновской областей. Доля ПАО ""Россети"" в уставном капитале компании составляет 67,97%.","25.10.2021, 16:32",https://ru.investing.com/news/economy/article-2099565
"Чистый убыток ""Россети Волга"" в первом полугодии снизился вдвое","© Reuters. Чистый убыток ""Россети Волга"" в первом полугодии снизился вдвое

EBITDA во втором квартале выросла в 11,5 раза - до 1,17 млрд рублей.
Чистый убыток компании в первом полугодии снизился вдвое по сравнению с первым полугодием прошлого года и составил 135,6 млн рублей. Выручка за 6 месяцев выросла на 5,6% - до 31,405 млрд рублей. Компания получила операционную прибыль в 82 млн рублей против операционного убытка в 117,8 млн рублей годом ранее. Показатель EBITDA достиг 2,98 млрд рублей (рост на 14,7%).
Активы компании за январь-июнь снизились на 2% и на конец первого полугодия равнялись 60,277 млрд рублей.","24.08.2021, 11:07",https://ru.investing.com/news/stock-market-news/article-2078189
"Прибыль ""Россетей Волга"" по МСФО в 1-м квартале снизилась в 3,2 раза","© Reuters. Прибыль ""Россетей Волга"" по МСФО в 1-м квартале снизилась в 3,2 раза

Выручка выросла на 2,6% - до 16,6 млрд рублей, в том числе от передачи электроэнергии - 16,5 млрд рублей (рост на 2,4%).
Операционные расходы увеличились на 8,2%, до 16,4 млрд рублей, операционная прибыль снизилась в 3,2 раза - до 357 млн рублей, прибыль до налогообложения упала в 3,9 раза, до 277 млн рублей.
EBITDA в первом квартале составила 1,8 млрд рублей (снижение на 27,5%).
Активы компании за январь-март снизились на 0,6% и на конец первого квартала равнялись 61,1 млрд рублей.
ПАО ""Россети Волга"" объединяет электросетевые активы республик Мордовия и Чувашия, Оренбургской, Пензенской, Самарской, Саратовской и Ульяновской областей. Доля ПАО ""Россети"" в уставном капитале компании составляет 67,97%.","25.05.2021, 15:07",https://ru.investing.com/news/stock-market-news/article-2057871
