Title,Text,Time,Url
"Рынок акций РФ закрылся ростом, Индекс МосБиржи (ММВБ) прибавил 1,77%","© Reuters. Рынок акций РФ закрылся ростом, Индекс МосБиржи (ММВБ) прибавил 1,77%
Investing.com – Фондовый рынок РФ завершил торги пятницы ростом за счет укрепления секторов горнодобывающей промышленности, телекоммуникаций и электроснабжения.горнодобывающей промышленности , телекоммуникаций и электроснабжения . 
На момент закрытия на Московской фондовой бирже Индекс МосБиржи (ММВБ) поднялся на 1,77%.Индекс МосБиржи (ММВБ) поднялся на 1,77%. 
В лидерах роста среди компонентов индекса Индекс МосБиржи (ММВБ) по итогам сегодняшних торгов были акции Северсталь ПАО (MCX:CHMF), которые подорожали на 64,20 п. (5,23%), закрывшись на отметке в 1.292,20. Котировки Новолипецкий металлургический комбинат ПАО (MCX:NLMK) выросли на 6,88 п. (4,83%), завершив торги на уровне 149,34. Бумаги Мобильные ТелеСистемы ПАО (MCX:MTSS) выросли в цене на 9,45 п. (4,64%), закрывшись на отметке 213,00.Индекс МосБиржи (ММВБ) по итогам сегодняшних торгов были акции Северсталь ПАО (MCX: CHMF ), которые подорожали на 64,20 п. (5,23%), закрывшись на отметке в 1.292,20. Котировки Новолипецкий металлургический комбинат ПАО (MCX: NLMK ) выросли на 6,88 п. (4,83%), завершив торги на уровне 149,34. Бумаги Мобильные ТелеСистемы ПАО (MCX: MTSS ) выросли в цене на 9,45 п. (4,64%), закрывшись на отметке 213,00. 
Лидерами падения стали акции НК Роснефть ПАО (MCX:ROSN), цена которых упала на 11,85 п. (2,06%), завершив сессию на отметке 562,95. Акции Сургутнефтегаз ПАО (MCX:SNGS) поднялись на 0,47 п. (1,95%), закрывшись на уровне 23,40, а Сургутнефтегаз ПАО (прив.) (MCX:SNGS_p) снизились в цене на 1,05 п. (1,80%) и завершили торги на отметке 57,24.ROSN ), цена которых упала на 11,85 п. (2,06%), завершив сессию на отметке 562,95. Акции Сургутнефтегаз ПАО (MCX: SNGS ) поднялись на 0,47 п. (1,95%), закрывшись на уровне 23,40, а Сургутнефтегаз ПАО (прив.) (MCX: SNGS_p ) снизились в цене на 1,05 п. (1,80%) и завершили торги на отметке 57,24. 
На Московской фондовой бирже количество подорожавших бумаг (200) превысило количество закрывшихся в минусе (44), а котировки 8 акций практически не изменились.
Индекс волатильности Индекс волатильности российского рынка, который формируется на основе показателей торговли опционами на Индекс МосБиржи (ММВБ), упал на 19,74% до отметки 28.71, достигнув нового месячного минимума.Индекс волатильности российского рынка , который формируется на основе показателей торговли опционами на Индекс МосБиржи (ММВБ), упал на 19,74% до отметки 28.71, достигнув нового месячного минимума. 
Фьючерс на фьючерс на золото с поставкой в феврале прибавил 0,99%, или 26,69, достигнув отметки $2.717,49 за тройскую унцию. Что касается других товаров, цены на фьючерсы на нефть WTI с поставкой в феврале выросли на 3,76%, или 2,78, до $76,70 за баррель. Фьючерсы на фьючерс на нефть Brent с поставкой в марте подорожали на 3,71%, или 2,85, до отметки $79,77 за баррель.
Между тем на рынке Форекс пара USD/RUB снизилась на 0,49% до 101,75, а котировки EUR/RUB упали на 0,99%, достигнув отметки 104,25.
Фьючерс на индекс USD вырос на 0,44% до 109,48.","11.01.2025, 00:20",https://ru.investing.com/news/stock-market-news/article-2619365
В 2024 году на фондовый рынок РФ вышло рекордное за 17 лет число компаний,"© Reuters. В 2024 году на фондовый рынок России вышли 14 компаний, что стало рекордом за последние 17 лет – Известия
sMart-lab.ru - В 2024 году на фондовый рынок России вышли 14 компаний, что стало рекордом за последние 17 лет. В 2007 году было зарегистрировано 18 IPO, но с тех пор этот показатель не был превышен. Из 14 компаний 13 провели размещение на Московской бирже, а одна на СПБ Бирже. Причины роста числа первичных размещений — высокая ключевая ставка, из-за которой компании сталкиваются с трудностями при получении кредитов, и закрытые иностранные рынки капитала.
На биржу в этом году вышли такие компании, как «Диасофт», «Группа Аренадата», «МТС (MCX:MTSS) Банк», «ВсеИнструменты.ру», «Озон (MCX:OZONDR) Фармацевтика» и «Делимобиль». Особую долю составляют представители IT-сектора, на который приходится четверть размещений.MTSS ) Банк», «ВсеИнструменты.ру», «Озон (MCX: OZONDR ) Фармацевтика» и «Делимобиль». Особую долю составляют представители IT-сектора, на который приходится четверть размещений. 
Для инвесторов 2024 год был сложным: акции многих компаний после IPO потеряли в стоимости. Наибольшие потери понесли бумаги компании «Займер» — минус 43%. В то же время, некоторые компании, такие как «Аренадата», показали рост на 28%. Эксперты отмечают, что участие в IPO было выгодным в основном для частных инвесторов, которые продавали акции сразу после размещения. Источник: iz.ru/1813807/olga-anaseva-evgenii-grachev/birzhevoj-ryvok-na-ipo-vyshlo-ekordnoe-chislo-kompanij-za-17-letИсточник: iz.ru/1813807/olga-anaseva-evgenii-grachev/birzhevoj-ryvok-na-ipo-vyshlo-ekordnoe-chislo-kompanij-za-17-let 
Читайте оригинальную статью на сайте sMart-lab.ru","26.12.2024, 12:27",https://ru.investing.com/news/stock-market-news/article-2609166
"Рынок акций РФ закрылся ростом, Индекс МосБиржи (ММВБ) прибавил 9,19%","© Reuters Рынок акций РФ закрылся ростом, Индекс МосБиржи (ММВБ) прибавил 9,19%
Investing.com – Фондовый рынок РФ завершил торги пятницы ростом за счет укрепления секторов телекоммуникаций, горнодобывающей промышленности и нефти и газа.телекоммуникаций , горнодобывающей промышленности и нефти и газа . 
На момент закрытия на Московской фондовой бирже Индекс МосБиржи (ММВБ) вырос на 9,19%, достигнув месячного максимума.Индекс МосБиржи (ММВБ) вырос на 9,19%, достигнув месячного максимума. 
В лидерах роста среди компонентов индекса Индекс МосБиржи (ММВБ) по итогам сегодняшних торгов были акции МКПАО ВК (MCX:VKCO), которые подорожали на 44,40 п. (17,87%), закрывшись на отметке в 292,80. Котировки ПИК-специализированный застройщик ПАО (MCX:PIKK) выросли на 65,50 п. (17,62%), завершив торги на уровне 437,30. Бумаги Мобильные ТелеСистемы ПАО (MCX:MTSS) выросли в цене на 24,70 п. (14,42%), закрывшись на отметке 195,95.Индекс МосБиржи (ММВБ) по итогам сегодняшних торгов были акции МКПАО ВК (MCX: VKCO ), которые подорожали на 44,40 п. (17,87%), закрывшись на отметке в 292,80. Котировки ПИК-специализированный застройщик ПАО (MCX: PIKK ) выросли на 65,50 п. (17,62%), завершив торги на уровне 437,30. Бумаги Мобильные ТелеСистемы ПАО (MCX: MTSS ) выросли в цене на 24,70 п. (14,42%), закрывшись на отметке 195,95. 
Лидерами падения стали акции ФосАгро ПАО (MCX:PHOR), цена которых упала на 33,00 п. (0,56%), завершив сессию на отметке 5.814,00. Акции T Tekhnologii MKPAO (MCX:TCSG) не изменились на 0,00 п. (0,00%), закрывшись на уровне 2.384,80, а ГДР ROS AGRO PLC ORD SHS (MCX:AGRODR) на 0,00 п. (0,00%) и завершили торги на отметке 1.083,80.PHOR ), цена которых упала на 33,00 п. (0,56%), завершив сессию на отметке 5.814,00. Акции T Tekhnologii MKPAO (MCX: TCSG ) не изменились на 0,00 п. (0,00%), закрывшись на уровне 2.384,80, а ГДР ROS AGRO PLC ORD SHS (MCX: AGRODR ) на 0,00 п. (0,00%) и завершили торги на отметке 1.083,80. 
На Московской фондовой бирже количество подорожавших бумаг (246) превысило количество закрывшихся в минусе (5), а котировки 2 акций практически не изменились.
Котировки акций ГДР ROS AGRO PLC ORD SHS (MCX:AGRODR) до 52-недельного минимума, 0,00%, 0,00 п., и завершили торги на отметке 1.083,80.AGRODR ) до 52-недельного минимума, 0,00%, 0,00 п., и завершили торги на отметке 1.083,80. 
Индекс волатильности Индекс волатильности российского рынка, который формируется на основе показателей торговли опционами на Индекс МосБиржи (ММВБ), вырос на 3,62% до отметки 40.09, достигнув нового месячного минимума.Индекс волатильности российского рынка , который формируется на основе показателей торговли опционами на Индекс МосБиржи (ММВБ), вырос на 3,62% до отметки 40.09, достигнув нового месячного минимума. 
Фьючерс на фьючерс на золото с поставкой в феврале прибавил 1,27%, или 33,21, достигнув отметки $2.641,31 за тройскую унцию. Что касается других товаров, цены на фьючерсы на нефть WTI с поставкой в январе снизились на 1,53%, или 1,08, до $69,50 за баррель. Фьючерсы на фьючерс на нефть Brent с поставкой в феврале подорожали на 0,07%, или 0,05, до отметки $72,93 за баррель.
Между тем на рынке Форекс пара USD/RUB снизилась на 0,48% до 103,00, а котировки EUR/RUB повысились на 0,14%, достигнув отметки 107,39.
Фьючерс на индекс USD опустился на 0,55% до 107,56.","21.12.2024, 00:20",https://ru.investing.com/news/stock-market-news/article-2607248
МТС может выпустить облигации в дирхамах,"МТС может выпустить облигации в дирхамах
Frankmedia - Национальный расчетный депозитарий (НРД) зарегистрировал выпуск коммерческих облигаций МТС (MCX:MTSS), номинированный в дирхамах, следует из материалов депозитария.MTSS ), номинированный в дирхамах, следует из материалов депозитария. 
Речь идет о серии бондов КО-П02. Выпуску присвоен регистрационный номер 4CDE-02-04715-A-001P. Номинал одной облигации — одна тысяча дирхам. Больше подробностей не сообщается. Frank Media направили запрос в компанию.
Выпуск будет размещен в рамках программы коммерческих бондов компании на 30 млрд рублей или эквивалента этой суммы в иностранной валюте, зарегистрированной НРД в апреле 2018 года. Единственный выпуск коммерческих бумаг в рамках данной программы на 750 млн рублей был погашен в ноябре 2018 года и размещался в пользу «Сбербанк (MCX:SBER) КИБ», напоминает «Интерфакс».SBER ) КИБ», напоминает «Интерфакс». 
До сих пор на российский рынок выходил лишь один эмитент с облигациями в дирхамах: «Русал (MCX:RUAL)» в сентябре 2023 года разместил выпуск двухлетних облигаций на 370 млн дирхамов.RUAL )» в сентябре 2023 года разместил выпуск двухлетних облигаций на 370 млн дирхамов. 
В 2022 году несколько банков заявляли о начале открытия счетов в дирхамах. В апреле 2023 года Московская биржа запустила торги фьючерсами на пары дирхам ОАЭ — российский рубль. В планах биржи был и запуск торговли самой валютной парой, однако из-за санкций в июне 2024 года на саму площадку и ее дочерние компании, они пока не реализовались.
Читайте оригинальную статью на сайте Frankmedia","20.12.2024, 16:50",https://ru.investing.com/news/general/article-2606898
МТС объявила об изменении корпоративной структуры,"МТС объявило о преобразовании в холдинговую компанию с выделением подразделений в отдельные юридические лица для улучшения управления и сокращения долговой нагрузки – компания
sMart-lab.ru - ПАО «Мобильные ТелеСистемы (MCX:MTSS)» (МТС) объявило о преобразовании в холдинговую компанию с выделением своих нетелекоммуникационных подразделений в отдельные юридические лица. В настоящее время на нетелекоммуникационные предприятия приходится 45% доходов компании, и создание отдельных юридических лиц повысит прозрачность бизнеса и улучшит принятие решений. Новая структура позволит быстрее реагировать на изменения и обеспечит четкую инвестиционную направленность.MTSS )» (МТС) объявило о преобразовании в холдинговую компанию с выделением своих нетелекоммуникационных подразделений в отдельные юридические лица. В настоящее время на нетелекоммуникационные предприятия приходится 45% доходов компании, и создание отдельных юридических лиц повысит прозрачность бизнеса и улучшит принятие решений. Новая структура позволит быстрее реагировать на изменения и обеспечит четкую инвестиционную направленность. 
MTS сосредоточится на телекоммуникационном бизнесе, а нетелекоммуникационные активы будут переданы под управление MTS Ecosystem, которая будет дочерней компанией с операционной независимостью. В рамках трансформации планируется создание единой вертикали для ИТ-подразделений, объединённых под брендом MTS Web Services.
Компания также планирует сокращение долговой нагрузки, сокращение неэффективных инвестиций и оптимизацию бизнес-процессов. Ожидается, что изменения повлияют на менее 2% сотрудников компании. МТС продолжит инвестировать в инновации и научные разработки.
Читайте оригинальную статью на сайте sMart-lab.ru","20.12.2024, 12:43",https://ru.investing.com/news/general/article-2606273
"Рынок акций РФ закрылся ростом, Индекс МосБиржи (ММВБ) прибавил 0,30%","© Reuters Рынок акций РФ закрылся ростом, Индекс МосБиржи (ММВБ) прибавил 0,30%
Investing.com – Фондовый рынок РФ завершил торги понедельника ростом за счет укрепления секторов горнодобывающей промышленности, электроснабжения и нефти и газа.горнодобывающей промышленности , электроснабжения и нефти и газа . 
На момент закрытия на Московской фондовой бирже Индекс МосБиржи (ММВБ) подорожал на 0,30%.Индекс МосБиржи (ММВБ) подорожал на 0,30%. 
В лидерах роста среди компонентов индекса Индекс МосБиржи (ММВБ) по итогам сегодняшних торгов были акции ФосАгро ПАО (MCX:PHOR), которые подорожали на 249,00 п. (4,46%), закрывшись на отметке в 5.833,00. Котировки Московская Биржа ПАО (MCX:MOEX) выросли на 6,88 п. (3,72%), завершив торги на уровне 191,76. Бумаги ОК РУСАЛ МКПАО (MCX:RUAL) выросли в цене на 1,23 п. (3,53%), закрывшись на отметке 35,89.Индекс МосБиржи (ММВБ) по итогам сегодняшних торгов были акции ФосАгро ПАО (MCX: PHOR ), которые подорожали на 249,00 п. (4,46%), закрывшись на отметке в 5.833,00. Котировки Московская Биржа ПАО (MCX: MOEX ) выросли на 6,88 п. (3,72%), завершив торги на уровне 191,76. Бумаги ОК РУСАЛ МКПАО (MCX: RUAL ) выросли в цене на 1,23 п. (3,53%), закрывшись на отметке 35,89. 
Лидерами падения стали акции Аэрофлот ПАО (MCX:AFLT), цена которых упала на 1,64 п. (3,14%), завершив сессию на отметке 50,51. Акции ПИК-специализированный застройщик ПАО (MCX:PIKK) поднялись на 9,10 п. (2,17%), закрывшись на уровне 410,30, а Мобильные ТелеСистемы ПАО (MCX:MTSS) снизились в цене на 3,90 п. (2,15%) и завершили торги на отметке 177,75.AFLT ), цена которых упала на 1,64 п. (3,14%), завершив сессию на отметке 50,51. Акции ПИК-специализированный застройщик ПАО (MCX: PIKK ) поднялись на 9,10 п. (2,17%), закрывшись на уровне 410,30, а Мобильные ТелеСистемы ПАО (MCX: MTSS ) снизились в цене на 3,90 п. (2,15%) и завершили торги на отметке 177,75. 
На Московской фондовой бирже количество подорожавших бумаг (184) превысило количество закрывшихся в минусе (65), а котировки 6 акций практически не изменились.
Индекс волатильности Индекс волатильности российского рынка, который формируется на основе показателей торговли опционами на Индекс МосБиржи (ММВБ), упал на 1,41% до отметки 48.39.Индекс волатильности российского рынка , который формируется на основе показателей торговли опционами на Индекс МосБиржи (ММВБ), упал на 1,41% до отметки 48.39. 
Фьючерс на фьючерс на золото с поставкой в феврале потерял 0,77%, или 20,65, достигнув отметки $2.660,35 за тройскую унцию. Что касается других товаров, цены на фьючерсы на нефть WTI с поставкой в январе выросли на 0,24%, или 0,16, до $68,16 за баррель. Фьючерсы на фьючерс на нефть Brent с поставкой в феврале подорожали на 0,11%, или 0,08, до отметки $71,92 за баррель.
Между тем на рынке Форекс пара USD/RUB снизилась на 0,69% до 106,50, а котировки EUR/RUB упали на 1,31%, достигнув отметки 111,82.
Фьючерс на индекс USD вырос на 0,52% до 106,38.","03.12.2024, 00:20",https://ru.investing.com/news/stock-market-news/article-2587781
"Рынок акций РФ закрылся ростом, Индекс МосБиржи (ММВБ) прибавил 0,94%","Рынок акций РФ закрылся ростом, Индекс МосБиржи (ММВБ) прибавил 0,94%
Investing.com – Фондовый рынок РФ завершил торги вторника ростом за счет укрепления секторов электроснабжения, горнодобывающей промышленности и нефти и газа.электроснабжения , горнодобывающей промышленности и нефти и газа . 
На момент закрытия на Московской фондовой бирже Индекс МосБиржи (ММВБ) поднялся на 0,94%.Индекс МосБиржи (ММВБ) поднялся на 0,94%. 
В лидерах роста среди компонентов индекса Индекс МосБиржи (ММВБ) по итогам сегодняшних торгов были акции Аэрофлот ПАО (MCX:AFLT), которые подорожали на 2,09 п. (3,88%), закрывшись на отметке в 56,01. Котировки ГМК Норильский никель ПАО (MCX:GMKN) выросли на 3,60 п. (3,79%), завершив торги на уровне 99,70. Бумаги Новолипецкий металлургический комбинат ПАО (MCX:NLMK) выросли в цене на 4,06 п. (3,46%), закрывшись на отметке 121,28.Индекс МосБиржи (ММВБ) по итогам сегодняшних торгов были акции Аэрофлот ПАО (MCX: AFLT ), которые подорожали на 2,09 п. (3,88%), закрывшись на отметке в 56,01. Котировки ГМК Норильский никель ПАО (MCX: GMKN ) выросли на 3,60 п. (3,79%), завершив торги на уровне 99,70. Бумаги Новолипецкий металлургический комбинат ПАО (MCX: NLMK ) выросли в цене на 4,06 п. (3,46%), закрывшись на отметке 121,28. 
Лидерами падения стали акции ГДР ROS AGRO PLC ORD SHS (MCX:AGRODR), цена которых упала на 26,40 п. (2,21%), завершив сессию на отметке 1.169,40. Акции Мобильные ТелеСистемы ПАО (MCX:MTSS) поднялись на 2,40 п. (1,27%), закрывшись на уровне 186,50, а ПИК-специализированный застройщик ПАО (MCX:PIKK) снизились в цене на 4,10 п. (0,72%) и завершили торги на отметке 569,10.AGRODR ), цена которых упала на 26,40 п. (2,21%), завершив сессию на отметке 1.169,40. Акции Мобильные ТелеСистемы ПАО (MCX: MTSS ) поднялись на 2,40 п. (1,27%), закрывшись на уровне 186,50, а ПИК-специализированный застройщик ПАО (MCX: PIKK ) снизились в цене на 4,10 п. (0,72%) и завершили торги на отметке 569,10. 
На Московской фондовой бирже количество подорожавших бумаг (194) превысило количество закрывшихся в минусе (54), а котировки 8 акций практически не изменились.
Котировки акций ПИК-специализированный застройщик ПАО (MCX:PIKK) упали до 52-недельного минимума, снизившись на 0,72%, 4,10 п., и завершили торги на отметке 569,10.PIKK ) упали до 52-недельного минимума, снизившись на 0,72%, 4,10 п., и завершили торги на отметке 569,10. 
Индекс волатильности Индекс волатильности российского рынка, который формируется на основе показателей торговли опционами на Индекс МосБиржи (ММВБ), упал на 1,40% до отметки 40.20, достигнув нового 52-недельного максимума.Индекс волатильности российского рынка , который формируется на основе показателей торговли опционами на Индекс МосБиржи (ММВБ), упал на 1,40% до отметки 40.20, достигнув нового 52-недельного максимума. 
Фьючерс на фьючерс на золото с поставкой в декабре прибавил 1,14%, или 31,40, достигнув отметки $2.787,30 за тройскую унцию. Что касается других товаров, цены на фьючерсы на нефть WTI с поставкой в декабре выросли на 0,16%, или 0,11, до $67,49 за баррель. Фьючерсы на фьючерс на нефть Brent с поставкой в январе подорожали на 0,01%, или 0,01, до отметки $71,03 за баррель.
Между тем на рынке Форекс пара USD/RUB существенно не изменилась 0,00% до 97,50, а котировки EUR/RUB упали на 0,02%, достигнув отметки 105,46.
Фьючерс на индекс USD опустился на 0,06% до 104,13.","30.10.2024, 00:20",https://ru.investing.com/news/stock-market-news/article-2549583
"Рынок акций РФ закрылся ростом, ММВБ – Индекс Мосбиржи прибавил 2,47%","© Reuters. Рынок акций РФ закрылся ростом, ММВБ – Индекс Мосбиржи прибавил 2,47%
Investing.com – Фондовый рынок РФ завершил торги понедельника ростом за счет укрепления секторов телекоммуникаций, горнодобывающей промышленности и электроснабжения.телекоммуникаций , горнодобывающей промышленности и электроснабжения . 
На момент закрытия на Московской фондовой бирже ММВБ – Индекс Мосбиржи подорожал на 2,47%.ММВБ – Индекс Мосбиржи подорожал на 2,47%. 
В лидерах роста среди компонентов индекса ММВБ – Индекс Мосбиржи по итогам сегодняшних торгов были акции ОАО Магнит (MCX:MGNT), которые подорожали на 359,50 п. (7,19%), закрывшись на отметке в 5.357,50. Котировки Мобильные ТелеСистемы ПАО (MCX:MTSS) выросли на 11,50 п. (5,87%), завершив торги на уровне 207,50. Бумаги Яндекс Н.В. (MCX:YDEX) выросли в цене на 204,00 п. (5,21%), закрывшись на отметке 4.118,50.ММВБ – Индекс Мосбиржи по итогам сегодняшних торгов были акции ОАО Магнит (MCX: MGNT ), которые подорожали на 359,50 п. (7,19%), закрывшись на отметке в 5.357,50. Котировки Мобильные ТелеСистемы ПАО (MCX: MTSS ) выросли на 11,50 п. (5,87%), завершив торги на уровне 207,50. Бумаги Яндекс Н.В. (MCX: YDEX ) выросли в цене на 204,00 п. (5,21%), закрывшись на отметке 4.118,50. 
Лидерами падения стали акции ГлобалТранс (MCX:GLTRDR), цена которых упала на 10,75 п. (2,21%), завершив сессию на отметке 475,25. Акции ОАО АФК Система (MCX:AFKS) поднялись на 0,05 п. (0,30%), закрывшись на уровне 16,49, а X5 Retail Group (MCX:FIVEDR) на 0,00 п. (0,00%) и завершили торги на отметке 2.798,00.GLTRDR ), цена которых упала на 10,75 п. (2,21%), завершив сессию на отметке 475,25. Акции ОАО АФК Система (MCX: AFKS ) поднялись на 0,05 п. (0,30%), закрывшись на уровне 16,49, а X5 Retail X5 Retail Group (MCX: FIVEDR ) на 0,00 п. (0,00%) и завершили торги на отметке 2.798,00. 
На Московской фондовой бирже количество подорожавших бумаг (224) превысило количество закрывшихся в минусе (24), а котировки 8 акций практически не изменились.
Индекс волатильности Российский индекс волатильности, который формируется на основе показателей торговли опционами на ММВБ – Индекс Мосбиржи, упал на 1,38% до отметки 29.38.Российский индекс волатильности , который формируется на основе показателей торговли опционами на ММВБ – Индекс Мосбиржи, упал на 1,38% до отметки 29.38. 
Фьючерс на фьючерс на золото с поставкой в декабре потерял 0,02%, или 0,60, достигнув отметки $2.610,10 за тройскую унцию. Что касается других товаров, цены на фьючерсы на нефть WTI с поставкой в ноябре выросли на 2,32%, или 1,57, до $69,32 за баррель. Фьючерсы на фьючерс на нефть Brent с поставкой в ноябре подорожали на 1,90%, или 1,36, до отметки $72,97 за баррель.
Между тем на рынке Форекс пара USD/RUB снизилась на 0,03% до 91,38, а котировки EUR/RUB упали на 0,01%, достигнув отметки 101,74.
Фьючерс на индекс USD опустился на 0,44% до 100,34.","17.09.2024, 00:20",https://ru.investing.com/news/stock-market-news/article-2506097
МТС выделит $3 млн трем российским блокчейн-разработчикам,"© Reuters. МТС выделит $3 млн трем российским блокчейн-разработчикам
Оргкомитет МТС (MCX:MTSS) Blockchain Accelerator объявил, что победителями программы стали: платформа управления активами и инвестиционными сделками с использованием блокчейна и AI SquareFi, ориентированный на банковский рынок России и стран БРИКС финтех-проект 1ndex, а также автоматизирующее выпуск цифровых складских расписок технологическое решение АМБАР.MTSS ) Blockchain Accelerator объявил, что победителями программы стали: платформа управления активами и инвестиционными сделками с использованием блокчейна и AI SquareFi, ориентированный на банковский рынок России и стран БРИКС финтех-проект 1ndex, а также автоматизирующее выпуск цифровых складских расписок технологическое решение АМБАР. 

«Участники прошли интенсивную трехмесячную программу обучения под руководством ведущих экспертов блокчейн-индустрии, после чего презентовали свои питчи представителям внешних венчурных фондов, частным инвесторам и лидерам отрасли. Выбранные блокчейн-стартапы получат комплексное сопровождение экспертов и возможность интеграции своего продукта в экосистему МТС», — заявил оргкомитет.

Ранее руководитель центра интернета вещей сотового оператора МТС Павел Федосов заявил, что IT- специалисты компании разработали платформу, способную находить приборы учета электроэнергии, передающие заниженные показатели. Топ-менеджер уточнил, что с начала года сервис компании выявил сотни нелегальных майнинговых ферм.
Читайте оригинальную статью на сайте Bits.media","12.09.2024, 20:19",https://ru.investing.com/news/cryptocurrency-news/article-2504097
"Рынок акций РФ закрылся падением, ММВБ – Индекс Мосбиржи снизился на 1,05%","© Reuters. Рынок акций РФ закрылся падением, ММВБ – Индекс Мосбиржи снизился на 1,05%
Investing.com – Фондовый рынок РФ завершил торги вторника падением на фоне негативной динамики со стороны секторов нефти и газа, электроснабжения и горнодобывающей промышленности.нефти и газа , электроснабжения и горнодобывающей промышленности . 
На момент закрытия на Московской фондовой бирже ММВБ – Индекс Мосбиржи подешевел на 1,05%.ММВБ – Индекс Мосбиржи подешевел на 1,05%. 
В лидерах роста среди компонентов индекса ММВБ – Индекс Мосбиржи по итогам сегодняшних торгов были акции Магнитогорский металлургический комбинат ПАО (MCX:MAGN), которые подорожали на 0,25 п. (0,58%), закрывшись на отметке в 43,68. Котировки Мобильные ТелеСистемы ПАО (MCX:MTSS) выросли на 0,05 п. (0,03%), завершив торги на уровне 198,95. Бумаги X5 Retail Group (MCX:FIVEDR) не изменились на 0,00 п. (0,00%), закрывшись на отметке 2.798,00.ММВБ – Индекс Мосбиржи по итогам сегодняшних торгов были акции Магнитогорский металлургический комбинат ПАО (MCX: MAGN ), которые подорожали на 0,25 п. (0,58%), закрывшись на отметке в 43,68. Котировки Мобильные ТелеСистемы ПАО (MCX: MTSS ) выросли на 0,05 п. (0,03%), завершив торги на уровне 198,95. Бумаги X5 Retail X5 Retail Group (MCX: FIVEDR ) не изменились на 0,00 п. (0,00%), закрывшись на отметке 2.798,00. 
Лидерами падения стали акции ОАО Группа Компаний ПИК (MCX:PIKK), цена которых упала на 40,00 п. (5,66%), завершив сессию на отметке 666,30. Акции ОАО Северсталь (MCX:CHMF) поднялись на 58,00 п. (4,42%), закрывшись на уровне 1.255,00, а ОАО АФК Система (MCX:AFKS) снизились в цене на 0,63 п. (3,64%) и завершили торги на отметке 16,67.PIKK ), цена которых упала на 40,00 п. (5,66%), завершив сессию на отметке 666,30. Акции ОАО Северсталь (MCX: CHMF ) поднялись на 58,00 п. (4,42%), закрывшись на уровне 1.255,00, а ОАО АФК Система (MCX: AFKS ) снизились в цене на 0,63 п. (3,64%) и завершили торги на отметке 16,67. 
На Московской фондовой бирже количество подешевевших бумаг (163) превысило количество закрывшихся в плюсе (84), а котировки 8 акций практически не изменились.
Индекс волатильности Российский индекс волатильности, который формируется на основе показателей торговли опционами на ММВБ – Индекс Мосбиржи, упал на 0,39% до отметки 35.66.Российский индекс волатильности , который формируется на основе показателей торговли опционами на ММВБ – Индекс Мосбиржи, упал на 0,39% до отметки 35.66. 
Фьючерс на фьючерс на золото с поставкой в декабре прибавил 0,52%, или 13,05, достигнув отметки $2.545,75 за тройскую унцию. Что касается других товаров, цены на фьючерсы на нефть WTI с поставкой в октябре снизились на 3,49%, или 2,40, до $66,31 за баррель. Фьючерсы на фьючерс на нефть Brent с поставкой в ноябре подешевели на 0,06%, или 0,04, до отметки $69,71 за баррель.
Между тем на рынке Форекс пара USD/RUB существенно не изменилась 0,00% до 91,00, а котировки EUR/RUB не изменились 0,00%, достигнув отметки 100,28.
Фьючерс на индекс USD вырос на 0,12% до 101,64.","11.09.2024, 00:20",https://ru.investing.com/news/stock-market-news/article-2502685
