Title,Text,Time,Url
Инвестхолдинг SFI полностью погасил свой долг  ,"© Reuters. Инвестхолдинг SFI полностью погасил свой долг  
Frankmedia - Инвестиционный холдинг SFI («ЭсЭфАй») полностью погасил остаток задолженности в размере 9,7 млрд рублей по кредитному договору, сократив тем самым до нуля объем своих текущих кредитных обязательств, следует из сообщения компании.
Холдинг еще в декабре 2019 года открыл у банка ВТБ (MCX:VTBR) кредитную линию на 21 млрд рублей для финансирования обратного выкупа акций с биржи. На конец 2020 года долг перед ВТБ достиг почти 18 млрд рублей, однако затем постепенно снижался, в том числе за счет продажи холдингом активов, крупнейшим из которых был НПФ «Сафмар».VTBR ) кредитную линию на 21 млрд рублей для финансирования обратного выкупа акций с биржи. На конец 2020 года долг перед ВТБ достиг почти 18 млрд рублей, однако затем постепенно снижался, в том числе за счет продажи холдингом активов, крупнейшим из которых был НПФ «Сафмар». 
На конец третьего квартала 2021 года долг перед ВТБ составлял 13,7 млрд рублей. В ноябре 2021 холдинг реструктуризировал свой кредит в Совкомбанке, в котором SFI привлек средства до конца ноября 2024 года объемом 13,7 млрд рублей. В Совкомбанке была открыта не кредитная линия, а непосредственно кредит.
Заместитель генерального директора SFI Олег Андриянкин отметил, что «отсутствие кредитных обязательств на корпоративном центре должно позитивно сказаться на оценке холдинга рынком – инвесторами, аналитиками и рейтинговыми агентствами».
«ЭсЭфАй» был создан семьей российского бизнесмена Михаила Гуцериева в конце 2016 года. Сначала он объединял небанковские финансовые активы, но затем превратился в универсальный холдинг. На данный момент в него входит 87,5% акций лизинговой компании «Европлан», 49% страховой компании ВСК, а также 10,4% ритейлера «М.Видео (MCX:MVID)».MVID )». 
Читайте оригинальную статью на сайте Frankmedia","23.12.2024, 11:22",https://ru.investing.com/news/general/article-2607734
VK может завершить проект производства умных колонок,"© Reuters. VK может завершить проект производства умных колонок Капсула с голосовым ассистентом Маруся
sMart-lab.ru - О том, что VK (MCX:VKCO) намерена завершить проект умных колонок «Капсула» с голосовым ассистентом «Маруся», “Ъ” рассказали два собеседника на IT-рынке и подтвердил собеседник в крупной сети по продаже бытовой техники и электроники. Как следует из данных СПАРК, принадлежащее компании VK ООО «ВК Умные устройства» 24 октября начало процедуру реорганизации. Юрлицо будет присоединено к ООО «ВК Стор» по итогам реорганизации актива, следует из сообщения «ВК Стор» от 18 октября в СПАРК.VKCO ) намерена завершить проект умных колонок «Капсула» с голосовым ассистентом «Маруся», “Ъ” рассказали два собеседника на IT-рынке и подтвердил собеседник в крупной сети по продаже бытовой техники и электроники. Как следует из данных СПАРК, принадлежащее компании VK ООО «ВК Умные устройства» 24 октября начало процедуру реорганизации. Юрлицо будет присоединено к ООО «ВК Стор» по итогам реорганизации актива, следует из сообщения «ВК Стор» от 18 октября в СПАРК. 
В VK отказались комментировать реорганизацию, собеседник “Ъ”, близкий к компании, уверяет, что данная процедура направлена на оптимизацию корпоративного управления. При этом несколько собеседников “Ъ” среди крупных IT-компаний сообщили, что VK намерена завершить проект умных колонок «Капсула» с «Марусей». «Такое решение связано с низким показателем продаж устройств как в количественном выражении, так и в денежном»,— говорит один из них. Другой источник “Ъ” на рынке бытовой техники и электроники, знакомый с планами холдинга, подтвердил, что VK не планирует развивать данное направление бизнеса в будущем.
В начале августа Sostav писал, что VK намерена сократить сотрудников подразделения разработки голосового ассистента, однако в самой компании информацию не подтверждали. По словам одного из собеседников “Ъ”, часть сотрудников уже перешла в МТС (MCX:MTSS). В МТС на вопрос о том, нанял ли оператор бывших сотрудников VK, ответили, что фокусируются на R&D новых направлений, таких как голосовые ассистенты и AI-Агенты. «Мы всегда привлекаем лучших специалистов со всего рынка»,— уточнил представитель оператора.MTSS ). В МТС на вопрос о том, нанял ли оператор бывших сотрудников VK, ответили, что фокусируются на R&D новых направлений, таких как голосовые ассистенты и AI-Агенты. «Мы всегда привлекаем лучших специалистов со всего рынка»,— уточнил представитель оператора. 
В самой VK не подтверждают информацию о возможном закрытии направления умных колонок. «Все команды, вовлеченные в реализацию проекта, работают в прежнем режиме»,— говорит представитель компании, добавляя, что в октябре VK представила новую модель VK «Капсула Про». Однако источник “Ъ” утверждает, что данная модель будет одной из последних в линейке колонок VK и на данный момент корпорация «распродает остатки» предыдущей партии товаров.
По предварительным данным «М.Видео-Эльдорадо», за девять месяцев 2024 года в РФ было продано 3,3 млн умных колонок на общую сумму 27 млрд руб., что больше на 41% в штуках и на 49% в деньгах аналогичного периода прошлого года. На умные колонки «Яндекса» пришлось 90% продаж как в деньгах, так и в штуках, а также заметен рост у колонок «Сбера» (SberBoom, SberBoom Home и SberBoom Mini). Долю «Сбера» и VK в «М.Видео-Эльдорадо» не назвали. В «Яндексе (MCX:YDEX)» отказались от комментариев, в «Сбере (MCX:SBER)» не ответили “Ъ”. По оценке другого собеседника “Ъ” среди ритейлеров, доля умных колонок VK на российском рынке в штучном выражении увеличилась на 16% год к году, до 7,5% рынка, всего было продано 166 тыс. «Капсул» в 2024 году. Однако общая доля в выручке по рынку умных колонок год к году сократилась на 6%, до 653 млн руб., а средняя цена на «Капсулы» VK — на 19% В 2023 году VK отменила подписку VK Combo (в нее входили «ВК Музыка», онлайн-кинотеатр «Ростелекома (MCX:RTKM)» Wink и т. д.), и закрытие проекта «Капсулы» укладывается в логику развития экосистемы, говорит директор департамента новых технологий J’son & Partners Consulting Дмитрий Колесов. «Экосистема VK имеет ряд особенностей — это прежде всего соцсеть, основной контент в которой создают сами пользователи»,— говорит он. Господин Колесов считает, что направление развития экосистем через голосовые помощники для VK не так актуально, как для «Яндекса» или «Сбера». Поэтому на экосистему VK возможное закрытие «Капсул» не повлияет.YDEX )» отказались от комментариев, в «Сбере (MCX: SBER )» не ответили “Ъ”. По оценке другого собеседника “Ъ” среди ритейлеров, доля умных колонок VK на российском рынке в штучном выражении увеличилась на 16% год к году, до 7,5% рынка, всего было продано 166 тыс. «Капсул» в 2024 году. Однако общая доля в выручке по рынку умных колонок год к году сократилась на 6%, до 653 млн руб., а средняя цена на «Капсулы» VK — на 19% В 2023 году VK отменила подписку VK Combo (в нее входили «ВК Музыка», онлайн-кинотеатр «Ростелекома (MCX: RTKM )» Wink и т. д.), и закрытие проекта «Капсулы» укладывается в логику развития экосистемы, говорит директор департамента новых технологий J’son & Partners Consulting Дмитрий Колесов. «Экосистема VK имеет ряд особенностей — это прежде всего соцсеть, основной контент в которой создают сами пользователи»,— говорит он. Господин Колесов считает, что направление развития экосистем через голосовые помощники для VK не так актуально, как для «Яндекса» или «Сбера». Поэтому на экосистему VK возможное закрытие «Капсул» не повлияет. 
Читайте оригинальную статью на сайте sMart-lab.ru","13.11.2024, 10:38",https://ru.investing.com/news/general/article-2568919
Акции «М.Видео» обвалились почти на 5% после отчета,"© Reuters.
Investing.com — Котировки группы «М.Видео-Эльдорадо» в ходе торгов 12 ноября упали на 4,62%, акции подешевели до 99,1 руб. за штуку, свидетельствуют данные торгов на Мосбирже по состоянию на 10:45 МСК. Позже падение замедлилось до 2,41%, а цена бумаг восстановилась до 101,4 руб.«М.Видео-Эльдорадо» в ходе торгов 12 ноября упали на 4,62%, акции подешевели до 99,1 руб. за штуку, свидетельствуют данные торгов на Мосбирже по состоянию на 10:45 МСК. Позже падение замедлилось до 2,41%, а цена бумаг восстановилась до 101,4 руб. 
Падение котировок компании произошло после публикации операционных результатов за третий квартал 2024 года.за третий квартал 2024 года. 
Общие продажи (GMV) за 9 месяцев выросли на 8% по сравнению с тем же периодом 2023 года и составили 387 млрд руб. В компании объяснили рост показателя эффектом от расширения ассортимента, инструментов и каналов продаж, открытием новых магазинов при одновременном продолжении восстановления спроса на бытовую технику и электронику.
Общие онлайн-продажи компании составили 73% от GMV группы, увеличившись на 3,3 п.п. Средний чек в третьем квартале вырос на 15% — с 12,4 тыс. до 14,2 тыс. руб.","12.11.2024, 12:14",https://ru.investing.com/news/general-news/article-2567274
В «М.Видео» одобрили допэмиссию и рекомендовали не объявлять дивиденды,"© Reuters.
Investing.com — Совет директоров «М.Видео (MCX:MVID)» одобрил увеличение уставного капитала путем дополнительной эмиссии акций, следует из сообщения компании.MVID )» одобрил увеличение уставного капитала путем дополнительной эмиссии акций, следует из компании. 
«М.Видео» разместит 30 млн акций номинальной стоимостью 10 рублей по открытой подписке: это 17% от уставного капитала. Цена размещения и его срок будут определены позднее. Предварительно согласен приобрести весь объем допэмиссии один из крупнейших акционеров компании, инвестхолдинг «ЭсЭфАй», сообщает компания. Ему принадлежат 10,37% акций «М.Видео».
Размещение пройдет в два этапа. На первом акционерам, зарегистрированным в реестре на 17 мая, будет дано преимущественное право приобретения акций в количестве, пропорциональном числу принадлежащих им бумаг. Затем по открытой подписке акции допэмиссии «М.Видео» станут доступны для неограниченного круга инвесторов. Допэмиссия акций позволит «М.Видео» улучшить показатели финансовой ликвидности и сохранить гибкость при принятии операционных, финансовых и инвестиционных решений, ожидает компания.
Также совет директоров «М.Видео» рекомендовал не объявлять и не выплачивать дивиденды по результатам 2023 года. Окончательное решение примут акционеры на годовом общем собрании 14 июня. В последний раз «М.Видео» выплачивала дивиденды за девять месяцев 2021 года в размере 35 рублей на акцию. Финальные дивиденды за 2021 год и по итогам 2022-го не выплачивались.
От редакции
Если вы ищете платформу, которая позволит вам с легкостью анализировать рыночные инструменты и отбирать именно те, которые подходят для вашего портфеля и вашего стиля инвестирования, как это делают наши авторы, предлагаем вам воспользоваться InvestingPro.. 
А мы дарим вам купон на дополнительную скидку 10% на годовую подписку: RUTRADERS4EVER.
Не забудьте ввести купон в специальное поле при оформлении и оплате подписки!! 
Читайте нас в Telegram и «ВКонтакте».и","13.05.2024, 10:50",https://ru.investing.com/news/stock-market-news/article-2418473
«М.Видео» анонсировал отказ от дивидендов за 2023 год,"© Reuters.
Investing.com — Ретейлер ОАО Компания «М.Видео», в последний раз плативший дивиденды по итогам третьего квартала 2021 года, заявил о том, что не планирует делать выплаты акционерам за 2023 год. Об этом заявила в ходе телефонной конференции финансовый директор группы Анна Гарманова, пишет РБК.«М.Видео» , в последний раз плативший дивиденды по итогам третьего квартала 2021 года, заявил о том, что не планирует делать выплаты акционерам за 2023 год. Об этом заявила в ходе телефонной конференции финансовый директор группы Анна Гарманова, РБК. 
«Нет, мы не планируем выплачивать дивиденды по итогам 2023 года. Нам нужно стабилизировать бизнес, и все свободные денежные средства мы будем инвестировать в развитие. У нас большие планы на открытие магазинов», — сказала она в ходе телефонной конференции.
«Нет, мы не планируем выплачивать дивиденды по итогам 2023 года. Нам нужно стабилизировать бизнес, и все свободные денежные средства мы будем инвестировать в развитие. У нас большие планы на открытие магазинов», — сказала она в ходе телефонной конференции.
При этом она отметила, что дивидендная политика ретейлера будет сохранена:
«От этой идеи мы не отказываемся. Мы очень долгий период времени платили дивиденды — для нас как для публичной компании это нормальная политика».
«От этой идеи мы не отказываемся. Мы очень долгий период времени платили дивиденды — для нас как для публичной компании это нормальная политика».
Читайте нас в Telegram и «ВКонтакте».и","24.10.2023, 12:53",https://ru.investing.com/news/stock-market-news/article-2303290
Мосбиржа запустила торги фьючерсами на акции еще пяти компаний,"© Reuters.
Investing.com — С 22 августа на срочном рынке Мосбиржи начались торги поставочными фьючерсами на акции автопроизводителя КАМАЗ, банка «Санкт-Петербург», нефтяной компании «Башнефть», Московского кредитного банка и ретейлера «М.Видео». К торгам допущены фьючерсные контракты с исполнением в сентябре и декабре 2023 года, а также в марте и июне 2024 года, следует из сообщения площадки.площадки. 
Параметры новых поставочных фьючерсов:
«Расширение линейки производных инструментов на ценные бумаги откроет новые возможности для реализации торговых стратегий, а также хеджирования портфелей ценных бумаг для самого широкого круга инвесторов», — говорится в сообщении Мосбиржи.
«Расширение линейки производных инструментов на ценные бумаги откроет новые возможности для реализации торговых стратегий, а также хеджирования портфелей ценных бумаг для самого широкого круга инвесторов», — говорится в сообщении Мосбиржи.
Читайте нас в Telegram и «ВКонтакте».и 
Текст подготовил Тимур Алиев","22.08.2023, 11:31",https://ru.investing.com/news/stock-market-news/article-2286167
Euroclear возобновил расчеты по бумагам ряда компаний РФ,"© Reuters
Investing.com — Международный депозитарий Euroclear возобновил расчеты по локальным акциям ряда не попавших под санкции российских компаний, а также по евробондам и расширил список торгуемых ОФЗ, пишет РБК.РБК. 
В перечень входят такие эмитенты, как Газпром, «Газпром нефть», ЛУКОЙЛ, «Норникель», «Мечел», Московская Биржа, «Интер РАО», «Магнит», «Аэрофлот», АФК «Система», «Сегежа», МТС, «М.Видео», «Детский мир», «Белуга» и многие другие ценные бумаги с идентификационным кодом RU ISIN. Речь идет о расчетах во внешнем периметре.Газпром , «Газпром нефть» , ЛУКОЙЛ , «Норникель» , «Мечел» , Московская Биржа , «Интер РАО» , «Магнит» , «Аэрофлот» , АФК «Система» , «Сегежа» , МТС , «М.Видео» , «Детский мир» , «Белуга» и многие другие ценные бумаги с идентификационным кодом RU ISIN. Речь идет о расчетах во внешнем периметре. 
Всего в письме депозитария Euroclear перечислены 137 российских локальных бумаг, которые стали доступны для расчетов в Euroclear Bank по состоянию на 26 июня 2023 года. Подлинность письма подтвердили два источника на финансовом рынке.
В сообщении европейского депозитария подчеркивается, что Euroclear возобновил свободные расчеты по тем российским бумагам, по которым не требуется сверка, связанная с законами о принудительном переводе, и активы которых не подлежат замораживанию в связи с международными санкциями.
Также Euroclear отмечает, что список ценных бумаг, по которым могут быть возобновлены расчеты, после проверок будет расширяться.
«Euroclear Bank продолжит оценивать и проверять список приостановленных ценных бумаг и может возобновить расчеты по дополнительным ценным бумагам, соответствующим стандартным операционным проверкам», — говорится в сообщении депозитария.
«Euroclear Bank продолжит оценивать и проверять список приостановленных ценных бумаг и может возобновить расчеты по дополнительным ценным бумагам, соответствующим стандартным операционным проверкам», — говорится в сообщении депозитария.
Читайте нас в Telegram и «ВКонтакте».и 
Текст подготовил Тимур Алиев","29.06.2023, 12:03",https://ru.investing.com/news/stock-market-news/article-2268728
Мосбиржа расширит список доступных на вечерних торгах акций,"© Reuters.
Investing.com — Московская биржа сообщила об увеличении числа ценных бумаг, доступных для заключения сделок на вечерней торговой сессии на рынке акций. С 9 марта в список инструментов на вечерних торгах рынка акций будут добавлены 11 ценных бумаг.биржа об увеличении числа ценных бумаг, доступных для заключения сделок на вечерней торговой сессии на рынке акций. С 9 марта в список инструментов на вечерних торгах рынка акций будут добавлены 11 ценных бумаг. 
С 9 марта на вечерней сессии Мосбиржи станут доступны акции следующих компаний:
Кроме того, в список будут добавлены обыкновенные и привилегированные акции компании «Мечел».«Мечел» . 
В общей сложности, с 9 марта инвесторы смогут заключать сделки с 74 инструментами рынка акций — ценными бумагами российских эмитентов, БПИФ, а также паями ПИФ, сообщила торговая площадка. Кроме того, с 6 марта 2023 года на вечерних торгах для заключения сделок станет доступен ОПИФ «БКС Российские Акции».
Следите за нашими новостями в социальных сетях: Telegram, «ВКонтакте» и «Одноклассниках».
Текст подготовил Тимур Алиев","06.03.2023, 16:54",https://ru.investing.com/news/stock-market-news/article-2235975
Рынок акций Московской биржи по состоянию на 10:30 мск 2 марта снижается,"© Reuters. Рынок акций Московской биржи по состоянию на 10:30 мск 2 марта снижается

По состоянию на 10:30 мск индекс РТС понизился на 7,28 пункта (0,762%) по сравнению с закрытием предыдущего торгового дня и составляет 948,53 пункта.РТС понизился на 7,28 пункта (0,762%) по сравнению с закрытием предыдущего торгового дня и составляет 948,53 пункта. 
Торги идут с обычной активностью. Объем торгов по акциям на ФБ ММВБ на 10:30 составил 3418,5 млн рублей, что примерно на 10% выше среднего уровня за последний месяц.

Лидеры падения:

iQIWI - цена 465 руб. (-1,38%), оборот 4,85 млн. руб.

ГАЗПРОМао (MCX:GAZP) - цена 163,13 руб. (-0,83%), оборот 645,77 млн. руб.GAZP ) - цена 163,13 руб. (-0,83%), оборот 645,77 млн. руб. 

Роснефть (MCX:ROSN) - цена 358,45 руб. (-0,82%), оборот 64,86 млн. руб.ROSN ) - цена 358,45 руб. (-0,82%), оборот 64,86 млн. руб. 

Мечелап - цена 164,05 руб. (-0,76%), оборот 14,2 млн. руб.

М.видео (MCX:MVID) - цена 180,9 руб. (-0,71%), оборот 3,5 млн. руб.MVID ) - цена 180,9 руб. (-0,71%), оборот 3,5 млн. руб. 

Лидеры роста:

Акрон (MCX:AKRN) - цена 19406 руб. (+2,74%), оборот 63,82 млн. руб.AKRN ) - цена 19406 руб. (+2,74%), оборот 63,82 млн. руб. 

AGRO-гдр - цена 718,8 руб. (+2,1%), оборот 22,33 млн. руб.

РуссНфтао - цена 99,6 руб. (+1,84%), оборот 49,91 млн. руб.

АшинскийМЗ - цена 47,75 руб. (+1,6%), оборот 11,98 млн. руб.

ЭнелРосао - цена 0,5256 руб. (+0,61%), оборот 0,63 млн. руб.

Цены остальных активно торгуемых акций:

Сбербанк (MCX:SBER) - цена 169,85 руб. (-0,4%), оборот 594,64 млн. руб.SBER ) - цена 169,85 руб. (-0,4%), оборот 594,64 млн. руб. 

ЛУКОЙЛ (MCX:LKOH) - цена 4044 руб. (-0,3%), оборот 253,68 млн. руб.LKOH ) - цена 4044 руб. (-0,3%), оборот 253,68 млн. руб. 

Татнфт3ао (MCX:TATN) - цена 333,5 руб. (-0,39%), оборот 134,25 млн. руб.TATN ) - цена 333,5 руб. (-0,39%), оборот 134,25 млн. руб. 

ПолюсЗолот (MCX:PLZL) - цена 8887,5 руб. (-0,58%), оборот 111,96 млн. руб.PLZL ) - цена 8887,5 руб. (-0,58%), оборот 111,96 млн. руб. 

ММК (MCX:MAGN) - цена 39,535 руб. (+0,16%), оборот 62,08 млн. руб.MAGN ) - цена 39,535 руб. (+0,16%), оборот 62,08 млн. руб. 


Источник данных - ЗАО ""Фондовая биржа ММВБ""
Это автоматическое сообщение.","02.03.2023, 10:27",https://ru.investing.com/news/stock-market-news/article-2234589
Рынок акций Московской биржи по состоянию на 13:00 мск 16 февраля движется разнонаправленно,"© Reuters. Рынок акций Московской биржи по состоянию на 13:00 мск 16 февраля движется разнонаправленно

После подъема индекс РТС вернулся к уровням предыдущего дня. По состоянию на 13:00 мск индекс РТС понизился на 0,16 пункта (0,017%) по сравнению с закрытием предыдущего торгового дня и составляет 914,78 пункта. Максимальное значение к текущему моменту - 922,79 (+0,86%) пункта, минимальное - 910,69 (-0,46%) пункта.РТС вернулся к уровням предыдущего дня. По состоянию на 13:00 мск индекс РТС понизился на 0,16 пункта (0,017%) по сравнению с закрытием предыдущего торгового дня и составляет 914,78 пункта. Максимальное значение к текущему моменту - 922,79 (+0,86%) пункта, минимальное - 910,69 (-0,46%) пункта. 
Торги идут с активностью выше средней. Объем торгов по акциям на ФБ ММВБ на 13:00 составил 22647,14 млн рублей, что примерно на 20% выше среднего уровня за последний месяц.
Цены на 76% бумаг, торгующихся в секторе Основных торгов ФБ ММВБ, выросли, 20% акций - снизились.

Лидеры роста:

КАМАЗ (MCX:KMAZ) - цена 101,5 руб. (+6,06%), оборот 183,26 млн. руб.KMAZ ) - цена 101,5 руб. (+6,06%), оборот 183,26 млн. руб. 

Селигдар (MCX:SELG) - цена 47,63 руб. (+3,1%), оборот 46,54 млн. руб.SELG ) - цена 47,63 руб. (+3,1%), оборот 46,54 млн. руб. 

ЛСРао (MCX:LSRG) - цена 470 руб. (+2,62%), оборот 16,99 млн. руб.LSRG ) - цена 470 руб. (+2,62%), оборот 16,99 млн. руб. 

iQIWI - цена 454,5 руб. (+2,6%), оборот 10,07 млн. руб.

РуссНфтао - цена 92,9 руб. (+2,54%), оборот 96,04 млн. руб.

Лидеры падения:

М.видео (MCX:MVID) - цена 172,8 руб. (-0,58%), оборот 37,89 млн. руб.MVID ) - цена 172,8 руб. (-0,58%), оборот 37,89 млн. руб. 

МТС-ао - цена 243,2 руб. (-0,41%), оборот 201,9 млн. руб.

Верхнесалд (MCX:VSMO) - цена 48740 руб. (-0,41%), оборот 3,36 млн. руб.VSMO ) - цена 48740 руб. (-0,41%), оборот 3,36 млн. руб. 

VTBBETF - цена 134,18 руб. (-0,15%), оборот 123,86 млн. руб.

ИнтерРАОао (MCX:IRAO) - цена 3,31 руб. (-0,15%), оборот 114,3 млн. руб.IRAO ) - цена 3,31 руб. (-0,15%), оборот 114,3 млн. руб. 

Цены остальных активно торгуемых акций:

Сбербанк (MCX:SBER) - цена 158,28 руб. (+1,3%), оборот 5931,84 млн. руб.SBER ) - цена 158,28 руб. (+1,3%), оборот 5931,84 млн. руб. 

ПолюсЗолот (MCX:PLZL) - цена 8481 руб. (+1,27%), оборот 2339,09 млн. руб.PLZL ) - цена 8481 руб. (+1,27%), оборот 2339,09 млн. руб. 

ГАЗПРОМао (MCX:GAZP) - цена 152,9 руб. (-0,12%), оборот 1339,32 млн. руб.GAZP ) - цена 152,9 руб. (-0,12%), оборот 1339,32 млн. руб. 

Polymetal (MCX:POLY) - цена 474,5 руб. (+1,87%), оборот 826,67 млн. руб.POLY ) - цена 474,5 руб. (+1,87%), оборот 826,67 млн. руб. 

Yandex (MCX:YNDX) - цена 1998,8 руб. (+1,5%), оборот 647,62 млн. руб.YNDX ) - цена 1998,8 руб. (+1,5%), оборот 647,62 млн. руб. 


Источник данных - ЗАО ""Фондовая биржа ММВБ""
Это автоматическое сообщение.","16.02.2023, 13:15",https://ru.investing.com/news/stock-market-news/article-2227988
