Title,Text,Time,Url
Золото отступает на фоне новых ожиданий по ставкам ФРС,"© Reuters.
Investing.com — Цены на золото упали на азиатских торгах в понедельник, поскольку трейдеры ожидают замедления темпов снижения процентных ставок в США после более сильных, чем ожидалось, данных по занятости в несельскохозяйственном секторе, которые поддержали доллар.после более сильных, чем ожидалось , данных по занятости в несельскохозяйственном секторе, которые поддержали доллар. 
Среди промышленных металлов цены на медь получили ограниченную поддержку благодаря данным о том, что импорт меди в Китай в декабре достиг 13-месячного максимума. Настроения в отношении Китая были ослаблены ожиданием увеличения торговых тарифов США.
Неопределенность экономических перспектив при новом президенте Дональде Трампе все еще поддерживала спрос на золото, как и продолжительная распродажа более рискованных активов, в частности акций. Это ограничило общие потери желтого металла.
К 08:52 мск. спотовое золото торговалось на $2 686, с понижением на 0,13%, в то время как цена на фьючерсы с истекающим сроком действия в феврале находились на отметке $2 712, в минусе на 0,1%.спотовое золото торговалось на $2 686, с понижением на 0,13%, в то время как цена на фьючерсы с истекающим сроком действия в феврале находились на отметке $2 712, в минусе на 0,1%. 
Золото снижается на опасениях по поводу ставок
Давление на золото оказывали, главным образом, перспективы того, что ставки в США останутся более высокими в течение длительного времени, так как пятничный отчет по занятости заставил трейдеров снова пересмотреть свои ожидания относительно смягчения политики ФРС.занятости заставил трейдеров снова пересмотреть свои ожидания относительно смягчения политики ФРС. 
Теперь основное внимание уделяется предстоящим данным по инфляции в США, которые должны выйти в среду, чтобы получить больше информации о перспективах ФРС по ставкам. Центральный банк сигнализировал о том, что устойчивая инфляция и сильные позиции на рынке труда дадут ему дополнительный стимул для сохранения высоких ставок.
Аналитики Goldman Sachs в своей недавней записке заявили, что теперь они ожидают, что ФРС снизит ставки только дважды в этом году, в то время как ранее ожидалось три снижения. Также ожидается, что конечная ставка центрального банка будет выше в этом цикле смягчения.Goldman Sachs в своей недавней записке заявили, что теперь они ожидают, что ФРС снизит ставки только дважды в этом году, в то время как ранее ожидалось три снижения. Также ожидается, что конечная ставка центрального банка будет выше в этом цикле смягчения. 
Высокие ставки оказывают давление на рынки металлов, поскольку увеличивают альтернативные издержки инвестирования в низкодоходные активы. Среди других драгоценных металлов фьючерсы на платину немного подешевели до $991,45 за унцию, а контракты на серебро упали на 0,4% до $31,205 за унцию в понедельник.фьючерсы на платину немного подешевели до $991,45 за унцию, а  контракты на серебро упали на 0,4% до $31,205 за унцию в понедельник. 
Цены на медь не изменились — рынки оценивают перспективы Китая
Фьючерсы на медь на Лондонской бирже металлов выросли на 0,3% до $9 111,00 за унцию, а мартовский контракт подорожал на 0,1% до $4,2960 за фунт.Фьючерсы на медь на Лондонской бирже металлов выросли на 0,3% до $9 111,00 за унцию, а мартовский контракт подорожал на 0,1% до $4,2960 за  фунт . 
Красный металл укрепился на сильных позициях предыдущей недели, так как слабые экономические данные из Китая подстегнули рост ставок на то, что Пекин будет использовать еще больше стимулов для поддержания роста.
Торговые данные в понедельник показали, что импорт меди в Китай в декабре достиг 13-месячного максимума в 559 000 метрических тонн, что свидетельствует о сохранении высокого спроса в крупнейшем импортере меди в мире.
Быки делают ставку на то, что в ближайшие месяцы Пекин предоставит еще больше стимулов, особенно в условиях высоких импортных тарифов при Трампе.
Трамп, который вступит в должность 20 января, поклялся ввести высокие торговые тарифы против Китая «с первого дня» своего президентства.","13.01.2025, 08:22",https://ru.investing.com/news/commodities-news/article-2619635
Золото достигло максимума за месяц несмотря на рост доллара,"© Reuters
Investing.com — Золото выросло в цене четвертый день подряд, пока трейдеры ожидают публикации данных по занятости в США, которые помогут определить перспективы политики ФРС на этот год, пишет Yahoo.Yahoo. 
Спотовая цена торговалась на уровне $2 674 за унцию к 10:45 мск., что соответствует росту более чем на 1% в первую полную торговую неделю года. Февральские фьючерсы подорожали на 0,26%, расположившись на $2 697, отметив 1-месчный максимум непосредственно над уровнем $2 700 ранее в пятницу.Спотовая цена торговалась на уровне $2 674 за унцию к 10:45 мск., что соответствует росту более чем на 1% в первую полную торговую неделю года. Февральские фьючерсы подорожали на 0,26%, расположившись на $2 697, отметив 1-месчный максимум непосредственно над уровнем $2 700 ранее в пятницу. 
Ожидается, что данные по занятости за декабрь покажут замедление, но все же здоровый рост числа рабочих мест, который, по мнению экономистов, продолжится в 2025 году. Официальные лица ФРС указали, что, вероятно, будут удерживать процентные ставки на текущем уровне длительное время, снижая их снова только тогда, когда инфляция значительно спадет.
Золото было одной из самых успешных крупных товарных позиций в прошлом году, продемонстрировав рост на 27% и установив последовательные рекорды, поскольку ФРС снизила ставки, центральные банки увеличили свои запасы, а инвесторы искали убежище от геополитической напряженности.
Учитывая, что избранный президент США Дональд Трамп вступит в должность 20 января, инвесторы также оценивают вероятность потенциальной торговой войны или других напряженностей, которые могут повысить спрос на защитные активы.
Рост золота на этой неделе произошел несмотря на дальнейшее укрепление доллара США и доходности казначейских облигаций. Поскольку трейдеры сокращают ожидания снижения ставок ФРС в первой половине года, индекс доллара растет шестую сессию подряд. Между тем, доходность 10-летних облигаций находится около максимального уровня с апреля.доллара США и доходности казначейских облигаций. Поскольку трейдеры сокращают ожидания снижения ставок ФРС в первой половине года, индекс доллара растет шестую сессию подряд. Между тем, доходность 10-летних облигаций находится около максимального уровня с апреля. 
«Ралли происходит несмотря на рост мировых доходностей», — отметила аналитик Kotak Securities Кайнат Чайнвала в записке.
«Ралли происходит несмотря на рост мировых доходностей», — отметила аналитик Kotak Securities Кайнат Чайнвала в записке.
Трейдеры опасаются возобновления инфляции из-за мер стимулирования, фискальных реформ и торговых тарифов, добавила она.","10.01.2025, 10:49",https://ru.investing.com/news/commodities-news/article-2618331
"Рынок акций РФ закрылся падением, Индекс МосБиржи (ММВБ) снизился на 2,35%","© Reuters. Рынок акций РФ закрылся падением, Индекс МосБиржи (ММВБ) снизился на 2,35%
Investing.com – Фондовый рынок РФ завершил торги четверга падением на фоне негативной динамики со стороны секторов нефти и газа, телекоммуникаций и горнодобывающей промышленности.нефти и газа , телекоммуникаций и горнодобывающей промышленности . 
На момент закрытия на Московской фондовой бирже Индекс МосБиржи (ММВБ) снизился на 2,35%.Индекс МосБиржи (ММВБ) снизился на 2,35%. 
В лидерах роста среди компонентов индекса Индекс МосБиржи (ММВБ) по итогам сегодняшних торгов были акции ФосАгро ПАО (MCX:PHOR), которые подорожали на 155,00 п. (2,45%), закрывшись на отметке в 6.488,00. Котировки Магнит ПАО (MCX:MGNT) выросли на 48,50 п. (1,01%), завершив торги на уровне 4.836,00. Бумаги Полюс ПАО (MCX:PLZL) выросли в цене на 123,00 п. (0,85%), закрывшись на отметке 14.533,00.Индекс МосБиржи (ММВБ) по итогам сегодняшних торгов были акции ФосАгро ПАО (MCX: PHOR ), которые подорожали на 155,00 п. (2,45%), закрывшись на отметке в 6.488,00. Котировки Магнит ПАО (MCX: MGNT ) выросли на 48,50 п. (1,01%), завершив торги на уровне 4.836,00. Бумаги Полюс ПАО (MCX: PLZL ) выросли в цене на 123,00 п. (0,85%), закрывшись на отметке 14.533,00. 
Лидерами падения стали акции Транснефть ПАО (прив.) (MCX:TRNF_p), цена которых упала на 67,00 п. (5,57%), завершив сессию на отметке 1.136,00. Акции НОВАТЭК ПАО (MCX:NVTK) поднялись на 45,60 п. (4,67%), закрывшись на уровне 931,00, а Ростелеком ПАО (MCX:RTKM) снизились в цене на 2,99 п. (4,55%) и завершили торги на отметке 62,70.TRNF_p ), цена которых упала на 67,00 п. (5,57%), завершив сессию на отметке 1.136,00. Акции НОВАТЭК ПАО (MCX: NVTK ) поднялись на 45,60 п. (4,67%), закрывшись на уровне 931,00, а Ростелеком ПАО (MCX: RTKM ) снизились в цене на 2,99 п. (4,55%) и завершили торги на отметке 62,70. 
На Московской фондовой бирже количество подешевевших бумаг (211) превысило количество закрывшихся в плюсе (36), а котировки 5 акций практически не изменились.
Индекс волатильности Индекс волатильности российского рынка, который формируется на основе показателей торговли опционами на Индекс МосБиржи (ММВБ), упал на 2,32% до отметки 36.68.Индекс волатильности российского рынка , который формируется на основе показателей торговли опционами на Индекс МосБиржи (ММВБ), упал на 2,32% до отметки 36.68. 
Фьючерс на фьючерс на золото с поставкой в феврале прибавил 0,71%, или 19,09, достигнув отметки $2.691,49 за тройскую унцию. Что касается других товаров, цены на фьючерсы на нефть WTI с поставкой в феврале выросли на 1,19%, или 0,87, до $74,19 за баррель. Фьючерсы на фьючерс на нефть Brent с поставкой в марте подорожали на 1,34%, или 1,02, до отметки $77,18 за баррель.
Между тем на рынке Форекс пара USD/RUB снизилась на 2,15% до 102,25, а котировки EUR/RUB упали на 2,30%, достигнув отметки 105,34.
Фьючерс на индекс USD вырос на 0,06% до 108,99.","10.01.2025, 00:20",https://ru.investing.com/news/stock-market-news/article-2618159
Золото переваривает сигналы от ФРС и Трампа,"© Reuters.
Investing.com — В четверг цены на золото в ходе азиатских торгов стабилизировались после двух дней роста подряд, так как возросшая неопределенность в отношении ястребиной позиции Федеральной резервной системы и плана избранного президента Дональда Трампа по введению торговых тарифов способствовала некоторому спросу на безопасную гавань.
Среди промышленных металлов цены на медь выросли, так как слабые данные по инфляции из Китая, являющегося крупнейшим импортером, подстегнули ставки на дополнительные стимулирующие меры со стороны Пекина.
Однако на рынки металлов по-прежнему оказывало давление укрепление доллара, который вернулся к двухлетним максимумам на фоне ястребиных сигналов от ФРС.
Февральские фьючерсы укрепились на 0,17% до $2 676 за унцию, а спотовая цена снизилась на 0,1% до $2 659 за унцию к 08:54 мск.
Золото пользуется защитным спросом
На этой неделе цены на золото пользовались некоторым спросом на безопасное убежище, поскольку неопределенность в отношении торговой и иммиграционной политики Трампа снизила аппетит к риску.
В сообщении CNN говорится, что Трамп может объявить чрезвычайное положение в экономике страны, чтобы юридически обосновать свои планы по введению универсальных торговых тарифов.
Опасения по поводу политики Трампа также оказались в центре внимания после того, как протокол декабрьского заседания ФРС показал, что политики выражают некоторую обеспокоенность по поводу застойной инфляции.протокол декабрьского заседания ФРС показал, что политики выражают некоторую обеспокоенность по поводу застойной инфляции. 
В частности, чиновники выразили обеспокоенность тем, что экспансионистская и протекционистская политика Трампа может поддержать инфляцию в долгосрочной перспективе.
Протокол также в значительной степени подтвердил планы ФРС по снижению процентных ставок более медленными темпами в 2025 году, после того как центральный банк фактически вдвое сократил прогнозируемое снижение ставок до двух с четырех в 2025 году.
Доходность казначейских облигаций выросла после выхода протокола заседания ФРС, как и курс доллара.
Более высокие и долгосрочные ставки плохо сказываются на недоходных активах, таких как металлы, поскольку они увеличивают альтернативные издержки инвестирования в этот сектор.
Другие драгоценные металлы в четверг демонстрировали смешанную динамику и также отставали от золота на последних сессиях. Фьючерсы на платину упали на 0,1% до $983,75 за унцию, а серебро выросло на 0,3% до $30,785 за унцию.Фьючерсы на платину упали на 0,1% до $983,75 за унцию, а  серебро выросло на 0,3% до $30,785 за унцию. 
Медь растет за счет слабых данных из Китая
Фьючерсы на медь на Лондонской бирже металлов выросли на 0,4% до $9,053.50 за тонну, а мартовский контракт подорожал на 0,6% до $4,2927 за фунт.Фьючерсы на медь на Лондонской бирже металлов выросли на 0,4% до $9,053.50 за тонну, а мартовский контракт подорожал на 0,6% до $4,2927 за  фунт . 
Инфляция в Китае в декабре не изменилась, а индекс цен производителей снизился 27-й месяц подряд.Инфляция в Китае в декабре не изменилась, а индекс цен производителей снизился 27-й месяц подряд. 
Инфляция оставалась слабой даже в то время, когда Пекин проводил самый агрессивный раунд стимулирующих мер до конца 2024 года.
При этом свежая статистика усилила ставки на то, что Пекин будет делать больше для поддержания китайского роста, особенно в бюджетной сфере.","09.01.2025, 08:26",https://ru.investing.com/news/commodities-news/article-2617532
Полюс получил на торгах золоторудное месторождение в Красноярском крае,"© Reuters. Полюс получил на торгах золоторудное месторождение в Красноярском крае — журнал ""Добывающая промышленность""
sMart-lab.ru - Красноярское подразделение «Полюса (MCX:PLZL)» расширит свою сырьевую базу за счёт месторождения Кварцевая Гора. Компания стала единственным участником сегодняшнего аукциона Центрсибнедр и получила лицензию на участок за 271,5 млн рублей, следует из данных ГИС «Торги».PLZL )» расширит свою сырьевую базу за счёт месторождения Кварцевая Гора. Компания стала единственным участником сегодняшнего аукциона Центрсибнедр и получила лицензию на участок за 271,5 млн рублей, следует из данных ГИС «Торги». 
Новое месторождение расположено в пределах действующей лицензии «Полюса» (Благодатное и Олимпиадинская площадь в Северо-Енисейском районе края). Контур участка исключён из этой территории. Кроме того, к лицензионному участку Кварцевая Гора относится часть россыпного месторождения, которое отрабатывает ООО «Прииск Дражный» ЮГК.
Для месторождения учтены забалансовые запасы 24,1 т золота со средним содержанием в руде 0,6 г/т. Прогнозные ресурсы составляют 27 т золота. Запасы предстоит переоценить, отмечается в аукционной документации. Участок передаётся в пользование на 25 лет.золота со средним содержанием в руде 0,6 г/т. Запасы предстоит переоценить, отмечается в аукционной документации. Участок передаётся в пользование на 25 лет. 
Читайте оригинальную статью на сайте sMart-lab.ru","27.12.2024, 14:25",https://ru.investing.com/news/stock-market-news/article-2609712
Золото укрепляется за счет геополитической напряженности,"© Reuters.
Investing.com — Цены на золото выросли на азиатских торгах в четверг благодаря небольшому ослаблению доллара, поскольку рынки вернулись к торгам после рождественских праздников. Однако рост был ограниченным, поскольку инвесторы сохраняли осторожность после «ястребиного» настроя Федеральной резервной системы США.
Трейдеры также воздерживались от крупных ставок на укороченной в связи с праздниками неделе, что привело к снижению объемов торгов.
Фьючерсы на золото с истекающим сроком действия в феврале выросла на 0,25% до $2 641 за унцию, к 09:31 мск., а спотовая цена приподнялась на 0,23% до $2 625.Фьючерсы на золото с истекающим сроком действия в феврале выросла на 0,25% до $2 641 за унцию, к 09:31 мск., а спотовая цена приподнялась на 0,23% до $2 625. 
Геополитическая напряженность на Ближнем Востоке также способствовала росту котировок.
В среду палестинская боевая группировка ХАМАС и Израиль обвинили друг друга в препятствовании заключению соглашения о прекращении огня, причем ХАМАС обвинил Израиль в навязывании дополнительных условий, а премьер-министр Израиля Биньямин Нетаньяху заявил, что ХАМАС отказался от ранее достигнутых договоренностей.
Золото рассматривается как актив-убежище на фоне неопределенности на рынке.
Доллар США слабеет, но остается вблизи 2-летнего максимума
В четверг на азиатских торгах доллар немного снизился, но оставался вблизи двухлетнего максимума, которого он достиг на прошлой неделе.доллар немного снизился, но оставался вблизи двухлетнего максимума, которого он достиг на прошлой неделе. 
Ястребиный настрой ФРС на прошлой неделе придал доллару новую силу, так как высокие процентные ставки делают USD более привлекательным из-за увеличения доходности активов, номинированных в долларах.
На прошлой неделе цены на золото резко упали после того, как на заседании ФРС было указано, что ставки останутся повышенными в течение длительного периода времени.
На этой неделе цены на желтый металл торгуется без значимых изменений после потери более 1% на предыдущей неделе, что отражает неопределенность в отношении перспектив металла.
Другие драгоценные металлы в четверг практически не изменились. Фьючерсы на платину торговались во флэте на $960,20 за унцию, а серебро — на $30,273 за унцию.Фьючерсы на платину торговались во флэте на $960,20 за унцию, а  серебро  — на $30,273 за унцию. 
Медь растет на фоне китайских стимулов, сильный доллар сдерживает рост
Среди промышленных металлов цены на медь выросли после сообщения агентства Reuters о том, что власти Китая планируют выпустить в следующем году специальные казначейские облигации на рекордную сумму в 3 триллиона юаней (411 миллиардов долларов) в рамках активизации фискальных усилий по стимулированию переживающей трудности экономики.медь выросли после сообщения агентства Reuters о том, что власти Китая планируют выпустить в следующем году специальные казначейские облигации на рекордную сумму в 3 триллиона юаней (411 миллиардов долларов) в рамках активизации фискальных усилий по стимулированию переживающей трудности экономики. 
Красный металл не смог в полной мере воспользоваться этими новостями, так как сильный доллар оказал давление.
Аналитики также объясняют слабость меди сезонной нестабильностью, поскольку промышленное производство и строительные проекты часто замедляются к концу года.
Наиболее торгуемый январский контракт на медь на Шанхайской фьючерсной бирже (SHFE) вырос на 0,2% до 74 220 юаней за тонну.контракт на медь на Шанхайской фьючерсной бирже (SHFE) вырос на 0,2% до 74 220 юаней за тонну. 
Эталонные контракты на медь на Лондонской бирже металлов были закрыты в четверг в связи с праздником.","26.12.2024, 08:52",https://ru.investing.com/news/commodities-news/article-2609141
Акционеры Полюса 3 февраля определятся со сплитом,"© Reuters.
Investing.com — Совет директоров «Полюса», крупнейшего в России золотодобытчика, рекомендовал дробление акций в соотношении 1 к 10, говорится в заявлении компании.«Полюса» , крупнейшего в России золотодобытчика, рекомендовал дробление акций в соотношении 1 к 10, в заявлении компании. 
Данный вопрос будет обсуждаться акционерами на собрании, назначенном на 3 февраля 2025 года.
Как указано в пресс-релизе, основная цель дробления заключается в повышении ликвидности и доступности акций.
Акции «Полюса» на момент написания материала в 13:38 мск. торговались с понижением почти на 1%, у отметки 13 792 руб. На недельном графике бумаги пока торгуются без изменений. Ранее в этом месяце акции падали до 13 050 руб. впервые с 11 октября.","24.12.2024, 13:44",https://ru.investing.com/news/general/article-2608627
Золото держится на плаву за счет неопределенных перспектив на 2025 год,"© Reuters.
Investing.com — Золото слегка подрастает во вторник, поскольку трейдеры оценивают вероятность более медленного темпа снижения процентных ставок ФРС в следующем году, пишет Bloomberg.Bloomberg. 
К 11:31 мск. февральские фьючерсы торговались в районе $2 633, с повышением в пределах 0,2%, тогда как спотовая цена находилась на отметке $2 618, в плюсе на 0,22%. В понедельник фьючерсные контракты подешевели на 0,4%.февральские фьючерсы торговались в районе $2 633, с повышением в пределах 0,2%, тогда как спотовая цена находилась на отметке $2 618, в плюсе на 0,22%. В понедельник фьючерсные контракты подешевели на 0,4%. 
Инвесторы переваривают последние данные по потребительскому доверию в США, которое неожиданно упало в декабре из-за опасений по поводу экономики на фоне неопределенности, связанной с будущей политикой й администрации Трампа.потребительскому доверию в США, которое неожиданно упало в декабре из-за опасений по поводу экономики на фоне неопределенности, связанной с будущей политикой й администрации Трампа. 
В целом золото выглядит стабильно в условиях тонких праздничных торгов — католический мир готовится к празднованию Рождества. Однако крепкий доллар по-прежнему сдерживает порывы быков по золоту, сказал Пранав Мер, аналитик JM Financial Services Ltd. в Мумбаи.золото выглядит стабильно в условиях тонких праздничных торгов — католический мир готовится к празднованию Рождества. Однако крепкий доллар по-прежнему сдерживает порывы быков по золоту, сказал Пранав Мер, аналитик JM Financial Services Ltd. в Мумбаи. 
Ранее в этом месяце ФРС сократила количество ожидаемых снижений ставок в 2025 году, поскольку Пауэлл ясно дал понять, что центральному банку необходимо увидеть дальнейшее ослабление ценового давления. Снижение стоимости заимствований, как правило, положительно сказывается на низкодоходном драгоценном металле.
Золото достигло рекордных уровней ранее в этом году, завершая его в плюсе на 25%. Цены выросли благодаря смягчению денежно-кредитной политики США, спросу на безопасные активы и покупкам со стороны центральных банков. Однак ралли недавно замедлилось из-за укрепления доллара после победы Трампа на выборах.укрепления доллара после победы Трампа на выборах. 
Палладий и серебро также выросли во вторник, а платина упала.Палладий и серебро также выросли во вторник, а платина упала.","24.12.2024, 11:38",https://ru.investing.com/news/commodities-news/article-2608556
Золото не решается на рост из-за крепкого доллара,"© Reuters
Investing.com — Золото торгуется под умеренным давлением в узком диапазоне, поскольку трейдеры продолжают оценивать обновленные прогнозы ФРС по ставке после того, как ключевой для ЦБ инфляционный индикатор оказался ниже ожиданий в ноябре, пишет Yahoo.Yahoo. 
К 14:00 мск. фьючерсы снижались на 0,42% до $2 618 за унцию, тогда как спотовая цена торговалась с понижением в пределах 0,1%, в районе $2 618 после закрытия в плюсе на 1,1% в пятницу в ответ на публикацию основного индекса цен на личные расходы в США. Показатель отразил сдержанный рост, что стало шагом в правильном направлении для чиновников Федрезерва, которые стремятся к дальнейшему снижению процентных ставок в 2025 году.фьючерсы снижались на 0,42% до $2 618 за унцию, тогда как спотовая цена торговалась с понижением в пределах 0,1%, в районе $2 618 после закрытия в плюсе на 1,1% в пятницу в ответ на публикацию основного индекса цен на личные расходы в США. Показатель отразил сдержанный рост, что стало шагом в правильном направлении для чиновников Федрезерва, которые стремятся к дальнейшему снижению процентных ставок в 2025 году. 
В этом году драгоценный металл вырос более чем на четверть и достиг рекордных уровней благодаря смягчению политики в США, спросу на безопасные активы и покупкам со стороны мировых центральных банков. Тем не менее, после избрания Дональда Трампа ралли забуксовало на фоне роста доллара.
Индекс USD вернулся к росту после просадки в пятницу, прибавляя почти 0,5% и расположившись над уровнем 108,00 на момент написания материала.Индекс USD вернулся к росту после просадки в пятницу, прибавляя почти 0,5% и расположившись над уровнем 108,00 на момент написания материала. 
Платина, палладий и серебро показали рост в понедельник.Платина , палладий и серебро показали рост в понедельник.","23.12.2024, 14:08",https://ru.investing.com/news/commodities-news/article-2607831
"Рынок акций РФ закрылся ростом, Индекс МосБиржи (ММВБ) прибавил 0,40%","Рынок акций РФ закрылся ростом, Индекс МосБиржи (ММВБ) прибавил 0,40%
Investing.com – Фондовый рынок РФ завершил торги четверга ростом за счет укрепления секторов электроснабжения, телекоммуникаций и нефти и газа.электроснабжения , телекоммуникаций и нефти и газа . 
На момент закрытия на Московской фондовой бирже Индекс МосБиржи (ММВБ) поднялся на 0,40%.Индекс МосБиржи (ММВБ) поднялся на 0,40%. 
В лидерах роста среди компонентов индекса Индекс МосБиржи (ММВБ) по итогам сегодняшних торгов были акции РусГидро ПАО (MCX:HYDR), которые подорожали на 0,02 п. (4,08%), закрывшись на отметке в 0,46. Котировки НК Роснефть ПАО (MCX:ROSN) выросли на 18,45 п. (3,78%), завершив торги на уровне 506,15. Бумаги НОВАТЭК ПАО (MCX:NVTK) выросли в цене на 29,40 п. (3,75%), закрывшись на отметке 814,20.Индекс МосБиржи (ММВБ) по итогам сегодняшних торгов были акции РусГидро ПАО (MCX: HYDR ), которые подорожали на 0,02 п. (4,08%), закрывшись на отметке в 0,46. Котировки НК Роснефть ПАО (MCX: ROSN ) выросли на 18,45 п. (3,78%), завершив торги на уровне 506,15. Бумаги НОВАТЭК ПАО (MCX: NVTK ) выросли в цене на 29,40 п. (3,75%), закрывшись на отметке 814,20. 
Лидерами падения стали акции АДР Ozon Holdings PLC ORD SHS (MCX:OZONDR), цена которых упала на 96,00 п. (3,71%), завершив сессию на отметке 2.494,00. Акции Полюс ПАО (MCX:PLZL) поднялись на 481,50 п. (3,48%), закрывшись на уровне 13.338,50, а ЛУКОЙЛ ПАО (MCX:LKOH) снизились в цене на 81,00 п. (1,27%) и завершили торги на отметке 6.294,00.OZONDR ), цена которых упала на 96,00 п. (3,71%), завершив сессию на отметке 2.494,00. Акции Полюс ПАО (MCX: PLZL ) поднялись на 481,50 п. (3,48%), закрывшись на уровне 13.338,50, а ЛУКОЙЛ ПАО (MCX: LKOH ) снизились в цене на 81,00 п. (1,27%) и завершили торги на отметке 6.294,00. 
На Московской фондовой бирже количество подорожавших бумаг (157) превысило количество закрывшихся в минусе (86), а котировки 9 акций практически не изменились.
Котировки акций АДР Ozon Holdings PLC ORD SHS (MCX:OZONDR) упали до 52-недельного минимума, снизившись на 3,71%, 96,00 п., и завершили торги на отметке 2.494,00.OZONDR ) упали до 52-недельного минимума, снизившись на 3,71%, 96,00 п., и завершили торги на отметке 2.494,00. 
Индекс волатильности Индекс волатильности российского рынка, который формируется на основе показателей торговли опционами на Индекс МосБиржи (ММВБ), упал на 1,70% до отметки 43.82.Индекс волатильности российского рынка , который формируется на основе показателей торговли опционами на Индекс МосБиржи (ММВБ), упал на 1,70% до отметки 43.82. 
Фьючерс на фьючерс на золото с поставкой в феврале потерял 1,67%, или 44,39, достигнув отметки $2.608,91 за тройскую унцию. Что касается других товаров, цены на фьючерсы на нефть WTI с поставкой в январе снизились на 1,97%, или 1,39, до $69,19 за баррель. Фьючерсы на фьючерс на нефть Brent с поставкой в феврале подешевели на 1,06%, или 0,78, до отметки $72,61 за баррель.
Между тем на рынке Форекс пара USD/RUB снизилась на 1,12% до 103,50, а котировки EUR/RUB упали на 1,03%, достигнув отметки 107,24.
Фьючерс на индекс USD вырос на 0,38% до 108,16.","20.12.2024, 00:20",https://ru.investing.com/news/stock-market-news/article-2606007
