Title,Text,Time,Url
Совокупная прибыль Т-банка и Росбанка по РСБУ за 11 месяцев достигла 112 млрд,"© Reuters Совокупная прибыль Т-банка и Росбанка по РСБУ за 11 месяцев достигла 112 млрд
Frankmedia - Прибыль Т-банка по РСБУ за 11 месяцев 2024 года выросла на 41% год к году и достигла 58 млрд рублей. Прибыль РОСБАНКa (MCX:ROSB), который находится в стадии присоединения к Т-банку в форме филиала, за тот же период увеличилась на 83%, до 54 млрд рублей, следует из операционных показателей группы «Т-Технологии».ROSB ), который находится в стадии присоединения к Т-банку в форме филиала, за тот же период увеличилась на 83%, до 54 млрд рублей, следует из операционных показателей группы «Т-Технологии». 
Объем средств клиентов и активов под управлением на счетах в Т-Банке и Росбанке составил 5 трлн рублей, увеличившись на 25% год к году. Средства клиентов на счетах в двух банках в ноябре выросли чуть менее чем 1%, до 2,6 трлн рублей. С начала года рост составил 14%. Средства физических лиц в ноябре выросли на 3,5%, до 2,7 трлн рублей, юрлиц сократились на 6,3% — до 0,9 трлн руб. Снижение объема привлеченных средств юрлиц группа объясняет оптимизацией баланса Росбанка и его меньшей потребностью в ликвидных средствах в связи с перераспределением кредитных портфелей внутри холдинга.
Суммарный размер кредитного портфеля обоих банков составил 2,7 трлн рублей. С начала года совокупный портфель вырос на 8,2%, а за ноябрь портфель снизился на 1,2%. Изменения в структуре объединенного портфеля связаны с интеграцией Росбанка и перераспределением портфелей кредитов физическим лицам внутри группы, отмечается в сообщении.
Общий капитал Т-банка по РСБУ на конец ноября 2024 года составил 312 млрд рублей (рост в ноябре на 8,3%), а Росбанка — 206 млрд рублей (снижение в ноябре на 0,4%).
Общий объем покупок по картам вырос на 35% год к году, до 8,1 трлн рублей. Общее количество клиентов экосистемы «Т» выросло на 19% год к году и достигло 46,9 млн. Количество активных пользователей экосистемы выросло на 17% год к году и достигло 32 млн.
Читайте оригинальную статью на сайте Frankmedia","18.12.2024, 10:42",https://ru.investing.com/news/general/article-2603699
СПБ Биржа запустила торги 85 российскими акциями,"Investing.com — СПБ Биржа с 9 сентября запустила торги 85 бумагами российских эмитентов, включив их в некотировальную часть списка ценных бумаг. Об этом сообщается на сайте торговой площадки.СПБ Биржа с 9 сентября запустила торги 85 бумагами российских эмитентов, включив их в некотировальную часть списка ценных бумаг. Об этом сообщается на сайте торговой площадки. 
Среди допущенных к торгам бумаг акции «Абрау-Дюрсо», банка «Авангард», «СмартТехГрупп» (CarMoney), Globaltruck, «Славнефть-ЯНОС», «Россетей Ленэнерго», «Мосгорломбарда», РБК, Росбанка, «Таттелекома», банка «Уралсиб» и других.
До этого на бирже торговались около 60 бумаг российских эмитентов. Торги иностранными активами были остановлены после того, как СПБ Биржа подпала под блокирующие санкции США 2 ноября 2023 года.
С 8 августа СПБ Биржа проводит утренние торги акциями десяти российских компаний. Среди них обыкновенные акции АФК «Система» (MCX:AFKS), «Газпрома» (MCX:GAZP), ЛУКОЙЛа (MCX:LKOH), НОВАТЭКа (MCX:NVTK), «Полюса» (MCX:PLZL), Сбербанка (MCX:SBER), самой СПБ Биржи, «Татнефти», «Элемента», а также привилегированные акции «Сургутнефтегаза» (MCX:SNGS). Дополнительная сессия идет с 07:00 по 10:00 мск, она доступна для всех участников торгов.AFKS ), «Газпрома» (MCX: GAZP ), ЛУКОЙЛа (MCX: LKOH ), НОВАТЭКа (MCX: NVTK ), «Полюса» (MCX: PLZL ), Сбербанка (MCX: SBER ), самой СПБ Биржи, «Татнефти», «Элемента», а также привилегированные акции «Сургутнефтегаза» (MCX: SNGS ). Дополнительная сессия идет с 07:00 по 10:00 мск, она доступна для всех участников торгов.","09.09.2024, 13:20",https://ru.investing.com/news/stock-market-news/article-2500779
Возвращение X5 Retail Group к дивидендам: новости к утру 30 мая,"Investing.com — Глава X5 Retail Group дала ориентир по срокам возврата к дивидендам, а Илон Маск может стать консультантом Трампа в случае его победы на выборах в США — эти и другие важные новости к утру четверга, 30 мая, в нашем ежедневном обзоре.X5 Retail X5 Retail Group дала ориентир по срокам возврата к дивидендам, а Илон Маск может стать консультантом Трампа в случае его победы на выборах в США — эти и другие важные новости к утру четверга, 30 мая, в нашем ежедневном обзоре. 
X5 Group возобновит выплату дивидендов после завершения редомициляции. Об этом сообщила президент X5 Group Екатерина Лобачева в интервью РБК. По ее словам, это произойдет не раньше 2025 года. Сейчас компания находится на стадии «переезда» в Россию.X5 Group возобновит выплату дивидендов после завершения редомициляции. Об этом президент X5 Group Екатерина Лобачева в интервью РБК. По ее словам, это произойдет не раньше 2025 года. Сейчас компания находится на стадии «переезда» в Россию. 
Основатель Tesla и SpaceX Илон Маск может стать консультантом Дональда Трампа, если тот победит на президентских выборах в США в этом году, пишет The Wall Street Journal со ссылкой на осведомленные источники. Какой будет роль Маска, пока не решено, и сотрудничество в целом может не состояться, но стороны обсуждали, как предприниматель может получить формальную возможность влиять на миграционную политику и экономику.Tesla и SpaceX Илон Маск может стать консультантом Дональда Трампа, если тот победит на президентских выборах в США в этом году, The Wall Street Journal со ссылкой на осведомленные источники. Какой будет роль Маска, пока не решено, и сотрудничество в целом может не состояться, но стороны обсуждали, как предприниматель может получить формальную возможность влиять на миграционную политику и экономику. 
Президент России Владимир Путин подписал закон, согласно которому передача данных о клиентах между брокерами будет возможна в электронном формате. Документ опубликован на официальном портале правовой информации. Закон важен для реализации проекта, разработанного Национальным расчетным депозитарием (НРД) для быстрого перевода бумаг по аналогии с банковской СБП., согласно которому передача данных о клиентах между брокерами будет возможна в электронном формате. Документ опубликован на официальном портале правовой информации. Закон важен для реализации проекта, разработанного Национальным расчетным депозитарием (НРД) для быстрого перевода бумаг по аналогии с банковской СБП. 
Росбанк в рамках сделки по интеграции в состав «ТКС Холдинга» (материнская компания «Тинькофф (LON:TCSq)») оценен с мультипликатором в 1,05 его капитала за 2023 год по МСФО, говорится в сообщении группы. Капитал Росбанка на 31 декабря 2023 года по МСФО составлял 226,3 млрд рублей. Таким образом, сумма сделки может составить 237,6 млрд рублей. Одну обыкновенную акцию Росбанка для целей сделки совет директоров «ТКС Холдинг» оценил в 129,4 рубля.Росбанк в рамках сделки по интеграции в состав «ТКС Холдинга» (материнская компания «Тинькофф (LON: TCSq )») оценен с мультипликатором в 1,05 его капитала за 2023 год по МСФО, говорится в группы. Капитал Росбанка на 31 декабря 2023 года по МСФО составлял 226,3 млрд рублей. Таким образом, сумма сделки может составить 237,6 млрд рублей. Одну обыкновенную акцию Росбанка для целей сделки совет директоров «ТКС Холдинг» оценил в 129,4 рубля. 
Суд приговорил к 7,5 годам тюрьмы бывшего топ-менеджера обанкротившейся криптовалютной биржи FTX Райана Саламе, сообщает Bloomberg. Саламе был одним из самых близких помощников Бэнкмана-Фрида. Он присоединился к связанному с FTX фонду Alameda Research после того, как познакомился с Бэнкманом-Фридом на конференции по блокчейну в 2019 году.Bloomberg. Саламе был одним из самых близких помощников Бэнкмана-Фрида. Он присоединился к связанному с FTX фонду Alameda Research после того, как познакомился с Бэнкманом-Фридом на конференции по блокчейну в 2019 году. 
От редакции
Если вы ищете платформу, которая позволит вам с легкостью анализировать рыночные инструменты и отбирать именно те, которые подходят для вашего портфеля и вашего стиля инвестирования, как это делают наши авторы, предлагаем вам воспользоваться InvestingPro.. 
А мы дарим вам купон на дополнительную скидку 10% на годовую подписку: RUTRADERS4EVER.
Не забудьте ввести купон в специальное поле при оформлении и оплате подписки!! 
Читайте нас в Telegram и «ВКонтакте».и","30.05.2024, 09:42",https://ru.investing.com/news/economy/article-2427381
Механизм использования активов России для Украины: новости к утру 19 марта,"© Reuters.
Investing.com — ЕС разработал механизм использования активов России для Украины, а «Коммерсантъ» узнал о первых шагах команды «Тинькофф (LON:TCSq)» по интеграции с Росбанком — эти и другие важные новости к утру вторника, 19 марта, в нашем ежедневном обзоре.TCSq )» по интеграции с Росбанком — эти и другие важные новости к утру вторника, 19 марта, в нашем ежедневном обзоре. 
Европейский союз подготовил законопроекты, которые позволят Украине в июле начать получать прибыль от замороженных российских суверенных активов, передает Bloomberg со ссылкой на документы, принятие которых потребует одобрения всех членов ЕС. Они предусматривают введение налога с прибыли, полученной от замороженных активов ЦБ России, и использование около €3 млрд таких сборов в год для финансирования поставок оружия Украине и поддержки ее ОПК.Bloomberg со ссылкой на документы, принятие которых потребует одобрения всех членов ЕС. Они предусматривают введение налога с прибыли, полученной от замороженных активов ЦБ России, и использование около €3 млрд таких сборов в год для финансирования поставок оружия Украине и поддержки ее ОПК. 
Команда Тинькофф Банка «возглавила процесс интеграции» Росбанка в периметр «ТКС Холдинга», пишет «Коммерсантъ» со ссылкой на источники на финансовом рынке. Ключевую роль в интеграционном процессе будет играть глава Тинькофф Банка Станислав Близнюк, отметили два собеседника газеты. В самих банках утверждают, что «информация не соответствует действительности», не уточняя в какой части.Тинькофф Банка «возглавила процесс интеграции» Росбанка в периметр «ТКС Холдинга», «Коммерсантъ» со ссылкой на источники на финансовом рынке. Ключевую роль в интеграционном процессе будет играть глава Тинькофф Банка Станислав Близнюк, отметили два собеседника газеты. В самих банках утверждают, что «информация не соответствует действительности», не уточняя в какой части. 
Китай может довести закупки российской нефти в марте до рекордных 1,7 млн баррелей в день за счет приобретения сырья премиальных сортов Sokol и ESPO, от покупки которого отказывается Индия из-за опасения санкций США, сообщил Bloomberg со ссылкой на Kpler.Bloomberg со ссылкой на Kpler. 
Telegram выпустил облигации на сумму $330 млн. Об этом в своем канале сообщил создатель мессенджера Павел Дуров. «На прошлой неделе мы выпустили облигации на сумму $330 млн, чтобы обеспечить ускоренное развитие Telegram. Размещение облигаций прошло с переизбытком заявок, и мы были рады, что в нем приняли участие глобальные фонды высочайшего уровня с безупречной репутацией», — написал миллиардер.создатель мессенджера Павел Дуров. «На прошлой неделе мы выпустили облигации на сумму $330 млн, чтобы обеспечить ускоренное развитие Telegram. Размещение облигаций прошло с переизбытком заявок, и мы были рады, что в нем приняли участие глобальные фонды высочайшего уровня с безупречной репутацией», — написал миллиардер. 
Совет директоров ПАО «МГКЛ» (материнская компания группы «Мосгорломбард») утвердил критерии конвертации привилегированных акций в обычные на заседании 15 марта, говорится в пресс-релизе МГКЛ, который есть в распоряжении Forbes. МГКЛ разместит 274,3 млн дополнительных обыкновенных акций. Номинальная стоимость каждой акции составит 0,01 рубля. Каждая привилегированная акция будет конвертирована в обыкновенную в пропорции один к одному. Привилегированные акции при их конвертации в обыкновенные будут погашаться.ПАО «МГКЛ» (материнская компания группы «Мосгорломбард») утвердил критерии конвертации привилегированных акций в обычные на заседании 15 марта, говорится в пресс-релизе МГКЛ, который есть в распоряжении Forbes. МГКЛ разместит 274,3 млн дополнительных обыкновенных акций. Номинальная стоимость каждой акции составит 0,01 рубля. Каждая привилегированная акция будет конвертирована в обыкновенную в пропорции один к одному. Привилегированные акции при их конвертации в обыкновенные будут погашаться. 
От редакции
Если вы ищете платформу, которая позволит вам с легкостью анализировать рыночные инструменты и отбирать именно те, которые подходят для вашего портфеля и вашего стиля инвестирования, как это делают наши авторы, предлагаем вам воспользоваться InvestingPro.. 
А мы дарим вам купон на дополнительную скидку 10% на двухгодовую подписку: RUTRADERS4EVER.
Не забудьте ввести купон в специальное поле при оформлении и оплате подписки!! 
Читайте нас в Telegram и «ВКонтакте».и","19.03.2024, 09:42",https://ru.investing.com/news/economy/article-2387405
«Тинькофф» объявил о планах объединения с Росбанком,"© Reuters
Investing.com — Совет директоров «Тинькофф (LON:TCSq)» предложит акционерам рассмотреть интеграцию в его структуру Росбанка. Об этом сообщил председатель совета директоров «Тинькофф» Алексей Малиновский, пишет РБК со ссылкой на сообщение компании. Совет «планирует инициировать внеочередное собрание акционеров, на котором вынесет на голосование вопрос об интеграции ПАО «Росбанк» в состав МКПАО «ТКС Холдинг».TCSq )» предложит акционерам рассмотреть интеграцию в его структуру Росбанка . Об этом сообщил председатель совета директоров «Тинькофф» Алексей Малиновский, РБК со ссылкой на сообщение компании. Совет «планирует инициировать внеочередное собрание акционеров, на котором вынесет на голосование вопрос об интеграции ПАО «Росбанк» в состав МКПАО «ТКС Холдинг». 
«Принимая во внимание взаимодополняемость бизнес-моделей и возможные синергии за счет реализации эффекта масштаба, совет директоров МКПАО „ТКС Холдинг“ планирует предложить акционерам рассмотреть интеграцию ПАО „Росбанк“ в группу „ТКС Холдинг“, что позволит значительно усилить позиции группы на финансовом рынке», — сказал Малиновский.
«После объединения группа станет топ-5 участников финансового рынка по балансу средств населения, топ-4 игроков по размеру кредитного портфеля, войдет в топ-5 участников рынка по общему капиталу банковской группы, что позволит стимулировать опережающий рост бизнеса, сохранить высокую доходность на капитал и максимизировать акционерную стоимость «Тинькофф», — добавил он.
«Принимая во внимание взаимодополняемость бизнес-моделей и возможные синергии за счет реализации эффекта масштаба, совет директоров МКПАО „ТКС Холдинг“ планирует предложить акционерам рассмотреть интеграцию ПАО „Росбанк“ в группу „ТКС Холдинг“, что позволит значительно усилить позиции группы на финансовом рынке», — сказал Малиновский.
«После объединения группа станет топ-5 участников финансового рынка по балансу средств населения, топ-4 игроков по размеру кредитного портфеля, войдет в топ-5 участников рынка по общему капиталу банковской группы, что позволит стимулировать опережающий рост бизнеса, сохранить высокую доходность на капитал и максимизировать акционерную стоимость «Тинькофф», — добавил он.
От редакции
Если вы ищете платформу, которая позволит вам с легкостью анализировать рыночные инструменты и отбирать именно те, которые подходят для вашего портфеля и вашего стиля инвестирования, как это делают наши авторы, предлагаем вам воспользоваться InvestingPro.. 
А мы дарим вам купон на дополнительную скидку 10% на двухгодовую подписку: RUTRADERS4EVER.
Не забудьте ввести купон в специальное поле при оформлении и оплате подписки!! 
Читайте нас в Telegram и «ВКонтакте».и","14.03.2024, 16:40",https://ru.investing.com/news/personal-finance-news/article-2385647
Котировки Росбанка выросли на одобрении выкупа акций у Societe Generale,"© Reuters.
Investing.com — Акции АКБ Росбанка подорожали на 14,19%, до 107,8 руб. за бумагу, в начале торгов Московской биржи. Накануне президент Владимир Путин разрешил Росбанку выкупить акции французской финансовой группы Societe Generale (EPA:SOGN) в ВТБ (MCX:VTBR), «Россетях», «РусГидро (MCX:HYDR)», «Интер РАО (MCX:IRAO)», «Газпроме (MCX:GAZP)», «Сургутнефтегазе (MCX:SNGS)», АЛРОСА (MCX:ALRS) и других компаниях.Росбанка подорожали на 14,19%, до 107,8 руб. за бумагу, в начале торгов Московской биржи. Накануне президент Владимир Путин разрешил Росбанку выкупить акции французской финансовой группы Societe Generale Societe Generale (EPA: SOGN ) в ВТБ (MCX: VTBR ), «Россетях», «РусГидро (MCX: HYDR )», «Интер РАО (MCX: IRAO )», «Газпроме (MCX: GAZP )», «Сургутнефтегазе (MCX: SNGS )», АЛРОСА (MCX: ALRS ) и других компаниях. 
Речь идет о покупке миноритарных пакетов акций 24 публичных компаний. Каждый по отдельности пакет небольшой — например, 0,01% ВТБ и 0,04% «Газпрома». Решение было принято в соответствии с указом Путина от 5 августа 2022 года, который ограничивает продажу российских активов иностранцам из недружественных государств, пишет РБК.РБК. 
По текущей рыночной цене российские бумаги, принадлежащие Societe Generale, оцениваются в 7,3 млрд руб. Информации о цене сделки нет, но можно предположить, что выкуп у иностранных держателей должен происходить с дисконтом как минимум в 50%, рассказали в «БКС Мир инвестиций». По оценкам экспертов, выгода Росбанка от покупки бумаг может быть более 3,65 млрд руб. Это 2,5% от текущей рыночной капитализации банка.
От редакции
Если вы ищете платформу, которая позволит вам с легкостью анализировать рыночные инструменты и отбирать именно те, которые подходят для вашего портфеля и вашего стиля инвестирования, как это делают наши авторы, предлагаем вам воспользоваться InvestingPro.. 
А мы дарим вам купон на дополнительную скидку 37% на двухгодовую подписку: RUTRADERS4EVER.
Не забудьте ввести купон в специальное поле при оформлении и оплате подписки!! 
Читайте нас в Telegram и «ВКонтакте».и","25.12.2023, 11:19",https://ru.investing.com/news/stock-market-news/article-2341595
Единая позиция ЦБ и Минфина по криптовалютам: новости крипторынка,"Investing.com — ЦБ и Минфин договорились о едином подходе к использованию криптовалют, а в JPMorgan усомнились в дальнейшем росте криптовалютного рынка — эти и другие важные новости криптовалютного рынка в нашем обзоре.
Центральный банк и Министерство финансов России согласовали позиции по вопросу криптовалют, в том числе касательно их использования в эксперименте по трансграничным расчетам. Об этом заявила глава Банка России Эльвира Набиуллина, передает РБК. «У нас с Минфином по криптовалюте было много споров, но на эту тему мы, мне кажется, договорились. Здесь не должно быть вопросов с нашей стороны», — заявила она.РБК. «У нас с Минфином по криптовалюте было много споров, но на эту тему мы, мне кажется, договорились. Здесь не должно быть вопросов с нашей стороны», — заявила она. 
Аналитики банка JPMorgan высказали сомнения относительно устойчивости недавнего роста цен на криптовалюты, передает The Block со ссылкой на представителей компании. По мнению аналитиков, текущее ралли на рынке криптовалют «выглядит переоцененным».JPMorgan высказали сомнения относительно устойчивости недавнего роста цен на криптовалюты, The Block со ссылкой на представителей компании. По мнению аналитиков, текущее ралли на рынке криптовалют «выглядит переоцененным». 
Комиссия по ценным бумагам и биржам США (SEC) начала переговоры с Grayscale Investments о деталях заявки компании на конвертацию GBTC с биткоин-траста в спотовый биткоин-ETF, передает издание CoinDesk со ссылкой на свои источники.издание CoinDesk со ссылкой на свои источники. 
Курс Ethereum (ETH) за сутки вырос более чем на 5% и на момент публикации статьи торгуется выше отметки $2000 в паре к стейблкоину Tether USD (USDT) на криптовалютной бирже Binance. В течение дня цена второй по капитализации криптовалюты росла на фоне дорожающего биткоина и остального рынка, однако к вечеру ускорила движение благодаря сообщениям о возможном появлении заявки на Ethereum-ETF от инвестиционной компании BlackRock. Аналитик рынка ETF в Bloomberg Эрик Балчунас подтвердил эту новость.Ethereum (ETH) за сутки вырос более чем на 5% и на момент публикации статьи торгуется выше отметки $2000 в паре к стейблкоину Tether USD (USDT) на криптовалютной бирже Binance. В течение дня цена второй по капитализации криптовалюты росла на фоне дорожающего биткоина и остального рынка, однако к вечеру ускорила движение благодаря сообщениям о возможном появлении заявки на Ethereum-ETF от инвестиционной компании BlackRock. Аналитик рынка ETF в Bloomberg Эрик Балчунас эту новость. 
Росбанк разместил на площадке «Атомайз» первые гибридные цифровые права на золото, которые позволяют при погашении получить либо деньги, либо слитки, сообщает «Коммерсантъ». Объем выпуска ЦФА равен эквиваленту 30 г золота и оценивается в 170 000 руб. При этом весь выпуск был выкуплен одним инвестором. При погашении подобного ЦФА можно получить либо золото в слитках, либо его денежный эквивалент.Росбанк разместил на площадке «Атомайз» первые гибридные цифровые права на золото , которые позволяют при погашении получить либо деньги, либо слитки, «Коммерсантъ». Объем выпуска ЦФА равен эквиваленту 30 г золота и оценивается в 170 000 руб. При этом весь выпуск был выкуплен одним инвестором. При погашении подобного ЦФА можно получить либо золото в слитках, либо его денежный эквивалент. 
Читайте нас в Telegram и «ВКонтакте».и","09.11.2023, 19:14",https://ru.investing.com/news/cryptocurrency-news/article-2318964
Индекс Мосбиржи вырос до максимума с февраля 2022 года,"© Reuters.
Investing.com — Индекс Мосбиржи, один из основных российских фондовых индикаторов, преодолел отметку в 3230 пунктов, обновив максимум с февраля 2022 года, следует из данных биржи. На максимуме в ходе торгов он достигал 3234,68 пункта при росте на 0,68%.Мосбиржи , один из основных российских фондовых индикаторов, преодолел отметку в 3230 пунктов, обновив максимум с февраля 2022 года, следует из данных биржи. На максимуме в ходе торгов он достигал 3234,68 пункта при росте на 0,68%. 
Долларовый индекс РТС рос на 0,12%, до 1053,35 пункта.РТС рос на 0,12%, до 1053,35 пункта. 
Среди лидеров роста были бумаги электроэнергетического, горнодобывающего и финансового секторов. Акции компании «Россети Юг» в моменте росли на 30,3%, «Россети Северо-Запад» — на 17,6%, «Россети Сибирь» — на 14%, «Русолово» — на 14%. Повышенным спросом пользовались акции ВТБ (к 13:20 МСК они росли на 2,81%), Росбанка (плюс 1,52%), «Магнита» (плюс 1,97%).«Россети Юг» в моменте росли на 30,3%, «Россети Северо-Запад» — на 17,6%, «Россети Сибирь» — на 14%, «Русолово» — на 14%. Повышенным спросом пользовались акции ВТБ (к 13:20 МСК они росли на 2,81%), Росбанка (плюс 1,52%), «Магнита» (плюс 1,97%). 
Среди аутсайдеров были ОАК (минус 11,2%), НПО «Наука» (минус 6,1%), «ЮТэйр» (минус 5,8%), Globaltruck (минус 5,8%).ОАК (минус 11,2%), НПО «Наука» (минус 6,1%), «ЮТэйр» (минус 5,8%), Globaltruck (минус 5,8%). 
Читайте нас в Telegram и «ВКонтакте».и 
Текст подготовил Тимур Алиев","31.08.2023, 15:03",https://ru.investing.com/news/stock-market-news/article-2288261
Крупнейшие российские банки перестали принимать валюту через банкоматы,"© Reuters
Investing.com — В России большинство системно значимых банков перестали принимать через банкоматы доллары и евро, пишут «Известия». В частности, у 11 из 13 системно значимых банков нет опции внесения иностранной валюты:евро , «Известия». В частности, у 11 из 13 системно значимых банков нет опции внесения иностранной валюты: 
Функция внесения долларов и евро через банкомат осталась у «Альфа-Банка» (нет комиссии) и {{1153662|«Тинькофф (LON:TCSq)»}} (комиссия в 5%).TCSq )»}} (комиссия в 5%). 
Из числа топ-30 банков не принимают иностранную валюту в «Почта Банке», УБРиР, РНКБ.
Эксперты связывают тенденцию с санкциями, отключением ряда банков от системы SWIFT и общим падением спроса населения на эту услугу.
Читайте нас в Telegram и «ВКонтакте».и 
Текст подготовил Тимур Алиев","25.07.2023, 10:35",https://ru.investing.com/news/personal-finance-news/article-2276828
Альфа-банк и Тинькофф решили обжаловать санкции Евросоюза в суде,"Investing.com — Альфа-банк и Тинькофф Банк (LON:TCSq) обратились в суд с целью оспорить введение Евросоюзом санкций против них, следует из европейской базы судебных дел. Дело Альфа-банка получило номер T-271/23, дело Тинькофф Банка — номер T-275/23. На страницах дел не указана никакая дополнительная информация. На появление дел в базе обратил внимание Telegram-канал The Sanctions Law.TCSq ) обратились в суд с целью оспорить введение Евросоюзом санкций против них, следует из европейской базы судебных дел. Дело Альфа-банка получило номер T-271/23, дело Тинькофф Банка — номер T-275/23. На страницах дел не указана никакая дополнительная информация. На появление дел в базе внимание Telegram-канал The Sanctions Law. 
Накануне стало известно, что иск к Евросоюзу подал также Росбанк, который попал под санкции ЕС вместе с Альфа-банком и Тинькофф Банком. Дело Росбанка получило номер T-270/23.
Тинькофф Банк отказался от комментариев, пишет Forbes. Депозитарные расписки TCS Group, головной компании Тинькофф Банка, по состоянию на 13:30 МСК росли на 2,53%, до 3219 рублей.Forbes. Депозитарные расписки TCS Group , головной компании Тинькофф Банка, по состоянию на 13:30 МСК росли на 2,53%, до 3219 рублей. 
Следите за нашими новостями в социальных сетях: Telegram, «ВКонтакте» и «Одноклассниках».
Текст подготовил Тимур Алиев","24.05.2023, 16:59",https://ru.investing.com/news/personal-finance-news/article-2258087
