Title,Text,Time,Url
"Сбер, Т-банк и Альфа создали оператора для своего консорциума","© Reuters «Сбер», Т-банк и «Альфа» создали оператора для своего консорциума
Frankmedia - Банки-партнеры по консорциуму зарегистрировали оператора для своего платежного консорциума, следует из данных СПАРК. 10 января Т-банк, Альфа-банк и ООО «Цифровые активы», которое зарегистрировано по адресу бывшего головного офиса Сбербанка (MCX:SBER) на улице Вавилова 19, втроем учредили ООО «Финтех-платформа». Доли участников, согласно материалам, распределены таким образом: по 27,5% у «Т» и «Альфы», а оставшиеся — 45% — у ООО «Цифровы активы». У компании нет контролирующего участника. Её профиль — обработка данных, IT, консультационные и рекламные услуги и пр.SBER ) на улице Вавилова 19, втроем учредили ООО «Финтех-платформа». Доли участников, согласно материалам, распределены таким образом: по 27,5% у «Т» и «Альфы», а оставшиеся — 45% — у ООО «Цифровы активы». У компании нет контролирующего участника. Её профиль — обработка данных, IT, консультационные и рекламные услуги и пр. 
В 2024 году платежный рынок в России разделился на два лагеря: Центробанка, продвигающего единый QR-код Системы быстрых платежей (СБП) и Сбербанка, к чьей системе MultiQR уже были подключены Альфа-банк, Т-банк и Совкомбанк, которые делают альтернативное решение.
В июне 2024 года в обзоре «Цифровизация платежей и внедрение инноваций на платежном рынке» регулятор указал, что QR-кодом должен управлять «равноудаленный оператор», чтобы «исключить зависимость участников рынка от крупнейших игроков и тем самым содействовать поддержанию конкурентной среды». Тогда ЦБ назвал кандидатом на роль оператора подконтрольную ему НСПК. Банки с этим не согласились, предлагая структуру, образованную самими участниками рынка. Представители Т-банка тогда говорили, что для внедрения единого QR-кода требуются единые правила игры для участников рынка, на практике же такое могут сделать только банки.
Летом зампред Сбербанка Кирилл Царёв в интервью Frank Media рассказывал, что Сбербанк готов отдать контроль над оператором, управляющим универсальным QR-кодом всего рынка, в руки неподконтрольного лица. По его словам, главный вопрос заключался не в контроле, “а в сохранении возможности развития и создания инновационных решений”. Фактически тогда же “Сбер”, Альфа-банк и Т-банк объединились в консорциум для создания единого QR-кода. Предполагалось, что все транзакции будут обрабатываться через расчетный банк консорциума, но кто им выступит не уточнялось. Позже стало известно, что им выступил бы сам “Сбер”.
Читайте оригинальную статью на сайте Frankmedia","13.01.2025, 11:40",https://ru.investing.com/news/general/article-2619710
США усиливают давление на Россию масштабными санкциями в энергетическом секторе - Bloomberg,"США усиливают давление на Россию масштабными санкциями в энергетическом секторе - Bloomberg
Эта статья была переведена с помощью искусственного интеллекта. Для получения дополнительной информации, пожалуйста, ознакомьтесь с нашими Условиями использования.","10.01.2025, 18:26",https://ru.investing.com/news/assorted/article-432SI-2619137
Сбербанк обошел «Роснефть» и стал самой дорогой компанией России,"© Reuters
Investing.com — Сбербанк обошел «Роснефть» по капитализации на Мосбирже, пишет РБК со ссылкой на данные торгов.Сбербанк обошел «Роснефть» по капитализации на Мосбирже, РБК со ссылкой на данные торгов. 
По состоянию на 12:42 мск 10 января совокупная стоимость бумаг «Сбера» составляла 6,14 трлн руб., а стоимость всех акций «Роснефти» на этот момент была равна 5,823 трлн руб.
В ходе утренних торгов бумаги «Роснефти» упали в связи с тем, что первый день торгуются без промежуточных дивидендов за девять месяцев 2024 года. В моменте просадка превышала 6,2%, но впоследствии большая часть потерь была отыграна. К 15:31 мск. акции торговались с понижением на 1,6%, в районе 565 руб. за бумагу.
В прошлом месяце «Роснефть» обогнала Сбербанк по капитализации и стала самой дорогой компанией России.","10.01.2025, 15:34",https://ru.investing.com/news/general-news/article-2618765
ЦБ предложил облегчить нормативы банкам с базовой лицензией,"© Reuters. ЦБ предложил облегчить нормативы банкам с базовой лицензией
Frankmedia - ЦБ собирается ввести послабления в отношении обязательных нормативов банков с базовой лицензией (ББЛ), пишет «Коммерсантъ» со ссылкой на проект инструкции регулятора. Новеллы дадут банкам возможность выбирать, как рассчитывать нормативы достаточности капитала — на основе стандартных подходов или на основе внутренних рейтингов. В частности, новшества коснутся работы кредитных организаций с МСП, субъектами РФ, участия в проектах, связанных с технологическим суверенитетом.
Банки с ББЛ, в отличие от банков с универсальной лицензией (БУЛ), сдают меньше отчетности, их уставный капитал не превышает 1 млрд рублей. Однако для них действуют более жесткие ограничения по ведению бизнеса: им запрещено приобретать права требования к иностранным лицам, например, кредиты, выданные иностранцам, проводить лизинговые операции, выдавать поручительства и банковские гарантии.
Регулятор заинтересован в развитии небольших банков, отмечают эксперты, опрошенные «Коммерсантом». По словам управляющего директора рейтингов финансовых институтов рейтинговой службы НРА Константина Бородулина, после 2022 года «именно небольшие банки показали достаточную устойчивость к санкционному давлению», что нашло отражение в разрешении для них «открывать корреспондентские счета в банках-нерезидентах».
Новеллы, подготовленные ЦБ, должны позитивно отразиться на финансовых показателях банков с ББЛ. Как отмечает аналитик рейтингового агентства НКР Софья Остапенко, предлагаемые изменения могут частично снизить нагрузку на капитал, улучшить диверсификацию их бизнеса, а также расширить возможности по масштабированию деятельности, особенно в сегменте МСП.
По данным Банка России, на 1 октября 2024 года насчитывалось 220 банков с универсальной лицензией и 96 банков с базовой. Объем активов ББЛ составлял всего 358 млрд рублей — это 0,2% от суммарных активов банковской системы.
Читайте оригинальную статью на сайте Frankmedia","10.01.2025, 08:10",https://ru.investing.com/news/general/article-2618234
Кто смог дать верный прогноз для непредсказуемого 2024 года,"Кто смог дать верный прогноз для непредсказуемого 2024 года
В течение 2024 года как российские, так и иностранные банки, регуляторы и чиновники размышляли над тем, чем же закончится этот год для российской экономики. Цифры роста ВВП, уровень ключевой ставки и доходы населения с безработицей не смог предугадать никто. Практически всем пришлось сильно корректировать свои расчеты и допущения. Frank Media собрал все прогнозы, чтобы понять, кто же точнее всего смог спрогнозировать исход года.
Одним из ключевых показателей для страны является показатель роста валового внутреннего продукта по итогам года.
Так, согласно последнему макроэкономическому опросу Банка России, который был опубликован 11 декабря, аналитики ожидали, что в текущем году ВВП России вырастет на 3,8%. При этом сам Центробанк в конце октября публиковал свой прогноз, из которого следовало, что регулятор ожидает роста ВВП на 3,5-4% по итогам года.
Минэкономразвития в сентябре предполагал, что рост ВВП страны в конце 2024 года будет составлять 3,9%. Солидарна с российским ведомством была и организация экономического сотрудничества и развития (ОЭСР), которая в декабре повысила прогноз по росту ВВП России с 3,7% до 3,9%.
Менее оптимистичный прогноз по этому показателю в конце октябре публиковал Международный валютный фонд (МВФ), который прогнозировал рост ВВП на уровне 3,6%. Еще хуже прогноз давала Европейская комиссия. Так, в середине ноября ЕК прогнозировала, что текущий год может завершиться тем, что ВВП вырастет только на 3,5%.
Меньше всего в рост экономики России верил Всемирный банк, который прогнозировал рост этого показателя по итогам года только на 3,2%.
Крупнейшие банки страны Сбербанк и ВТБ (MCX:VTBR) по вопросу роста ВВП за 2024 год сошлись в своих прогнозах – 3,8% каждый.VTBR ) по вопросу роста ВВП за 2024 год сошлись в своих прогнозах – 3,8% каждый. 
Такой же уровень прогнозировал и Центр макроэкономического анализа и краткосрочного прогнозирования (ЦМАКП) – 3,7-3,8%. Однако стоит отметить, что в феврале организация ожидала, что ВВП России к концу годы вырастет только на 1,7-2%.
В течение года существенно вырос и прогнозный диапазон ЦМАКП по инфляции. Так, в феврале текущего года экономисты ждали, что к концу года инфляция будет составлять 4-4,3%, в декабре прогноз организации вырос до 10,15 – 10,25%.
Близкие к этому уровню были ожидания и у аналитиков, опрошенных Банком России, — 9,2%. При этом сам регулятор ожидал, что к концу года инфляция будет находиться в диапазоне 8-8,5%.
На уровне 8,5% ожидал инфляцию и ВТБ. При этом ОЭСР была немного оптимистичней и ожидала, что инфляция в России достигнет значения 8,2%. А Еврокомиссия пошла чуть дальше и прогнозировала инфляцию на уровне 8,1%.
Главным оптимистом по уровню инфляции стал Минэкономразвития, который ожидал её на уровне 7,3%, а также Сбербанк, прогнозировавший, что рост индекса потребительских цен (ИПЦ) по итогам года составит 6,5 – 7,5%.
Однако годовая инфляция превысила 9% уже в период с 26 ноября по 2 декабря. После этого момента ниже она пока не опускалась. В последнюю неделю года Минэкономразвития опубликовал обзор, согласно которому годовая инфляция составила 9,7%.
Прогноз по ключевой ставке в 2024 году был особенно любимым развлечением аналитиков и экономистов. Аналитики, опрошенные ЦБ, предполагали в декабре, что на конец 2024 года ключевая ставка составит 21,5%. А медианный прогноз составлял 17,5%. При этом публично обсуждались совсем другие прогнозы.
Худшего исхода по ключевой ставке ждал ВТБ, который прогнозировал, что она в конце года будет на уровне 23%. Руководство Сбербанка (MCX:SBER) склонялось к такому же уровню.SBER ) склонялось к такому же уровню. 
В декабре из 48 экспертов, которые были опрошены авторами телеграм-канала «Холодный расчет», ключевую ставку на уровне 21% смог предсказать только шведский банк SEB. При этом 70% из опрошенных ожидали, что ставка будет повышена до 23%. ЦБ объяснял свое решение тем, что произошло более существенное ужесточение денежно-кредитных условий (ДКУ), даже существеннее, чем предполагало октябрьское решение по ключевой ставке. Этому способствовали автономные от денежно-кредитной политики (ДКП) факторы.
На пресс-конференции по решению по ключевой ставке председательница Банка России Эльвира Набиуллина, отвечая на вопрос о нарушении в коммуникации с рынком, заявила, что ""это действительно проблема"" и регулятор будет рассматривать возможные решения по улучшению этой ситуации. ""Мы принимаем решение исходя из нашей оценки ситуации и нашего прогноза. И в оценке этой ситуации мы в последнее время достаточно активно взаимодействовали и с банками, и реальным сектором экономики для того, чтобы понимать, что происходит в экономике. С точки зрения коммуникации мы будем смотреть, что здесь можно будет еще улучшить. Это действительно проблема коммуникации в наших решениях очень важна. Поэтому мы сейчас объясняем логику наших движений"", - отмечала Набиуллина.
Читайте оригинальную статью на сайте Frankmedia","29.12.2024, 11:08",https://ru.investing.com/news/general/article-2610331
Сбербанк и Т-банк присоединились к пилоту цифрового рубля,"© Reuters. Сбербанк и Т-банк присоединились к пилоту цифрового рубля
Frankmedia - К пилотному проекту по цифровому рублю с реальными клиентами подключились еще два крупных банка – Сбербанк (MCX:SBER) и Т-банк, следует из данных Банка России. Первыми на обновления обратили РБК.SBER ) и Т-банк, следует из данных Банка России. Первыми на обновления обратили РБК. 
Банки подключились к проекту спустя почти полтора года после старта этого этапа внедрения цифровой национальной валюты. Теперь ограниченный круг их клиентов смогут совершать переводы и платежи с помощью цифровой формы национальной валюты
Банк России начал пилотировать технологию цифрового рубля с реальными деньгами на ограниченном круге клиентов с 15 августа 2023 года. В тестировании участвовали 12 банков (ВТБ (MCX:VTBR), Альфа-банк, Промсвязьбанк, Совкомбанк, Россельхозбанк, Газпромбанк, МТС-банк, Транскапиталбанк, банк «Дом.РФ», «Синара», «Ингосстрах», «Ак Барс»), еще 23 игрока находились в стадии подключения к пилоту, в том числе, «Сбер» и Т-банк.VTBR ), Альфа-банк, Промсвязьбанк, Совкомбанк, Россельхозбанк, Газпромбанк, МТС-банк, Транскапиталбанк, банк «Дом.РФ», «Синара», «Ингосстрах», «Ак Барс»), еще 23 игрока находились в стадии подключения к пилоту, в том числе, «Сбер» и Т-банк. 
С 1 сентября 2024 года ЦБ запустил новый этап тестирования операций с реальными цифровыми рублями. Если раньше в нем принимали участие около 600 человек и 22 компании, то с расширением параметров появится возможность подключить уже до 9 тысяч человек и 1,2 тысячи компаний.
Закон о внедрении цифрового рубля в качестве третьей формы национальной валюты наравне с наличной и безналичной начал свою работу с 1 августа 2023 года. Массовое использование цифрового рубля запланировано на вторую половину 2025 года, для этого до 1 июля все крупнейшие российские банки должны будут подготовить свою инфраструктуру.
Цифровой рубль — это цифровая форма российской национальной валюты, которую Банк России планирует выпускать в дополнение к существующим формам денег. Идею создать свою цифровую валюту (ЦВЦБ) российский Центробанк оформил в 2020 году, выпустив сначала доклад для общественных консультаций, а затем на его основе и концепцию цифрового рубля. Одной из задач цифрового рубля является сотрудничество со странами, которые также будут запускать национальную цифровую валюту, в частности с государствами ЕАЭС и СНГ.
Читайте оригинальную статью на сайте Frankmedia","28.12.2024, 13:35",https://ru.investing.com/news/general/article-2610242
Сбер запустил цифровые финансовые активы на дизельное топливо и бензин,"Сбер запустил цифровые финансовые активы на дизельное топливо и бензин
Happycoin.club - Сбер представил в России цифровые финансовые активы (ЦФА) на бензин и дизельное топливо на собственной платформе «Цифровые активы». Эти продукты будут доступны исключительно квалифицированным инвесторам.
Как указали представители Сбера (MCX:SBER), цифровые финансовые активы на бензин и дизельное топливо индексные. Их котировки определяются с учётом торгов на Санкт-Петербургской международной товарно-сырьевой бирже (СПбМТСБ).SBER ), цифровые финансовые активы на бензин и дизельное топливо индексные. Их котировки определяются с учётом торгов на Санкт-Петербургской международной товарно-сырьевой бирже (СПбМТСБ). 
Стоимость одного цифрового финансового актива привязана к стоимости 1/10 тонны топлива, что позволило снизить порог входа для инвесторов, указано в пресс-релизе Сбера.
В банке отметили, что каждый из квалифицированных инвесторов имеет право досрочно выйти из цифровых финансовых активов вне зависимости от ликвидности на торгах.
Отметим, что согласно оценкам агентства «Эксперт РА», рост рынка цифровых финансовых активов в этом году в разы превысил ожидания участников рынка.
В частности, объём выпущенных за первые девять месяцев 2024 года ЦФА составил около 316 млрд руб. (470 выпусков) при прогнозируемых 125 млрд руб. (300 выпусков). Аналитики ожидают, что в следующем году рынок покажет ещё больший рост.
Сейчас законодатели готовят комплекс предложений, направленных на то, чтобы вместо использования банковских кредитов бизнес привлекал средства за счёт инвестиционных инструментов, включая цифровые финансовые активы.
Читайте оригинальную статью на сайте Happycoin.club","26.12.2024, 16:17",https://ru.investing.com/news/cryptocurrency-news/article-2609389
Брокер Сбербанка дал доступ физлицам к первичным аукционам ОФЗ,"© Reuters Брокер Сбербанка дал доступ физлицам к первичным аукционам ОФЗ
Frankmedia - В брокерском приложении «СберИнвестиции» появилась возможность участия физическим лицам в аукционах Минфина по размещению облигаций федерального займа (ОФЗ), удостоверились корреспонденты Frank Media.
В частности, брокер давал возможность инвесторам принять участие в проходящих в среду, 25 декабря, аукционах ОФЗ с постоянным купонным доходом (ОФЗ-ПД) выпусков 26247 и 26242.
В конце ноября «РБК Инвестиции» со ссылкой на пресс-службу Сбербанка (MCX:SBER) писали, что в приложении «Сбербанк Онлайн» (СБОЛ) стала доступна опция заключения сделок с облигациями в выходные дни и праздники. В список доступных для сделок в нерабочие дни вошли наиболее ликвидные бонды.SBER ) писали, что в приложении «Сбербанк Онлайн» (СБОЛ) стала доступна опция заключения сделок с облигациями в выходные дни и праздники. В список доступных для сделок в нерабочие дни вошли наиболее ликвидные бонды. 
Согласно расчетам Frank Media на основе данных министерства финансов и ЦБ, на аукционах по размещению ОФЗ в ноябре розничные инвесторы приобрели госбумаг на 2,6 млрд рублей, в октябре – на 1,4 млрд рублей, а в сентябре – на 0,9 млрд рублей.
В ноябре на вторичном рынке нетто-покупки ОФЗ физическими лицами составили 4,1 млрд рублей, в октябре розничные инвесторы приобрели гособлигаций на 17,1 млрд рублей, в сентябре – на 10 млрд рублей.
Читайте оригинальную статью на сайте Frankmedia","25.12.2024, 14:58",https://ru.investing.com/news/general/article-2609026
Инвестхолдинг SFI полностью погасил свой долг  ,"© Reuters. Инвестхолдинг SFI полностью погасил свой долг  
Frankmedia - Инвестиционный холдинг SFI («ЭсЭфАй») полностью погасил остаток задолженности в размере 9,7 млрд рублей по кредитному договору, сократив тем самым до нуля объем своих текущих кредитных обязательств, следует из сообщения компании.
Холдинг еще в декабре 2019 года открыл у банка ВТБ (MCX:VTBR) кредитную линию на 21 млрд рублей для финансирования обратного выкупа акций с биржи. На конец 2020 года долг перед ВТБ достиг почти 18 млрд рублей, однако затем постепенно снижался, в том числе за счет продажи холдингом активов, крупнейшим из которых был НПФ «Сафмар».VTBR ) кредитную линию на 21 млрд рублей для финансирования обратного выкупа акций с биржи. На конец 2020 года долг перед ВТБ достиг почти 18 млрд рублей, однако затем постепенно снижался, в том числе за счет продажи холдингом активов, крупнейшим из которых был НПФ «Сафмар». 
На конец третьего квартала 2021 года долг перед ВТБ составлял 13,7 млрд рублей. В ноябре 2021 холдинг реструктуризировал свой кредит в Совкомбанке, в котором SFI привлек средства до конца ноября 2024 года объемом 13,7 млрд рублей. В Совкомбанке была открыта не кредитная линия, а непосредственно кредит.
Заместитель генерального директора SFI Олег Андриянкин отметил, что «отсутствие кредитных обязательств на корпоративном центре должно позитивно сказаться на оценке холдинга рынком – инвесторами, аналитиками и рейтинговыми агентствами».
«ЭсЭфАй» был создан семьей российского бизнесмена Михаила Гуцериева в конце 2016 года. Сначала он объединял небанковские финансовые активы, но затем превратился в универсальный холдинг. На данный момент в него входит 87,5% акций лизинговой компании «Европлан», 49% страховой компании ВСК, а также 10,4% ритейлера «М.Видео (MCX:MVID)».MVID )». 
Читайте оригинальную статью на сайте Frankmedia","23.12.2024, 11:22",https://ru.investing.com/news/general/article-2607734
Госбанки снова повысили ставки по депозитам накануне решения ЦБ,"© Пресс-служба банка ВТБ Госбанки снова повысили ставки по депозитам накануне решения ЦБ
Frankmedia - ВТБ (MCX:VTBR) и Сбербанк повысили ставки по депозитам перед решением ЦБ о ставке 20 декабря (текущая 21%). Таким образом, ВТБ с 17 декабря повысил ставки по вкладам на 3 месяца до 23,7% годовых, на 6 месяцев – до 24% годовых при выплате процентов в конце срока для всех сегментов, сообщил банк. Максимальная ставка доступна действующим клиентам, получающим зарплату или пенсию на карту банка, а также состоятельным клиентам.VTBR ) и Сбербанк повысили ставки по депозитам перед решением ЦБ о ставке 20 декабря (текущая 21%). Таким образом, ВТБ с 17 декабря повысил ставки по вкладам на 3 месяца до 23,7% годовых, на 6 месяцев – до 24% годовых при выплате процентов в конце срока для всех сегментов, сообщил банк. Максимальная ставка доступна действующим клиентам, получающим зарплату или пенсию на карту банка, а также состоятельным клиентам. 
«Мы ожидаем роста ключевой ставки на ближайшем заседании ЦБ, поэтому заблаговременно повышаем ставки по вкладам», – уточнил зампред правления ВТБ Георгий Горшков.
В Сбербанке (MCX:SBER) с 16 декабря приветственная ставка по накопительному счету составляет 18% годовых (было 16% годовых) в первые три месяца, свидетельствуют тарифы банка. С четвертого месяца ставка составит 10% годовых, но ее можно увеличить до 18% годовых если подключить платные подписки «СберПрайм/ СберПрайм+», за покупки от ₽5 тысяч в магазинах — партнерах банка, за траты по картам «Сбера» от 30 тысяч в месяц.SBER ) с 16 декабря приветственная ставка по накопительному счету составляет 18% годовых (было 16% годовых) в первые три месяца, свидетельствуют тарифы банка. С четвертого месяца ставка составит 10% годовых, но ее можно увеличить до 18% годовых если подключить платные подписки «СберПрайм/ СберПрайм+», за покупки от ₽5 тысяч в магазинах — партнерах банка, за траты по картам «Сбера» от 30 тысяч в месяц. 
По вкладу «СберВклад» максимальная процентная ставка достигает 22,5% годовых при открытии депозита на полгода и вложении от 1 млн с учетом всех надбавок. Для вкладов, сумма которых составляет до 1 млн рублей, максимальная доходность с учетом надбавок составит 22% годовых. Если подключить пакет «СберПремьер», ставка по вкладу «СберВклад» на полгода повысится до 23% годовых.
Индекс ставок по годовым вкладам и депозитам банков на сумму 100 тысяч рублей на 17 декабря составляет 17,74%, свидетельствуют данные индекса ставок FRG100.
Читайте оригинальную статью на сайте Frankmedia","17.12.2024, 09:14",https://ru.investing.com/news/general/article-2602510
