Title,Text,Time,Url
Московская биржа начинает торги фьючерсами на акции ПАО ЭсЭфАй,"© Reuters. Московская биржа начинает торги фьючерсами на акции ПАО ЭсЭфАй
sMart-lab.ru - 03 октября 2024 года на срочном рынке Московской биржи начинаются торги поставочными фьючерсами на обыкновенные акции ПАО «ЭсЭфАй» (SFIN).
Фьючерсные контракты на акции расширят торговые стратегии клиентов и предоставят дополнительные возможности по хеджированию портфелей ценных бумаг.
К торгам будут допущены серии фьючерсов с исполнением в декабре 2024 года и в марте 2025 года.
Параметры поставочных фьючерсных контрактов на акции ПАО «ЭсЭфАй»:

Читайте оригинальную статью на сайте sMart-lab.ru","26.09.2024, 14:51",https://ru.investing.com/news/stock-market-news/article-2516163
Акции Яндекса и Астры войдут в состав индекса Мосбиржи и РТС,"© Reuters.
Investing.com — Акции Яндекса и Астры войдут в состав индекса Мосбиржи и РТС с 20 сентября, сообщается на сайте торговой площадки.Яндекса и Астры войдут в состав индекса Мосбиржи и РТС с 20 сентября, на сайте торговой площадки. 
Мосбиржа оценила free-float Яндекса в 15%. Из базы расчета индексов будут исключены акции «Сегежи».
В лист ожидания на включение в базу расчета индекса Мосбиржи и индекса РТС войдут обыкновенные акции «Русснефти», ЮГК, «ЭсЭфАй», ЮМГ и «Ренессанс Страхования». Акции «РусГидро (MCX:HYDR)» и «Магнита (MCX:MGNT)» войдут в лист ожидания на исключение из индексов.HYDR )» и «Магнита (MCX: MGNT )» войдут в лист ожидания на исключение из индексов.","30.08.2024, 09:39",https://ru.investing.com/news/stock-market-news/article-2494086
"Рынок акций РФ закрылся ростом, Индекс МосБиржи прибавил 0,63%","Рынок акций РФ закрылся ростом, Индекс МосБиржи прибавил 0,63%
Investing.com – Фондовый рынок РФ завершил торги пятницы ростом за счет укрепления секторов нефти и газа, горнодобывающей промышленности и электроснабжения.нефти и газа , горнодобывающей промышленности и электроснабжения . 
На момент закрытия на Московской фондовой бирже Индекс МосБиржи поднялся на 0,63%, достигнув исторического максимума.Индекс МосБиржи поднялся на 0,63%, достигнув исторического максимума. 
В лидерах роста среди компонентов индекса Индекс МосБиржи по итогам сегодняшних торгов были акции ОАО Татнефть (MCX:TATN), которые подорожали на 26,00 п. (3,36%), закрывшись на отметке в 798,90. Котировки Яндекс Н.В. (MCX:YNDX) выросли на 69,00 п. (3,31%), завершив торги на уровне 2.152,00. Бумаги ОАО АФК Система (MCX:AFKS) выросли в цене на 0,280 п. (3,03%), закрывшись на отметке 9,535.Индекс МосБиржи по итогам сегодняшних торгов были акции ОАО Татнефть (MCX: TATN ), которые подорожали на 26,00 п. (3,36%), закрывшись на отметке в 798,90. Котировки Яндекс Н.В. (MCX: YNDX ) выросли на 69,00 п. (3,31%), завершив торги на уровне 2.152,00. Бумаги ОАО АФК Система (MCX: AFKS ) выросли в цене на 0,280 п. (3,03%), закрывшись на отметке 9,535. 
Лидерами падения стали акции ОАО Магнит (MCX:MGNT), цена которых упала на 65,0 п. (1,53%), завершив сессию на отметке 4.191,0. Акции Safmar Finansovye Investitsii PAO (MCX:SFIN) поднялись на 7,6 п. (1,37%), закрывшись на уровне 547,6, а ОАО Мобильные ТелеСистемы (MCX:MTSS) снизились в цене на 2,50 п. (0,95%) и завершили торги на отметке 261,00.MGNT ), цена которых упала на 65,0 п. (1,53%), завершив сессию на отметке 4.191,0. Акции Safmar Finansovye Investitsii PAO (MCX: SFIN ) поднялись на 7,6 п. (1,37%), закрывшись на уровне 547,6, а ОАО Мобильные ТелеСистемы (MCX: MTSS ) снизились в цене на 2,50 п. (0,95%) и завершили торги на отметке 261,00. 
На Московской фондовой бирже количество подорожавших бумаг (127) превысило количество закрывшихся в минусе (96), а котировки 15 акций практически не изменились.
Индекс волатильности Российский индекс волатильности, который формируется на основе показателей торговли опционами на Индекс МосБиржи, вырос на 0,80% до отметки 22.690.Российский индекс волатильности , который формируется на основе показателей торговли опционами на Индекс МосБиржи, вырос на 0,80% до отметки 22.690. 
Фьючерс на фьючерс на золото с поставкой в феврале прибавил 1,48%, или 18,95, достигнув отметки $1.298,75 за тройскую унцию. Что касается других товаров, цены на фьючерсы на нефть WTI с поставкой в марте выросли на 0,79%, или 0,42, до $53,55 за баррель. Фьючерсы на фьючерс на нефть Brent с поставкой в марте подорожали на 0,57%, или 0,35, до отметки $61,44 за баррель.
Между тем на рынке Форекс пара USD/RUB выросла на 0,31% до 65,9679, а котировки EUR/RUB повысились на 1,12%, достигнув отметки 75,2311.
Фьючерс на индекс USD опустился на 0,77% до 95,553.","25.01.2019, 19:35",https://ru.investing.com/news/stock-market-news/article-596654
"Рынок акций РФ закрылся ростом, Индекс МосБиржи прибавил 0,92%","Рынок акций РФ закрылся ростом, Индекс МосБиржи прибавил 0,92%
Investing.com – Фондовый рынок РФ завершил торги среды ростом за счет укрепления секторов телекоммуникаций, электроснабжения и нефти и газа.телекоммуникаций , электроснабжения и нефти и газа . 
На момент закрытия на Московской фондовой бирже Индекс МосБиржи вырос на 0,92%, достигнув 3-месячного максимума.Индекс МосБиржи вырос на 0,92%, достигнув 3-месячного максимума. 
В лидерах роста среди компонентов индекса Индекс МосБиржи по итогам сегодняшних торгов были акции Татнефть (прив.) (MCX:TATN_p), которые подорожали на 24,90 п. (4,75%), закрывшись на отметке в 549,10. Котировки ОАО Татнефть (MCX:TATN) выросли на 33,50 п. (4,46%), завершив торги на уровне 784,00. Бумаги Российские сети ОАО (MCX:RSTI) выросли в цене на 0,0319 п. (3,39%), закрывшись на отметке 0,9719.Индекс МосБиржи по итогам сегодняшних торгов были акции Татнефть (прив.) (MCX: TATN_p ), которые подорожали на 24,90 п. (4,75%), закрывшись на отметке в 549,10. Котировки ОАО Татнефть (MCX: TATN ) выросли на 33,50 п. (4,46%), завершив торги на уровне 784,00. Бумаги Российские сети ОАО (MCX: RSTI ) выросли в цене на 0,0319 п. (3,39%), закрывшись на отметке 0,9719. 
Лидерами падения стали акции Трубная металлургическая компания ОАО (MCX:TRMK), цена которых упала на 0,75 п. (1,35%), завершив сессию на отметке 54,65. Акции Safmar Finansovye Investitsii PAO (MCX:SFIN) поднялись на 4,4 п. (0,79%), закрывшись на уровне 551,8, а ОАО Северсталь (MCX:CHMF) снизились в цене на 6,50 п. (0,68%) и завершили торги на отметке 945,80.TRMK ), цена которых упала на 0,75 п. (1,35%), завершив сессию на отметке 54,65. Акции Safmar Finansovye Investitsii PAO (MCX: SFIN ) поднялись на 4,4 п. (0,79%), закрывшись на уровне 551,8, а ОАО Северсталь (MCX: CHMF ) снизились в цене на 6,50 п. (0,68%) и завершили торги на отметке 945,80. 
На Московской фондовой бирже количество подорожавших бумаг (134) превысило количество закрывшихся в минусе (84), а котировки 22 акций практически не изменились.
Котировки акций Российские сети ОАО (MCX:RSTI) выросли до 52-недельного максимума, поднявшись на 3,39%, 0,0319 п., и завершили торги на отметке 0,9719.RSTI ) выросли до 52-недельного максимума, поднявшись на 3,39%, 0,0319 п., и завершили торги на отметке 0,9719. 
Индекс волатильности Российский индекс волатильности, который формируется на основе показателей торговли опционами на Индекс МосБиржи, упал на 1,39% до отметки 22.640.Российский индекс волатильности , который формируется на основе показателей торговли опционами на Индекс МосБиржи, упал на 1,39% до отметки 22.640. 
Фьючерс на фьючерс на золото с поставкой в феврале прибавил 0,02%, или 0,25, достигнув отметки $1.283,65 за тройскую унцию. Что касается других товаров, цены на фьючерсы на нефть WTI с поставкой в марте снизились на 0,83%, или 0,44, до $52,57 за баррель. Фьючерсы на фьючерс на нефть Brent с поставкой в марте подешевели на 0,76%, или 0,47, до отметки $61,03 за баррель.
Между тем на рынке Форекс пара USD/RUB снизилась на 0,75% до 66,0371, а котировки EUR/RUB упали на 0,47%, достигнув отметки 75,2033.
Фьючерс на индекс USD опустился на 0,23% до 95,743.","23.01.2019, 19:35",https://ru.investing.com/news/stock-market-news/article-596145
"Рынок акций РФ закрылся падением, Индекс МосБиржи снизился на 0,70%","© Reuters. Рынок акций РФ закрылся падением, Индекс МосБиржи снизился на 0,70%
Investing.com – Фондовый рынок РФ завершил торги вторника падением на фоне негативной динамики со стороны секторов горнодобывающей промышленности, нефти и газа и электроснабжения.горнодобывающей промышленности , нефти и газа и электроснабжения . 
На момент закрытия на Московской фондовой бирже Индекс МосБиржи упал на 0,70%.Индекс МосБиржи упал на 0,70%. 
В лидерах роста среди компонентов индекса Индекс МосБиржи по итогам сегодняшних торгов были акции ОАО Магнит (MCX:MGNT), которые подорожали на 80,0 п. (2,22%), закрывшись на отметке в 3.680,0. Котировки ОАО Компания «М.видео» (MCX:MVID) выросли на 2,70 п. (0,67%), завершив торги на уровне 403,80. Бумаги Банк ВТБ (ОАО) (MCX:VTBR) выросли в цене на 0,0002 п. (0,65%), закрывшись на отметке 0,0348.Индекс МосБиржи по итогам сегодняшних торгов были акции ОАО Магнит (MCX: MGNT ), которые подорожали на 80,0 п. (2,22%), закрывшись на отметке в 3.680,0. Котировки ОАО Компания «М.видео» (MCX: MVID ) выросли на 2,70 п. (0,67%), завершив торги на уровне 403,80. Бумаги Банк ВТБ (ОАО) (MCX: VTBR ) выросли в цене на 0,0002 п. (0,65%), закрывшись на отметке 0,0348. 
Лидерами падения стали акции Новолипецкий MK (MCX:NLMK), цена которых упала на 5,56 п. (3,57%), завершив сессию на отметке 150,12. Акции Юнайтед Компани РУСАЛ Плс (MCX:RUAL) поднялись на 1,025 п. (3,32%), закрывшись на уровне 29,845, а Safmar Finansovye Investitsii PAO (MCX:SFIN) снизились в цене на 18,4 п. (3,18%) и завершили торги на отметке 560,8.NLMK ), цена которых упала на 5,56 п. (3,57%), завершив сессию на отметке 150,12. Акции Юнайтед Компани РУСАЛ Плс (MCX: RUAL ) поднялись на 1,025 п. (3,32%), закрывшись на уровне 29,845, а Safmar Finansovye Investitsii PAO (MCX: SFIN ) снизились в цене на 18,4 п. (3,18%) и завершили торги на отметке 560,8. 
На Московской фондовой бирже количество подорожавших бумаг (106) превысило количество закрывшихся в минусе (101), а котировки 18 акций практически не изменились.
Индекс волатильности Российский индекс волатильности, который формируется на основе показателей торговли опционами на Индекс МосБиржи, вырос на 1,27% до отметки 26.290.Российский индекс волатильности , который формируется на основе показателей торговли опционами на Индекс МосБиржи, вырос на 1,27% до отметки 26.290. 
Фьючерс на фьючерс на золото с поставкой в феврале потерял 0,30%, или 3,90, достигнув отметки $1.286,00 за тройскую унцию. Что касается других товаров, цены на фьючерсы на нефть WTI с поставкой в феврале выросли на 1,48%, или 0,72, до $49,24 за баррель. Фьючерсы на фьючерс на нефть Brent с поставкой в марте подорожали на 1,17%, или 0,67, до отметки $58,00 за баррель.
Между тем на рынке Форекс пара USD/RUB снизилась на 1,18% до 66,9348, а котировки EUR/RUB упали на 0,83%, достигнув отметки 76,6000.
Фьючерс на индекс USD вырос на 0,24% до 95,458.","08.01.2019, 19:35",https://ru.investing.com/news/stock-market-news/article-593770
"Рынок акций РФ закрылся ростом, Индекс МосБиржи прибавил 1,30%","© Reuters. Рынок акций РФ закрылся ростом, Индекс МосБиржи прибавил 1,30%
Investing.com – Фондовый рынок РФ завершил торги пятницы ростом за счет укрепления секторов телекоммуникаций, нефти и газа и горнодобывающей промышленности.телекоммуникаций , нефти и газа и горнодобывающей промышленности . 
На момент закрытия на Московской фондовой бирже Индекс МосБиржи поднялся на 1,30%.Индекс МосБиржи поднялся на 1,30%. 
В лидерах роста среди компонентов индекса Индекс МосБиржи по итогам сегодняшних торгов были акции ОАО Мобильные ТелеСистемы (MCX:MTSS), которые подорожали на 8,10 п. (3,37%), закрывшись на отметке в 248,60. Котировки Яндекс Н.В. (MCX:YNDX) выросли на 56,50 п. (3,04%), завершив торги на уровне 1.916,00. Бумаги Транснефть (прив.) (MCX:TRNF_p) выросли в цене на 4.250,000 п. (2,52%), закрывшись на отметке 173.050,00000.Индекс МосБиржи по итогам сегодняшних торгов были акции ОАО Мобильные ТелеСистемы (MCX: MTSS ), которые подорожали на 8,10 п. (3,37%), закрывшись на отметке в 248,60. Котировки Яндекс Н.В. (MCX: YNDX ) выросли на 56,50 п. (3,04%), завершив торги на уровне 1.916,00. Бумаги Транснефть (прив.) (MCX: TRNF_p ) выросли в цене на 4.250,000 п. (2,52%), закрывшись на отметке 173.050,00000. 
Лидерами падения стали акции РОС АГРО ПЛС (MCX:AGRODR), цена которых упала на 22,00 п. (2,75%), завершив сессию на отметке 778,00. Акции ОАО Компания «М.видео» (MCX:MVID) поднялись на 10,40 п. (2,53%), закрывшись на уровне 401,10, а Safmar Finansovye Investitsii PAO (MCX:SFIN) снизились в цене на 12,8 п. (2,16%) и завершили торги на отметке 579,2.AGRODR ), цена которых упала на 22,00 п. (2,75%), завершив сессию на отметке 778,00. Акции ОАО Компания «М.видео» (MCX: MVID ) поднялись на 10,40 п. (2,53%), закрывшись на уровне 401,10, а Safmar Finansovye Investitsii PAO (MCX: SFIN ) снизились в цене на 12,8 п. (2,16%) и завершили торги на отметке 579,2. 
На Московской фондовой бирже количество подорожавших бумаг (125) превысило количество закрывшихся в минусе (79), а котировки 13 акций практически не изменились.
Индекс волатильности Российский индекс волатильности, который формируется на основе показателей торговли опционами на Индекс МосБиржи, упал на 9,60% до отметки 25.250.Российский индекс волатильности , который формируется на основе показателей торговли опционами на Индекс МосБиржи, упал на 9,60% до отметки 25.250. 
Фьючерс на фьючерс на золото с поставкой в феврале потерял 0,75%, или 9,75, достигнув отметки $1.285,05 за тройскую унцию. Что касается других товаров, цены на фьючерсы на нефть WTI с поставкой в феврале выросли на 2,02%, или 0,95, до $48,04 за баррель. Фьючерсы на фьючерс на нефть Brent с поставкой в марте подорожали на 2,00%, или 1,12, до отметки $57,07 за баррель.
Между тем на рынке Форекс пара USD/RUB снизилась на 1,38% до 67,7075, а котировки EUR/RUB упали на 1,27%, достигнув отметки 77,2486.
Фьючерс на индекс USD опустился на 0,18% до 95,705.","04.01.2019, 19:35",https://ru.investing.com/news/stock-market-news/article-593559
"Рынок акций РФ закрылся ростом, Индекс МосБиржи прибавил 0,46%","Рынок акций РФ закрылся ростом, Индекс МосБиржи прибавил 0,46%
Investing.com – Фондовый рынок РФ завершил торги среды ростом за счет укрепления секторов электроснабжения, нефти и газа и телекоммуникаций.электроснабжения , нефти и газа и телекоммуникаций . 
На момент закрытия на Московской фондовой бирже Индекс МосБиржи поднялся на 0,46%.Индекс МосБиржи поднялся на 0,46%. 
В лидерах роста среди компонентов индекса Индекс МосБиржи по итогам сегодняшних торгов были акции Транснефть (прив.) (MCX:TRNF_p), которые подорожали на 7.550,000 п. (4,62%), закрывшись на отметке в 171.000,00000. Котировки Safmar Finansovye Investitsii PAO (MCX:SFIN) выросли на 20,2 п. (3,61%), завершив торги на уровне 580,2. Бумаги Татнефть (прив.) (MCX:TATN_p) выросли в цене на 11,40 п. (2,23%), закрывшись на отметке 522,00.Индекс МосБиржи по итогам сегодняшних торгов были акции Транснефть (прив.) (MCX: TRNF_p ), которые подорожали на 7.550,000 п. (4,62%), закрывшись на отметке в 171.000,00000. Котировки Safmar Finansovye Investitsii PAO (MCX: SFIN ) выросли на 20,2 п. (3,61%), завершив торги на уровне 580,2. Бумаги Татнефть (прив.) (MCX: TATN_p ) выросли в цене на 11,40 п. (2,23%), закрывшись на отметке 522,00. 
Лидерами падения стали акции X5 Retail Group NV (MCX:FIVEDR), цена которых упала на 21,5 п. (1,23%), завершив сессию на отметке 1.725,0. Акции НПК Объединенная Вагонная Компания (MCX:UWGN) поднялись на 4,6 п. (1,15%), закрывшись на уровне 397,0, а Полиметалл Интернэшнл плс (MCX:POLY) снизились в цене на 5,10 п. (0,69%) и завершили торги на отметке 731,20.X5 Retail X5 Retail Group NV (MCX: FIVEDR ), цена которых упала на 21,5 п. (1,23%), завершив сессию на отметке 1.725,0. Акции НПК Объединенная Вагонная Компания (MCX: UWGN ) поднялись на 4,6 п. (1,15%), закрывшись на уровне 397,0, а Полиметалл Интернэшнл плс (MCX: POLY ) снизились в цене на 5,10 п. (0,69%) и завершили торги на отметке 731,20. 
На Московской фондовой бирже количество подешевевших бумаг (0) превысило количество закрывшихся в плюсе (0).
Индекс волатильности Российский индекс волатильности, который формируется на основе показателей торговли опционами на Индекс МосБиржи, упал на 1,99% до отметки 27.030.Российский индекс волатильности , который формируется на основе показателей торговли опционами на Индекс МосБиржи, упал на 1,99% до отметки 27.030. 
Фьючерс на фьючерс на золото с поставкой в феврале прибавил 0,50%, или 6,40, достигнув отметки $1.287,70 за тройскую унцию. Что касается других товаров, цены на фьючерсы на нефть WTI с поставкой в феврале выросли на 3,37%, или 1,53, до $46,94 за баррель. Фьючерсы на фьючерс на нефть Brent с поставкой в марте подорожали на 3,12%, или 1,68, до отметки $55,48 за баррель.
Между тем на рынке Форекс пара USD/RUB выросла на 0,48% до 69,8319, а котировки EUR/RUB повысились на 0,41%, достигнув отметки 79,9948.
Фьючерс на индекс USD вырос на 0,67% до 96,373.","02.01.2019, 19:35",https://ru.investing.com/news/stock-market-news/article-593250
"Рынок акций РФ закрылся ростом, Индекс МосБиржи прибавил 1,32%","© Reuters. Рынок акций РФ закрылся ростом, Индекс МосБиржи прибавил 1,32%
Investing.com – Фондовый рынок РФ завершил торги пятницы ростом за счет укрепления секторов нефти и газа, телекоммуникаций и горнодобывающей промышленности.нефти и газа , телекоммуникаций и горнодобывающей промышленности . 
На момент закрытия на Московской фондовой бирже Индекс МосБиржи поднялся на 1,32%.Индекс МосБиржи поднялся на 1,32%. 
В лидерах роста среди компонентов индекса Индекс МосБиржи по итогам сегодняшних торгов были акции Safmar Finansovye Investitsii PAO (MCX:SFIN), которые подорожали на 25,6 п. (4,79%), закрывшись на отметке в 560,0. Котировки Юнайтед Компани РУСАЛ Плс (MCX:RUAL) выросли на 1,035 п. (3,53%), завершив торги на уровне 30,335. Бумаги Новолипецкий MK (MCX:NLMK) выросли в цене на 5,02 п. (3,30%), закрывшись на отметке 157,00.Индекс МосБиржи по итогам сегодняшних торгов были акции Safmar Finansovye Investitsii PAO (MCX: SFIN ), которые подорожали на 25,6 п. (4,79%), закрывшись на отметке в 560,0. Котировки Юнайтед Компани РУСАЛ Плс (MCX: RUAL ) выросли на 1,035 п. (3,53%), завершив торги на уровне 30,335. Бумаги Новолипецкий MK (MCX: NLMK ) выросли в цене на 5,02 п. (3,30%), закрывшись на отметке 157,00. 
Лидерами падения стали акции РуссНефть ОАО НК (MCX:RNFT), цена которых упала на 11,2 п. (2,07%), завершив сессию на отметке 528,6. Акции Российские сети ОАО (MCX:RSTI) поднялись на 0,0103 п. (1,33%), закрывшись на уровне 0,7638, а Московская биржа ОАО (MCX:MOEX) снизились в цене на 0,74 п. (0,91%) и завершили торги на отметке 80,30.RNFT ), цена которых упала на 11,2 п. (2,07%), завершив сессию на отметке 528,6. Акции Российские сети ОАО (MCX: RSTI ) поднялись на 0,0103 п. (1,33%), закрывшись на уровне 0,7638, а Московская биржа ОАО (MCX: MOEX ) снизились в цене на 0,74 п. (0,91%) и завершили торги на отметке 80,30. 
На Московской фондовой бирже количество подорожавших бумаг (147) превысило количество закрывшихся в минусе (82), а котировки 9 акций практически не изменились.
Котировки акций Московская биржа ОАО (MCX:MOEX) упали до 3-летнего минимума, упав на 0,91%, 0,74 п., и завершили торги на отметке 80,30.MOEX ) упали до 3-летнего минимума, упав на 0,91%, 0,74 п., и завершили торги на отметке 80,30. 
Индекс волатильности Российский индекс волатильности, который формируется на основе показателей торговли опционами на Индекс МосБиржи, упал на 3,66% до отметки 26.580.Российский индекс волатильности , который формируется на основе показателей торговли опционами на Индекс МосБиржи, упал на 3,66% до отметки 26.580. 
Фьючерс на фьючерс на золото с поставкой в феврале потерял 0,05%, или 0,60, достигнув отметки $1.280,50 за тройскую унцию. Что касается других товаров, цены на фьючерсы на нефть WTI с поставкой в феврале выросли на 1,26%, или 0,56, до $45,17 за баррель. Фьючерсы на фьючерс на нефть Brent с поставкой в марте подорожали на 0,27%, или 0,14, до отметки $52,87 за баррель.
Между тем на рынке Форекс пара USD/RUB снизилась на 0,07% до 69,5211, а котировки EUR/RUB повысились на 0,21%, достигнув отметки 79,7100.
Фьючерс на индекс USD опустился на 0,07% до 95,933.","28.12.2018, 19:35",https://ru.investing.com/news/stock-market-news/article-592877
"Рынок акций РФ закрылся падением, Индекс МосБиржи снизился на 1,35%","© Reuters. Рынок акций РФ закрылся падением, Индекс МосБиржи снизился на 1,35%
Investing.com – Фондовый рынок РФ завершил торги вторника падением на фоне негативной динамики со стороны секторов горнодобывающей промышленности, нефти и газа и телекоммуникаций.горнодобывающей промышленности , нефти и газа и телекоммуникаций . 
На момент закрытия на Московской фондовой бирже Индекс МосБиржи подешевел на 1,35%, достигнув 3-месячного минимума.Индекс МосБиржи подешевел на 1,35%, достигнув 3-месячного минимума. 
В лидерах роста среди компонентов индекса Индекс МосБиржи по итогам сегодняшних торгов были акции ОАО АФК Система (MCX:AFKS), которые подорожали на 0,146 п. (1,87%), закрывшись на отметке в 7,971. Котировки ОАО Новороссийский МТП (MCX:NMTP) выросли на 0,0900 п. (1,35%), завершив торги на уровне 6,7600. Бумаги ОАО ФосАгро (MCX:PHOR) выросли в цене на 29,0 п. (1,19%), закрывшись на отметке 2.467,0.Индекс МосБиржи по итогам сегодняшних торгов были акции ОАО АФК Система (MCX: AFKS ), которые подорожали на 0,146 п. (1,87%), закрывшись на отметке в 7,971. Котировки ОАО Новороссийский МТП (MCX: NMTP ) выросли на 0,0900 п. (1,35%), завершив торги на уровне 6,7600. Бумаги ОАО ФосАгро (MCX: PHOR ) выросли в цене на 29,0 п. (1,19%), закрывшись на отметке 2.467,0. 
Лидерами падения стали акции Детский мир ПАО (MCX:DSKY), цена которых упала на 5,28 п. (5,56%), завершив сессию на отметке 89,60. Акции Safmar Finansovye Investitsii PAO (MCX:SFIN) поднялись на 30,4 п. (5,51%), закрывшись на уровне 521,2, а РуссНефть ОАО НК (MCX:RNFT) снизились в цене на 24,8 п. (4,59%) и завершили торги на отметке 515,0.DSKY ), цена которых упала на 5,28 п. (5,56%), завершив сессию на отметке 89,60. Акции Safmar Finansovye Investitsii PAO (MCX: SFIN ) поднялись на 30,4 п. (5,51%), закрывшись на уровне 521,2, а РуссНефть ОАО НК (MCX: RNFT ) снизились в цене на 24,8 п. (4,59%) и завершили торги на отметке 515,0. 
На Московской фондовой бирже количество подешевевших бумаг (166) превысило количество закрывшихся в плюсе (53), а котировки 11 акций практически не изменились.
Котировки акций Safmar Finansovye Investitsii PAO (MCX:SFIN) упали до исторического минимума, снизившись на 5,51%, 30,4 п., и завершили торги на отметке 521,2.SFIN ) упали до исторического минимума, снизившись на 5,51%, 30,4 п., и завершили торги на отметке 521,2. 
Индекс волатильности Российский индекс волатильности, который формируется на основе показателей торговли опционами на Индекс МосБиржи, вырос на 0,79% до отметки 28.240.Российский индекс волатильности , который формируется на основе показателей торговли опционами на Индекс МосБиржи, вырос на 0,79% до отметки 28.240. 
Фьючерс на фьючерс на золото с поставкой в феврале прибавил 1,14%, или 14,40, достигнув отметки $1.272,50 за тройскую унцию. Что касается других товаров, цены на фьючерсы на нефть WTI с поставкой в феврале снизились на 6,34%, или 2,89, до $42,70 за баррель. Фьючерсы на фьючерс на нефть Brent с поставкой в марте подешевели на 6,23%, или 3,37, до отметки $50,73 за баррель.
Между тем на рынке Форекс пара USD/RUB выросла на 0,32% до 68,8000, а котировки EUR/RUB повысились на 0,15%, достигнув отметки 78,3050.
Фьючерс на индекс USD опустился на 0,46% до 96,010.","25.12.2018, 19:35",https://ru.investing.com/news/stock-market-news/article-592287
"Рынок акций РФ закрылся падением, Индекс МосБиржи снизился на 1,06%","© Reuters. Рынок акций РФ закрылся падением, Индекс МосБиржи снизился на 1,06%
Investing.com – Фондовый рынок РФ завершил торги понедельника падением на фоне негативной динамики со стороны секторов телекоммуникаций, горнодобывающей промышленности и нефти и газа.телекоммуникаций , горнодобывающей промышленности и нефти и газа . 
На момент закрытия на Московской фондовой бирже Индекс МосБиржи упал на 1,06%.Индекс МосБиржи упал на 1,06%. 
В лидерах роста среди компонентов индекса Индекс МосБиржи по итогам сегодняшних торгов были акции Юнипро ПАО (MCX:UPRO), которые подорожали на 0,0960 п. (3,88%), закрывшись на отметке в 2,5690. Котировки ОАО Новороссийский МТП (MCX:NMTP) выросли на 0,1400 п. (2,14%), завершив торги на уровне 6,6700. Бумаги ОАО Группа Компаний ПИК (MCX:PIKK) выросли в цене на 7,60 п. (2,10%), закрывшись на отметке 369,70.Индекс МосБиржи по итогам сегодняшних торгов были акции Юнипро ПАО (MCX: UPRO ), которые подорожали на 0,0960 п. (3,88%), закрывшись на отметке в 2,5690. Котировки ОАО Новороссийский МТП (MCX: NMTP ) выросли на 0,1400 п. (2,14%), завершив торги на уровне 6,6700. Бумаги ОАО Группа Компаний ПИК (MCX: PIKK ) выросли в цене на 7,60 п. (2,10%), закрывшись на отметке 369,70. 
Лидерами падения стали акции X5 Retail Group NV (MCX:FIVEDR), цена которых упала на 105,0 п. (5,82%), завершив сессию на отметке 1.700,0. Акции ОАО Компания «М.видео» (MCX:MVID) поднялись на 22,90 п. (5,52%), закрывшись на уровне 392,00, а Safmar Finansovye Investitsii PAO (MCX:SFIN) снизились в цене на 22,6 п. (3,94%) и завершили торги на отметке 551,6.X5 Retail X5 Retail Group NV (MCX: FIVEDR ), цена которых упала на 105,0 п. (5,82%), завершив сессию на отметке 1.700,0. Акции ОАО Компания «М.видео» (MCX: MVID ) поднялись на 22,90 п. (5,52%), закрывшись на уровне 392,00, а Safmar Finansovye Investitsii PAO (MCX: SFIN ) снизились в цене на 22,6 п. (3,94%) и завершили торги на отметке 551,6. 
На Московской фондовой бирже количество подешевевших бумаг (155) превысило количество закрывшихся в плюсе (65), а котировки 12 акций практически не изменились.
Котировки акций ОАО Группа Компаний ПИК (MCX:PIKK) выросли до максимума, поднявшись на 2,10%, 7,60 п., и завершили торги на отметке 369,70.PIKK ) выросли до максимума, поднявшись на 2,10%, 7,60 п., и завершили торги на отметке 369,70. 
Индекс волатильности Российский индекс волатильности, который формируется на основе показателей торговли опционами на Индекс МосБиржи, вырос на 0,56% до отметки 25.300.Российский индекс волатильности , который формируется на основе показателей торговли опционами на Индекс МосБиржи, вырос на 0,56% до отметки 25.300. 
Фьючерс на фьючерс на золото с поставкой в феврале прибавил 1,01%, или 12,75, достигнув отметки $1.270,85 за тройскую унцию. Что касается других товаров, цены на фьючерсы на нефть WTI с поставкой в феврале снизились на 2,59%, или 1,18, до $44,41 за баррель. Фьючерсы на фьючерс на нефть Brent с поставкой в марте подешевели на 2,26%, или 1,22, до отметки $52,88 за баррель.
Между тем на рынке Форекс пара USD/RUB снизилась на 0,76% до 68,3460, а котировки EUR/RUB упали на 0,35%, достигнув отметки 77,9798.
Фьючерс на индекс USD опустился на 0,44% до 96,032.","24.12.2018, 19:35",https://ru.investing.com/news/stock-market-news/article-592078
