Title,Text,Time,Url
Мосбиржа проводит дискретный аукцион по акциям «Сегежи»,"© Reuters
Investing.com — Мосбиржа проводит дискретный аукцион по акциям «Сегежи», сообщила торговая площадка.«Сегежи» , торговая площадка. 
Ранее стало известно, что некоторые брокеры, в частности БКС, завтра начнут принудительно закрывать шортовые позиции клиентов по этой бумаге. Причина — предстоящая допэмиссия.
С закрытия вчерашней торговой сессии котировки компании выросли на 15,47%, до 1,627 руб. Завершение дискретного аукциона запланировано на 12:48 МСК.","28.11.2024, 12:25",https://ru.investing.com/news/general/article-2585205
ЦБ проверит ситуацию с удалением сообщения «Сегежи» о допэмиссии,"© Reuters
Investing.com — ЦБ проверит ситуацию с удалением пресс-релиза «Сегежи» с параметрами допэмиссии. Об этом сообщает РБК со ссылкой на пресс-службу регулятора.РБК со ссылкой на пресс-службу регулятора. 
«Банк России в курсе ситуации и проанализирует ее в соответствии со своими полномочиями», — говорится в ответе Центробанка.
«Банк России в курсе ситуации и проанализирует ее в соответствии со своими полномочиями», — говорится в ответе Центробанка.
20 ноября «Сегежа» опубликовала на своем сайте пресс-релиз с финансовыми результатами за девять месяцев 2024 года и объемом допэмиссии, однако спустя несколько минут он был удален. Затем решение совета директоров по поводу допэмиссии было опубликовано на официальном сайте раскрытия корпоративной информации и на сайте «Сегежи». Релиз с финансовыми результатами также опубликовали на сайте компании.«Сегежа» опубликовала на своем сайте пресс-релиз с финансовыми результатами за девять месяцев 2024 года и объемом допэмиссии, однако спустя несколько минут он был удален. Затем решение совета директоров по поводу допэмиссии было опубликовано на официальном сайте раскрытия корпоративной информации и на сайте «Сегежи». Релиз с финансовыми результатами также опубликовали на сайте компании. 
Акции после публикации первого релиза начали снижаться, на минимуме падение составило 5,81%, до 1,685 руб. После того, как релиз удалили, падение замедлилось. После повторной публикации сообщения падение вновь ускорилось.","21.11.2024, 09:50",https://ru.investing.com/news/general/article-2578189
Мосбиржа запустила дискретный аукцион по акциям «Сегежи»,"© Reuters.
Investing.com — «Сегежа» приняла принципиальное решение о проведении допэмиссии, параметры будут представлены осенью. Об этом заявил президент лесопромышленного холдинга Segezha Group Александр Крещенко.президент лесопромышленного холдинга Segezha Group Александр Крещенко. 
На фоне заявления бумаги компании падают, Мосбиржа объявила дискретный аукцион по акциям «Сегежи».«Сегежи» . 
«Произошло снижение на 20% и более в течение 10 минут подряд текущей цены акций от цены закрытия предыдущего торгового дня (1,7 руб.)», — говорится в сообщении площадки.площадки. 
«Произошло снижение на 20% и более в течение 10 минут подряд текущей цены акций от цены закрытия предыдущего торгового дня (1,7 руб.)», — говорится в сообщении площадки.площадки.","28.08.2024, 13:23",https://ru.investing.com/news/stock-market-news/article-2492174
Акции холдинга «Сегежа» обновили исторический минимум,"© Reuters.
Investing.com — Акции лесопромышленного холдинга «Сегежа» упали на Мосбирже до нового исторического минимума. Котировки по состоянию на 14:26 МСК снизились на 7,62%, до 4,1 руб. Предыдущий исторический минимум бумаги установили 16 декабря 2022 года на уровне 4,21 руб.«Сегежа» упали на Мосбирже до нового исторического минимума. Котировки по состоянию на 14:26 МСК снизились на 7,62%, до 4,1 руб. Предыдущий исторический минимум бумаги установили 16 декабря 2022 года на уровне 4,21 руб. 
Днем ранее «Сегежа» опубликовала финансовые и операционные результаты за третий квартал. По его итогам чистый убыток по МСФО достиг 3,24 млрд руб. По сравнению со вторым кварталом текущего года он сократился на 17%.
Выручка в квартальном выражении увеличилась на 13%, до 23,9 млрд руб. OIBDA (операционная прибыль, которую получает компания, до вычета величины износа основных средств и амортизации нематериальных активов) составила 3 млрд руб., сохранившись на уровне второго квартала 2023 года на фоне роста себестоимости и расходов на логистику.
Рентабельность по OIBDA составила 12% (—1 п.п. квартал к кварталу). Объем долговых обязательств «Сегежи» по состоянию на 30 сентября практически не изменился по сравнению с 30 июня 2023 года и составил 126 млрд руб. Чистый долг был на уровне 118,6 млрд руб.
Читайте нас в Telegram и «ВКонтакте».и","14.11.2023, 16:25",https://ru.investing.com/news/stock-market-news/article-2321755
Результаты Сегежа Групп прохладно восприняты инвесторами - Альфа-Банк,"© Reuters. Результаты Сегежа Групп прохладно восприняты инвесторами - Альфа-Банк
sMart-lab.ru - Результаты Segezha Group (MCX:SGZH) за 3К23 снова вышли ожидаемо скромными, оказавшись на уровне консенсус-прогноза по выручке и несколько ниже по EBITDA скорр. По сравнению с 2К23 выручка выросла на 13%, рентабельность OIBDA незначительно (на -1,5пп) снизилась до 12,4%. Уровень долговой нагрузки практически не изменился кв/кв, составив 10,4х Чистый долг / 12М OIBDA скорр. на фоне сохранения как уровня долга, так и 12-месячной базы OIBDA. В сложившихся условиях компания продолжает придерживаться консервативного подхода к инвестициям – Capex составил 2,2 млрд руб. за квартал (9% от выручки), из них 60% — инвестиции в поддержание активов.SGZH ) за 3К23 снова вышли ожидаемо скромными, оказавшись на уровне консенсус-прогноза по выручке и несколько ниже по EBITDA скорр. По сравнению с 2К23 выручка выросла на 13%, рентабельность OIBDA незначительно (на -1,5пп) снизилась до 12,4%. Уровень долговой нагрузки практически не изменился кв/кв, составив 10,4х Чистый долг / 12М OIBDA скорр. на фоне сохранения как уровня долга, так и 12-месячной базы OIBDA. В сложившихся условиях компания продолжает придерживаться консервативного подхода к инвестициям – Capex составил 2,2 млрд руб. за квартал (9% от выручки), из них 60% — инвестиции в поддержание активов. 
На наш взгляд, результаты за 3К23 могут быть прохладно восприняты инвесторами, особенно на фоне укрепления курса рубля и начала низкого осенне-зимнего сезона в строительстве.
Курбатова Анна «Альфа-Банк» Важной, как всегда, будет являться риторика менеджмента относительно ожиданий на 4К23 и начало 2024 года. В зависимости от того, сможет ли CEO Михаил Шамолин убедить рынок в вероятности относительно скорого позитивного разворота на основных экспортных рынках и возвращения компании к растущему тренду, отношение инвесторов к SGZH как дешевой экспортно-ориентированной бумаге могло бы измениться в более позитивную сторону. Компания проведет конференц-звонок для инвесторов завтра 14 ноября в 16:00. Выручка и OIBDA за 3К23 близки к ожиданиям рынка. Выручка составила 23,9 млрд руб. (-1% г/г, +13% кв/кв). Относительно нашего прогноза выручка оказалась лучше в сегменте деревообработки и хуже в Бумаге и упаковке. В обоих случаях разница объясняется, в основном, более низкими/высокими фактическими объемами реализации по сравнению с нашими ожиданиями. Компания отметила, что в 3К23 флагманский Сегежский ЦБК был остановлен на плановый капитальный ремонт. OIBDA составила 3,0 млрд руб. (маржа 12,4%), не изменившись кв/кв. Давление на цены сохраняется. Средние цены реализации (СЦР) в евро мешочной бумаги почти не изменились кв/кв (-1%), составив 564 евро/т. На мировом рынке мешочной бумаги сохранялся низкий спрос в связи со слабой строительной активностью и высокими складскими остатками по всей цепочке поставок. На российском рынке спрос на мешочную бумагу оставался стабильным, поскольку снижение поставок бумажных мешков из Европы привело к увеличению локального производства. СЦР пиломатериалов продолжила «сползать» (-11% кв/кв до 134 евро/м3). Компания не дала комментария относительно негативной квартальной динамики. При этом отметила улучшение ситуации на рынке Китая: в августе – сентябре наблюдалось снижение уровня складских запасов (с рекордных 1,7 млн м3 в порту Тайцан в 1 кв. 2023 г. до 1,0 млн м3 в конце сентября), активизация спроса и восходящий ценовой тренд. СЦР фанеры увеличилась на 16% кв/кв до 474 евро/м3. Мы полагаем, что основная причина позитивного тренда – увеличение доли экспортных поставок (доля РФ в продажах снизилась с 26% в 2К23 до 16% в 3К23). В 3К23 Китай впервые вышел на первое место по объёмам экспорта берёзовой фанеры из РФ, опередив Египет. На внутреннем рынке после роста цен в 2К23 в отчетном квартале наблюдалась отрицательная ценовая на фоне высоких складских запасов дистрибьюторов и снижения спроса. Неоднородная динамика по бизнес-сегментам. Динамика выручки по сегментам была смешанной: рост на 5-34% кв/кв в Деревообработке и Фанере и плитах и сокращение на 5-12% кв/кв в Бумаге и упаковке и Ламинированных продуктах. Мы отмечаем продолжение улучшения рентабельности в Бумаге и упаковке (до 34%) и значительное улучшение кв/кв в Фанере и плитах (до 32%). Рентабельность OIBDA Деревообработки осталась низкой и даже несколько ухудшилась кв/кв (до 2,5%), что мы связываем с более низкими кв/кв ценами реализации, в то время как с точки зрения удельных затрат на логистику наблюдались положительные изменения (субсидирование транспортировки через порты СЗФО с июля, улучшение ситуации с доступностью ж/д подвижного состава в направлении Восточного полигона с июня). Долговая нагрузка по-прежнему на пике. Уровень долговой нагрузки ожидаемо остался высоким (10,4х в 3К23 по сравнению с 10,9х в 2К23), так как обе метрики в расчете почти не изменились кв/кв. Общий долг прибавил 3 млрд. и составил 126 млрд руб., чистый долг увеличился на 5 млрд руб. до 119 млрд руб. База расчета (OIBDA за 12 мес.) составила 11 млрд руб. В 3К23 процентные расходы компании превысили 4 млрд руб.Важной, как всегда, будет являться риторика менеджмента относительно ожиданий на 4К23 и начало 2024 года. В зависимости от того, сможет ли CEO Михаил Шамолин убедить рынок в вероятности относительно скорого позитивного разворота на основных экспортных рынках и возвращения компании к растущему тренду, отношение инвесторов к SGZH как дешевой экспортно-ориентированной бумаге могло бы измениться в более позитивную сторону. Компания проведет конференц-звонок для инвесторов завтра 14 ноября в 16:00. Выручка и OIBDA за 3К23 близки к ожиданиям рынка. Относительно нашего прогноза выручка оказалась лучше в сегменте деревообработки и хуже в Бумаге и упаковке. В обоих случаях разница объясняется, в основном, более низкими/высокими фактическими объемами реализации по сравнению с нашими ожиданиями. Компания отметила, что в 3К23 флагманский Сегежский ЦБК был остановлен на плановый капитальный ремонт. OIBDA составила 3,0 млрд руб. (маржа 12,4%), не изменившись кв/кв. Средние цены реализации (СЦР) в евро мешочной бумаги почти не изменились кв/кв (-1%), составив 564 евро/т. На мировом рынке мешочной бумаги сохранялся низкий спрос в связи со слабой строительной активностью и высокими складскими остатками по всей цепочке поставок. На российском рынке спрос на мешочную бумагу оставался стабильным, поскольку снижение поставок бумажных мешков из Европы привело к увеличению локального производства. СЦР пиломатериалов продолжила «сползать» (-11% кв/кв до 134 евро/м3). Компания не дала комментария относительно негативной квартальной динамики. При этом отметила улучшение ситуации на рынке Китая: в августе – сентябре наблюдалось снижение уровня складских запасов (с рекордных 1,7 млн м3 в порту Тайцан в 1 кв. 2023 г. до 1,0 млн м3 в конце сентября), активизация спроса и восходящий ценовой тренд. СЦР фанеры увеличилась на 16% кв/кв до 474 евро/м3. Мы полагаем, что основная причина позитивного тренда – увеличение доли экспортных поставок (доля РФ в продажах снизилась с 26% в 2К23 до 16% в 3К23). В 3К23 Китай впервые вышел на первое место по объёмам экспорта берёзовой фанеры из РФ, опередив Египет. На внутреннем рынке после роста цен в 2К23 в отчетном квартале наблюдалась отрицательная ценовая на фоне высоких складских запасов дистрибьюторов и снижения спроса. Динамика выручки по сегментам была смешанной: рост на 5-34% кв/кв в Деревообработке и Фанере и плитах и сокращение на 5-12% кв/кв в Бумаге и упаковке и Ламинированных продуктах. Мы отмечаем продолжение улучшения рентабельности в Бумаге и упаковке (до 34%) и значительное улучшение кв/кв в Фанере и плитах (до 32%). Рентабельность OIBDA Деревообработки осталась низкой и даже несколько ухудшилась кв/кв (до 2,5%), что мы связываем с более низкими кв/кв ценами реализации, в то время как с точки зрения удельных затрат на логистику наблюдались положительные изменения (субсидирование транспортировки через порты СЗФО с июля, улучшение ситуации с доступностью ж/д подвижного состава в направлении Восточного полигона с июня). Уровень долговой нагрузки ожидаемо остался высоким (10,4х в 3К23 по сравнению с 10,9х в 2К23), так как обе метрики в расчете почти не изменились кв/кв. Общий долг прибавил 3 млрд. и составил 126 млрд руб., чистый долг увеличился на 5 млрд руб. до 119 млрд руб. База расчета (OIBDA за 12 мес.) составила 11 млрд руб. В 3К23 процентные расходы компании превысили 4 млрд руб. 
Читайте оригинальную статью на сайте sMart-lab.ru","13.11.2023, 18:52",https://ru.investing.com/news/stock-market-news/article-2320925
Индекс Мосбиржи на максимуме с февраля 2022 года: новости к утру 10 июля,"© Reuters.
Investing.com — Индекс Мосбиржи достиг максимума с февраля 2022 года, а аналог Twitter (NYSE:TWTR) от Цукерберга набрал 70 млн пользователей за два дня — эти и другие важные новости к утру понедельника, 10 июля, в нашем ежедневном обзоре.TWTR ) от Цукерберга набрал 70 млн пользователей за два дня — эти и другие важные новости к утру понедельника, 10 июля, в нашем ежедневном обзоре. 
Индекс Мосбиржи достиг максимума с 22 февраля 2022 года. По состоянию на 10:12 МСК индекс вырос на 0,59%, до 2849,45 пункта. Одновременно с этим индекс РТС прибавил 0,27%, до 978,8 пункта. По состоянию на 10:13 МСК лидерами роста в составе индекса Мосбиржи стали бумаги «Полиметалла» (+2,87%), «Сегежи» (+2,14%), ВТБ (+1,65%), ОАО АК АЛРОСА (+1,34%), En+ Group (+1,24%).Индекс Мосбиржи достиг максимума с 22 февраля 2022 года. По состоянию на 10:12 МСК индекс вырос на 0,59%, до 2849,45 пункта. Одновременно с этим индекс РТС прибавил 0,27%, до 978,8 пункта. По состоянию на 10:13 МСК лидерами роста в составе индекса Мосбиржи стали бумаги «Полиметалла» (+2,87%), «Сегежи» (+2,14%), ВТБ (+1,65%), ОАО АК АЛРОСА (+1,34%), En+ Group (+1,24%). 
Приложение Threads от Meta* за два дня с момента запуска набрало 70 млн пользователей. Об этом на своей странице в Threads заявил основатель и глава Meta Марк Цукерберг. «70 миллионов пользователей на Threads на сегодняшнее утро. Это намного больше, чем мы ожидали», — написал Цукерберг.Meta* за два дня с момента запуска набрало 70 млн пользователей. Об этом на своей странице в Threads заявил основатель и глава Meta Марк Цукерберг. «70 миллионов пользователей на Threads на сегодняшнее утро. Это намного больше, чем мы ожидали», — Цукерберг. 
Скидки на российскую нефть для индийских НПЗ сократились до $4 за баррель после пиковых значений в $25–30, а продавцы отказываются от тарифов на отгрузку, чтобы покрыть разрыв с эталонной нефтью марки Brent и обойти западный потолок цен, пишет The Times of India со ссылкой на источники, знакомые с ситуацией.Brent и обойти западный потолок цен, The Times of India со ссылкой на источники, знакомые с ситуацией. 
Компании Джека Ма потеряли больше $850 млрд стоимости из-за конфликта бизнесмена с Пекином. Об этом пишет Bloomberg, подводя итоги развернутой в отношении миллиардера кампании китайских властей, которая длилась почти три года.Bloomberg, подводя итоги развернутой в отношении миллиардера кампании китайских властей, которая длилась почти три года. 
Все больше стран репатриируют свои золотые резервы, опасаясь санкций, которые страны Запада ввели против России. Об этом пишет Reuters со ссылкой на опрос центробанков и суверенных фондов, проведенный американской инвестиционной компанией Invesco.Reuters со ссылкой на опрос центробанков и суверенных фондов, проведенный американской инвестиционной компанией Invesco. 
*Компания Meta признана в России террористической организацией и запрещена
Читайте нас в Telegram и «ВКонтакте».и 
Текст подготовил Тимур Алиев","10.07.2023, 10:57",https://ru.investing.com/news/economy/article-2271406
Euroclear возобновил расчеты по бумагам ряда компаний РФ,"© Reuters
Investing.com — Международный депозитарий Euroclear возобновил расчеты по локальным акциям ряда не попавших под санкции российских компаний, а также по евробондам и расширил список торгуемых ОФЗ, пишет РБК.РБК. 
В перечень входят такие эмитенты, как Газпром, «Газпром нефть», ЛУКОЙЛ, «Норникель», «Мечел», Московская Биржа, «Интер РАО», «Магнит», «Аэрофлот», АФК «Система», «Сегежа», МТС, «М.Видео», «Детский мир», «Белуга» и многие другие ценные бумаги с идентификационным кодом RU ISIN. Речь идет о расчетах во внешнем периметре.Газпром , «Газпром нефть» , ЛУКОЙЛ , «Норникель» , «Мечел» , Московская Биржа , «Интер РАО» , «Магнит» , «Аэрофлот» , АФК «Система» , «Сегежа» , МТС , «М.Видео» , «Детский мир» , «Белуга» и многие другие ценные бумаги с идентификационным кодом RU ISIN. Речь идет о расчетах во внешнем периметре. 
Всего в письме депозитария Euroclear перечислены 137 российских локальных бумаг, которые стали доступны для расчетов в Euroclear Bank по состоянию на 26 июня 2023 года. Подлинность письма подтвердили два источника на финансовом рынке.
В сообщении европейского депозитария подчеркивается, что Euroclear возобновил свободные расчеты по тем российским бумагам, по которым не требуется сверка, связанная с законами о принудительном переводе, и активы которых не подлежат замораживанию в связи с международными санкциями.
Также Euroclear отмечает, что список ценных бумаг, по которым могут быть возобновлены расчеты, после проверок будет расширяться.
«Euroclear Bank продолжит оценивать и проверять список приостановленных ценных бумаг и может возобновить расчеты по дополнительным ценным бумагам, соответствующим стандартным операционным проверкам», — говорится в сообщении депозитария.
«Euroclear Bank продолжит оценивать и проверять список приостановленных ценных бумаг и может возобновить расчеты по дополнительным ценным бумагам, соответствующим стандартным операционным проверкам», — говорится в сообщении депозитария.
Читайте нас в Telegram и «ВКонтакте».и 
Текст подготовил Тимур Алиев","29.06.2023, 12:03",https://ru.investing.com/news/stock-market-news/article-2268728
На Мосбирже с 29 июня появятся 4 новые российские акции,"© Reuters.
Investing.com — Московская биржа с 29 июня запустит торги поставочными фьючерсами на акции еще четырех российских компаний, сообщается на сайте площадки. В их число вошли:на сайте площадки. В их число вошли: 
Минимальный шаг цены для всех фьючерсов составляет 1 руб. К торгам будут допущены контракты с исполнением в сентябре и декабре 2023 года, а также в марте и июне 2024 года. Поставка по контрактам производится автоматически: на торгах Московской биржи заключаются сделки с расчетами на второй день.
«Новые контракты на ценные бумаги, обращающиеся на рынке акций Московской биржи, предоставят дополнительные возможности для реализации различных торговых стратегий и хеджирования портфелей ценных бумаг широкому кругу частных и институциональных инвесторов», — сказано в пресс-релизе.
«Новые контракты на ценные бумаги, обращающиеся на рынке акций Московской биржи, предоставят дополнительные возможности для реализации различных торговых стратегий и хеджирования портфелей ценных бумаг широкому кругу частных и институциональных инвесторов», — сказано в пресс-релизе.
После запуска новых инструментов инвесторам будет доступно 44 контракта на акции российских компаний.
Читайте нас в Telegram и «ВКонтакте».и 
Текст подготовил Тимур Алиев","23.06.2023, 13:16",https://ru.investing.com/news/stock-market-news/article-2267013
Мосбиржа расширит список доступных на вечерних торгах акций,"© Reuters.
Investing.com — Московская биржа сообщила об увеличении числа ценных бумаг, доступных для заключения сделок на вечерней торговой сессии на рынке акций. С 9 марта в список инструментов на вечерних торгах рынка акций будут добавлены 11 ценных бумаг.биржа об увеличении числа ценных бумаг, доступных для заключения сделок на вечерней торговой сессии на рынке акций. С 9 марта в список инструментов на вечерних торгах рынка акций будут добавлены 11 ценных бумаг. 
С 9 марта на вечерней сессии Мосбиржи станут доступны акции следующих компаний:
Кроме того, в список будут добавлены обыкновенные и привилегированные акции компании «Мечел».«Мечел» . 
В общей сложности, с 9 марта инвесторы смогут заключать сделки с 74 инструментами рынка акций — ценными бумагами российских эмитентов, БПИФ, а также паями ПИФ, сообщила торговая площадка. Кроме того, с 6 марта 2023 года на вечерних торгах для заключения сделок станет доступен ОПИФ «БКС Российские Акции».
Следите за нашими новостями в социальных сетях: Telegram, «ВКонтакте» и «Одноклассниках».
Текст подготовил Тимур Алиев","06.03.2023, 16:54",https://ru.investing.com/news/stock-market-news/article-2235975
Минстрой РФ планирует в 2024 году обеспечить нормативную базу для строительства деревянных домов,"Минстрой РФ планирует в 2024 году обеспечить нормативную базу для строительства деревянных домов

""Мы в этом году, я думаю, завершим полностью все испытания и, как минимум, обеспечим внесение изменений в нормативную базу в первом квартале 2024 года, обеспечим строительство пяти этажей. (...) Со следующего года дома из дерева, как минимум, высотой пять этажей у нас можно будет строить"", - сказал Музыченко в кулуарах форума ""Стратегии ускорения темпов строительства"" в Новосибирске. В частности, до конца текущего года министерству нужно решить вопросы, касающиеся пожарной и сейсмической безопасности.
Как сообщалось, Минстрой разрабатывает новые нормативные акты, позволяющие строить в России многоэтажные деревянные дома, с 2020 года.
В июле 2022 года Минстрой и МЧС РФ утвердили план мероприятий по развитию деревянного домостроения на период до 2024 года, который предусматривает как актуализацию имеющихся, так и разработку новых нормативно-технических документов для развития деревянного домостроения. Также документ предусматривает, в том числе, организацию совместной работы ведомств с АФК ""Система"", которой в числе прочих активов принадлежит лесопромышленный холдинг Segezha Group (MCX:SGZH).SGZH ).","14.02.2023, 11:36",https://ru.investing.com/news/economy/article-2226490
