Title,Text,Time,Url
"Индия надеется, что Москва найдет обходные пути для поставок нефти","© Reuters.
Investing.com — Государственные нефтеперерабатывающие заводы в Индии, крупнейшем импортере российской нефти морским путем, считают, что воздействие от последних санкций США может быть временным, поскольку Москва найдет обходные пути, а новая администрация Трампа займет более мягкую позицию по отношению к стране ОПЕК+. Об этом пишет Bloomberg.нефти морским путем, считают, что воздействие от последних санкций США может быть временным, поскольку Москва найдет обходные пути, а новая администрация Трампа займет более мягкую позицию по отношению к стране ОПЕК+. Об этом Bloomberg. 
По словам осведомленных источников, переработчики надеются, что новое правительство США может помочь смягчить влияние масштабных ограничений, объявленных на прошлой неделе, если новые чиновники займут примирительный подход в отношении России.объявленных на прошлой неделе , если новые чиновники займут примирительный подход в отношении России. 
В то же время, компании стремятся получить больше дополнительных объемов от Саудовской Аравии и Ирака в рамках долгосрочных контрактов, чтобы обезопасить себя от нехватки, сообщили источники.
Мировой рынок нефти был в смятении в последние дни — нефть Brent достигла самого высокого уровня за пять месяцев — поскольку уходящая администрация Байдена объявила о своем самом смелом пакете санкций против российской нефтяной промышленности.нефти был в смятении в последние дни — нефть Brent достигла самого высокого уровня за пять месяцев — поскольку уходящая администрация Байдена объявила о своем самом смелом пакете санкций против российской нефтяной промышленности. 
Ограничения, которые вступят в силу после периода льгот, представляют серьезный вызов для нефтеперерабатывающих заводов в Индии, так как они стали крупными покупателями российской нефти.нефти . 
Индийские переработчики уверены, что потеря доступа к дешевой российской нефти будет только временной, учитывая, что Москва будет находиться под огромным давлением найти способ восстановить потоки, если Китай и Турция останутся ее единственными крупными покупателями, сказали источники.
После объявления о санкциях, в понедельник высокопоставленный индийский чиновник заявил, что страна все равно будет принимать поставки на все грузы, которые были забронированы до введения ограничений и были доставлены в страну в течение так называемого периода завершения, который продолжается до 12 марта. Тем не менее, переработчики ждут мнений от юридических команд и банков, сообщили источники.","14.01.2025, 11:09",https://ru.investing.com/news/general/article-2621074
Нефть остается вблизи максимумов благодаря санкциям против России,"© Reuters
Investing.com — Цены на нефть снизились во вторник, но остались около четырехмесячных максимумов на фоне того, что свежие санкции США против российской нефти остаются в центре внимания рынка, пишет Yahoo.Yahoo. 
Фьючерсы на Brent снизились на 0,56%, до $80,56 за баррель к 08:55 мск., в то время как WTI упала на 0,49%, до $76,92 за баррель.Brent снизились на 0,56%, до $80,56 за баррель к 08:55 мск., в то время как WTI упала на 0,49%, до $76,92 за баррель. 
Цены подскочили на 2% в понедельник после того, как министерство финансов США в пятницу ввело санкции против Газпром нефть ПАО (MCX:SIBN), Сургутнефтегаз ПАО (MCX:SNGS) и 183 судов, которые торгуют нефтью в рамках так называемого «теневого флота» танкеров России.SIBN ), Сургутнефтегаз ПАО (MCX: SNGS ) и 183 судов, которые торгуют нефтью в рамках так называемого «теневого флота» танкеров России. 
«Заголовки о санкциях против российской нефти были доминирующим фактором для цен на нефть на прошлой неделе, и вместе с устойчивыми экономическими данными из США, более жесткая динамика спроса и предложения проявила некоторый импульс», — сказал аналитик рынка IG Йэп Джун Ронг.
«Цены сегодня немного отступили. Учитывая, что с начала года цены растут быстро и уверенно, почти на 10%, это вызывает желание зафиксировать прибыль, поскольку перед нарастающими рисками событий по предстоящим данным по инфляции в США».
«Заголовки о санкциях против российской нефти были доминирующим фактором для цен на нефть на прошлой неделе, и вместе с устойчивыми экономическими данными из США, более жесткая динамика спроса и предложения проявила некоторый импульс», — сказал аналитик рынка IG Йэп Джун Ронг.
«Цены сегодня немного отступили. Учитывая, что с начала года цены растут быстро и уверенно, почти на 10%, это вызывает желание зафиксировать прибыль, поскольку перед нарастающими рисками событий по предстоящим данным по инфляции в США».
Индекс цен производителей (PPI) в США будет опубликован позже сегодня, а индекс потребительских цен (CPI) — в среду.Индекс цен производителей (PPI) в США будет опубликован позже сегодня, а индекс потребительских цен (CPI) — в среду. 
Тем временем неопределенность спроса со стороны основного покупателя Китая может ослабить влияние более жесткого предложения. Импорт нефти в Китай в 2024 году снизился впервые за два десятилетия вне пандемии COVID-19, как показали официальные данные в понедельник.
«Ожидается, что новые санкции против российских танкеров повлияют на поставки нефти в Китай и Индию, хотя ключевые игроки в этих странах все еще оценивают правовую ситуацию и возможные обходные пути», — сказал Филип Джонс-Люкс из компании Sparta Commodities.
«Ожидается, что новые санкции против российских танкеров повлияют на поставки нефти в Китай и Индию, хотя ключевые игроки в этих странах все еще оценивают правовую ситуацию и возможные обходные пути», — сказал Филип Джонс-Люкс из компании Sparta Commodities.","14.01.2025, 09:00",https://ru.investing.com/news/commodities-news/article-2620981
Сургутнефтегаз пострадает больше Газпромнефти от новых санкций США,"© Reuters. Сургутнефтегаз пострадает больше Газпромнефти от новых санкций США. Совкомфлот рискует столкнуться с прекращением перевозок подсанкционными танкерами – Ведомости
sMart-lab.ru - 10 января 2024 года США ввели санкции против «Газпром нефти (MCX:SIBN)», «Сургутнефтегаза (MCX:SNGS)» и «Совкомфлота (MCX:FLOT)». Включение этих компаний в SDN-лист повлияло на их котировки. Акции «Газпром нефти» и «Совкомфлота» выросли, несмотря на санкции, но в дальнейшем ожидается их падение.SIBN )», «Сургутнефтегаза (MCX: SNGS )» и «Совкомфлота (MCX: FLOT )». Включение этих компаний в SDN-лист повлияло на их котировки. Акции «Газпром нефти» и «Совкомфлота» выросли, несмотря на санкции, но в дальнейшем ожидается их падение. 
По мнению аналитиков, «Сургутнефтегаз» пострадает больше из-за высокой доли экспорта, а «Совкомфлот» рискует столкнуться с прекращением перевозок подсанкционными танкерами. Также введение санкций осложнит экспорт нефти, что приведет к расширению дисконта на российскую нефть.
Для «Газпром нефти» удар от санкций будет менее болезненным благодаря ее меньшей зависимости от внешних поставок. Однако санкции против дочерней компании NIS могут привести к продаже доли, что положительно скажется на миноритарных акционерах.
«Совкомфлот» столкнется с проблемами из-за ограничений на 69 танкеров, но компания может избежать больших потерь благодаря высокому свободному денежному потоку.
Читайте оригинальную статью на сайте sMart-lab.ru","14.01.2025, 11:01",https://ru.investing.com/news/general/article-2620927
Сербия начала переговоры с OFAC из-за санкций против NIS – Ъ,"© Reuters. Сербия начала переговоры с OFAC из-за санкций против NIS – Ъ
sMart-lab.ru - Рабочая группа правительства Сербии провела первые переговоры с Управлением по контролю над иностранными активами США (OFAC) по поводу санкций, введенных против компании «Нефтяная промышленность Сербии» (NIS). Санкции связаны с тем, что 50% NIS принадлежит «Газпром нефти (MCX:SIBN)», попавшей в январский пакет санкций США против российского ТЭКа.SIBN )», попавшей в январский пакет санкций США против российского ТЭКа. 
Министр энергетики Сербии Дубравка Джедович сообщила, что рабочая группа будет регулярно заседать, ожидая разъяснений от действующей администрации США и готовясь к переговорам с администрацией избранного президента. Главной целью является поддержание работы NIS и стабилизация рынка энергоресурсов.
Президент Сербии Александр Вучич ранее отметил, что санкции США могут потребовать свести к нулю российскую долю в компании. Помощник госсекретаря США Джеймс О’Брайен подтвердил, что это условие приемлемо для продолжения работы NIS.
Читайте оригинальную статью на сайте sMart-lab.ru","14.01.2025, 10:21",https://ru.investing.com/news/general/article-2620902
Новые санкции США дестабилизируют мировые рынки — Кремль,"© Reuters
Investing.com — Кремль заявил в понедельник, что последний раунд американских санкций против российской энергетической отрасли может дестабилизировать глобальные рынки, и Москва сделает все возможное, чтобы минимизировать их влияние. Об этом пишет Reuters.Reuters. 
«Очевидно, что Соединенные Штаты будут продолжать пытаться подорвать позиции наших компаний неконкурентными способами, но мы ожидаем, что сможем этому противодействовать», — сказал пресс-секретарь Кремля Дмитрий Песков.
«В то же время, конечно, такие решения не могут не привести к определенной дестабилизации международных энергетических рынков, нефтяных рынков. Мы будем очень внимательно отслеживать последствия и настраивать работу наших компаний таким образом, чтобы минимизировать последствия этих... незаконных решений».
«Очевидно, что Соединенные Штаты будут продолжать пытаться подорвать позиции наших компаний неконкурентными способами, но мы ожидаем, что сможем этому противодействовать», — сказал пресс-секретарь Кремля Дмитрий Песков.
«В то же время, конечно, такие решения не могут не привести к определенной дестабилизации международных энергетических рынков, нефтяных рынков. Мы будем очень внимательно отслеживать последствия и настраивать работу наших компаний таким образом, чтобы минимизировать последствия этих... незаконных решений».
Министерство финансов США в пятницу ввело более широкие санкции против российской нефти, нацеленные на производителей «Газпром нефть» и «Сургутнефтегаз», а также на 183 судна, которые перевозили российскую нефть.ввело более широкие санкции против российской нефти, нацеленные на производителей «Газпром нефть» и «Сургутнефтегаз» , а также на 183 судна, которые перевозили российскую нефть . 
Представитель США сказал, что санкции могут стоить России миллиарды долларов в месяц, если они будут достаточно строго соблюдаться.долларов в месяц, если они будут достаточно строго соблюдаться. 
Санкции побудили китайских и индийских переработчиков, которые активно покупали российскую нефть, искать альтернативные источники поставок нефти. Многие из танкеров, подвергшихся последним мерам, использовались для перевозки нефти в эти две страны.нефть , искать альтернативные источники поставок нефти. Многие из танкеров, подвергшихся последним мерам, использовались для перевозки нефти в эти две страны. 
Песков отметил, что современный опыт показывает, что невозможно заблокировать природные маршруты поставок энергии.
«Вы что-то блокируете в одном месте, и где-то еще появляется альтернативный вариант. Поэтому будут проводиться поиски вариантов работы, которые минимизируют последствия санкций», — сказал он.
«Вы что-то блокируете в одном месте, и где-то еще появляется альтернативный вариант. Поэтому будут проводиться поиски вариантов работы, которые минимизируют последствия санкций», — сказал он.","13.01.2025, 13:19",https://ru.investing.com/news/general/article-2619786
Нефть выросла до 4-месячного максимума на фоне самых жестких санкций США против РФ,"© Reuters. Цены на нефть выросли до многомесячного максимума на фоне самых значительных санкций США против России – РБК
sMart-lab.ru - Стоимость нефти продолжает расти после введения новых масштабных санкций США против российского энергетического сектора. 13 января фьючерсы на Brent подорожали на $1,35 до $81,11 за баррель, достигнув внутридневного максимума $81,44 — самого высокого уровня с августа. Цена WTI выросла на $1,40 до $77,97 за баррель, достигнув $78,32 — максимума с октября.Brent подорожали на $1,35 до $81,11 за баррель, достигнув внутридневного максимума $81,44 — самого высокого уровня с августа. Цена WTI выросла на $1,40 до $77,97 за баррель, достигнув $78,32 — максимума с октября. 
Новые санкции США, объявленные 10 января, стали одними из самых значительных против российской нефти. Под ограничения попали «Газпром нефть (MCX:SIBN)», «Сургутнефтегаз (MCX:SNGS)» и десятки нефтесервисных компаний. По оценке Белого дома, Россия может терять миллиарды долларов ежемесячно из-за этих мер.SIBN )», «Сургутнефтегаз (MCX: SNGS )» и десятки нефтесервисных компаний. По оценке Белого дома, Россия может терять миллиарды долларов ежемесячно из-за этих мер. 
Венгрия, продолжающая закупать российскую нефть, обеспокоена ростом цен и планирует переговоры с союзниками для решения проблемы. Министр иностранных дел Петер Сийярто предупредил о рисках значительного подорожания бензина и дизеля в Центральной Европе.
Кремль осудил санкции, заявив, что США оставляют сложное наследие в отношениях с Россией. Москва требует их отмены, но перспективы урегулирования пока остаются неопределенными.
Читайте оригинальную статью на сайте sMart-lab.ru","13.01.2025, 11:04",https://ru.investing.com/news/commodities-news/article-2619629
США ввели санкции против российских нефтяников и страховщиков,"© Reuters США ввели санкции против российских нефтяников и страховщиков
Frankmedia - США расширили блокирующие санкции в отношении нефтегазового сектора России: под новые ограничения попали «Газпром нефть (MCX:SIBN)» и ее дочки (в том числе сербская NIS), некоторые структуры Газпрома (MCX:GAZP)», «Сургутнефтегаз (MCX:SNGS)» и подконтрольный ему Сургутнефтегазбанк, а также страховые компании «Ингосстрах» и «АльфаСтрахование», следует из материалов американского Минфина.SIBN )» и ее дочки (в том числе сербская NIS), некоторые структуры Газпрома (MCX: GAZP )», «Сургутнефтегаз (MCX: SNGS )» и подконтрольный ему Сургутнефтегазбанк, а также страховые компании «Ингосстрах» и «АльфаСтрахование», следует из материалов американского Минфина. 
Также США сократили срок действия лицензии на расчеты в сере энергетики с подсанкционными банками из России. Новый срок окончания таких операций — 12 марта, ранее был 30 апреля.
Читайте оригинальную статью на сайте Frankmedia","10.01.2025, 18:15",https://ru.investing.com/news/general/article-2619148
Нефть превысила $80 впервые с октября,"© Reuters.
Investing.com — Нефть продолжает ралли в последний день торговой недели, подпитываясь опасениями перебоев в поставках на фоне разговоров о новых жестких санкциях Вашингтона против российской нефти.опасениями перебоев в поставках на фоне разговоров о новых жестких санкциях Вашингтона против российской нефти. 
Фьючерсы на Brent прибавляют с начала дня 4,5%, впервые с 8 октября превысив психологическую отметку $80 за баррель. В моменте мартовские контракты коснулись пика на $80,52 за баррель и к моменту написания материала держались вблизи пиков.Brent прибавляют с начала дня 4,5%, впервые с 8 октября превысив психологическую отметку $80 за баррель. В моменте мартовские контракты коснулись пика на $80,52 за баррель и к моменту написания материала держались вблизи пиков.","10.01.2025, 17:27",https://ru.investing.com/news/commodities-news/article-2619093
Нефть демонстрирует самый продолжительный рост с июля,"© Reuters.
Investing.com — Нефть нацелилась на третий недельный рост — самый продолжительный с июля — на фоне признаков напряженности на рынке, включая снижение запасов в США, что компенсировало опасения по поводу слабого спроса в крупнейшем импортере, Китае. Об этом пишет Bloomberg.Bloomberg. 
Мировой эталон нефти Brent поднялся выше $77 за баррель и за неделю вырос примерно на 1%, в то время как WTI находилась над $74. Запасы нефти в хранилище в Кушинге, штат Оклахома, упали до самого низкого уровня с 2014 года. Потребительская инфляция в Китае продолжила снижаться, что подчеркивает трудности, с которыми сталкиваются власти в попытках стимулирования экономики.Brent поднялся выше $77 за баррель и за неделю вырос примерно на 1%, в то время как WTI находилась над $74. Запасы нефти в хранилище в Кушинге, штат Оклахома, упали до самого низкого уровня с 2014 года. Потребительская инфляция в Китае продолжила снижаться, что подчеркивает трудности, с которыми сталкиваются власти в попытках стимулирования экономики. 
Затяжное повышение цен на нефть в последние недели поддерживается холодной погодой, которая увеличивает спрос на топливо, сокращением запасов в США и снижением поставок из России. Возвращение избранного президента Дональда Трампа в Белый дом также увеличивает риски для поставок из Ирана и создает напряженность по поводу потенциальной торговой войны, которая может прервать потоки энергоносителей.
«Сокращение запасов, ожидание снижения спроса со стороны Китая на иранский экспорт и похолодание, которое обещает значительное увеличение спроса на топливо для отопления, оправдывают это движение вверх», — говорит Крис Уэстон, глава исследовательского отдела Pepperstone Group. «Однако предложение, которое мы сейчас наблюдаем на уровне 75 долларов, свидетельствуют о справедливости текущих уровней, и существует некая неохота двигаться к $80».
«Сокращение запасов, ожидание снижения спроса со стороны Китая на иранский экспорт и похолодание, которое обещает значительное увеличение спроса на топливо для отопления, оправдывают это движение вверх», — говорит Крис Уэстон, глава исследовательского отдела Pepperstone Group. «Однако предложение, которое мы сейчас наблюдаем на уровне 75 долларов, свидетельствуют о справедливости текущих уровней, и существует некая неохота двигаться к $80».
Ожидается, что Трамп одобрит новое бурение на федеральных землях в рамках потока исполнительных приказов в первые часы после своей инаугурации 20 января. Избранный президент также пообещал ввести тарифы на весь канадский импорт, возможно, включая нефть.
Рыночные показатели указывают на ужесточение условий. Спрэд на поставку нефти Brent — разница между двумя ближайшими контрактами — увеличился до 70 центов за баррель в состоянии бэквордации, что является «бычьей» тенденцией. Месяц назад этот разрыв составлял 29 центов в бэквордации.","10.01.2025, 10:12",https://ru.investing.com/news/commodities-news/article-2618286
Нефть завершает неделю в плюсе с оглядкой на Китай и США,"© Reuters.
Investing.com — В пятницу нефть умеренно подорожала, завершая неделю ростом, чему способствуют ожидания стимулирования роста экономики Китая, крупнейшего в мире импортера нефти, пишет Reuters.Reuters. 
Также некоторую поддержку рынку оказали данные о снижении запасов сырой нефти в США.
Аналитики, опрошенные Reuters, ожидали, что запасы в США на прошлой неделе сократились примерно на 1,9 миллиона баррелей; а по данным Американского института нефти, снижение составило 3,2 миллиона баррелей.
Фьючерсы на нефть марки Brent выросли на 0,4% до $73,14 за баррель к 13:29 мск. WTI торговалась по $69,96, с повышением на 0,49%. За неделю Brent выросла на 0,5%, а WTI — на 0,4%.Brent выросли на 0,4% до $73,14 за баррель к 13:29 мск. WTI торговалась по $69,96, с повышением на 0,49%. За неделю Brent выросла на 0,5%, а WTI — на 0,4%. 
«Вероятно, мы снова движемся вверх в ожидании снижения запасов сырой нефти в США», — сказал аналитик UBS Джованни Стауново. «Некоторую поддержку нефти может вскоре оказать холодная погода, поддерживающая спрос».
«Вероятно, мы снова движемся вверх в ожидании снижения запасов сырой нефти в США», — сказал аналитик UBS Джованни Стауново. «Некоторую поддержку нефти может вскоре оказать холодная погода, поддерживающая спрос».
Официальный еженедельный отчет о запасах Управления энергетической информации США выйдет позднее сегодня, позже обычного из-за рождественских праздников.
Оптимизм в отношении экономического роста Китая и спроса на нефть был подкреплен в четверг, когда Всемирный банк повысил прогноз экономического роста Китая на 2024 и 2025 годы, но отметил, что низкая уверенность домохозяйств и бизнеса будет продолжать оказывать давление в следующем году.повысил прогноз экономического роста Китая на 2024 и 2025 годы, но отметил, что низкая уверенность домохозяйств и бизнеса будет продолжать оказывать давление в следующем году. 
Китайские власти согласились выпустить специальные казначейские облигации на сумму 3 триллиона юаней ($411 миллиардов) в следующем году, как сообщили Reuters источники на этой неделе, поскольку Пекин принимает меры для оживления застойной экономики.выпустить специальные казначейские облигации на сумму 3 триллиона юаней ($411 миллиардов) в следующем году, как сообщили Reuters источники на этой неделе, поскольку Пекин принимает меры для оживления застойной экономики. 
Тем не менее, укрепление доллара США ограничило рост цен на нефть. Американская валюта выросла на ожиданиях, что политика Трампа будет способствовать повышению инфляции.укрепление доллара США ограничило рост цен на нефть. Американская валюта выросла на ожиданиях, что политика Трампа будет способствовать повышению инфляции.","27.12.2024, 13:37",https://ru.investing.com/news/commodities-news/article-2609791
