Title,Text,Time,Url
Акции застройщиков подскочили на новостях о поддержке со стороны властей,"© Reuters
Investing.com — Акции застройщиков подскочили на новости о поддержке властей для предотвращения банкротств, пишет РБК.РБК. 
По состоянию на 13:38 мск акции «Самолета» на пике росли на 3,88% по сравнению с уровнем закрытия предыдущего дня — до 1390 руб. Бумаги ПИКа дорожали на 0,98%, до 532,6 руб.«Самолета» на пике росли на 3,88% по сравнению с уровнем закрытия предыдущего дня — до 1390 руб. Бумаги ПИКа дорожали на 0,98%, до 532,6 руб. 
Котировки подскочили на фоне заявления вице-премьера России Марата Хуснуллина о том, что власти не допустят банкротства девелоперов.
«Мы, конечно, будем делать все, чтобы не допустить <...> банкротства застройщиков. Сейчас мы со всеми губернаторами проговорили, что вопрос оказания помощи населению, которое взаимодействует с застройщиками, нужно усилить. Об этом мы договорились» , — заяаил Хуснуллин.
«Мы, конечно, будем делать все, чтобы не допустить <...> банкротства застройщиков. Сейчас мы со всеми губернаторами проговорили, что вопрос оказания помощи населению, которое взаимодействует с застройщиками, нужно усилить. Об этом мы договорились» , — заяаил Хуснуллин.","13.11.2024, 14:26",https://ru.investing.com/news/general-news/article-2569384
Акции застройщиков подорожали после слов Путина о льготной ипотеке,"Investing.com — Акции строительных компаний выросли после предложения президента Владимира Путина продлить программу «Семейная ипотека» до 2030 года. Об этом он сообщил во время послания Федеральному собранию.Федеральному собранию. 
Наиболее яркая динамика зафиксирована в бумагах «Самолета» — на пике котировки прибавляли 3,92% к закрытию предыдущего торгового дня и находились на уровне 3740 руб. Резкий скачок произошел в 12:43 МСК сразу после слов президента. Если на 12:42 бумаги стоили 3652,5 руб., то в 12:44 МСК — уже 3740 руб. (+2,39%).
Бумаги строительной компании ЛСР (MCX:LSRG) вышли в плюс и росли на 0,69%, до 1017 руб. Акции ПИК также оказались в зеленой зоне, прибавив 0,1%, до 892,7 руб. До этого акции ПИК снижались на 1,82%, до 875,6 руб., бумаги ЛСР дешевели на 0,71%, до 1002,8 руб.LSRG ) вышли в плюс и росли на 0,69%, до 1017 руб. Акции ПИК также оказались в зеленой зоне, прибавив 0,1%, до 892,7 руб. До этого акции ПИК снижались на 1,82%, до 875,6 руб., бумаги ЛСР дешевели на 0,71%, до 1002,8 руб. 
«За последние шесть лет миллионы семей улучшили условия, в том числе благодаря семейной ипотеке. Программа семейной ипотеки действует до июля. Предлагаю продлить ее до 2030 года, уделить особое внимание семьям с детьми до 6 лет», — сказал он.
«За последние шесть лет миллионы семей улучшили условия, в том числе благодаря семейной ипотеке. Программа семейной ипотеки действует до июля. Предлагаю продлить ее до 2030 года, уделить особое внимание семьям с детьми до 6 лет», — сказал он.
От редакции
Если вы ищете платформу, которая позволит вам с легкостью анализировать рыночные инструменты и отбирать именно те, которые подходят для вашего портфеля и вашего стиля инвестирования, как это делают наши авторы, предлагаем вам воспользоваться InvestingPro.. 
А мы дарим вам купон на дополнительную скидку 10% на двухгодовую подписку: RUTRADERS4EVER.
Не забудьте ввести купон в специальное поле при оформлении и оплате подписки!! 
Читайте нас в Telegram и «ВКонтакте».и","29.02.2024, 13:23",https://ru.investing.com/news/stock-market-news/article-2378266
"В индекс Мосбиржи войдут акции «Мечела», «Мосэнерго» и «Совкомфлота»","© Reuters.
Investing.com — Московская биржа с 22 декабря изменит базы расчета индексов Мосбиржи и РТС. В них войдут акции горнодобывающей и металлургической компании «Мечел (MCX:MTLR)», энергокомпании «Мосэнерго (MCX:MSNG)», девелопера ГК «Самолет» и судоходной компании «Совкомфлот (MCX:FLOT)», говорится в сообщении на сайте.РТС . В них войдут акции горнодобывающей и металлургической компании «Мечел (MCX: MTLR )», энергокомпании «Мосэнерго (MCX: MSNG )», девелопера ГК «Самолет» и судоходной компании «Совкомфлот (MCX: FLOT )», говорится в сообщении на сайте. 
В базу расчета индекса голубых фишек будут включены обыкновенные акции НЛМК (MCX:NLMK), бумаги МТС (MCX:MTSS) покинут индекс. В базу расчета индекса средней и малой капитализации войдут бумаги Московского кредитного банка.NLMK ), бумаги МТС (MCX: MTSS ) покинут индекс. В базу расчета индекса средней и малой капитализации войдут бумаги Московского кредитного банка. 
В базу расчета индекса акций широкого рынка будут включены акции группы «Астра» и Henderson. Из него будут исключены акции «Россети Северо-Запад (MCX:MRKZ)» и депозитарные расписки иностранного эмитента на акции O’KEY Group S.A. В индекс информационных технологий войдут акции группы «Астра», в индекс потребительского сектора — ПАО «ЭЙЧ ЭФ ДЖИ». Из последнего исключат депозитарные расписки иностранного эмитента на акции O’KEY Group S.A. Кроме того, акции «Россети (MCX:RSTI) Северо-Запад» покинут индекс электроэнергетики.MRKZ )» и депозитарные расписки иностранного эмитента на акции O’KEY Group S.A. В индекс информационных технологий войдут акции группы «Астра», в индекс потребительского сектора — ПАО «ЭЙЧ ЭФ ДЖИ». Из последнего исключат депозитарные расписки иностранного эмитента на акции O’KEY Group S.A. Кроме того, акции «Россети (MCX: RSTI ) Северо-Запад» покинут индекс электроэнергетики. 
В лист ожидания на включение в базу расчета индекса Мосбиржи и индекса РТС включены акции компании «ВСМПО-Ависма (MCX:VSMO)», банка «Санкт-Петербург», группы «Ренессанс Страхование (MCX:RENI)», а также «Ленты (MCX:LNTADR)». Акции «Магнита (MCX:MGNT)» остаются в листе ожидание на исключение из базы расчета.индекса Мосбиржи и индекса РТС включены акции компании «ВСМПО-Ависма (MCX: VSMO )», банка «Санкт-Петербург», группы «Ренессанс Страхование (MCX: RENI )», а также «Ленты (MCX: LNTADR )». Акции «Магнита (MCX: MGNT )» остаются в листе ожидание на исключение из базы расчета. 
Читайте нас в Telegram и «ВКонтакте».и","30.11.2023, 12:31",https://ru.investing.com/news/stock-market-news/article-2329039
Открытие филиалов иностранных банков в России: новости к утру 17 июля,"© Reuters.
Investing.com — ЦБ поддержал законопроект Минфина об открытии филиалов иностранных банков в России, а итоги расследования краха Credit Suisse (SIX:CSGN) в парламенте Швейцарии засекретят на 50 лет — эти и другие важные новости к утру понедельника, 17 июля, в нашем ежедневном обзоре.Credit Suisse Credit Suisse (SIX: CSGN ) в парламенте Швейцарии засекретят на 50 лет — эти и другие важные новости к утру понедельника, 17 июля, в нашем ежедневном обзоре. 
ЦБ полностью поддерживает предложенный Минфином законопроект об открытии филиалов иностранных банков в России, сообщил «Известиям» первый заместитель председателя Банка России Владимир Чистюхин. Такие филиалы сосредоточатся на функции расчетов, уточнил зампред ЦБ. Он добавил, что работа таких филиалов станет удобной формой осуществления банковских операций для зарубежных партнеров в условиях санкций. В марте Минфин представил законопроект, который даст возможность иностранным банкам открывать филиалы в России. Они будут работать преимущественно с юрлицами, операции и сделки с физлицами будут им недоступны.«Известиям» первый заместитель председателя Банка России Владимир Чистюхин. Такие филиалы сосредоточатся на функции расчетов, уточнил зампред ЦБ. Он добавил, что работа таких филиалов станет удобной формой осуществления банковских операций для зарубежных партнеров в условиях санкций. В марте Минфин представил законопроект, который даст возможность иностранным банкам открывать филиалы в России. Они будут работать преимущественно с юрлицами, операции и сделки с физлицами будут им недоступны. 
Парламентская комиссия Швейцарии на 50 лет засекретит результаты своего расследования, касающегося стремительного крушения банка Credit Suisse, сообщил Reuters со ссылкой на документы комиссии. «После завершения расследования файлы должны быть переданы в Федеральные архивы и должны подлежать продленному периоду защиты в 50 лет», — процитировало документы агентство.Reuters со ссылкой на документы комиссии. «После завершения расследования файлы должны быть переданы в Федеральные архивы и должны подлежать продленному периоду защиты в 50 лет», — процитировало документы агентство. 
Власти решили повысить лимит на переводы денег между своими счетами в разных банках без комиссии до 30 млн рублей в месяц. Об этом пишут «Известия» со ссылкой на законопроект, разосланный участникам финансового рынка. Его подлинность подтвердили источники. Профильный комитет Госдумы должен рассмотреть документ 17 июля.«Известия» со ссылкой на законопроект, разосланный участникам финансового рынка. Его подлинность подтвердили источники. Профильный комитет Госдумы должен рассмотреть документ 17 июля. 
Строительная компания «Самолет» создаст собственное образовательное направление «Самолетум», в которое до конца 2023 года инвестирует 1 млрд рублей. Об этом пишет Forbes со ссылкой на сообщение «Самолета». Компания намерена участвовать в развитии муниципальных школ и детсадов, а также создавать свои частные образовательные организации «Самолетум Сад» и «Самолетум Школа», а также онлайн-ресурсы.«Самолет» создаст собственное образовательное направление «Самолетум», в которое до конца 2023 года инвестирует 1 млрд рублей. Об этом Forbes со ссылкой на сообщение «Самолета». Компания намерена участвовать в развитии муниципальных школ и детсадов, а также создавать свои частные образовательные организации «Самолетум Сад» и «Самолетум Школа», а также онлайн-ресурсы. 
Британский миллиардер, основатель Virgin Group Ричард Брэнсон призвал власти Великобритании снять санкции с Олега Тинькова. Об этом пишет The Times со ссылкой на письмо бизнесмена, приложенное к официальному обращению в МИД Великобритании.The Times со ссылкой на письмо бизнесмена, приложенное к официальному обращению в МИД Великобритании. 
Читайте нас в Telegram и «ВКонтакте».и 
Текст подготовил Тимур Алиев","17.07.2023, 10:57",https://ru.investing.com/news/economy/article-2273782
Акции Самолета выросли на фоне крупнейшей сделки компании,"© Reuters.
Investing.com — Котировки девелоперской группы «Самолет» на открытии торгов выросли на 4,63%, до 3250 руб., что стало максимумом с 16 сентября 2022 года. По состоянию на 10:20 МСК рост замедлился до 3,83%, цена одной акции составила 3225 руб., свидетельствуют данные торгов на Московской бирже.«Самолет» на открытии торгов выросли на 4,63%, до 3250 руб., что стало максимумом с 16 сентября 2022 года. По состоянию на 10:20 МСК рост замедлился до 3,83%, цена одной акции составила 3225 руб., свидетельствуют данные торгов на Московской бирже . 
Спрос на бумаги увеличился на фоне новости о покупке «Самолетом» группы девелоперских компаний МИЦ. Сумма сделки оценивается более чем в 40 млрд руб., компании еще требуется получить одобрение от Федеральной антимонопольной службы.
«Группа „Самолет“ объявляет о подписании соглашения о приобретении 100% ГК „МИЦ“, одной из крупнейших девелоперских компаний Московского региона, у нескольких физических лиц», — сообщила пресс-служба «Самолета».
«Группа „Самолет“ объявляет о подписании соглашения о приобретении 100% ГК „МИЦ“, одной из крупнейших девелоперских компаний Московского региона, у нескольких физических лиц», — сообщила пресс-служба «Самолета».
По условиям сделки «Самолет» получит более 50 компаний, входящих в ГК «МИЦ», а также земельные участки в Москве, Новой Москве и Московской области и 11 проектов в стадии строительства и проектирования. По словам генерального директора и члена совета директоров группы «Самолет» Антона Елистратова, приобретение МИЦ позволит выйти на объем текущего строительства в 4,2 млн кв. м по всей России.
Читайте нас в Telegram и «ВКонтакте».и 
Текст подготовил Тимур Алиев","20.06.2023, 11:08",https://ru.investing.com/news/stock-market-news/article-2265898
Выручка в квадриллион рублей: новости к утру 20 июня,"Investing.com — Выручка российских компаний впервые в истории превысила квадриллион рублей, а ЦБ рассказал о возможных изменениях в правилах тестирования для «неквалов» — эти и другие важные новости к утру вторника, 20 июня, в нашем ежедневном обзоре.
Российские компании задекларировали по итогам 2022 года Федеральной налоговой службе (ФНС) выручку в 1268 трлн рублей, или 1,27 квадриллиона (число с 15 нулями). Годом ранее выручка российских компаний составила 655 трлн рублей, почти в два раза меньше, сообщает РБК со ссылкой на данные ФНС. Выручка компаний впервые в истории России превысила отметку в 1 квадриллион.РБК со ссылкой на данные ФНС. Выручка компаний впервые в истории России превысила отметку в 1 квадриллион. 
ЦБ рассматривает возможность увеличения порога по «праву на последнее слово» до 300 000 рублей на сложные финансовые инструменты, которые требуют прохождение тестирования. Об этом рассказала заместитель руководителя службы по защите прав потребителей и обеспечению доступности финансовых услуг регулятора Елена Ненахова на онлайн-конференции «Портфельные инвестиции для частных лиц. Дивный новый мир», передает РБК.РБК. 
ГК «Самолет» договорилась о покупке девелоперской группы МИЦ, в сделку войдут более 50 компаний, связанных с группой и другие ее активы, включая жилые проекты и земельный банк. Об этом пишут «Ведомости» со ссылкой на собеседников, близких к обеим сторонам соглашения, и представителя «Самолета». На рынке сделку оценивают в 40-60 млрд рублей, это крупнейшая сделка в жилом девелопменте за всю его историю, полагают эксперты.ГК «Самолет» договорилась о покупке девелоперской группы МИЦ, в сделку войдут более 50 компаний, связанных с группой и другие ее активы, включая жилые проекты и земельный банк. Об этом «Ведомости» со ссылкой на собеседников, близких к обеим сторонам соглашения, и представителя «Самолета». На рынке сделку оценивают в 40-60 млрд рублей, это крупнейшая сделка в жилом девелопменте за всю его историю, полагают эксперты. 
Независимый директор золотодобывающей компании Polymetal International plc Пол Остлинг покинул совет директоров, говорится в сообщении на сайте Polymetal. Главный старший независимый директор Polymetal Евгений Коноваленко заявил, что компания высоко ценит вклад Остлинга в ее развитие и планирует найти кандидата ему на замену «в рабочем порядке».на сайте Polymetal . Главный старший независимый директор Polymetal Евгений Коноваленко заявил, что компания высоко ценит вклад Остлинга в ее развитие и планирует найти кандидата ему на замену «в рабочем порядке». 
Совокупный объем коротких позиций на американском рынке акций в июне достиг максимума с апреля 2022 года и превысил $1 трлн. Для сравнения, еще в начале года общий объем коротких позиций против акций США оценивался в $863 млрд. Однако пока ставка на падение рынка принесла убытки инвесторам — только за первую половину июня они потеряли $72 млрд, пишет The Wall Street Journal со ссылкой на данные исследовательской компании S3 Partners.The Wall Street Journal со ссылкой на данные исследовательской компании S3 Partners. 
Читайте нас в Telegram и «ВКонтакте».и 
Текст подготовил Тимур Алиев","20.06.2023, 10:33",https://ru.investing.com/news/economy/article-2265874
Бумаги «Самолета» выросли на 13% на новости об обратном выкупе акций,"© Reuters
Investing.com — Акции девелопера «Самолет» выросли на открытии торгов на Московской бирже на 13,2% и достигли 3100 рублей за бумагу на новости об обратном выкупе акций компании на сумму до 10 млрд рублей, пишет Forbes.«Самолет» выросли на открытии торгов на Московской бирже на 13,2% и достигли 3100 рублей за бумагу на новости об обратном выкупе акций компании на сумму до 10 млрд рублей, Forbes. 
По состоянию на 11:20 МСК акции застройщики росли в цене на 9,8% — до 2978,5 рубля за бумагу.
29 мая застройщик сообщил, что совет директоров компании поручил менеджменту провести buyback акций на рынке в размере до 10 млрд рублей до конца 2023 года. Решение принято с учетом того, что справедливая оценка стоимости чистых активов компании в пять раз превышает ее текущую капитализацию и «динамика цены акций не отражает кратный рост бизнеса за последние несколько лет», отмечается в пресс-релизе., что совет директоров компании поручил менеджменту провести buyback акций на рынке в размере до 10 млрд рублей до конца 2023 года. Решение принято с учетом того, что справедливая оценка стоимости чистых активов компании в пять раз превышает ее текущую капитализацию и «динамика цены акций не отражает кратный рост бизнеса за последние несколько лет», отмечается в пресс-релизе. 
В компании назвали справедливой оценку стоимости активов группы в 761 млрд рублей на конец 2022 года, подготовленную независимым оценщиком Commonwealth Partnership (до марта 2022 года — Сushman & Wakefield). Капитализация «Самолета» 29 мая на Московской бирже составляла 183 млрд рублей.
Следите за нашими новостями в социальных сетях: Telegram, «ВКонтакте» и «Одноклассниках».
Текст подготовил Тимур Алиев","29.05.2023, 11:48",https://ru.investing.com/news/stock-market-news/article-2259301
Мосбиржа расширит список доступных на вечерних торгах акций,"© Reuters.
Investing.com — Московская биржа сообщила об увеличении числа ценных бумаг, доступных для заключения сделок на вечерней торговой сессии на рынке акций. С 9 марта в список инструментов на вечерних торгах рынка акций будут добавлены 11 ценных бумаг.биржа об увеличении числа ценных бумаг, доступных для заключения сделок на вечерней торговой сессии на рынке акций. С 9 марта в список инструментов на вечерних торгах рынка акций будут добавлены 11 ценных бумаг. 
С 9 марта на вечерней сессии Мосбиржи станут доступны акции следующих компаний:
Кроме того, в список будут добавлены обыкновенные и привилегированные акции компании «Мечел».«Мечел» . 
В общей сложности, с 9 марта инвесторы смогут заключать сделки с 74 инструментами рынка акций — ценными бумагами российских эмитентов, БПИФ, а также паями ПИФ, сообщила торговая площадка. Кроме того, с 6 марта 2023 года на вечерних торгах для заключения сделок станет доступен ОПИФ «БКС Российские Акции».
Следите за нашими новостями в социальных сетях: Telegram, «ВКонтакте» и «Одноклассниках».
Текст подготовил Тимур Алиев","06.03.2023, 16:54",https://ru.investing.com/news/stock-market-news/article-2235975
«Самолет» планирует провести SPO весной 2023 года,"© Reuters.
Investing.com — Группа ГК Самолет ПАО (MCX:SMLT) может провести весной 2023 года вторичное размещение акций (SPO). Об этом сообщил на конференции Samolet Big Day генеральный директор группы Антон Елистратов.SMLT ) может провести весной 2023 года вторичное размещение акций (SPO). Об этом сообщил на конференции Samolet Big Day генеральный директор группы Антон Елистратов. 
Он отметил, что площадка размещения будет зависеть от инвесторов, которые будут участвовать в SPO.
«Если к 2023 году мы продемонстрируем успехи и покажем, что превратились из девелоперской компании в группу технологических компаний, которая строит экосистему, в этом случае в нас будут инвестировать технологические фонды», — отметил Елистратов.
«Если к 2023 году мы продемонстрируем успехи и покажем, что превратились из девелоперской компании в группу технологических компаний, которая строит экосистему, в этом случае в нас будут инвестировать технологические фонды», — отметил Елистратов.
«Самолет» провел первичное размещение акций (IPO) на Мосбирже 29 октября 2020 года. Это размещение стало первым в отечественной строительной индустрии более чем за 10 лет. Компания продала 5,1% акций по цене 950 руб. за штуку.
Текст подготовила Яна Шебалина","29.11.2021, 18:19",https://ru.investing.com/news/stock-market-news/article-2113837
Экс-вице-президент ПИК обвиняется в мошенничестве на 100 млн руб.,"Investing.com — Бывший вице-президент группы компаний «ПИК» (MCX:PIKK), а ныне директора по развитию регионов ПАО «ГК Самолет» (MCX:SMLT) Александр Лефель задержан в Москве по делу о мошенничестве.PIKK ), а ныне директора по развитию регионов ПАО «ГК Самолет» (MCX: SMLT ) Александр Лефель задержан в Москве по делу о мошенничестве. 
В пресс-службе Тверского суда Москвы Интерфаксу сообщили, что следствие попросило арестовать топ-менеджера на два месяца., что следствие попросило арестовать топ-менеджера на два месяца. 
«В адрес Тверского районного суда города Москвы поступило ходатайство следствия об избрании в отношении обвиняемого Александра Лефеля меры пресечения в виде заключения под стражу сроком на два месяца», — сказал агентству представитель суда.
«В адрес Тверского районного суда города Москвы поступило ходатайство следствия об избрании в отношении обвиняемого Александра Лефеля меры пресечения в виде заключения под стражу сроком на два месяца», — сказал агентству представитель суда.
Главное управление МВД России по Москве уже предъявило Лефелю обвинение по ч. 4 ст. 159 УК РФ (мошенничество в особо крупном размере).
Поскольку СМИ сначала сообщили о задержании вице-президента ПИК, акции девелопера упали на 2,6%, однако, когда позже выяснилось, что Лефель уже не работает в ПИК, акции несколько восстановились и на момент написания статьи теряют 1,39%.
Между тем бумаги ГК «Самолет» снижаются на 0,62%. Компания по итогам 2020 года заняла четвертое место по объему строительства в России.
Позже стало известно, что разбирательство против Лефеля инициировала ГК «ПИК», из которой он был уволен в апреле 2019 года. Сотрудники службы безопасности строительной компании установили факты злоупотреблений со стороны бывшего вице-президента в 2017-2018 годах, сообщает Forbes со ссылкой на пресс-службу компании.Forbes со ссылкой на пресс-службу компании. 
По их данным он нанес ущерб компании в размере 100 млн руб. при строительстве жилого комплекса в Санкт-Петербурге.
«Выявлены факты мошеннического расходования денежных средств компании, в том числе привлеченных средств дольщиков строительства, при осуществлении работ на стадии нулевого цикла», — рассказал представитель компании.
«Выявлены факты мошеннического расходования денежных средств компании, в том числе привлеченных средств дольщиков строительства, при осуществлении работ на стадии нулевого цикла», — рассказал представитель компании.
Проверку компания провела в декабре 2020, а затем обратилась в правоохранительные органы, которые в июне этого года возбудили два уголовных дела по мошенничеству, впоследствии объединенные в одно производство. В рамках уголовного дела ПИК признана потерпевшим и гражданским истцом.
Акции «ПИК» перешли после этих новостей к росту и в 17:30 МСК прибавляют 0,38%.
Текст подготовила Александра Шнитникова","08.10.2021, 15:13",https://ru.investing.com/news/politics/article-2094614
