Title,Text,Time,Url
СПБ Биржа запустит торги выходного дня,"Investing.com — СПБ Биржа подготовила свою инфраструктуру к началу торгов в выходные дни, заявил генеральный директор торговой площадки Евгений Сердюков в рамках «Уральской конференции НАУФОР — 2024», организованной Национальной ассоциацией участников фондового рынка. Об этом пишет РБК.РБК. 
Как отметил Сердюков, биржа в настоящий момент ожидает окончательного согласования от Банка России.
Остальные инструменты российского фондового рынка будут находиться в режиме «приостановки», однако в дальнейшем площадка планирует расширить линейку инструментов по запросу участников торгов.
Маржинальные позиции клиентов в выходные дни закрываться не будут, однако СПБ Биржа установит предельный диапазон колебания цен на уровне +/- 1,5% от цены закрытия торговой сессии в пятницу. Это означает, что цена актива не сможет измениться более чем на 1,5% в ходе сессий в субботу и воскресенье.
Выходные дни будут считаться отдельными дополнительными сессиями понедельника или первого торгового дня, следующего за ними. То есть маркет-мейкеры не будут поддерживать котировки в субботу и воскресенье по ценам пятницы, если в понедельник бумаги будут торговаться уже без дивидендов.
В выходные дни не будут осуществляться поставки и расчеты по сделкам, ввод и вывод средств, клиринг, предъявление маржин-коллов участникам торгов, а также обработка корпоративных действий.
Все неисполненные заявки будут сниматься после окончания календарного дня в выходные, а списание комиссий будет производиться во время клиринга в первый будний рабочий день.","09.10.2024, 15:32",https://ru.investing.com/news/general/article-2528267
СПБ биржа планирует провести не менее пяти IPO в 2025 году,"© Reuters. СПБ биржа планирует провести не менее пяти IPO в 2025 году — исполнительный директор СПБ биржи Иван Сузимов
sMart-lab.ru -
Мы в текущем моменте имеем определенный пайплайн по выводу новых эмитентов на биржу. Эта очередь существует, но она будет зависеть от того, какие условия сложатся на рынке для участия инвесторов Мы предполагаем, что не меньше пяти в следующем году мы представим
В мае на «СПБ бирже» состоялось IPO ПАО «Элемент» (головная структура группы компаний в сфере микроэлектроники, созданной на базе активов АФК «Система» и «Ростеха»).
Читайте оригинальную статью на сайте sMart-lab.ru","04.10.2024, 17:58",https://ru.investing.com/news/stock-market-news/article-2524431
СПБ Биржа запустила торги 85 российскими акциями,"Investing.com — СПБ Биржа с 9 сентября запустила торги 85 бумагами российских эмитентов, включив их в некотировальную часть списка ценных бумаг. Об этом сообщается на сайте торговой площадки.СПБ Биржа с 9 сентября запустила торги 85 бумагами российских эмитентов, включив их в некотировальную часть списка ценных бумаг. Об этом сообщается на сайте торговой площадки. 
Среди допущенных к торгам бумаг акции «Абрау-Дюрсо», банка «Авангард», «СмартТехГрупп» (CarMoney), Globaltruck, «Славнефть-ЯНОС», «Россетей Ленэнерго», «Мосгорломбарда», РБК, Росбанка, «Таттелекома», банка «Уралсиб» и других.
До этого на бирже торговались около 60 бумаг российских эмитентов. Торги иностранными активами были остановлены после того, как СПБ Биржа подпала под блокирующие санкции США 2 ноября 2023 года.
С 8 августа СПБ Биржа проводит утренние торги акциями десяти российских компаний. Среди них обыкновенные акции АФК «Система» (MCX:AFKS), «Газпрома» (MCX:GAZP), ЛУКОЙЛа (MCX:LKOH), НОВАТЭКа (MCX:NVTK), «Полюса» (MCX:PLZL), Сбербанка (MCX:SBER), самой СПБ Биржи, «Татнефти», «Элемента», а также привилегированные акции «Сургутнефтегаза» (MCX:SNGS). Дополнительная сессия идет с 07:00 по 10:00 мск, она доступна для всех участников торгов.AFKS ), «Газпрома» (MCX: GAZP ), ЛУКОЙЛа (MCX: LKOH ), НОВАТЭКа (MCX: NVTK ), «Полюса» (MCX: PLZL ), Сбербанка (MCX: SBER ), самой СПБ Биржи, «Татнефти», «Элемента», а также привилегированные акции «Сургутнефтегаза» (MCX: SNGS ). Дополнительная сессия идет с 07:00 по 10:00 мск, она доступна для всех участников торгов.","09.09.2024, 13:20",https://ru.investing.com/news/stock-market-news/article-2500779
Cрок приема заявок на биржевой обмен акций Яндекса продлили на один день,"© Reuters.
Investing.com — Новые акционеры «Яндекса» в лице ЗПИФ «Консорциум. Первый» объявили о продлении срока приема заявок на участие в биржевом обмене акций нидерландской Yandex N.V. на один день. Владельцы бумаг, которые еще не успели подать заявки на биржевой обмен, смогут сделать это 27 июня. Об этом говорится в сообщении ЗПИФ «Консорциум. Первый».«Яндекса» в лице ЗПИФ «Консорциум. Первый» объявили о продлении срока приема заявок на участие в биржевом обмене акций нидерландской Yandex N.V. на один день. Владельцы бумаг, которые еще не успели подать заявки на биржевой обмен, смогут сделать это 27 июня. Об этом говорится в ЗПИФ «Консорциум. Первый». 
«Акционеры Yandex N.V., которые не успели подать заявки на биржевой обмен в установленные сроки, смогут сделать это 27 июня, в четверг, с 10:00 до 19:00 по московскому времени. ЗПИФ „Консорциум. Первый“ принял решение продлить сбор заявок на биржевой обмен акций Yandex N.V. по просьбе профессиональных участников рынка», — говорится в сообщении компании.
«Акционеры Yandex N.V., которые не успели подать заявки на биржевой обмен в установленные сроки, смогут сделать это 27 июня, в четверг, с 10:00 до 19:00 по московскому времени. ЗПИФ „Консорциум. Первый“ принял решение продлить сбор заявок на биржевой обмен акций Yandex N.V. по просьбе профессиональных участников рынка», — говорится в сообщении компании.
В биржевом обмене могут участвовать владельцы акций Yandex N.V., которые были приобретены на Мосбирже или СПБ бирже, то есть учитываются через цепочку, включающую НРД или СПБ Банк. Владельцы таких ценных бумаг могут обменять их на акции российского «Яндекса» с коэффициентом 1:1.Мосбирже или СПБ бирже , то есть учитываются через цепочку, включающую НРД или СПБ Банк. Владельцы таких ценных бумаг могут обменять их на акции российского «Яндекса» с коэффициентом 1:1. 
Кроме того, в ЗПИФ «Консорциум. Первый» напомнили, что принимают от брокеров корректировки и дополнения по ранее полученным заявкам на биржевой обмен акций Yandex N.V. Это позволит удовлетворить как можно больше биржевых заявок, сообщили в компании.
От редакции
Если вы ищете платформу, которая позволит вам с легкостью анализировать рыночные инструменты и отбирать именно те, которые подходят для вашего портфеля и вашего стиля инвестирования, как это делают наши авторы, предлагаем вам воспользоваться эксклюзивным предложением и оформить подписку на Investing Pro всего за 799 руб. в месяц.. 
Подписывайтесь на Investing в Telegram и получайте первым самые свежие новости из мира фондового рынка и инвестиций.","26.06.2024, 09:36",https://ru.investing.com/news/stock-market-news/article-2442182
В России может появиться новая биржа,"Investing.com — В России может появиться еще одна биржа для торгов ценными бумагами. Ей станет бывшая биржа «Санкт-Петербург», которая с февраля 2024 года называется АО «Восточная биржа им. В. В. Николаева», пишут «Ведомости».«Ведомости». 
На базе Восточной биржи планируется создать площадку для торгов ценными бумагами российских эмитентов, акциями компаний из дружественных стран, а также производными финансовыми инструментами на эти активы, говорит один из источников «Ведомостей».
К участию в проекте привлечен Роман Горюнов, бывший генеральный директор «СПБ биржи», которая ранее специализировалась на торгах американскими акциями, но попала под санкции США в ноябре 2023 года, знают три собеседника «Ведомостей».
Должность генерального директора организации занял Андрей Салащенко, бывший заместитель генерального директора «Открытие брокера». Гендиректором юрлица стал бывший топ-менеджер «СПБ банка» Олег Сырых.
Восточная биржа может стать альтернативой для торгов ценными бумагами, уверены два источника в брокерских компаниях. Глобальных причин для этого несколько.
Первая — подсанкционный статус «СПБ биржи» и Мосбиржи, из-за которых сотрудничать с торговыми площадками рискованно для несанкционных финансовых организаций и эмитентов. Вторая причина — запрос рынка на конкурентную биржевую среду.
От редакции
Если вы ищете платформу, которая позволит вам с легкостью анализировать рыночные инструменты и отбирать именно те, которые подходят для вашего портфеля и вашего стиля инвестирования, как это делают наши авторы, предлагаем вам воспользоваться эксклюзивным предложением и оформить подписку на Investing Pro всего за 799 руб. в месяц.. 
Читайте нас в Telegram.","21.06.2024, 09:30",https://ru.investing.com/news/stock-market-news/article-2439181
В Минфине США приняли обращение СПБ банка о разблокировке активов,"© Reuters.
Investing.com — Управление по контролю за иностранными активами Минфина США (OFAC) приняло к рассмотрению коллективное обращение СПБ Банка, расчетного депозитария СПБ Биржи, на разблокировку клиентских активов, передает «Интерфакс» со ссылкой на ведущего юриста СПБ Банка и руководителя проекта по разблокировке активов Олега Нафикова.СПБ Биржи , на разблокировку клиентских активов, «Интерфакс» со ссылкой на ведущего юриста СПБ Банка и руководителя проекта по разблокировке активов Олега Нафикова. 
По словам Нафикова, OFAC приняло обращение СПБ Банка 29 мая.
«На текущий момент нашему заявлению присвоен номер дела (сase ID). Это означает, что OFAC зарегистрировал наше заявление и принял его к рассмотрению», — сказал Нафиков.
«На текущий момент нашему заявлению присвоен номер дела (сase ID). Это означает, что OFAC зарегистрировал наше заявление и принял его к рассмотрению», — сказал Нафиков.
О подаче коллективного обращения в OFAC СПБ Биржа сообщила в мае, пишет Forbes. Тогда же были представлены шаблоны и инструкции, которые призваны помочь инвесторам составить в OFAC индивидуальные обращения для разблокировки активов. Ранее гендиректор СПБ Биржи Евгений Сердюков назвал самостоятельное обращение инвесторов в OFAC наиболее вероятным сценарием разблокировки активов.Forbes. Тогда же были представлены шаблоны и инструкции, которые призваны помочь инвесторам составить в OFAC индивидуальные обращения для разблокировки активов. Ранее гендиректор СПБ Биржи Евгений Сердюков назвал самостоятельное обращение инвесторов в OFAC наиболее вероятным сценарием разблокировки активов. 
От редакции
Если вы ищете платформу, которая позволит вам с легкостью анализировать рыночные инструменты и отбирать именно те, которые подходят для вашего портфеля и вашего стиля инвестирования, как это делают наши авторы, предлагаем вам воспользоваться InvestingPro.. 
А мы дарим вам купон на дополнительную скидку 10% на годовую подписку: RUTRADERS4EVER.
Не забудьте ввести купон в специальное поле при оформлении и оплате подписки!! 
Читайте нас в Telegram и «ВКонтакте».и","05.06.2024, 15:34",https://ru.investing.com/news/personal-finance-news/article-2430257
Одобрение спотовых эфириум-ETF: новостти к утру 24 мая,"© Reuters
Investing.com — В США одобрили запуск биржевых фондов для криптовалюты Ethereum, а санкционные брокеры вернулись на СПБ Биржу в преддверии IPO «Элемента» — эти и другие важные новости к утру пятницы, 24 мая, в нашем ежедневном обзоре.
Комиссия по ценным бумагам и биржам США (SEC) официально одобрила запуск спотовых биржевых фондов (ETF) для второй по капитализации криптовалюты Ethereum и листинг их бумаг на биржах NASDAQ, NYSE и CME. Биржевые фонды (exchange traded fund, ETF) позволяют торговать базовым активом в виде акций. Так называемые спотовые ETF подразумевают фактическую покупку актива (то есть криптовалюты) с рынка для обеспечения акций фонда.запуск спотовых биржевых фондов (ETF) для второй по капитализации криптовалюты Ethereum и листинг их бумаг на биржах NASDAQ , NYSE и CME. Биржевые фонды (exchange traded fund, ETF) позволяют торговать базовым активом в виде акций. Так называемые спотовые ETF подразумевают фактическую покупку актива (то есть криптовалюты) с рынка для обеспечения акций фонда. 
По мере того как российские брокеры подпадали под санкции США, СПБ Биржа прекращала с ними сотрудничество, но сейчас, когда площадка сама оказалась в SDN-листе США, подсанкционные профучастники начали возвращаться к работе с ней. Среди брокеров, находящихся под санкциями, доступ к СПБ Бирже сейчас предоставляют ВТБ (MCX:VTBR), «Тинькофф (LON:TCSq) Инвестиции», «Альфа-Инвестиции», Совкомбанк и «ВЕЛЕС Капитал», пишет РБК.СПБ Биржа прекращала с ними сотрудничество, но сейчас, когда площадка сама оказалась в SDN-листе США, подсанкционные профучастники начали возвращаться к работе с ней. Среди брокеров, находящихся под санкциями, доступ к СПБ Бирже сейчас предоставляют ВТБ (MCX: VTBR ), «Тинькофф (LON: TCSq ) Инвестиции», «Альфа-Инвестиции», Совкомбанк и «ВЕЛЕС Капитал», РБК. 
Идея использования замороженных активов РФ не нашла единогласной поддержки среди центробанков Европы, заявил министр экономики и финансов Италии Джанкарло Джорджетти, передает «Коммерсантъ». По его словам, возник вопрос, как применять согласованную правовую базу. Как считает министр, нужно регламентировать предложение на европейском уровне, но это непросто из-за предстоящих выборов в Европарламент.«Коммерсантъ». По его словам, возник вопрос, как применять согласованную правовую базу. Как считает министр, нужно регламентировать предложение на европейском уровне, но это непросто из-за предстоящих выборов в Европарламент. 
Московская биржа во втором полугодии 2024-го планирует запустить торги расчетными фьючерсными контрактами на сою, сообщил журналистам начальник управления продвижения продуктов и развития ликвидности рынка деривативов биржи Евгений Бурцев. Его слова передает «Интерфакс».Московская биржа во втором полугодии 2024-го планирует запустить торги расчетными фьючерсными контрактами на сою , сообщил журналистам начальник управления продвижения продуктов и развития ликвидности рынка деривативов биржи Евгений Бурцев. Его слова «Интерфакс». 
Руководители финансовых ведомств стран «Большой семерки» решили не замечать «слона в своей комнате» и проигнорировали тему растущей долговой нагрузки экономик стран G7, пишет Bloomberg. По данным издания, эта тема не фигурирует в официальной повестке встречи руководителей центральных банков и министров финансов стран G7 в Стрезе (Италия). Вместо этого она будет в основном посвящена использованию доходов, полученных от замороженных российских активов, для помощи Украине, международному налогообложению и темам, связанным с искусственным интеллектом.Bloomberg. По данным издания, эта тема не фигурирует в официальной повестке встречи руководителей центральных банков и министров финансов стран G7 в Стрезе (Италия). Вместо этого она будет в основном посвящена использованию доходов, полученных от замороженных российских активов, для помощи Украине, международному налогообложению и темам, связанным с искусственным интеллектом. 
От редакции
Если вы ищете платформу, которая позволит вам с легкостью анализировать рыночные инструменты и отбирать именно те, которые подходят для вашего портфеля и вашего стиля инвестирования, как это делают наши авторы, предлагаем вам воспользоваться InvestingPro.. 
А мы дарим вам купон на дополнительную скидку 10% на годовую подписку: RUTRADERS4EVER.
Не забудьте ввести купон в специальное поле при оформлении и оплате подписки!! 
Читайте нас в Telegram и «ВКонтакте».и","24.05.2024, 09:49",https://ru.investing.com/news/economy/article-2424827
Последствия ограничений на импорт российского газа: новости к утру 22 мая,"© Reuters.
Investing.com — ЕС хочет оценить последствия ограничений на импорт российского газа, а Мосбиржа запустит торги фьючерсами на акции четырех российских компаний — эти и другие важные новости к утру среды, 22 мая, в нашем ежедневном обзоре.
Бельгия, Германия и Франция обратились в Еврокомиссию с просьбой оценить, какой ущерб экономике странам ЕС могут нанести ограничения на импорт СПГ из России. Об этом со ссылкой на источники сообщает агентство Reuters. Собеседники агентства утверждают, что страны Евросоюза опасаются, не понесет ли их экономика больше ущерба чем российская.агентство Reuters. Собеседники агентства утверждают, что страны Евросоюза опасаются, не понесет ли их экономика больше ущерба чем российская. 
Московская биржа с 28 мая начнет на срочном рынке торги поставочными фьючерсами на акции четырех российских компаний, говорится в сообщении торговой площадки. В качестве базовых активов фьючерсных контрактов выступят обыкновенные акции «Русснефти», «Европлана», ДВМП и привилегированные акции {{13738|«Татнефти (MCX:TATN)»}}. К торгам будут допущены контракты с исполнением в июне и сентябре 2024 года.Московская биржа с 28 мая начнет на срочном рынке торги поставочными фьючерсами на акции четырех российских компаний, говорится в торговой площадки. В качестве базовых активов фьючерсных контрактов выступят обыкновенные акции «Русснефти» , «Европлана» , ДВМП и привилегированные акции {{13738|«Татнефти (MCX: TATN )»}}. К торгам будут допущены контракты с исполнением в июне и сентябре 2024 года. 
Нидерландский производитель микрочипов ASML уведомил США, что имеет возможность удаленно отключить оборудование по производству чипов на Тайване компанией TSMC в случае, если Китай вторгнется на остров, сообщает Bloomberg со ссылкой на источники. Речь идет о литографических станках для работы с экстремальным ультрафиолетом (EUV), которые TSMC закупает у голландской компании для производства микросхем. ASML — единственный производитель такого оборудования, цена одного станка — свыше 200 млн евро.ASML уведомил США, что имеет возможность удаленно отключить оборудование по производству чипов на Тайване компанией TSMC в случае, если Китай вторгнется на остров, Bloomberg со ссылкой на источники. Речь идет о литографических станках для работы с экстремальным ультрафиолетом (EUV), которые TSMC закупает у голландской компании для производства микросхем. ASML — единственный производитель такого оборудования, цена одного станка — свыше 200 млн евро . 
Министр финансов США Джанет Йеллен призвала руководителей банков Германии активизировать усилия по соблюдению санкций против России и прекратить попытки их обойти, чтобы избежать потенциальных штрафов, пишет Reuters. «Я призываю все присутствующие здесь учреждения принять повышенные меры по соблюдению требований и усилить внимание к попыткам уклонения от санкций», — сказала она в ходе выступления во Франкфурте.Йеллен призвала руководителей банков Германии активизировать усилия по соблюдению санкций против России и прекратить попытки их обойти, чтобы избежать потенциальных штрафов, Reuters. «Я призываю все присутствующие здесь учреждения принять повышенные меры по соблюдению требований и усилить внимание к попыткам уклонения от санкций», — сказала она в ходе выступления во Франкфурте. 
СПБ Биржа с 30 мая включит акции группы компаний «Элемент» в первый котировальный список бумаг, допущенных к торгам. Об этом говорится в сообщении биржи. Это будет первое размещение в секторе разработчиков и производителей радио- и микроэлектроники в России.СПБ Биржа с 30 мая включит акции группы компаний «Элемент» в первый котировальный список бумаг, допущенных к торгам. Об этом говорится в биржи. Это будет первое размещение в секторе разработчиков и производителей радио- и микроэлектроники в России. 
От редакции
Если вы ищете платформу, которая позволит вам с легкостью анализировать рыночные инструменты и отбирать именно те, которые подходят для вашего портфеля и вашего стиля инвестирования, как это делают наши авторы, предлагаем вам воспользоваться InvestingPro.. 
А мы дарим вам купон на дополнительную скидку 10% на годовую подписку: RUTRADERS4EVER.
Не забудьте ввести купон в специальное поле при оформлении и оплате подписки!! 
Читайте нас в Telegram и «ВКонтакте».и","22.05.2024, 09:44",https://ru.investing.com/news/economy/article-2423390
Отказ Газпрома от дивидендов на фоне убытков: новости к утру 21 мая,"© Reuters.
Investing.com — «Газпром» откажется от дивидендов на фоне первых за 25 лет убытков, а СПБ Биржа обсудит с властями выплату дивидендов по замороженным активам — эти и другие важные новости к утру вторника, 21 мая, в нашем ежедневном обзоре.
Правительство поручило профильным министерствам — Минфину, Минэнерго и Росимуществу — при подготовке проектов директив для участия в совете директоров «Газпрома» не предусматривать выплату дивидендов компанией за 2023 год. Государство является основным акционером «Газпрома» с долей в 50,23%. По итогам 2023 года компания впервые за 25 лет отчиталась об убытке — он составил 629 млрд руб. против прибыли годом ранее.профильным министерствам — Минфину, Минэнерго и Росимуществу — при подготовке проектов директив для участия в совете директоров «Газпрома» не предусматривать выплату дивидендов компанией за 2023 год. Государство является основным акционером «Газпрома» с долей в 50,23%. По итогам 2023 года компания впервые за 25 лет отчиталась об убытке — он составил 629 млрд руб. против прибыли годом ранее. 
СПБ Биржа обсуждает с российскими регуляторами возможность проведения выплат в адрес инвесторов по указу президента № 665, рассказал РБК представитель площадки. Этот указ предусматривает выплаты в рублях доходов (дивидендов и купонов) по заблокированным иностранным бумагам в адрес российских инвесторов за счет средств Минфина, предназначенных для выплат иностранцам по суверенным евробондам.СПБ Биржа обсуждает с российскими регуляторами возможность проведения выплат в адрес инвесторов по указу президента № 665, РБК представитель площадки. Этот указ предусматривает выплаты в рублях доходов (дивидендов и купонов) по заблокированным иностранным бумагам в адрес российских инвесторов за счет средств Минфина, предназначенных для выплат иностранцам по суверенным евробондам. 
Один из организаторов первичного размещения акций группы компаний «Элемент» оценил ее стоимость в рамках сделки в 117–130 млрд рублей, пишет РБК. Второй организатор оценил стоимость группы в 120–140 млрд рублей, третий банк пока не представил свою оценку. Эти данные подтвердили еще два собеседника издания на инвестиционном рынке. Представитель «Элемента» отказался от комментариев для РБК.РБК. Второй организатор оценил стоимость группы в 120–140 млрд рублей, третий банк пока не представил свою оценку. Эти данные подтвердили еще два собеседника издания на инвестиционном рынке. Представитель «Элемента» отказался от комментариев для РБК. 
Почти у половины российских банков с иностранным участием в первом квартале чистая прибыль выросла в два и более раза, подсчитали в «Коммерсанте» на основе отчетностей по российским стандартам бухучета (РСБУ) более 40 таких кредитных организаций.в «Коммерсанте» на основе отчетностей по российским стандартам бухучета (РСБУ) более 40 таких кредитных организаций. 
Сервис аренды пауэрбанков «Бери заряд!» рассматривает возможность разместить свои акции на Московской бирже в перспективе 2025-2026 годов, пишут «Ведомости» со ссылкой на основателя и главу компании Кирилла Кулакова. В мае 2024 года компания планирует pre-IPO: диапазон сделки может составить около 500-700 млн рублей, надеются в компании.«Ведомости» со ссылкой на основателя и главу компании Кирилла Кулакова. В мае 2024 года компания планирует pre-IPO: диапазон сделки может составить около 500-700 млн рублей, надеются в компании. 
От редакции
Если вы ищете платформу, которая позволит вам с легкостью анализировать рыночные инструменты и отбирать именно те, которые подходят для вашего портфеля и вашего стиля инвестирования, как это делают наши авторы, предлагаем вам воспользоваться InvestingPro.. 
А мы дарим вам купон на дополнительную скидку 10% на годовую подписку: RUTRADERS4EVER.
Не забудьте ввести купон в специальное поле при оформлении и оплате подписки!! 
Читайте нас в Telegram и «ВКонтакте».и","21.05.2024, 09:43",https://ru.investing.com/news/economy/article-2422771
СПБ Банк сегодня подаст заявку в OFAC США на разблокировку активов,"© Reuters
Investing.com — 20 мая расчетный депозитарий СПБ Биржи — СПБ Банк — подаст собственное обращение с целью разблокировки активов клиентов в Управление по контролю за иностранными активами (OFAC) Минфина США, говорится в сообщении организации. Также юристы депозитария разместили на портале «Разблокировкаактивов.рф» шаблоны и инструкции, при помощи которых частные инвесторы могут самостоятельно подать заявку в OFAC.СПБ Биржи — СПБ Банк — подаст собственное обращение с целью разблокировки активов клиентов в Управление по контролю за иностранными активами (OFAC) Минфина США, говорится в организации. Также юристы депозитария разместили на «Разблокировкаактивов.рф» шаблоны и инструкции, при помощи которых частные инвесторы могут самостоятельно подать заявку в OFAC. 
Процесс самостоятельного обращения инвесторов в OFAC является добровольным и может происходить параллельно с подачей заявления, которое реализует СПБ Банк.
«Один и тот же инвестор имеет право участвовать сразу в двух обращениях — коллективном СПБ Банка и индивидуальном, то есть выбирать один из вариантов не требуется», — пояснил Андрей Рябинин, партнер коллегии адвокатов Delcredere, с которой сотрудничает СПБ Банк.
«Один и тот же инвестор имеет право участвовать сразу в двух обращениях — коллективном СПБ Банка и индивидуальном, то есть выбирать один из вариантов не требуется», — пояснил Андрей Рябинин, партнер коллегии адвокатов Delcredere, с которой сотрудничает СПБ Банк.
Ранее в интервью генеральный директор СПБ Биржи Евгений Сердюков говорил, что площадка разработала новый подход к разблокировке активов. Если раньше основной идеей был вывод СПБ Банка из-под владения СПБ Биржи, то сейчас СПБ Банк готовит коллективное заявление в Минфин США о разморозке. Также он призвал частных инвесторов самостоятельно обращаться в госорган США., что площадка разработала новый подход к разблокировке активов. Если раньше основной идеей был вывод СПБ Банка из-под владения СПБ Биржи, то сейчас СПБ Банк готовит коллективное заявление в Минфин США о разморозке. Также он призвал частных инвесторов самостоятельно обращаться в госорган США. 
«Вместе с тем юристы СПБ Банка прорабатывают и иные пути осуществления разблокировки активов, включая получение новой генеральной лицензии», — отметил в сегодняшнем пресс-релизе Олег Нафиков, ведущий юрист СПБ Банка, руководитель проекта по разблокировке активов.
«Вместе с тем юристы СПБ Банка прорабатывают и иные пути осуществления разблокировки активов, включая получение новой генеральной лицензии», — отметил в сегодняшнем пресс-релизе Олег Нафиков, ведущий юрист СПБ Банка, руководитель проекта по разблокировке активов.
От редакции
Если вы ищете платформу, которая позволит вам с легкостью анализировать рыночные инструменты и отбирать именно те, которые подходят для вашего портфеля и вашего стиля инвестирования, как это делают наши авторы, предлагаем вам воспользоваться InvestingPro.. 
А мы дарим вам купон на дополнительную скидку 10% на годовую подписку: RUTRADERS4EVER.
Не забудьте ввести купон в специальное поле при оформлении и оплате подписки!! 
Читайте нас в Telegram и «ВКонтакте».и","20.05.2024, 10:36",https://ru.investing.com/news/stock-market-news/article-2422197
