Title,Text,Time,Url
Япония может отказаться от российского газа — Reuters,"© Reuters.
Investing.com — По мере того как истекает срок действия долгосрочных контрактов Японии на поставку СПГ с российского проекта «Сахалин-2», конкурирующие производители видят возможность восполнить дефицит поставок, хотя Токио стремится перейти на более чистые источники энергии. Об этом пишет Reuters со ссылкой на представителей отрасли.Reuters со ссылкой на представителей отрасли. 
Снижение спроса на газ и геополитическое давление на Токио, чтобы сократить зависимость от топлива из России, означает, что японские покупатели могут не захотеть продлевать все свои контракты с поставщиком, который долгое время был предпочтителен благодаря своей близости и надежности.газ и геополитическое давление на Токио, чтобы сократить зависимость от топлива из России, означает, что японские покупатели могут не захотеть продлевать все свои контракты с поставщиком, который долгое время был предпочтителен благодаря своей близости и надежности. 
Япония, второй по величине покупатель сжиженного природного газа в мире, получает от России 9% СПГ, или 6 миллионов метрических тонн в год, 5 миллионов из которых поступают по долгосрочным контрактам с «Сахалин-2», управляемого контролируемым Кремлем «Газпромом (MCX:GAZP)».GAZP )». 
Проект также тесно связан с японской промышленностью, так как торговые гиганты Mitsui и Mitsubishi владеют в нем 22,5%.
Главное преимущество «Сахалина-2» по сравнению с конкурентами заключается в том, что он находится всего в нескольких днях пути от Японии морем. Для сравнения, поставки из Австралии, Канады и США занимают более недели.
Однако на фоне стремления союзников Японии с Запада изолировать Москву, «Сахалин-2» теряет популярность, хотя проект освобожден от санкций США.
«Сохранение прежнего уровня поставок из России может оказаться сложным из-за соглашения между членами G7 о снижении зависимости от российской энергетики», — заявил представитель министерства экономики, торговли и промышленности Японии, добавив, что окончательные решения остаются за покупателями, среди которых несколько японских энергетических компаний.
«Сохранение прежнего уровня поставок из России может оказаться сложным из-за соглашения между членами G7 о снижении зависимости от российской энергетики», — заявил представитель министерства экономики, торговли и промышленности Японии, добавив, что окончательные решения остаются за покупателями, среди которых несколько японских энергетических компаний.
Тем временем, со снижением спроса на энергию в Японии и акцентом на чистых источниках, необходимость в СПГ должна сократиться. Токио хочет, чтобы на газ приходилось 20% производства электроэнергии в стране к 2030 году, по сравнению с 33% в прошлом году, а доля возобновляемых источников увеличилась с 26% до 38% в тот же период.
«Много возобновляемой энергии производится в нашем регионе, поэтому вопрос о том, следует ли продлевать контракт или нет, будет зависеть от будущих возможностей возобновляемой энергетики», — сказал Reuters глава одного из покупателей «Сахалина-2» из Японии.
«Много возобновляемой энергии производится в нашем регионе, поэтому вопрос о том, следует ли продлевать контракт или нет, будет зависеть от будущих возможностей возобновляемой энергетики», — сказал Reuters глава одного из покупателей «Сахалина-2» из Японии.
Срок действия долгосрочных контрактов Японии по «Сахалину-2» истекает в период с 2026 по 2033 год, начиная с соглашения о поставках 0,5 млн тонн в год для крупнейшего производителя электроэнергии JERA.","11.12.2024, 09:39",https://ru.investing.com/news/commodities-news/article-2596932
Россия рассматривает экспорт газа в Китай через Казахстан — СМИ,"© Reuters.
Investing.com — Россия рассматривает новый потенциальный маршрут экспорта газа через восточный Казахстан в Китай мощностью до 35 млрд кубометров в год, сообщил вице-премьер РФ Александр Новак на форуме «Ростки: Россия и Китай — взаимовыгодное сотрудничество». Об этом пишет издание «Коммерсантъ».газа через восточный Казахстан в Китай мощностью до 35 млрд кубометров в год, сообщил вице-премьер РФ Александр Новак на форуме «Ростки: Россия и Китай — взаимовыгодное сотрудничество». Об этом издание «Коммерсантъ». 
По его Новака, проработка проекта находится на начальной стадии.
«Пока только как идея, которая обсуждается», — подчеркнул он.
«Пока только как идея, которая обсуждается», — подчеркнул он.
В этом году, по данным вице-премьера, поставки газа из РФ в КНР оцениваются в 40 млрд кубометров с учетом СПГ. В 2023 году Китай импортировал 159,1 млрд кубометров газа с учетом СПГ, сообщало агентство Global Energy.
Также стороны договорились о продолжении газопровода Сахалин—Хабаровск—Владивосток мощностью 10 млрд кубометров. Завершение строительства намечено на 2027 год.
Кроме того, Москва и Пекин ведут переговоры по созданию второй нитки газопровода «Сила Сибири» пропускной способностью 50 млрд кубометров, которая должна пройти через Монголию.","18.11.2024, 09:28",https://ru.investing.com/news/general/article-2573987
Германия требует от портов не принимать грузы с российским газом — FT,"© Reuters.
Investing.com — Германия предупредила свои государственные газовые терминалы, чтобы те не принимали российские грузы СПГ, передает Financial Times.Financial Times. 
Министерство экономики Германии предписало государственному терминалу Deutsche Energy Terminal не принимать никаких поставок российского газа, после того как компания сообщила Берлину, что ее импортный терминал в Брунсбуттеле должен был принять российский груз в воскресенье, говорится в сообщении со ссылкой на письмо.газа , после того как компания сообщила Берлину, что ее импортный терминал в Брунсбуттеле должен был принять российский груз в воскресенье, говорится в сообщении со ссылкой на письмо.","14.11.2024, 09:53",https://ru.investing.com/news/commodities-news/article-2570878
Инвесторы пожаловались в ЦБ на ТМК из-за неполного раскрытия отчетности,"© Reuters.
Investing.com — Ассоциация владельцев облигаций направила обращение в Банк России с предложением рассмотреть исключение ТМК из котировального списка Мосбиржи в связи с нарушением норм раскрытия отчетности. Об этом пишет РБК со ссылкой на письмо, направленное на имя директора департамента корпоративных отношений Екатерины Абашеевой. Аналогичное обращение направлено ассоциацией Московской бирже.ТМК из котировального списка Мосбиржи в связи с нарушением норм раскрытия отчетности. Об этом РБК со ссылкой на письмо, направленное на имя директора департамента корпоративных отношений Екатерины Абашеевой. Аналогичное обращение направлено ассоциацией Московской бирже. 
Члены ассоциации призвали регулятор «принять соответствующие меры надзорного реагирования, в том числе осуществить «при необходимости взаимодействие с организатором торгов по вопросам целесообразности нахождения ценных бумаг в котировальном списке».
Представители АВО сообщили, что получают обращения частных инвесторов о том, что эмитент биржевых облигаций ПАО «ТМК» «демонстративно нарушает» закон «О рынке ценных бумаг», нормативные акты Банка России и правила листинга Мосбиржи.
Претензии инвесторов связаны с нарушением сроков раскрытия отчетности за девять месяцев 2023 года и неполным объемом предоставленной эмитентом информации.
Читайте нас в Telegram и «ВКонтакте».и","08.12.2023, 17:42",https://ru.investing.com/news/stock-market-news/article-2333936
Мосбиржа добавит восемь акций на вечерние торги,"© Reuters.
Investing.com — Московская биржа со следующей пятницы, 10 ноября, увеличит число акций, доступных для заключения сделок на вечерней торговой сессии, говорится в сообщении торговой площадки, опубликованном 3 ноября.торговой площадки, опубликованном 3 ноября. 
В список инструментов доступных на вечерних торгах рынка акций будут добавлены восемь ценных бумаг: обыкновенные акции группы «Астра», банка «Санкт-Петербург», компаний «Глобалтрак менеджмент» (ГТМ) и «Мосэнерго (MCX:MSNG)», Новороссийского морского торгового порта (MCX:NMTP) (НМТП), нефтедобытчика «Русснефть», Трубной металлургической компании (MCX:TRMK) (ТМК), а также IT-группы «Софтлайн».MSNG )», Новороссийского морского торгового порта (MCX: NMTP ) (НМТП), нефтедобытчика «Русснефть», Трубной металлургической компании (MCX: TRMK ) (ТМК), а также IT-группы «Софтлайн». 
На данный момент на вечерней сессии инвесторам доступны для торговли 162 инструмента — привилегированные и обыкновенные акции, паи биржевых (БПИФ) и открытых паевых инвестиционных фондов (ОПИФ).
Читайте нас в Telegram и «ВКонтакте».и","03.11.2023, 17:58",https://ru.investing.com/news/stock-market-news/article-2313991
Акции ТМК - отличная ставка на дивиденды - Синара,"© Reuters. Акции ТМК - отличная ставка на дивиденды - Синара
sMart-lab.ru - ТМК (MCX:TRMK) проведет техническое размещение акций в пользу основного акционера — нейтрально ТМК сообщила вчера, что 4 декабря ВОСА рассмотрит вопрос о допэмиссии по закрытой подписке в рамках уже проведенного в сентябре вторичного публичного размещения акций. Дата закрытия реестра для участия в собрании — 10 ноября. Цену продажи дополнительных обыкновенных акций совет директоров на заседании 30 октября определил в 220,68 руб. за штуку, что соответствует цене сентябрьского размещения. Допэмиссия носит чисто технический характер и составит 18 млн акций или 1,74% от уставного капитала. Как и планировалось в рамках SPO, основной акционер МК ООО «ТМК Стил Холдинг» выкупит практически весь пакет (98–99% размещаемых акций) по цене вторичного предложения, за исключением бумаг, которые могут на пропорциональной основе приобрести миноритарные акционеры, воспользовавшись своим преимущественным правом. Размещение также позволит ТМК получить на баланс около 4 млрд руб., вырученных в ходе SPO на Московской Бирже в сентябре.TRMK ) проведет техническое размещение акций в пользу основного акционера — нейтрально ТМК сообщила вчера, что 4 декабря ВОСА рассмотрит вопрос о допэмиссии по закрытой подписке в рамках уже проведенного в сентябре вторичного публичного размещения акций. Дата закрытия реестра для участия в собрании — 10 ноября. Цену продажи дополнительных обыкновенных акций совет директоров на заседании 30 октября определил в 220,68 руб. за штуку, что соответствует цене сентябрьского размещения. Допэмиссия носит чисто технический характер и составит 18 млн акций или 1,74% от уставного капитала. Как и планировалось в рамках SPO, основной акционер МК ООО «ТМК Стил Холдинг» выкупит практически весь пакет (98–99% размещаемых акций) по цене вторичного предложения, за исключением бумаг, которые могут на пропорциональной основе приобрести миноритарные акционеры, воспользовавшись своим преимущественным правом. Размещение также позволит ТМК получить на баланс около 4 млрд руб., вырученных в ходе SPO на Московской Бирже в сентябре. 
Мы по-прежнему считаем акции ТМК привлекательными и видим в них отличную ставку на дивиденды: на горизонте в год дивидендную доходность оцениваем в 17%.
ИБ «Синара»
Читайте оригинальную статью на сайте sMart-lab.ru","01.11.2023, 19:14",https://ru.investing.com/news/stock-market-news/article-2310777
"ТМК привлекла 3,97 млрд руб. в ходе вторичного размещения акций","© Reuters.
Investing.com — Трубная металлургическая компания (ТМК) в рамках SPO на Мосбирже продала инвесторам 18 млн бумаг или 1,74% от общего количества акций компании. Цена размещения составила 220,68 руб. за бумагу, говорится в сообщении компании. Это соответствует уровню выше середины изначально объявленного ценового диапазона 205—235 руб. за бумагу.ТМК ) в рамках SPO на Мосбирже продала инвесторам 18 млн бумаг или 1,74% от общего количества акций компании. Цена размещения составила 220,68 руб. за бумагу, говорится в компании. Это соответствует уровню выше середины изначально объявленного ценового диапазона 205—235 руб. за бумагу. 
Размер размещения составил 3,97 млрд. Изначально ТМК планировала разместить 1,5% от общего количества акций компании, но объем был увеличен относительно изначального ориентира на фоне высокого спроса как со стороны розничных, так и институциональных инвесторов.
Общий спрос от инвесторов превысил объем предложения почти в два раза внутри изначально объявленного ценового диапазона, сообщили в ТМК.
Читайте нас в Telegram и «ВКонтакте».и","29.09.2023, 10:57",https://ru.investing.com/news/stock-market-news/article-2295141
ТМК сузила ценовой диапазон вторичного размещения акций,"© Reuters.
Investing.com — Трубная металлургическая компания (ТМК) сузила ценовой диапазон планируемого вторичного публичного размещения своих акций (SPO). Нижняя граница была поднята с 205 руб. до 215 за руб. бумагу, а верхняя граница упала с 235 руб. до 230 руб., пишет РБК.ТМК ) сузила ценовой диапазон планируемого вторичного публичного размещения своих акций (SPO). Нижняя граница была поднята с 205 руб. до 215 за руб. бумагу, а верхняя граница упала с 235 руб. до 230 руб., РБК. 
«Итоговая цена одной акции в рамках SPO будет установлена не позднее 29 сентября 2023 года. Ожидается, что она не превысит цену закрытия последнего торгового дня периода сбора заявок, но будет установлена в границах уточненного ценового диапазона», — следует из сообщения компании.
«Итоговая цена одной акции в рамках SPO будет установлена не позднее 29 сентября 2023 года. Ожидается, что она не превысит цену закрытия последнего торгового дня периода сбора заявок, но будет установлена в границах уточненного ценового диапазона», — следует из сообщения компании.
В рамках SPO будет размещено 15 млн обыкновенных акций ТМК, или 1,5% от их общего количества.
На открытии торгов на Мосбирже котировки ТМК выросли на 0,89%, до 226,92 руб.
Читайте нас в Telegram и «ВКонтакте».и","27.09.2023, 10:33",https://ru.investing.com/news/stock-market-news/article-2294474
"ТМК разместит на Мосбирже в рамках SPO 1,5% своих акций","© Reuters.
Investing.com — Трубная металлургическая компания объявила о размещении 1,5% своих обыкновенны акций на Мосбирже в рамках вторичного публичного предложения (SPO). В рамках SPO ООО «ТМК Стил Холдинг» (владеет 90,6% акциями ТМК) предложит пакет в 15 млн обыкновенных акций, что составляет 1,5% от их общего количества, сообщила пресс-служба ТМК.Мосбирже в рамках вторичного публичного предложения (SPO). В рамках SPO ООО «ТМК Стил Холдинг» (владеет 90,6% акциями ТМК) предложит пакет в 15 млн обыкновенных акций, что составляет 1,5% от их общего количества, пресс-служба ТМК. 
Размещение акций позволит укрепить позиции ТМК на публичном рынке акционерного капитала за счет притока новых инвесторов, увеличения количества акций в свободном обращении (free-float) и роста ликвидности бумаг, рассчитывают в компании.ТМК на публичном рынке акционерного капитала за счет притока новых инвесторов, увеличения количества акций в свободном обращении (free-float) и роста ликвидности бумаг, рассчитывают в компании. 
Ценовой диапазон предложения составит от 205 до 235 за бумагу, итоговая цена одной акции будет установлена не позднее 29 сентября. Ожидается, что она не превысит цену закрытия последнего торгового дня в конце периода сбора заявок.
Читайте нас в Telegram и «ВКонтакте».и","21.09.2023, 11:19",https://ru.investing.com/news/stock-market-news/article-2293201
Рынок акций Московской биржи по состоянию на 10:30 мск 28 февраля растет,"© Reuters. Рынок акций Московской биржи по состоянию на 10:30 мск 28 февраля растет

По состоянию на 10:30 мск индекс РТС повысился на 0,87 пункта (0,092%) по сравнению с закрытием предыдущего торгового дня и составляет 946,16 пункта.РТС повысился на 0,87 пункта (0,092%) по сравнению с закрытием предыдущего торгового дня и составляет 946,16 пункта. 
Торги идут с активностью выше средней. Объем торгов по акциям на ФБ ММВБ на 10:30 составил 4377,84 млн рублей, что примерно на 50% выше среднего уровня за последний месяц.

Лидеры роста:

КАМАЗ (MCX:KMAZ) - цена 111,7 руб. (+2,85%), оборот 147,69 млн. руб.KMAZ ) - цена 111,7 руб. (+2,85%), оборот 147,69 млн. руб. 

Распадская (MCX:RASP) - цена 262,4 руб. (+2,56%), оборот 71,15 млн. руб.RASP ) - цена 262,4 руб. (+2,56%), оборот 71,15 млн. руб. 

СОЛЛЕРС (MCX:SVAV) - цена 231 руб. (+2,21%), оборот 4,22 млн. руб.SVAV ) - цена 231 руб. (+2,21%), оборот 4,22 млн. руб. 

Э.ОНРоссия - цена 1,597 руб. (+1,65%), оборот 16,48 млн. руб.

ТМКао (MCX:TRMK) - цена 88,42 руб. (+1,47%), оборот 9,09 млн. руб.TRMK ) - цена 88,42 руб. (+1,47%), оборот 9,09 млн. руб. 

Лидеры падения:

Верхнесалд (MCX:VSMO) - цена 47780 руб. (-0,71%), оборот 2,88 млн. руб.VSMO ) - цена 47780 руб. (-0,71%), оборот 2,88 млн. руб. 

МРСКЦП - цена 0,2062 руб. (-0,34%), оборот 8,84 млн. руб.

ДетскийМир (MCX:DSKY) - цена 69,52 руб. (-0,11%), оборот 0,4 млн. руб.DSKY ) - цена 69,52 руб. (-0,11%), оборот 0,4 млн. руб. 

Цены остальных активно торгуемых акций:

Сбербанк (MCX:SBER) - цена 171,32 руб. (+0,81%), оборот 1852,17 млн. руб.SBER ) - цена 171,32 руб. (+0,81%), оборот 1852,17 млн. руб. 

ГАЗПРОМао (MCX:GAZP) - цена 157,81 руб. (+0,94%), оборот 346,94 млн. руб.GAZP ) - цена 157,81 руб. (+0,94%), оборот 346,94 млн. руб. 

Yandex (MCX:YNDX) - цена 2034,8 руб. (+1,36%), оборот 146,64 млн. руб.YNDX ) - цена 2034,8 руб. (+1,36%), оборот 146,64 млн. руб. 

Сбербанк-п (MCX:SBER_p) - цена 168,79 руб. (+0,67%), оборот 132,26 млн. руб.SBER_p ) - цена 168,79 руб. (+0,67%), оборот 132,26 млн. руб. 

СевСт-ао - цена 1069 руб. (+0,75%), оборот 125,23 млн. руб.


Источник данных - ЗАО ""Фондовая биржа ММВБ""
Это автоматическое сообщение.","28.02.2023, 10:27",https://ru.investing.com/news/stock-market-news/article-2233032
