Title,Text,Time,Url
ВТБ не планирует снижать долю во Вьетнамо-российском совместном банке,"© Reuters ВТБ не планирует снижать долю во Вьетнамо-российском совместном банке
Frankmedia - ВТБ (MCX:VTBR) пока не планирует снижать долю во Вьетнамо-российском совместном банке (ВРБ), пишет «Интерфакс» со ссылкой на слова главы ВТБ Андрея Костина.VTBR ) пока не планирует снижать долю во Вьетнамо-российском совместном банке (ВРБ), пишет «Интерфакс» со ссылкой на слова главы ВТБ Андрея Костина. 
«Будем развивать потихоньку. Он обслуживает фактически сейчас весь объем торговли в донгах и в рублях, это 40% экспортно-импортных операций. Будем дальше наращивать. У нас кредитный портфель больше полумиллиарда, порядка $520 млн. Примерно чуть больше корпоративные, чуть меньше розничные (кредиты — FM). Поэтому так будем работать сейчас. Нам просто долю снизили ниже 50%. Для этого вьетнамцы приняли специальное законодательство, так что мы им благодарны», — сказал Костин.
Вьетнамо-российский совместный банк создан ВТБ и Банком инвестиций и развития Вьетнама (BIDV). Учредители до последнего владели в нем равными долями — по 50% уставного капитала.
В декабре 2024 года в капитал банка зашла вьетнамская компания NGS Telecommunication and Equipment, получив 1%. Доли ВТБ и BIDV соответственно снизились до 49,5%. Телеком-оператор внес в капитал ВРБ $1,7 млн и, таким образом, у банка нет контролирующего акционера, либо владельца, чья доля оставляла бы 50%.
Читайте оригинальную статью на сайте Frankmedia","14.01.2025, 14:03",https://ru.investing.com/news/general/article-2621318
Крупные банки начали снижать ставки по вкладам — Frank RG,"© Reuters. Крупные банки начали снижать ставки по вкладам — Forbes со ссылкой на Frank RG
sMart-lab.ru - В конце декабря 2024-го — начале января 2025 года сразу 10 банков из двадцатки крупнейших по объему привлеченных средств населения снизили ставки по вкладам на различные сроки, следует из данных консалтинговой компании Frank RG, с которыми ознакомился Forbes.
В частности, ставки по вкладам пересмотрели ВТБ (MCX:VTBR), Альфа-банк, Газпромбанк, Т-Банк, МКБ (MCX:CBOM), РСХБ, банки «Дом.РФ», «Санкт-Петербург» и «Уралсиб», а также РНКБ. Из данных Frank RG следует, что самые большие изменения произошли в наиболее популярном и доходном сегменте — полугодовых вкладах.VTBR ), Альфа-банк, Газпромбанк, Т-Банк, МКБ (MCX: CBOM ), РСХБ, банки «Дом.РФ», «Санкт-Петербург» и «Уралсиб», а также РНКБ. Из данных Frank RG следует, что самые большие изменения произошли в наиболее популярном и доходном сегменте — полугодовых вкладах. 
Читайте оригинальную статью на сайте sMart-lab.ru","13.01.2025, 15:41",https://ru.investing.com/news/general/article-2619756
ВТБ взыскал £40 млн со счета бывшей британской дочки VTB Capital через суд,"© Reuters ВТБ взыскал £40 млн (₽5,05 млрд) со счета бывшей британской дочки VTB Capital через суд – РБК
sMart-lab.ru - В октябре 2024 года ВТБ (MCX:VTBR) списал £40 млн (5,05 млрд рублей) со счета бывшей дочерней компании VTB Capital, хранившегося в российском Национальном расчетном депозитарии (НРД). Это стало возможным после решения Арбитражного суда Санкт-Петербурга, удовлетворившего иск ВТБ о взыскании задолженности.VTBR ) списал £40 млн (5,05 млрд рублей) со счета бывшей дочерней компании VTB Capital, хранившегося в российском Национальном расчетном депозитарии (НРД). Это стало возможным после решения Арбитражного суда Санкт-Петербурга, удовлетворившего иск ВТБ о взыскании задолженности. 
VTB Capital, бывшая британская «дочка» госбанка, оказалась под внешним управлением в 2022 году из-за санкций Великобритании. По оценкам управляющей компании Teneo, совокупные долги инвестбанка составляют более £800 млн, из которых £262 млн приходится на структуры ВТБ.
Списание средств практически обнулило активы VTB Capital в России. ВТБ получил только 34,2% от требований к компании. Внешние управляющие считают, что перспективы возврата этих денег обратно в Великобританию минимальны.
Читайте оригинальную статью на сайте sMart-lab.ru","13.01.2025, 11:16",https://ru.investing.com/news/general/article-2619638
Банк «ФК Открытие» официально прекратил свое существование  ,"© Reuters. Банк “ФК Открытие” официально прекратил свое существование  
Frankmedia - Группа ВТБ (MCX:VTBR) провела реорганизацию кредитных организаций, присоединив банк “ФК Открытие” к БМ-банку (бывший Банк Москвы (MCX:MMBM), принадлежит ВТБ), следует из ЕГРЮЛ. В реестре отмечено, что банк ФК Открытие с 1 января 2025 года прекратил свою деятельность путем реорганизации в форме присоединения.VTBR ) провела реорганизацию кредитных организаций, присоединив банк “ФК Открытие” к БМ-банку (бывший Банк Москвы (MCX: MMBM ), принадлежит ВТБ), следует из ЕГРЮЛ. В реестре отмечено, что банк ФК Открытие с 1 января 2025 года прекратил свою деятельность путем реорганизации в форме присоединения. 
Планировалось, что в январе 2025 года клиенты «ФК Открытие», которые не вышли на связь в ходе процесса его интеграции в ВТБ, с 1 января 2025 года автоматически перейдут в БМ-банк. «Все средства на их счетах сохраняются, просто клиенты «Открытия» становятся клиентами БМ-банка. Потом, когда БМ-банк присоединится к ВТБ, они тоже станут клиентами ВТБ. Воспользоваться своими деньгами клиенты смогут в любой момент, когда сочтут необходимым», — сказал экс-президент «ФК Открытие» Михаил Алексеев.
Полномочия Алексеева были прекращены по соглашению сторон 31 декабря 2024 года, решение об этом было принято на заседании совета директоров кредитной организации. Тогда же из банка также ушли два заместителя председателя и три члена правления банка, их имена не раскрывались в сообщении кредитной организации.
Банк России закрыл сделку по продаже банка «ФК Открытие» госбанку в конце декабря 2022 года. Цена сделки составила 340 млрд рублей. Часть средств — 106,9 млрд рублей — ВТБ вносил в виде облигаций федерального займа (ОФЗ), другую — на 233 млрд рублей — в виде денежных средств. Также в ВТБ были передан весь объем розничных кредитов в размере 770 млрд рублей, и практически весь объем средств клиентов — 940 млрд рублей.
Изначально планировалось, что банк сдаст лицензию в 2024 году и запустит процесс добровольной ликвидации. Впоследствии ВТБ изменил стратегию интеграции. С начала 2024 года в офисах «Открытия» можно было оформить финансовые продукты ВТБ, в том числе дебетовые и кредитные карты. Объединение бизнесов двух банков должно было завершиться к концу прошлого года.
Читайте оригинальную статью на сайте Frankmedia","09.01.2025, 15:56",https://ru.investing.com/news/general/article-2617912
ВТБ оспаривает в суде отзыв лицензии европейской «дочки»,"© Reuters ВТБ оспаривает в суде отзыв лицензии европейской «дочки»
Frankmedia - ВТБ (MCX:VTBR) в октябре подал иск в суд Евросоюза, чтобы оспорить решение Европейского центрального банка (ЕЦБ) отозвать лицензию у германской «дочки» Ost-West Handelsbank (OWH SE, ранее VTB Bank Europe), сообщил «Интерфакс» со ссылкой на документы на официальном портале Европейского Союза. Банк просит признать решение недействительным.VTBR ) в октябре подал иск в суд Евросоюза, чтобы оспорить решение Европейского центрального банка (ЕЦБ) отозвать лицензию у германской «дочки» Ost-West Handelsbank (OWH SE, ранее VTB Bank Europe), сообщил «Интерфакс» со ссылкой на документы на официальном портале Европейского Союза. Банк просит признать решение недействительным. 
Российский банк пожаловался, что европейский регулятор решил ликвидировать немецкую «дочку» и подготовил решение об отзыве ее лицензии без консультаций с ним как с основным акционером OWH. Кроме того, ВТБ просит суд обязать ЕЦБ в рамках разбирательства предоставить доступ к соответствующим документам. По мнению ВТБ, решение о ликвидации банка было незаконным, а отзыв лицензии — нецелесообразным из-за временного характера санкций. Так, произошедшее нарушило соглашение о защите инвестиций, которые заключили Германия и СССР как юридический предшественник России в 1989 году, считают в банке.
Согласно сообщению на сайте OWH SE, его лицензия отозвана с 20 августа 2024 года в связи с решением о ликвидации кредитной организации, которое было принято еще в марте 2023 года на ежегодном общем собрании OWH. Кроме того, по мнению надзорного органа, ВТБ не относится к категории надежных акционеров с точки зрения банковского законодательства Германии.
«Отзыв банковской лицензии — это следующий шаг в продолжающейся ликвидации OWH. Это приносит значительное облегчение для завершения нашей повседневной работы, особенно в отношении наших нормативных обязательств», — заявлял тогда Франк Хеллвиг, специальный представитель Федерального управления финансового надзора Германии (BaFin) и один из ликвидаторов OWH.
«Отзыв банковской лицензии — это следующий шаг в продолжающейся ликвидации OWH. Это приносит значительное облегчение для завершения нашей повседневной работы, особенно в отношении наших нормативных обязательств», — заявлял тогда Франк Хеллвиг, специальный представитель Федерального управления финансового надзора Германии (BaFin) и один из ликвидаторов OWH.
На середину августа 2024 года объем кредитов на балансе OWH составлял 1,5 млрд евро, объем обязательств перед компаниями и кредитными организациями — 0,6 млрд евро. Возврат активов остается главной задачей банка даже после отзыва лицензии, сообщалось на сайте OWH.евро , объем обязательств перед компаниями и кредитными организациями — 0,6 млрд евро. Возврат активов остается главной задачей банка даже после отзыва лицензии, сообщалось на сайте OWH. 
Читайте оригинальную статью на сайте Frankmedia","09.01.2025, 08:25",https://ru.investing.com/news/general/article-2617544
Кто смог дать верный прогноз для непредсказуемого 2024 года,"Кто смог дать верный прогноз для непредсказуемого 2024 года
В течение 2024 года как российские, так и иностранные банки, регуляторы и чиновники размышляли над тем, чем же закончится этот год для российской экономики. Цифры роста ВВП, уровень ключевой ставки и доходы населения с безработицей не смог предугадать никто. Практически всем пришлось сильно корректировать свои расчеты и допущения. Frank Media собрал все прогнозы, чтобы понять, кто же точнее всего смог спрогнозировать исход года.
Одним из ключевых показателей для страны является показатель роста валового внутреннего продукта по итогам года.
Так, согласно последнему макроэкономическому опросу Банка России, который был опубликован 11 декабря, аналитики ожидали, что в текущем году ВВП России вырастет на 3,8%. При этом сам Центробанк в конце октября публиковал свой прогноз, из которого следовало, что регулятор ожидает роста ВВП на 3,5-4% по итогам года.
Минэкономразвития в сентябре предполагал, что рост ВВП страны в конце 2024 года будет составлять 3,9%. Солидарна с российским ведомством была и организация экономического сотрудничества и развития (ОЭСР), которая в декабре повысила прогноз по росту ВВП России с 3,7% до 3,9%.
Менее оптимистичный прогноз по этому показателю в конце октябре публиковал Международный валютный фонд (МВФ), который прогнозировал рост ВВП на уровне 3,6%. Еще хуже прогноз давала Европейская комиссия. Так, в середине ноября ЕК прогнозировала, что текущий год может завершиться тем, что ВВП вырастет только на 3,5%.
Меньше всего в рост экономики России верил Всемирный банк, который прогнозировал рост этого показателя по итогам года только на 3,2%.
Крупнейшие банки страны Сбербанк и ВТБ (MCX:VTBR) по вопросу роста ВВП за 2024 год сошлись в своих прогнозах – 3,8% каждый.VTBR ) по вопросу роста ВВП за 2024 год сошлись в своих прогнозах – 3,8% каждый. 
Такой же уровень прогнозировал и Центр макроэкономического анализа и краткосрочного прогнозирования (ЦМАКП) – 3,7-3,8%. Однако стоит отметить, что в феврале организация ожидала, что ВВП России к концу годы вырастет только на 1,7-2%.
В течение года существенно вырос и прогнозный диапазон ЦМАКП по инфляции. Так, в феврале текущего года экономисты ждали, что к концу года инфляция будет составлять 4-4,3%, в декабре прогноз организации вырос до 10,15 – 10,25%.
Близкие к этому уровню были ожидания и у аналитиков, опрошенных Банком России, — 9,2%. При этом сам регулятор ожидал, что к концу года инфляция будет находиться в диапазоне 8-8,5%.
На уровне 8,5% ожидал инфляцию и ВТБ. При этом ОЭСР была немного оптимистичней и ожидала, что инфляция в России достигнет значения 8,2%. А Еврокомиссия пошла чуть дальше и прогнозировала инфляцию на уровне 8,1%.
Главным оптимистом по уровню инфляции стал Минэкономразвития, который ожидал её на уровне 7,3%, а также Сбербанк, прогнозировавший, что рост индекса потребительских цен (ИПЦ) по итогам года составит 6,5 – 7,5%.
Однако годовая инфляция превысила 9% уже в период с 26 ноября по 2 декабря. После этого момента ниже она пока не опускалась. В последнюю неделю года Минэкономразвития опубликовал обзор, согласно которому годовая инфляция составила 9,7%.
Прогноз по ключевой ставке в 2024 году был особенно любимым развлечением аналитиков и экономистов. Аналитики, опрошенные ЦБ, предполагали в декабре, что на конец 2024 года ключевая ставка составит 21,5%. А медианный прогноз составлял 17,5%. При этом публично обсуждались совсем другие прогнозы.
Худшего исхода по ключевой ставке ждал ВТБ, который прогнозировал, что она в конце года будет на уровне 23%. Руководство Сбербанка (MCX:SBER) склонялось к такому же уровню.SBER ) склонялось к такому же уровню. 
В декабре из 48 экспертов, которые были опрошены авторами телеграм-канала «Холодный расчет», ключевую ставку на уровне 21% смог предсказать только шведский банк SEB. При этом 70% из опрошенных ожидали, что ставка будет повышена до 23%. ЦБ объяснял свое решение тем, что произошло более существенное ужесточение денежно-кредитных условий (ДКУ), даже существеннее, чем предполагало октябрьское решение по ключевой ставке. Этому способствовали автономные от денежно-кредитной политики (ДКП) факторы.
На пресс-конференции по решению по ключевой ставке председательница Банка России Эльвира Набиуллина, отвечая на вопрос о нарушении в коммуникации с рынком, заявила, что ""это действительно проблема"" и регулятор будет рассматривать возможные решения по улучшению этой ситуации. ""Мы принимаем решение исходя из нашей оценки ситуации и нашего прогноза. И в оценке этой ситуации мы в последнее время достаточно активно взаимодействовали и с банками, и реальным сектором экономики для того, чтобы понимать, что происходит в экономике. С точки зрения коммуникации мы будем смотреть, что здесь можно будет еще улучшить. Это действительно проблема коммуникации в наших решениях очень важна. Поэтому мы сейчас объясняем логику наших движений"", - отмечала Набиуллина.
Читайте оригинальную статью на сайте Frankmedia","29.12.2024, 11:08",https://ru.investing.com/news/general/article-2610331
Инвестхолдинг SFI полностью погасил свой долг  ,"© Reuters. Инвестхолдинг SFI полностью погасил свой долг  
Frankmedia - Инвестиционный холдинг SFI («ЭсЭфАй») полностью погасил остаток задолженности в размере 9,7 млрд рублей по кредитному договору, сократив тем самым до нуля объем своих текущих кредитных обязательств, следует из сообщения компании.
Холдинг еще в декабре 2019 года открыл у банка ВТБ (MCX:VTBR) кредитную линию на 21 млрд рублей для финансирования обратного выкупа акций с биржи. На конец 2020 года долг перед ВТБ достиг почти 18 млрд рублей, однако затем постепенно снижался, в том числе за счет продажи холдингом активов, крупнейшим из которых был НПФ «Сафмар».VTBR ) кредитную линию на 21 млрд рублей для финансирования обратного выкупа акций с биржи. На конец 2020 года долг перед ВТБ достиг почти 18 млрд рублей, однако затем постепенно снижался, в том числе за счет продажи холдингом активов, крупнейшим из которых был НПФ «Сафмар». 
На конец третьего квартала 2021 года долг перед ВТБ составлял 13,7 млрд рублей. В ноябре 2021 холдинг реструктуризировал свой кредит в Совкомбанке, в котором SFI привлек средства до конца ноября 2024 года объемом 13,7 млрд рублей. В Совкомбанке была открыта не кредитная линия, а непосредственно кредит.
Заместитель генерального директора SFI Олег Андриянкин отметил, что «отсутствие кредитных обязательств на корпоративном центре должно позитивно сказаться на оценке холдинга рынком – инвесторами, аналитиками и рейтинговыми агентствами».
«ЭсЭфАй» был создан семьей российского бизнесмена Михаила Гуцериева в конце 2016 года. Сначала он объединял небанковские финансовые активы, но затем превратился в универсальный холдинг. На данный момент в него входит 87,5% акций лизинговой компании «Европлан», 49% страховой компании ВСК, а также 10,4% ритейлера «М.Видео (MCX:MVID)».MVID )». 
Читайте оригинальную статью на сайте Frankmedia","23.12.2024, 11:22",https://ru.investing.com/news/general/article-2607734
Британский суд одобрил распределение активов британской дочки ВТБ,"© Reuters Британский суд разрешил начать распределение активов британской дочки ВТБ
Frankmedia - Высокий суд Англии и Уэльса разрешил управляющим британского подразделения российского банка ВТБ (MCX:VTBR) — VTB Capital — приступить к распределению активов. Решение в начале декабря 2024 года вынес судья Адам Джонсон на закрытом заседании, следует из материалов дела, с которыми ознакомился Frank Media.VTBR ) — VTB Capital — приступить к распределению активов. Решение в начале декабря 2024 года вынес судья Адам Джонсон на закрытом заседании, следует из материалов дела, с которыми ознакомился Frank Media. 
Дело инициировали Стивен Роланд Браун и Дэвид Филип Соден — управляющие директора консалтинговой компании Teneo Financial Advisory, которая с апреля 2022 года управляет VTB Capital. Поводом для обращения в суд стал отказ основных кредиторов — банка ВТБ и компании NCH — утвердить предложенную управляющими схему распределения активов. Как указано в решении суда, 4 сентября 2024 года ВТБ и NCH проголосовали против схемы в ее текущем виде, воспользовавшись правом вето. Это привело к переносу собрания кредиторов на 30 января 2025 года, а слушание по утверждению схемы назначено на 6 февраля 2025 года. В то же время обсуждения с кредиторами, выступившими против, продолжаются.
Управляющие VTB Capital обратились в суд с просьбой разрешить начать распределение активов в обход утверждения схемы, чтобы применить механизм insolvency set-off (взаимозачет обязательств). Это позволит увеличить объем активов для общего пула кредиторов и защитить их интересы, минимизировав риски, связанные с действиями ВТБ. Судья напомнил, что ВТБ уже инициировал судебные процессы в России, направленные на взыскание активов VTB Capital, включая заблокированные средства в Национальном расчетном депозитарии (НРД). Из них около 40 млн фунтов стерлингов уже списаны в пользу ВТБ, а еще 17 млн остаются на счетах в виде наличных и ценных бумаг.
Судья отметил, что управляющие намерены распределить активы вне зависимости от исхода голосования. Если схема будет утверждена, распределение пройдет в рамках ее положений. Если же кредиторы не поддержат схему, активы будут распределены в соответствии с Insolvency Rules 2016 (правилами о несостоятельности). Таким образом, вопрос состоит лишь в выборе процедуры.
В качестве подтверждения неизбежности распределения судья напомнил, что в марте 2023 года управляющие представили план расчетов с кредиторами, предусматривающий распределение 175 млн фунтов стерлингов, и он не вызвал возражений. Кредиторы также не выступили против продления полномочий управляющих.
«Учитывая эти обстоятельства, я считаю правильным удовлетворить запрос управляющих», — говорится в решении суда. При этом судья установил условие: решение остается конфиденциальным до момента официального уведомления о начале распределения. Это необходимо, чтобы предотвратить возможные принудительные действия в России, которые могут помешать реализации плана.
Кроме того, разрешение предусматривает право любого кредитора оспорить распределение до его начала. Такая структура, по словам судьи, обеспечивает баланс между интересами всех кредиторов, которые выиграют от применения механизма взаимозачета, и правами отдельных кредиторов, желающих оспорить законность этого решения.
Frank Media направили запрос в Teneo и ВТБ.
Подразделение VTB Capital в Великобритании подало заявление в Высокий суд Лондона на переход под внешнее управление в апреле 2022 года. Банк мотивировал это решение невозможностью погасить свои долги из-за введенных в отношении него санкций, хотя известно, что он в принципе планировал его закрывать. В конце декабря того же года администрирование компании было передано Teneo. Teneo получила лицензии (в августе — от Минфина Бельгии, и в ноябре — от Минфина США — FM), чтобы реализовать замороженные активы подразделения, чтобы погасить долг перед кредиторами, не находящимся под санкциями. Администратор работает с властями стран-ЕС (Франции, Ирландии и Бельгии), а также Гернси, Джерси, Швейцарии, Кипра и на Бермудах.
Читайте оригинальную статью на сайте Frankmedia","17.12.2024, 19:05",https://ru.investing.com/news/general/article-2603289
Госбанки снова повысили ставки по депозитам накануне решения ЦБ,"© Пресс-служба банка ВТБ Госбанки снова повысили ставки по депозитам накануне решения ЦБ
Frankmedia - ВТБ (MCX:VTBR) и Сбербанк повысили ставки по депозитам перед решением ЦБ о ставке 20 декабря (текущая 21%). Таким образом, ВТБ с 17 декабря повысил ставки по вкладам на 3 месяца до 23,7% годовых, на 6 месяцев – до 24% годовых при выплате процентов в конце срока для всех сегментов, сообщил банк. Максимальная ставка доступна действующим клиентам, получающим зарплату или пенсию на карту банка, а также состоятельным клиентам.VTBR ) и Сбербанк повысили ставки по депозитам перед решением ЦБ о ставке 20 декабря (текущая 21%). Таким образом, ВТБ с 17 декабря повысил ставки по вкладам на 3 месяца до 23,7% годовых, на 6 месяцев – до 24% годовых при выплате процентов в конце срока для всех сегментов, сообщил банк. Максимальная ставка доступна действующим клиентам, получающим зарплату или пенсию на карту банка, а также состоятельным клиентам. 
«Мы ожидаем роста ключевой ставки на ближайшем заседании ЦБ, поэтому заблаговременно повышаем ставки по вкладам», – уточнил зампред правления ВТБ Георгий Горшков.
В Сбербанке (MCX:SBER) с 16 декабря приветственная ставка по накопительному счету составляет 18% годовых (было 16% годовых) в первые три месяца, свидетельствуют тарифы банка. С четвертого месяца ставка составит 10% годовых, но ее можно увеличить до 18% годовых если подключить платные подписки «СберПрайм/ СберПрайм+», за покупки от ₽5 тысяч в магазинах — партнерах банка, за траты по картам «Сбера» от 30 тысяч в месяц.SBER ) с 16 декабря приветственная ставка по накопительному счету составляет 18% годовых (было 16% годовых) в первые три месяца, свидетельствуют тарифы банка. С четвертого месяца ставка составит 10% годовых, но ее можно увеличить до 18% годовых если подключить платные подписки «СберПрайм/ СберПрайм+», за покупки от ₽5 тысяч в магазинах — партнерах банка, за траты по картам «Сбера» от 30 тысяч в месяц. 
По вкладу «СберВклад» максимальная процентная ставка достигает 22,5% годовых при открытии депозита на полгода и вложении от 1 млн с учетом всех надбавок. Для вкладов, сумма которых составляет до 1 млн рублей, максимальная доходность с учетом надбавок составит 22% годовых. Если подключить пакет «СберПремьер», ставка по вкладу «СберВклад» на полгода повысится до 23% годовых.
Индекс ставок по годовым вкладам и депозитам банков на сумму 100 тысяч рублей на 17 декабря составляет 17,74%, свидетельствуют данные индекса ставок FRG100.
Читайте оригинальную статью на сайте Frankmedia","17.12.2024, 09:14",https://ru.investing.com/news/general/article-2602510
Вывод средств с ИИС не распространится на купоны — Минфин,"© Reuters.
Investing.com — Послабления по выводу средств с ИИС не коснутся купонов по облигациям, заявил журналистам заместитель министра финансов Иван Чебесков в кулуарах Форума ВТБ «Россия зовет!». Его слова передает РБК.ВТБ «Россия зовет!». Его слова РБК. 
«Только дивиденды. Про купоны — у нас же действует налоговый вычет. То есть логика такая, если есть вычет, значит это можно, как говорится, оставлять в долгий срок. Если ты не хочешь получать вычет или не можешь, как по дивидендным вычетам, тогда должна быть возможность их вывести. Мы действуем в такой логике. Соответственно, подготовлен законопроект по дивидендам», — пояснил он.
«Только дивиденды. Про купоны — у нас же действует налоговый вычет. То есть логика такая, если есть вычет, значит это можно, как говорится, оставлять в долгий срок. Если ты не хочешь получать вычет или не можешь, как по дивидендным вычетам, тогда должна быть возможность их вывести. Мы действуем в такой логике. Соответственно, подготовлен законопроект по дивидендам», — пояснил он.
Накануне президент России Владимир Путин предложил разрешить вывод дивидендов с ИИС-3 на другие счета. Сейчас дивиденды и купоны по ИИС-3 не могут выводиться на счета, отличные от ИИС.предложил разрешить вывод дивидендов с ИИС-3 на другие счета. Сейчас дивиденды и купоны по ИИС-3 не могут выводиться на счета, отличные от ИИС. 
«Предлагаю дополнить функционал этого инструмента, сделать так, чтобы инвестор мог выбрать счет для зачисления дивидендов по акциям, учтенным на индивидуальных инвестсчетах, то есть мог использовать полученный доход по своему усмотрению и что важно — в любое время», — сказал Путин.
«Предлагаю дополнить функционал этого инструмента, сделать так, чтобы инвестор мог выбрать счет для зачисления дивидендов по акциям, учтенным на индивидуальных инвестсчетах, то есть мог использовать полученный доход по своему усмотрению и что важно — в любое время», — сказал Путин.","05.12.2024, 14:41",https://ru.investing.com/news/general/article-2591624
